gps_week,dn(m),de(m),du(m)
1473,0.0,0.0,0.0
1474,-0.00062,-2e-05,0.00323
1475,-0.00133,0.00152,-0.00621
1478,-0.0024,0.00013,0.01672
1479,-0.00122,-0.00131,0.00974
1483,-0.00012,0.00165,0.00084
1484,-0.00042,0.00063,0.00559
1485,-0.00178,0.00158,0.00377
1486,-0.00027,0.00224,0.00015
1487,-0.00059,0.00224,-0.00177
1488,2e-05,0.00289,-0.00173
1489,-0.00018,0.00145,0.00081
1490,0.0003,0.00131,0.00121
1491,0.00022,0.00098,0.00526
1492,0.00076,0.00173,0.00642
1493,0.00099,0.00227,0.00645
1494,0.00191,0.00321,0.00884
1495,0.00172,0.00372,0.01021
1496,0.00248,0.00291,0.01091
1497,0.00184,0.00275,0.01034
1498,0.00303,0.00272,0.01281
1499,0.00326,0.00227,0.01475
1500,0.00269,0.00223,0.01604
1501,0.00454,0.00177,0.01302
1502,0.00488,0.0022,0.01135
1503,0.00497,0.00354,0.0076
1504,0.00571,0.00341,0.00961
1505,0.00726,0.00354,0.00612
1506,0.00501,0.00268,0.01228
1507,0.00602,0.00312,0.01067
1508,0.00637,0.0023,0.00962
1509,0.00628,0.00179,0.01294
1510,0.00537,0.0025,0.00965
1511,0.0057,0.0016,0.01278
1512,0.00535,0.00028,0.01438
1513,0.00569,0.00048,0.01601
1514,0.00604,-8e-05,0.01485
1515,0.007,-0.00034,0.0104
1516,0.00732,-0.0002,0.01124
1517,0.00796,-0.00151,0.01042
1518,0.00663,-0.00096,0.01198
1519,0.00849,-0.00044,0.0148
1520,0.00904,-0.00208,0.01181
1521,0.00945,-0.003,0.01045
1522,0.01115,-0.00359,0.013
1523,0.01237,-0.00451,0.00928
1524,0.0115,-0.00377,0.00884
1525,0.01058,-0.00438,0.00985
1526,0.01132,-0.00434,0.00652
1527,0.01182,-0.00343,0.01005
1528,0.0124,-0.00371,0.00807
1529,0.01297,-0.00324,0.01179
1530,0.01345,-0.00301,0.00736
1531,0.01414,-0.00286,0.00777
1532,0.013,-0.0041,0.00708
1533,0.01299,-0.00523,0.00689
1534,0.01316,-0.00433,0.00032
1535,0.01334,-0.00443,0.0003
1536,0.01335,-0.00309,0.00213
1537,0.01206,-0.00381,0.00184
1538,0.01306,-0.00377,-0.00283
1539,0.01481,-0.00287,-0.00669
1540,0.01499,-0.00452,-0.00038
1541,0.01423,-0.00507,0.00417
1542,0.01544,-0.00408,0.00727
1543,0.01554,-0.00413,0.00971
1544,0.0158,-0.00368,0.00717
1545,0.01598,-0.00278,0.00606
1546,0.01526,-0.00324,0.01056
1547,0.01629,-0.00307,0.00651
1548,0.01577,-0.00182,0.00811
1549,0.01583,-0.002,0.00912
1550,0.01601,-0.00167,0.00609
1551,0.01661,-0.00285,0.00621
1552,0.0172,-0.00294,0.00904
1553,0.01802,-0.0008,0.00732
1554,0.01761,-0.00212,0.0093
1555,0.01891,-0.00152,0.01042
1556,0.01814,-0.00258,0.011
1557,0.0181,-0.00267,0.00348
1558,0.01778,-0.0016,0.00554
