gps_week,dn(m),de(m),du(m)
1705,0.0,0.0,0.0
1706,-0.00039,-0.00058,0.00044
1707,-0.00156,-0.00112,0.00119
1708,-0.0003,-0.00174,0.00688
1709,0.00148,-0.00325,0.00327
1710,0.00034,-0.00212,0.00335
1711,0.00184,-0.00271,0.00199
1712,0.00188,-0.0035,-0.00144
1713,0.00331,-0.00315,-0.00165
1714,0.00227,-0.00243,-0.00129
1715,0.00156,-0.00264,0.00264
1716,0.00293,-0.00269,7e-05
1717,0.00292,-0.00289,0.00571
1718,0.00301,-0.00263,0.00184
1719,0.00446,-0.00289,-0.0037
1720,0.00314,-0.00364,0.00683
1721,0.00273,-0.00454,-0.00098
1722,0.00345,-0.00365,0.0
1723,0.00531,-0.00347,-0.00586
1724,0.0041,-0.0016,-0.00508
1725,0.0043,-0.00317,-0.01057
1726,0.00511,-0.00198,-0.01428
1727,0.00515,-0.00144,-0.01315
1728,0.00564,-0.00097,-0.01336
1729,0.00764,-0.00049,-0.02026
1730,0.00828,2e-05,-0.02172
1731,0.0065,-0.00123,-0.01583
1732,0.00823,0.00115,-0.02144
1733,0.00804,0.00015,-0.02802
1734,0.00786,0.00053,-0.02708
1735,0.00653,0.00201,-0.0284
1736,0.00837,0.00115,-0.02469
1737,0.00781,0.00151,-0.02799
1738,0.009,0.00157,-0.03014
1739,0.01042,0.00077,-0.0335
1740,0.0114,0.00143,-0.03165
1741,0.01176,0.00191,-0.02931
1742,0.01257,0.00152,-0.0286
1743,0.01254,-2e-05,-0.02125
1744,0.01286,0.00015,-0.02634
1745,0.0118,0.00037,-0.02514
1746,0.01221,0.00066,-0.02079
1747,0.01244,0.00061,-0.0204
1748,0.01227,0.00115,-0.02572
1749,0.01233,0.00038,-0.02123
1750,0.01116,-0.00127,-0.0181
1751,0.01231,-0.00132,-0.01734
1752,0.01081,-0.00156,-0.00756
1753,0.0119,-0.00152,-0.01242
1754,0.01281,-0.00152,-0.00802
1755,0.01191,-0.00175,-0.01097
1756,0.01184,-0.00275,-0.00874
1757,0.01368,-0.00291,-0.00639
1758,0.01351,-0.00327,-0.00539
1759,0.01328,-0.00593,-0.00447
1760,0.01259,-0.00622,0.00133
1761,0.01167,-0.00364,0.00023
1762,0.0121,-0.0044,-0.00559
1763,0.0134,-0.00591,-0.00162
1764,0.01276,-0.00596,-0.00177
1765,0.01389,-0.00536,-0.00096
1766,0.01369,-0.0069,0.00364
1767,0.01426,-0.00723,-0.00062
1768,0.01401,-0.0057,0.00041
1769,0.01451,-0.00696,-0.00301
1770,0.01503,-0.00637,-0.00354
1771,0.01519,-0.00595,-0.00265
1772,0.01544,-0.00609,-0.0105
1773,0.01588,-0.00578,-0.00511
1774,0.01528,-0.00599,-0.01094
1775,0.01506,-0.00653,-0.0127
1776,0.0162,-0.00527,-0.01409
1777,0.01555,-0.00352,-0.0109
1778,0.0166,-0.00422,-0.01248
1779,0.01748,-0.00415,-0.0163
1780,0.01619,-0.00199,-0.01889
1781,0.01777,-0.00102,-0.01588
1782,0.01633,-0.00239,-0.02544
1783,0.01634,-0.00087,-0.02514
1784,0.01623,-0.00204,-0.02758
1785,0.01663,-0.00201,-0.03192
1786,0.01559,-0.00331,-0.02805
1787,0.01602,-0.00235,-0.03176
1788,0.01592,-0.00229,-0.03355
1789,0.01731,-0.00202,-0.03333
1790,0.01851,-0.00232,-0.03348
1791,0.02082,-0.00145,-0.03351
1792,0.02015,-0.00183,-0.03571
1793,0.0236,-0.00271,-0.03414
1794,0.02149,-0.0023,-0.02459
1795,0.02247,-0.00262,-0.02691
1796,0.02096,-0.00353,-0.02688
1797,0.02222,-0.00293,-0.03032
1798,0.02335,-0.00286,-0.02796
1799,0.02256,-0.00475,-0.03106
1800,0.02335,-0.00373,-0.02938
1801,0.02198,-0.00501,-0.02412
1802,0.0231,-0.00371,-0.02208
1803,0.02314,-0.00512,-0.02473
1804,0.02305,-0.00459,-0.02239
1805,0.02291,-0.00513,-0.02307
1806,0.02304,-0.00547,-0.01796
1807,0.02354,-0.00597,-0.01934
1808,0.02334,-0.0067,-0.01316
1809,0.02247,-0.00677,-0.01417
1810,0.02288,-0.00681,-0.00932
1811,0.02298,-0.00779,-0.01231
1812,0.02402,-0.00802,-0.01055
1813,0.02545,-0.00921,-0.0077
1814,0.02431,-0.01103,-0.00583
1815,0.02486,-0.01068,-0.00522
1816,0.02425,-0.01009,-0.00981
1817,0.0246,-0.01182,-0.00785
1818,0.02576,-0.00961,-0.00288
1819,0.02622,-0.00952,-0.00968
1820,0.02506,-0.00818,-0.00807
1821,0.02531,-0.00825,-0.00592
1822,0.02595,-0.00833,-0.00162
1823,0.02529,-0.00961,-0.00718
1824,0.02589,-0.00769,-0.00405
1825,0.02686,-0.00868,-0.00705
1826,0.02715,-0.0086,-0.01066
1827,0.02639,-0.00765,-0.01291
1828,0.02851,-0.00774,-0.01848
1829,0.02796,-0.00864,-0.01828
1830,0.02713,-0.00727,-0.02099
1831,0.02803,-0.00729,-0.02173
1832,0.03015,-0.00622,-0.01822
1833,0.03018,-0.00619,-0.02281
1834,0.0299,-0.00747,-0.02484
1835,0.02966,-0.00783,-0.02515
1836,0.03041,-0.00677,-0.02556
1837,0.02959,-0.00678,-0.03182
1838,0.02859,-0.00694,-0.03565
1839,0.02988,-0.00586,-0.03146
1840,0.03105,-0.00672,-0.03652
1841,0.03279,-0.0069,-0.03827
1842,0.03401,-0.00574,-0.03577
1843,0.03523,-0.00571,-0.0369
1844,0.03474,-0.00699,-0.03718
1845,0.0351,-0.0056,-0.03942
1846,0.03717,-0.00512,-0.03558
1847,0.03774,-0.00458,-0.03375
1848,0.03798,-0.0054,-0.03288
1849,0.03647,-0.00508,-0.03357
1850,0.03644,-0.00616,-0.0353
1851,0.03808,-0.00621,-0.02938
1852,0.03693,-0.00682,-0.02968
1853,0.03773,-0.00734,-0.02782
1854,0.03814,-0.00615,-0.02598
1855,0.03703,-0.00762,-0.02785
1856,0.03723,-0.00795,-0.0216
1857,0.03767,-0.00816,-0.02024
1858,0.03598,-0.0072,-0.01853
1859,0.03668,-0.00813,-0.01376
1860,0.03719,-0.00809,-0.01574
1861,0.03834,-0.00995,-0.01592
1862,0.0364,-0.01005,-0.0054
1863,0.03649,-0.01052,-0.00615
1864,0.03736,-0.01125,-0.00391
1865,0.03815,-0.01239,-0.00194
1866,0.03736,-0.01232,-0.00228
1867,0.03782,-0.0105,0.00103
1868,0.0378,-0.01212,0.00418
1869,0.03977,-0.01208,0.00228
1870,0.03961,-0.01221,0.00289
1871,0.03966,-0.01195,0.00234
1872,0.04054,-0.0115,0.00533
1873,0.04095,-0.01134,-0.00144
1874,0.03921,-0.01175,-0.00125
1875,0.04049,-0.0114,0.00549
1876,0.04122,-0.01272,0.00332
1877,0.04251,-0.01174,-0.00061
1878,0.04199,-0.01109,0.00049
1879,0.03951,-0.01058,-0.00279
1880,0.04094,-0.01117,-0.0042
1881,0.04138,-0.00929,0.00019
1882,0.04107,-0.01036,-0.00437
1883,0.04127,-0.00991,-0.00886
1884,0.04183,-0.01048,-0.0073
1885,0.04271,-0.011,-0.00511
1886,0.04364,-0.0097,-0.0103
1887,0.04301,-0.01028,-0.01563
1888,0.04337,-0.011,-0.01054
1889,0.0423,-0.00998,-0.01667
1890,0.04292,-0.00816,-0.01761
1891,0.04383,-0.00951,-0.01652
1892,0.04489,-0.01042,-0.01641
1893,0.04641,-0.00919,-0.01365
1894,0.04805,-0.01005,-0.0177
1895,0.04753,-0.00919,-0.02302
1896,0.04937,-0.00928,-0.02168
1897,0.05049,-0.00766,-0.01859
1898,0.04854,-0.00859,-0.01661
1899,0.05047,-0.00972,-0.01934
1900,0.05067,-0.00944,-0.02252
1901,0.04885,-0.01153,-0.02103
1902,0.0496,-0.01058,-0.01856
1903,0.04961,-0.00983,-0.01984
1904,0.04977,-0.0096,-0.01739
1905,0.04977,-0.01027,-0.01867
1906,0.051,-0.01104,-0.01479
1907,0.04942,-0.01148,-0.01541
1908,0.05053,-0.01095,-0.01157
1909,0.05038,-0.01193,-0.00908
1910,0.05144,-0.0119,-0.01042
1911,0.0506,-0.01149,-0.00784
1912,0.05049,-0.01359,-0.00628
1913,0.04905,-0.01435,-0.00719
1914,0.05041,-0.01548,-0.00274
1915,0.05039,-0.01471,-0.00471
1916,0.05132,-0.01489,0.00067
1917,0.05135,-0.01586,0.00274
1918,0.05028,-0.01566,-0.00278
1919,0.0526,-0.0155,0.00118
1920,0.05398,-0.01512,0.0017
1921,0.0521,-0.01564,-0.00188
1922,0.0511,-0.01414,0.0014
1923,0.05148,-0.01449,0.00685
1924,0.05165,-0.01575,0.00158
1925,0.05182,-0.01551,-0.00753
1926,0.05273,-0.0156,-0.00293
1927,0.05162,-0.01426,-0.00058
1928,0.05121,-0.01545,-0.00282
1929,0.05228,-0.0149,-0.0091
1930,0.05147,-0.01317,-0.00672
1931,0.05344,-0.01461,-0.00738
1932,0.0533,-0.01303,-0.01436
1933,0.05381,-0.01266,-0.01534
1934,0.05073,-0.01563,-0.0144
1935,0.05076,-0.0133,-0.01364
1936,0.05039,-0.01355,-0.0198
1937,0.05026,-0.01376,-0.02065
1938,0.05141,-0.01541,-0.02559
1939,0.05275,-0.01401,-0.02728
1940,0.05262,-0.0136,-0.02869
1941,0.05245,-0.0135,-0.0283
1942,0.05227,-0.01447,-0.02975
1943,0.05306,-0.0127,-0.03168
1944,0.05306,-0.01381,-0.0341
1945,0.05574,-0.01364,-0.03229
1946,0.05523,-0.01356,-0.03512
1947,0.05478,-0.01245,-0.03149
1948,0.05536,-0.01352,-0.02995
1949,0.05662,-0.01359,-0.03288
1950,0.05593,-0.01388,-0.02458
1951,0.05711,-0.0152,-0.02886
1952,0.05788,-0.01438,-0.02783
1953,0.0586,-0.01359,-0.02354
1954,0.0576,-0.01419,-0.02258
1955,0.05758,-0.01389,-0.02516
1956,0.0577,-0.014,-0.02529
1957,0.05845,-0.01593,-0.02428
1958,0.05772,-0.01506,-0.02162
1959,0.0575,-0.0148,-0.0171
1960,0.05789,-0.01557,-0.01468
1961,0.0574,-0.01593,-0.01194
1962,0.05734,-0.01788,-0.00892
1963,0.05607,-0.01944,-0.00195
1964,0.05692,-0.0206,0.00138
1965,0.05719,-0.01959,0.00157
1966,0.05807,-0.01915,-2e-05
1967,0.0574,-0.01872,0.00408
1968,0.05823,-0.02074,0.00172
1969,0.05753,-0.02027,0.00566
1970,0.05873,-0.01938,0.00515
1971,0.05885,-0.02008,0.00261
1972,0.05842,-0.02037,0.00289
1973,0.05744,-0.02134,0.00019
1974,0.05801,-0.01944,-0.00092
1975,0.05926,-0.02142,0.00198
1976,0.05976,-0.02115,0.00079
1977,0.05844,-0.02049,-0.00128
1978,0.05785,-0.01955,0.00232
1979,0.05858,-0.01943,-0.00171
1980,0.05865,-0.01901,-0.0083
1981,0.05914,-0.01924,-0.00298
1982,0.05891,-0.01947,-0.00966
1983,0.05896,-0.01819,-0.00724
1984,0.06029,-0.0189,-0.00931
1985,0.06096,-0.01663,-0.00467
1986,0.05953,-0.01686,-0.00357
1987,0.06221,-0.01619,-0.01219
1988,0.06163,-0.01678,-0.01764
1989,0.06013,-0.0174,-0.01412
1990,0.05957,-0.01593,-0.01583
