gps_week,dn(m),de(m),du(m)
1571,0.0,0.0,0.0
1572,0.0004,-0.00038,-0.00334
1574,0.00071,-0.0002,0.00165
1575,0.00077,-0.00015,-0.00119
1576,0.00177,0.00103,-0.00458
1577,0.00225,0.00033,-0.00501
1578,0.00223,0.00025,-0.00159
1579,0.00185,0.00109,-0.00448
1580,0.00302,0.00017,-0.00579
1581,0.00043,0.00067,-0.00434
1582,0.00132,-0.00017,0.00131
1583,0.00218,0.00024,-0.00331
1584,0.00336,0.00013,-0.00056
1585,0.00212,1e-05,-0.0009
1586,0.00183,0.00038,-0.0039
1587,0.001,0.00183,-0.00384
1588,0.00174,0.00098,-0.00113
1589,0.0021,0.00037,0.0022
1590,0.00216,0.00054,0.00055
1591,0.0035,0.00074,0.00398
1592,0.00371,0.00066,0.00357
1593,0.00362,0.00116,0.00292
1594,0.0045,0.00124,0.00617
1595,0.00407,0.00235,0.0077
1596,0.00469,0.00198,0.01186
1597,0.00483,0.00198,0.01247
1598,0.00454,0.00191,0.01347
1599,0.00484,0.00256,0.01604
1600,0.00451,0.00307,0.01447
1601,0.0055,0.00285,0.01361
1602,0.00521,0.00397,0.01205
1603,0.00594,0.00433,0.01383
1604,0.00724,0.00378,0.01283
1605,0.00619,0.00491,0.01099
1606,0.00593,0.00437,0.01844
1607,0.00684,0.00434,0.0134
1608,0.00752,0.00434,0.01017
1609,0.00601,0.0033,0.00875
1610,0.00558,0.00258,0.01087
1611,0.00522,0.00361,0.01245
1612,0.0069,0.00055,0.01172
1613,0.00475,0.00267,0.01571
1614,0.00774,0.00179,0.00881
1615,0.00756,0.00287,0.01301
1616,0.0084,0.00215,0.00914
1617,0.00981,0.00043,0.01606
1618,0.0097,-0.00122,0.00708
1619,0.01117,-0.00161,0.00639
1620,0.01019,-0.00153,0.00465
1621,0.01121,-0.00355,0.00402
1622,0.01193,-0.00243,0.00242
1623,0.01358,-0.00135,-0.00177
1624,0.01536,-0.00267,0.0032
1625,0.01476,-0.0037,-0.00492
1626,0.01423,-0.00223,-0.00483
1627,0.01463,-0.00366,-0.00234
1628,0.01558,-0.00344,-0.0054
1629,0.01523,-0.00255,-0.00693
1630,0.01441,-0.00139,-0.01134
1631,0.01433,-0.00209,-0.00348
1632,0.01434,-0.00282,-0.00379
1633,0.01542,-0.0025,-0.00727
1634,0.01536,-0.00328,-0.00796
1662,0.01719,-0.00301,0.00638
1663,0.01768,-0.00392,0.01306
1664,0.01865,-0.00534,0.00584
1665,0.0197,-0.00477,0.00267
1666,0.02056,-0.00362,0.00084
1667,0.02115,-0.00418,-0.00115
1668,0.0204,-0.00478,0.00392
1669,0.02068,-0.00521,0.00076
1670,0.02054,-0.0046,-0.00188
1671,0.02249,-0.00559,0.0026
1672,0.02368,-0.00553,-0.00144
1673,0.02377,-0.00563,0.00197
1674,0.0252,-0.006,-0.00246
1675,0.02358,-0.00612,-0.00503
1676,0.02406,-0.00675,-0.0042
1677,0.0243,-0.00804,-0.00308
1678,0.02531,-0.00607,0.00314
1679,0.02605,-0.00554,-0.00266
1680,0.02555,-0.00616,-0.0025
1681,0.0255,-0.00682,-0.00894
