gps_week,dn(m),de(m),du(m)
1512,0.0,0.0,0.0
1513,0.00066,-0.00272,0.00271
1514,0.00087,-0.00212,0.00104
1515,0.00157,-0.00305,0.00232
1516,0.00267,-0.00316,0.0019
1517,0.00353,-0.00433,0.00459
1518,0.0043,-0.00466,0.00586
1519,0.00484,-0.00431,-0.00096
1520,0.00433,-0.00533,0.00282
1521,0.00545,-0.00718,0.00094
1522,0.0064,-0.00648,0.00232
1523,0.00899,-0.00718,0.00481
1524,0.0079,-0.00727,0.00121
1525,0.00544,-0.00719,0.00255
1526,0.00659,-0.00795,-0.00287
1527,0.00696,-0.00675,-0.00163
1528,0.00702,-0.00759,-0.00639
1529,0.0085,-0.00591,-0.00789
1530,0.00785,-0.00568,-0.00822
1531,0.00952,-0.00618,-0.00696
1532,0.00885,-0.00691,-0.00401
1533,0.00832,-0.00747,-0.00587
1534,0.00844,-0.00764,-0.00667
1535,0.00826,-0.00682,-0.00907
1536,0.00809,-0.00616,-0.00893
1537,0.00822,-0.0062,-0.0082
1538,0.00837,-0.00661,-0.00629
1539,0.00888,-0.00576,-0.00764
1540,0.00964,-0.00696,-0.00557
1541,0.00943,-0.0063,-0.00387
1542,0.01013,-0.00622,-0.00294
1543,0.0106,-0.00605,0.0002
1544,0.01091,-0.00523,0.0018
1545,0.01111,-0.00487,0.00318
1546,0.01097,-0.00495,0.0067
1547,0.01085,-0.00444,0.00445
1548,0.01018,-0.00441,0.00458
1549,0.01028,-0.00429,0.0063
1551,0.01094,-0.00508,0.00692
1552,0.0116,-0.00473,0.00993
1553,0.01164,-0.00432,0.00546
1554,0.01198,-0.00475,0.00749
1555,0.01313,-0.00389,0.00221
1556,0.01181,-0.00574,0.00297
1557,0.01274,-0.00569,0.00088
1558,0.01275,-0.00549,0.00388
1559,0.01227,-0.00581,0.00083
1560,0.01255,-0.00693,0.00601
1561,0.0131,-0.00717,0.00093
1562,0.01349,-0.00657,0.00192
1563,0.01239,-0.00768,0.00119
1564,0.01291,-0.00803,0.00392
1565,0.01511,-0.00888,0.0026
1566,0.01409,-0.008,-0.00164
1567,0.01587,-0.00736,-0.00061
1568,0.01625,-0.00818,0.00308
1569,0.01757,-0.00814,-0.00043
1570,0.01698,-0.00831,0.00343
1571,0.01787,-0.00929,0.00067
1572,0.01851,-0.00984,0.00629
1574,0.01755,-0.01037,-0.00639
1575,0.01808,-0.01174,-0.00321
1576,0.01816,-0.01047,-0.00474
1577,0.01738,-0.0101,-0.00796
1578,0.01709,-0.01094,-0.00248
1579,0.01721,-0.01024,-0.00851
1580,0.01921,-0.01033,-0.01031
1581,0.01705,-0.01077,-0.00953
1582,0.01784,-0.01089,-0.00889
1584,0.01894,-0.01086,-0.00557
1585,0.01841,-0.01113,-0.00263
1586,0.01816,-0.01132,-0.00606
1587,0.01868,-0.01014,-0.00502
1588,0.01961,-0.01073,-0.0054
1589,0.01955,-0.01079,-0.0041
1590,0.01875,-0.0103,-0.00273
1591,0.02055,-0.01027,-0.00245
1592,0.02055,-0.01156,-0.00241
1593,0.02048,-0.01034,-0.00278
1594,0.02018,-0.01055,0.00214
1595,0.02059,-0.00931,-0.00098
1596,0.02155,-0.00918,0.00308
1597,0.02121,-0.00967,0.00448
1598,0.02029,-0.00963,0.00559
1599,0.02072,-0.0098,0.00595
1600,0.02176,-0.00888,0.00529
1601,0.02174,-0.00849,0.0089
1602,0.0224,-0.00826,0.00685
1603,0.02217,-0.0079,0.01045
1604,0.02293,-0.00744,0.00861
1605,0.02337,-0.00884,0.00723
1606,0.02344,-0.00845,0.00824
1607,0.02284,-0.0078,0.00592
1608,0.02183,-0.01006,0.00404
1619,0.02723,-0.01373,0.00383
1620,0.02639,-0.01303,0.00353
1621,0.02709,-0.01368,0.00279
1622,0.02838,-0.01471,0.00144
1623,0.02954,-0.01365,0.00182
1624,0.02949,-0.01511,-0.00247
1625,0.03005,-0.01459,-0.0017
1626,0.03045,-0.01557,-0.00879
1627,0.02905,-0.01652,-0.00456
1628,0.02835,-0.01654,-0.00504
1629,0.02968,-0.015,-0.00029
1630,0.02958,-0.01654,-0.00411
1631,0.0299,-0.016,-0.00534
1632,0.03067,-0.01697,-0.00618
1633,0.03118,-0.01564,-0.00855
1634,0.03147,-0.0169,-0.01028
1635,0.03264,-0.01621,-0.00593
1636,0.0314,-0.01616,-0.00778
1637,0.03179,-0.01602,-0.01061
1638,0.03333,-0.01559,-0.0097
1639,0.03248,-0.01647,-0.00838
1640,0.03281,-0.01621,-0.00859
1641,0.03293,-0.01621,-0.00645
1642,0.03422,-0.0159,-0.00723
1643,0.0335,-0.01615,-0.00286
1644,0.03419,-0.01594,-9e-05
1645,0.03413,-0.01529,8e-05
1646,0.03359,-0.01492,0.00479
1647,0.03283,-0.01441,0.00586
1648,0.03295,-0.01405,0.00482
1649,0.03209,-0.01439,0.00369
1650,0.03255,-0.01397,0.00134
1651,0.03124,-0.01414,0.00416
1652,0.03279,-0.01388,0.00514
1653,0.03316,-0.01339,0.00618
1654,0.03472,-0.01335,0.00631
1655,0.0338,-0.01356,0.01125
1656,0.03451,-0.01442,0.01093
1657,0.03484,-0.01374,0.01049
1658,0.03454,-0.01248,0.00561
1659,0.03533,-0.01271,0.00481
1660,0.03506,-0.01498,0.00742
1661,0.03407,-0.01388,0.00354
1662,0.0335,-0.0144,0.00475
1663,0.03453,-0.0145,0.00206
1664,0.03463,-0.01504,0.00316
1665,0.03579,-0.01573,0.00072
1666,0.03736,-0.01556,0.00193
1667,0.03559,-0.01706,0.00223
1668,0.03545,-0.01678,0.00266
1669,0.03772,-0.01787,-0.00141
1670,0.03848,-0.01673,-0.0011
1671,0.03833,-0.01676,0.00062
1672,0.04099,-0.01741,0.00036
1673,0.04227,-0.01756,0.00564
1674,0.04219,-0.01701,0.0046
1675,0.04084,-0.01781,-0.0009
1676,0.04167,-0.01753,-0.00084
1677,0.04103,-0.01968,-0.00053
1678,0.04117,-0.01801,0.00027
1679,0.04176,-0.01754,0.00498
1680,0.04297,-0.01721,0.00149
1681,0.04199,-0.01829,-0.0018
1682,0.04214,-0.01735,-0.00123
1683,0.04257,-0.01904,-0.00118
1684,0.0425,-0.01918,-0.00031
1685,0.04283,-0.01889,0.00152
1686,0.04244,-0.01836,-0.00108
1687,0.04365,-0.01851,-0.00302
1688,0.04369,-0.01782,-0.00086
1689,0.04335,-0.01843,-0.00623
1690,0.0442,-0.0189,-0.00405
1691,0.04342,-0.01891,-0.0014
1692,0.0446,-0.01974,0.00029
1693,0.04455,-0.01933,0.00295
1694,0.04534,-0.01914,0.004
1695,0.04423,-0.01869,0.00233
1696,0.04391,-0.01864,0.00476
1697,0.04357,-0.0199,0.00597
1698,0.04382,-0.01763,0.00712
1699,0.04422,-0.01745,0.00557
1700,0.04448,-0.01757,0.00369
1701,0.04413,-0.01746,0.00447
1702,0.04402,-0.01681,0.00636
1703,0.04531,-0.01793,0.0065
1704,0.04572,-0.0171,0.00749
1705,0.04613,-0.01744,0.01142
1706,0.04707,-0.01796,0.00963
1707,0.04648,-0.01719,0.00944
1708,0.04676,-0.01668,0.01287
1709,0.04769,-0.01766,0.01287
1710,0.04552,-0.01714,0.01542
1711,0.04671,-0.01724,0.01081
1712,0.04706,-0.01778,0.01339
1713,0.04725,-0.01876,0.00998
1714,0.04757,-0.01881,0.00683
1715,0.0474,-0.02023,0.01114
1716,0.04858,-0.02068,0.00729
1717,0.05008,-0.02127,0.00918
1718,0.04991,-0.02074,0.0058
1719,0.05149,-0.02165,0.00702
1720,0.05159,-0.02154,0.01018
1721,0.05001,-0.02144,0.00867
1722,0.05181,-0.02092,0.01075
1723,0.05173,-0.02174,0.00353
1724,0.0518,-0.02178,0.00226
1725,0.05325,-0.02295,-0.00063
1726,0.05315,-0.02375,0.00249
1727,0.05295,-0.02412,0.00015
1728,0.05398,-0.02357,0.00272
1729,0.05606,-0.02237,0.00511
1730,0.05579,-0.02205,0.00515
1731,0.05423,-0.02275,0.00494
1732,0.05571,-0.02316,-0.00405
1733,0.05564,-0.02427,0.00198
1734,0.05497,-0.02216,-0.00194
1735,0.05488,-0.02248,0.00239
1736,0.05523,-0.02306,-0.00309
1737,0.05508,-0.02292,-0.00331
1738,0.0549,-0.02352,-0.00391
1739,0.05628,-0.02393,-0.002
1740,0.05572,-0.02427,-0.00268
1741,0.05686,-0.02474,0.00297
1742,0.0577,-0.02445,0.0053
1743,0.05774,-0.02485,0.00134
1744,0.05797,-0.02493,0.00574
1745,0.0581,-0.02423,0.00856
1746,0.05851,-0.0226,0.01005
1747,0.05745,-0.02326,0.00772
1748,0.05831,-0.02169,0.0063
1749,0.05786,-0.02163,0.00975
1750,0.0582,-0.0233,0.00865
1751,0.05879,-0.02263,0.00705
1752,0.05768,-0.02254,0.00671
1753,0.05832,-0.02195,0.01029
1754,0.05841,-0.02253,0.01326
1755,0.05897,-0.02254,0.01117
1756,0.05917,-0.02222,0.01249
1757,0.05938,-0.02134,0.0148
1758,0.05947,-0.02199,0.01112
1759,0.05944,-0.02238,0.01369
1760,0.0591,-0.02165,0.01418
1761,0.05971,-0.02045,0.01365
1762,0.05926,-0.02278,0.01303
1763,0.05983,-0.02308,0.01026
1764,0.06007,-0.02309,0.01109
1765,0.0619,-0.02319,0.01381
1766,0.06189,-0.02375,0.00473
1767,0.06106,-0.02563,0.01046
1768,0.06179,-0.0248,0.01224
1769,0.06287,-0.02604,0.01147
1770,0.06349,-0.02516,0.01335
1771,0.0632,-0.02602,0.00769
1772,0.06308,-0.02508,0.00185
1773,0.06384,-0.02693,0.00628
1774,0.06345,-0.02818,0.00451
1775,0.06434,-0.02682,0.00273
1776,0.06545,-0.02665,0.00577
1777,0.06495,-0.02724,0.0075
1778,0.06517,-0.02924,0.00784
1779,0.06686,-0.02944,0.00766
1780,0.06622,-0.02763,0.00447
1781,0.06786,-0.02708,0.00411
1782,0.06745,-0.02804,0.00327
1783,0.0665,-0.02701,-0.00044
1784,0.0657,-0.02819,0.00064
1786,0.06247,-0.03487,0.00652
1787,0.0617,-0.03656,0.00398
1788,0.06202,-0.03577,0.00401
1789,0.06352,-0.03514,0.00146
1791,0.06546,-0.03452,0.00961
1792,0.06492,-0.03483,0.00753
1793,0.0665,-0.03704,0.00583
1796,0.06613,-0.02965,0.01216
1797,0.06552,-0.02935,0.01691
1798,0.06575,-0.02807,0.01504
1799,0.06551,-0.02837,0.01579
1800,0.0664,-0.02884,0.01749
1801,0.06526,-0.02842,0.01574
1802,0.0649,-0.02857,0.01796
1803,0.06547,-0.0286,0.01712
1804,0.06647,-0.02831,0.01782
1805,0.0659,-0.02839,0.01675
1806,0.06668,-0.02796,0.01701
1807,0.06771,-0.02728,0.01728
1808,0.06731,-0.02764,0.0176
1809,0.06703,-0.02667,0.02086
1810,0.06713,-0.02709,0.02068
1811,0.06746,-0.02767,0.022
1812,0.06888,-0.02642,0.01976
1813,0.06956,-0.02732,0.02087
1815,0.06928,-0.03548,0.01776
1816,0.06854,-0.03625,0.02142
1817,0.06928,-0.03745,0.02308
1818,0.07133,-0.03682,0.02268
1819,0.0717,-0.03627,0.01886
1820,0.07167,-0.03619,0.01697
1821,0.07268,-0.03531,0.01818
1822,0.0725,-0.03667,0.02015
1823,0.07123,-0.03748,0.01746
1824,0.07293,-0.03681,0.01819
1825,0.07442,-0.03942,0.0171
1826,0.07439,-0.03953,0.01847
1827,0.07523,-0.03873,0.01703
1828,0.07564,-0.03936,0.01478
1829,0.07598,-0.03844,0.01856
1830,0.07377,-0.03836,0.0173
1831,0.07454,-0.03864,0.01467
1832,0.07438,-0.03804,0.01517
1833,0.07413,-0.0402,0.01081
1834,0.07633,-0.03848,0.01141
1835,0.0759,-0.03955,0.01421
1836,0.07607,-0.03838,0.00892
1837,0.07311,-0.03762,0.00832
1838,0.07494,-0.03975,0.00983
1839,0.07345,-0.04008,0.01083
1840,0.07433,-0.03919,0.01061
1841,0.07735,-0.04053,0.01201
1842,0.06916,-0.04221,0.01135
1843,0.07874,-0.04163,0.0087
1844,0.07852,-0.04341,0.01166
1845,0.07932,-0.04124,0.01279
1846,0.07965,-0.04035,0.0137
1847,0.08044,-0.04037,0.01353
1848,0.07908,-0.03976,0.01755
1849,0.07878,-0.03927,0.01662
1850,0.07831,-0.04044,0.01197
1851,0.079,-0.04022,0.01627
1852,0.07779,-0.04032,0.01559
1853,0.07883,-0.0399,0.0129
1854,0.07835,-0.03985,0.01417
1855,0.07759,-0.04038,0.01355
1856,0.07814,-0.0389,0.01814
1857,0.07931,-0.03867,0.01396
1858,0.07859,-0.03776,0.01928
1859,0.07805,-0.03909,0.02067
1860,0.07967,-0.03793,0.01847
1861,0.08118,-0.03901,0.01924
1862,0.07999,-0.03856,0.01731
1863,0.08042,-0.03863,0.02136
1864,0.08142,-0.0389,0.02258
1865,0.08234,-0.03976,0.02004
1866,0.08168,-0.03943,0.02145
1867,0.0832,-0.03931,0.02274
1868,0.08294,-0.0394,0.02266
1869,0.08527,-0.03903,0.02455
1870,0.08499,-0.0395,0.02184
1871,0.08493,-0.03881,0.02978
1872,0.08351,-0.03942,0.02907
1873,0.08578,-0.04013,0.02718
1874,0.08152,-0.0397,0.02543
1875,0.08624,-0.03941,0.0275
1876,0.08841,-0.03962,0.02421
1877,0.08857,-0.04119,0.0252
1878,0.07605,-0.04426,0.02866
1879,0.08386,-0.04099,0.02426
1880,0.06989,-0.04787,0.01865
1881,0.07847,-0.04175,0.0153
1882,0.08649,-0.04196,0.00741
1883,0.08634,-0.04315,0.00982
1884,0.08702,-0.04194,0.01272
1885,0.08809,-0.04214,0.0154
1886,0.08997,-0.04159,0.01865
1887,0.08862,-0.04228,0.01265
1888,0.08932,-0.04347,0.01054
1889,0.08966,-0.04319,0.01065
1890,0.08864,-0.04269,0.01107
1891,0.08934,-0.04414,0.01496
1892,0.09013,-0.04394,0.014
1893,0.09165,-0.0427,0.01505
1894,0.09343,-0.04337,0.01696
1895,0.09239,-0.04229,0.01833
1896,0.0923,-0.04335,0.01898
1897,0.0929,-0.04279,0.01915
1898,0.09076,-0.04428,0.01977
1899,0.09158,-0.04429,0.02196
1900,0.09281,-0.04424,0.0201
1901,0.09075,-0.0452,0.01817
1902,0.09091,-0.0446,0.01795
1903,0.09073,-0.04509,0.01987
1904,0.09121,-0.04404,0.01795
1905,0.0924,-0.04492,0.01958
1906,0.09247,-0.04402,0.01808
1907,0.09162,-0.04258,0.0173
1908,0.092,-0.0427,0.01866
1909,0.09193,-0.04307,0.02071
1910,0.09263,-0.04274,0.02127
1911,0.09183,-0.04219,0.02102
1912,0.09316,-0.04236,0.01871
1913,0.09196,-0.04268,0.01719
1914,0.09333,-0.04462,0.02015
1915,0.09419,-0.04412,0.02069
1916,0.09537,-0.04409,0.02164
1917,0.09666,-0.04321,0.02574
1918,0.09603,-0.04326,0.01875
1919,0.09706,-0.04294,0.0236
1920,0.09915,-0.04241,0.02449
1921,0.09708,-0.0435,0.02013
1922,0.09766,-0.04241,0.02644
1923,0.09731,-0.0434,0.0264
1924,0.09811,-0.04479,0.02505
1925,0.0978,-0.04424,0.02108
1926,0.09907,-0.04594,0.02843
1927,0.0987,-0.04423,0.02465
1928,0.09927,-0.04552,0.0224
1929,0.0994,-0.04433,0.02343
1930,0.10006,-0.04319,0.02383
1931,0.10141,-0.04368,0.02359
1932,0.10049,-0.04336,0.02313
1933,0.10081,-0.04467,0.02109
1934,0.09683,-0.04705,0.02475
1935,0.09775,-0.04637,0.02429
1936,0.09692,-0.04749,0.01758
1937,0.09747,-0.04811,0.01511
1938,0.09878,-0.04888,0.02019
1939,0.10013,-0.04864,0.01957
1940,0.09984,-0.04828,0.01707
1941,0.1005,-0.04854,0.01889
1942,0.10055,-0.04894,0.02037
1943,0.10087,-0.04837,0.01404
1944,0.10111,-0.04914,0.01738
1945,0.10206,-0.04926,0.02036
1946,0.10222,-0.04883,0.01676
1947,0.10168,-0.0482,0.01843
1948,0.10152,-0.04933,0.02153
1949,0.10222,-0.04856,0.01996
1950,0.10183,-0.05047,0.02017
1951,0.10221,-0.04909,0.02142
1952,0.10217,-0.04992,0.01875
1953,0.10304,-0.05045,0.0198
1954,0.10213,-0.05022,0.02049
1955,0.10186,-0.04975,0.01819
1956,0.1024,-0.05,0.01622
1957,0.10292,-0.04897,0.01747
1958,0.10261,-0.04903,0.01768
1959,0.10263,-0.0487,0.01981
1960,0.10303,-0.04853,0.01877
1961,0.10234,-0.04823,0.0206
1962,0.10323,-0.04811,0.02131
1963,0.103,-0.04821,0.02185
1964,0.10368,-0.04857,0.02136
1965,0.10297,-0.04839,0.02107
1966,0.10365,-0.04806,0.0219
1967,0.10397,-0.04779,0.02433
1968,0.10527,-0.04754,0.02523
1969,0.10584,-0.04757,0.0227
1970,0.10622,-0.04762,0.02668
1971,0.10586,-0.04822,0.02743
1972,0.1068,-0.04812,0.02763
1973,0.10509,-0.0483,0.02884
1974,0.10672,-0.04923,0.03108
1975,0.10604,-0.04966,0.02675
1976,0.10766,-0.04903,0.02649
1977,0.10795,-0.04876,0.0267
1978,0.10821,-0.04962,0.02715
1979,0.1071,-0.05011,0.02182
1980,0.10703,-0.04932,0.02204
1981,0.10802,-0.05136,0.02487
1982,0.10799,-0.05089,0.02744
1983,0.10934,-0.05087,0.02023
1984,0.10966,-0.05078,0.0189
1985,0.11039,-0.05065,0.02475
1986,0.10996,-0.05048,0.02614
1987,0.11164,-0.05104,0.02344
1988,0.11177,-0.05194,0.01747
1989,0.11125,-0.0522,0.02037
1990,0.11306,-0.05346,0.01828
1991,0.11343,-0.05278,0.02153
1992,0.1114,-0.05307,0.01777
1993,0.11244,-0.05154,0.01821
1994,0.11376,-0.05221,0.01535
1995,0.1145,-0.05225,0.02059
1996,0.11372,-0.05286,0.01538
1997,0.11426,-0.05461,0.01516
1998,0.11411,-0.0542,0.0186
1999,0.11411,-0.05381,0.01732
2000,0.11498,-0.05443,0.01855
2001,0.11547,-0.05355,0.02035
2002,0.11556,-0.05463,0.01843
2003,0.11412,-0.05487,0.01546
2004,0.11491,-0.05528,0.01986
2005,0.11501,-0.05582,0.01534
2006,0.11546,-0.05592,0.0158
2007,0.11525,-0.05372,0.01476
2008,0.11618,-0.05452,0.0172
2009,0.11484,-0.0547,0.0122
2010,0.1155,-0.05452,0.01836
2011,0.11537,-0.05524,0.01449
2012,0.11616,-0.05423,0.02111
2013,0.11594,-0.05444,0.01855
2014,0.11604,-0.05534,0.02139
2015,0.1151,-0.05467,0.0194
2016,0.11562,-0.05476,0.02109
2017,0.11691,-0.05431,0.02426
2018,0.11673,-0.05413,0.02167
2019,0.11852,-0.05366,0.02317
2020,0.11844,-0.05501,0.02417
2021,0.11906,-0.05651,0.0203
2022,0.11818,-0.05462,0.02012
2023,0.11913,-0.05472,0.02479
2024,0.11833,-0.05406,0.0262
2025,0.11955,-0.05592,0.02423
2026,0.11958,-0.05404,0.02347
2027,0.11901,-0.05498,0.02323
2028,0.11971,-0.05577,0.02085
2029,0.11997,-0.05526,0.01941
2031,0.12058,-0.05687,0.01338
2034,0.12157,-0.0564,0.01645
2035,0.12189,-0.0572,0.01624
2036,0.12199,-0.05692,0.01732
2037,0.12317,-0.05688,0.01716
2038,0.12411,-0.05618,0.01707
2039,0.12251,-0.05639,0.02187
2040,0.12446,-0.05718,0.0203
2041,0.12442,-0.05911,0.01815
2042,0.12592,-0.05817,0.02545
2043,0.12601,-0.05717,0.01697
2044,0.12742,-0.05802,0.01728
2045,0.12668,-0.05926,0.01766
2046,0.12597,-0.05746,0.01354
2047,0.12738,-0.05746,0.01082
2048,0.12631,-0.05899,0.01319
2049,0.12765,-0.05827,0.01932
2050,0.1271,-0.05951,0.01683
2051,0.1282,-0.05978,0.01661
2052,0.12711,-0.05905,0.0169
2053,0.12638,-0.06178,0.01833
2054,0.12746,-0.06246,0.01955
2055,0.12656,-0.05953,0.01852
2056,0.12761,-0.05965,0.0153
2057,0.1277,-0.06006,0.01805
2058,0.12698,-0.06007,0.01548
2059,0.12815,-0.05905,0.01989
2060,0.12746,-0.05885,0.01751
2061,0.12753,-0.05976,0.01927
2062,0.12812,-0.05857,0.01689
2063,0.12723,-0.05918,0.02105
2064,0.12753,-0.05922,0.01846
2065,0.1279,-0.05934,0.01715
2066,0.12759,-0.05891,0.01768
2067,0.12849,-0.0598,0.01895
2068,0.12938,-0.0589,0.01794
