gps_week,dn(m),de(m),du(m)
1512,0.0,0.0,0.0
1513,-0.00047,-0.00097,-0.00602
1514,0.00096,-0.00154,-0.00682
1515,0.00173,-0.00148,-0.00755
1516,0.00161,-0.00212,-0.00999
1517,0.00257,-0.00232,-0.00428
1518,0.00213,-0.00205,-0.00556
1519,0.0033,-0.00158,-0.00099
1520,0.00368,-0.00264,-0.00568
1521,0.00406,-0.00348,-0.00973
1522,0.00504,-0.00456,-0.00466
1523,0.00604,-0.00507,-0.0077
1524,0.00544,-0.00508,-0.00915
1525,0.00506,-0.00497,-0.00743
1531,0.0094,-0.00224,-0.00572
1532,0.00671,-0.00468,-0.01453
1533,0.0084,-0.00464,-0.0081
1534,0.00797,-0.00445,-0.00858
1536,0.00798,-0.00324,-0.01314
1537,0.00831,-0.00293,-0.01164
1538,0.00877,-0.00329,-0.01395
1539,0.00847,-0.0041,-0.0137
1540,0.009,-0.00483,-0.01322
1541,0.00932,-0.00406,-0.00853
1542,0.01,-0.00374,-0.00638
1543,0.01101,-0.00364,-0.00575
1544,0.01087,-0.00355,-0.00736
1545,0.01108,-0.00266,-0.00465
1546,0.0105,-0.0036,-0.00196
1547,0.0106,-0.00313,-0.00323
1548,0.01026,-0.00342,-0.00238
1549,0.01025,-0.00278,-0.00108
1550,0.00952,-0.00261,-0.00388
1551,0.01131,-0.00358,-0.00348
1552,0.01092,-0.00393,0.00084
1553,0.01225,-0.00266,-0.005
1554,0.0107,-0.00235,-0.00681
1555,0.01213,-0.00304,-0.00733
1556,0.01238,-0.00278,-0.00537
1557,0.01228,-0.00346,-0.00729
1558,0.01184,-0.00218,-0.00502
1559,0.01213,-0.00295,-0.00627
1560,0.01096,-0.00274,-0.00766
1561,0.01106,-0.00441,-0.00758
1562,0.01277,-0.00495,-0.00577
1563,0.0115,-0.00494,-0.00121
1564,0.01158,-0.00563,0.00044
1565,0.01293,-0.00625,-0.00644
1566,0.01338,-0.00567,-0.00619
1567,0.01428,-0.00546,-0.00435
1568,0.01463,-0.00762,-0.00664
1569,0.0159,-0.00629,-0.0063
1570,0.01582,-0.00596,-0.00929
1571,0.01546,-0.0076,-0.01051
1572,0.01764,-0.00693,-0.00453
1574,0.01643,-0.00954,-0.00525
1575,0.01766,-0.00895,-0.00852
1576,0.01761,-0.00781,-0.01117
1577,0.01679,-0.00794,-0.00544
1578,0.01861,-0.00861,-0.013
1579,0.01917,-0.00855,-0.01031
1580,0.0198,-0.00685,-0.01018
1581,0.01697,-0.00824,-0.01237
1582,0.01846,-0.00727,-0.00904
1583,0.01981,-0.00821,-0.01078
1584,0.01949,-0.00824,-0.0112
1585,0.01946,-0.00833,-0.00951
1586,0.01843,-0.00892,-0.01344
1587,0.01865,-0.00649,-0.01519
1588,0.01903,-0.0077,-0.01175
1589,0.01914,-0.00827,-0.01032
1590,0.01929,-0.0089,-0.00958
1591,0.02006,-0.00802,-0.01183
1592,0.02016,-0.00847,-0.0111
1593,0.01987,-0.00892,-0.00981
1594,0.02009,-0.00939,-0.00678
1595,0.02054,-0.00788,-0.0044
1596,0.02181,-0.00856,-0.00559
1597,0.02188,-0.00925,-0.00277
1598,0.02095,-0.00814,-0.00264
1599,0.02143,-0.00848,-0.00179
1600,0.02232,-0.00782,-0.00163
1601,0.02196,-0.00752,0.0013
1602,0.02193,-0.0065,-0.00644
1603,0.02141,-0.00645,-0.00069
1604,0.02735,-0.01163,-0.00547
1605,0.02858,-0.01413,-0.01054
1606,0.02732,-0.01204,-0.00767
1607,0.02725,-0.01238,-0.00868
1608,0.02606,-0.01363,-0.00888
1609,0.02744,-0.01502,-0.01415
1610,0.02652,-0.01551,-0.01932
1611,0.02683,-0.0134,-0.01064
1612,0.02692,-0.01647,-0.01551
1613,0.02607,-0.01528,-0.01404
1614,0.0283,-0.01619,-0.00834
1615,0.02795,-0.0156,-0.01069
1616,0.02937,-0.01892,-0.01878
1617,0.02933,-0.01934,-0.0189
1618,0.03114,-0.02101,-0.01749
1619,0.03255,-0.01879,-0.02032
1620,0.03155,-0.02027,-0.02243
1621,0.03184,-0.01939,-0.018
1622,0.03208,-0.02031,-0.01679
1623,0.03365,-0.02044,-0.02135
1624,0.03331,-0.02032,-0.02123
1625,0.03239,-0.01947,-0.02037
1626,0.03338,-0.02098,-0.02953
1627,0.0341,-0.02241,-0.02463
1628,0.03415,-0.02208,-0.02944
1629,0.03271,-0.02125,-0.02726
1630,0.03419,-0.02199,-0.03127
1631,0.03621,-0.02292,-0.03587
1632,0.03402,-0.02258,-0.03224
1633,0.03702,-0.02225,-0.03028
1634,0.03674,-0.02312,-0.04138
1635,0.03756,-0.02186,-0.02902
1636,0.0356,-0.02226,-0.03309
1637,0.03428,-0.01965,-0.03257
1638,0.03732,-0.02151,-0.03469
1639,0.03642,-0.02248,-0.03238
1640,0.03538,-0.02084,-0.03274
1641,0.03701,-0.02278,-0.03174
1642,0.03808,-0.02248,-0.02917
1643,0.03729,-0.02276,-0.02088
1644,0.03724,-0.02122,-0.0197
1645,0.03765,-0.02212,-0.01855
1646,0.03807,-0.02234,-0.01643
1647,0.03834,-0.02217,-0.01699
1648,0.03823,-0.02082,-0.01658
1649,0.03747,-0.02068,-0.0126
1650,0.03712,-0.02109,-0.0198
1651,0.03704,-0.02199,-0.01874
1652,0.03635,-0.01957,-0.01285
1653,0.03849,-0.02084,-0.01666
1654,0.03835,-0.02075,-0.01301
1655,0.03956,-0.02187,-0.01741
1656,0.04042,-0.0224,-0.01186
1657,0.04033,-0.02134,-0.01474
1658,0.03955,-0.02093,-0.0236
1659,0.04012,-0.02122,-0.02599
1660,0.03974,-0.02249,-0.02306
1661,0.0379,-0.02066,-0.02252
1662,0.04033,-0.02253,-0.02261
1663,0.04144,-0.02326,-0.02898
1664,0.04184,-0.02435,-0.02802
1665,0.04207,-0.02377,-0.02994
1666,0.04391,-0.02444,-0.03078
1667,0.0442,-0.02457,-0.02877
1668,0.04223,-0.02458,-0.03672
1669,0.04542,-0.02571,-0.0361
1670,0.04557,-0.02586,-0.03314
1671,0.04491,-0.02543,-0.03667
1672,0.04709,-0.02492,-0.03964
1673,0.04926,-0.0271,-0.02852
1674,0.04885,-0.0255,-0.03092
1675,0.04733,-0.027,-0.03404
1676,0.04747,-0.02584,-0.02866
1677,0.04719,-0.02782,-0.02922
1678,0.0465,-0.02628,-0.03042
1679,0.04883,-0.02524,-0.02676
1680,0.04906,-0.02404,-0.02912
1681,0.04835,-0.02505,-0.0347
