gps_week,dn(m),de(m),du(m)
1527,0.0,0.0,0.0
1528,0.00078,-6e-05,-0.00295
1531,0.00311,0.0008,0.00244
1532,0.00233,-7e-05,-0.00019
1533,0.00219,-0.00016,-1e-05
1534,0.00217,-0.00014,0.00052
1535,0.00224,0.0003,-0.00355
1536,0.00177,0.00159,-0.00341
1537,0.00309,0.00201,0.00232
1538,0.00294,0.00194,-0.0043
1539,0.00236,0.00206,-0.00493
1540,0.00396,-8e-05,-0.00179
1541,0.00353,0.00081,0.00028
1542,0.00405,0.00166,0.00274
1543,0.0051,0.00152,0.00458
1544,0.005,0.00228,0.00537
1545,0.00612,0.00274,0.00493
1546,0.00475,0.0014,0.00864
1547,0.00539,0.00228,0.01191
1548,0.0054,0.00252,0.00804
1549,0.00514,0.00305,0.00885
1550,0.00553,0.00236,0.01317
1551,0.00645,0.0012,0.00842
1552,0.00576,0.00199,0.01018
1553,0.00591,0.00278,0.00783
1554,0.00709,0.00148,0.01087
1555,0.007,0.00305,0.00559
1556,0.00762,0.00187,0.00714
1557,0.00784,0.0016,0.00751
1558,0.00708,0.00294,0.00845
1559,0.00699,0.00241,0.00453
1560,0.00743,0.00179,0.00393
1561,0.00763,0.00022,0.00235
1562,0.0088,0.00156,0.00691
1563,0.00708,0.00085,0.00631
1564,0.00734,-0.00036,0.00571
1565,0.00838,-0.00123,0.00656
1566,0.00883,-0.00094,0.00528
1567,0.00995,-0.00159,0.00597
1568,0.01081,-0.00084,0.00434
1569,0.011,-0.00078,0.00782
1570,0.01079,-0.00095,0.0092
1571,0.0118,-0.00179,0.00662
1572,0.01324,-0.00133,0.01044
1574,0.01313,-0.00479,0.00468
1575,0.01275,-0.00547,0.0018
1576,0.01305,-0.00247,0.00185
1577,0.01204,-0.00305,0.0035
1578,0.01308,-0.00437,0.00178
1579,0.01282,-0.00349,-0.00042
1580,0.01474,-0.00259,0.0008
1581,0.01263,-0.00277,0.00185
1582,0.01322,-0.00294,0.00072
1583,0.01396,-0.00381,0.00262
1584,0.01362,-0.00266,0.00125
1585,0.01299,-0.00298,0.00404
1586,0.01144,-0.00428,-0.00341
1587,0.01214,-0.00224,-0.00351
1588,0.01229,-0.00247,0.00081
1589,0.01273,-0.00321,-0.00198
1590,0.01298,-0.00361,-0.00119
1591,0.01372,-0.00287,-0.00326
1592,0.01428,-0.00335,-0.00253
1593,0.0138,-0.00267,-0.00022
1594,0.01414,-0.00315,0.00303
1595,0.01446,-0.00186,0.00634
1596,0.01539,-0.00229,0.00494
1597,0.01501,-0.00224,0.00789
1598,0.01437,-0.00179,0.00748
1599,0.01526,-0.00156,0.00853
1600,0.01567,-0.00125,0.00891
1601,0.01621,-0.00056,0.0087
1602,0.01647,-0.00049,0.00795
1603,0.01751,-0.0005,0.01186
1604,0.01798,0.00077,0.01511
1605,0.01724,-0.00132,0.01118
1606,0.01716,-0.00164,0.01131
1607,0.01806,-0.00122,0.01514
1608,0.01829,-0.00195,0.01574
1609,0.01685,-0.0023,0.01431
1610,0.01576,-0.00299,0.0102
1611,0.01755,-0.0025,0.01087
1612,0.01748,-0.00424,0.00876
1613,0.01634,-0.00348,0.01365
1614,0.01892,-0.00203,0.01078
1615,0.01943,-0.00342,0.01191
1616,0.01897,-0.00408,0.00936
1617,0.02155,-0.00398,0.00581
1618,0.0225,-0.00531,0.00526
1619,0.02402,-0.00571,0.0104
1620,0.02041,-0.00495,0.00734
1621,0.02179,-0.00536,0.00946
1622,0.02272,-0.0068,0.00721
1623,0.02381,-0.00609,0.00479
1624,0.02536,-0.00586,0.00212
1625,0.02546,-0.00662,0.00384
1626,0.0242,-0.00657,-0.0014
1627,0.02427,-0.00815,0.00756
1628,0.02384,-0.00783,0.00105
1629,0.02456,-0.00666,0.00221
1630,0.02375,-0.0074,0.00471
1631,0.02521,-0.00783,-0.00101
1632,0.02437,-0.00739,-0.00111
1633,0.0255,-0.0066,-0.00186
1634,0.02588,-0.00705,-0.0043
1635,0.02609,-0.00741,-0.0013
1636,0.02418,-0.00697,-0.00187
1637,0.02424,-0.00639,-0.00779
1638,0.02631,-0.00648,-0.00414
1641,0.0262,-0.00787,-0.00313
1642,0.0274,-0.0075,-0.00167
1643,0.0267,-0.00835,0.00311
1644,0.02759,-0.0074,0.00409
1645,0.02733,-0.00746,0.00623
1646,0.02714,-0.00718,0.0049
1647,0.0272,-0.00717,0.00883
1649,0.026,-0.00572,0.00874
1650,0.02648,-0.00572,0.00762
1651,0.02583,-0.00605,0.00835
1652,0.02633,-0.0054,0.01102
1653,0.02658,-0.00576,0.0072
1654,0.02747,-0.00562,0.00911
1655,0.02607,-0.00612,0.01066
1656,0.02819,-0.00597,0.01573
1657,0.02817,-0.00525,0.01678
1658,0.0265,-0.00468,0.00661
1659,0.02865,-0.005,0.00991
1660,0.02728,-0.00577,0.00777
1661,0.02779,-0.00571,0.0058
1662,0.02845,-0.00601,0.00655
1663,0.02923,-0.00687,0.00468
1664,0.02962,-0.00744,0.0079
1665,0.03065,-0.00786,0.00497
1666,0.03319,-0.00757,0.00812
1667,0.03197,-0.00886,0.00299
1668,0.02994,-0.00898,0.0017
1669,0.03167,-0.00915,0.00275
1670,0.03286,-0.00866,-0.00041
1671,0.03336,-0.00839,-0.00148
1672,0.0344,-0.00943,0.00148
1673,0.03622,-0.00954,0.00753
1674,0.03602,-0.00852,0.00349
1675,0.03429,-0.01002,0.00105
1676,0.03492,-0.0104,0.0024
1677,0.0349,-0.01125,0.0056
1678,0.0352,-0.01009,0.00754
1679,0.0353,-0.00953,0.00882
1680,0.03546,-0.00911,0.00635
1681,0.0354,-0.0096,-0.00187
1682,0.03446,-0.00924,0.0035
1683,0.03502,-0.01096,-0.00085
1684,0.03498,-0.01168,-0.0002
1685,0.0366,-0.01042,0.00125
1686,0.03441,-0.01049,0.00067
1687,0.03474,-0.01028,0.00431
1688,0.03544,-0.01032,-0.00012
1689,0.0341,-0.01155,-0.0033
1690,0.03618,-0.01118,-0.0001
1691,0.03606,-0.01071,0.00046
1692,0.03644,-0.01191,0.00159
1693,0.03672,-0.01177,0.00388
1694,0.03709,-0.01121,0.00468
