gps_week,dn(m),de(m),du(m)
1251,0.0,0.0,0.0
1252,-0.00066,-0.00016,0.00249
1253,-0.00255,-0.00019,-0.00843
1254,-0.00043,-0.00309,-0.01154
1255,-0.00324,-0.00187,-0.00862
1256,-0.0029,-0.00088,-0.00965
1257,-0.00566,-0.00039,-0.01181
1258,-0.00541,-0.00138,-0.01724
1259,-0.0052,-0.00255,-0.01659
1260,-0.00337,-0.00153,-0.01935
1261,-0.00395,-0.00447,-0.01621
1262,-0.00196,-0.00166,-0.01609
1263,-0.00399,-0.00219,-0.01906
1264,-0.00295,-0.00184,-0.02139
1265,-0.00236,-0.00124,-0.02473
1266,-0.00108,-0.00223,-0.02321
1267,-0.00096,-0.00162,-0.02503
1268,-0.00182,-0.00284,-0.02629
1269,-0.00029,-0.00306,-0.02743
1270,-0.00133,-0.00324,-0.02068
1271,-0.00098,-0.00365,-0.0169
1272,-0.00059,-0.00497,-0.01825
1273,0.0002,-0.00463,-0.02356
1274,-0.00187,-0.0051,-0.01839
1275,-0.00079,-0.00431,-0.02268
1276,-0.00098,-0.00553,-0.02187
1277,-0.00064,-0.00493,-0.02198
1278,-0.00019,-0.00519,-0.02159
1279,-0.00045,-0.00411,-0.02163
1280,0.00135,-0.00356,-0.02365
1281,0.00121,-0.00406,-0.02105
1282,0.00162,-0.00499,-0.0158
1283,0.00195,-0.00492,-0.02109
1284,0.00279,-0.00412,-0.01799
1285,0.00183,-0.00537,-0.01644
1286,0.00483,-0.00556,-0.02006
1287,0.00369,-0.00577,-0.01492
1288,0.00332,-0.00775,-0.0113
1289,0.00476,-0.00569,-0.01977
1290,0.00707,-0.00587,-0.00875
1291,0.00714,-0.00473,-0.01556
1292,0.00659,-0.00536,-0.01809
1293,0.00783,-0.00633,-0.00969
1294,0.00572,-0.00703,-0.01015
1295,0.00735,-0.00593,-0.00879
1296,0.00897,-0.00674,-0.00559
1297,0.00743,-0.00504,-0.01002
1298,0.0076,-0.0031,-0.01551
1299,0.00958,-0.0045,-0.01087
1300,0.01059,-0.00352,-0.00399
1301,0.00908,-0.00547,-0.00653
1302,0.00836,-0.00675,-0.00317
1304,0.01107,-0.0055,-0.00565
1305,0.01008,-0.00674,-0.00549
1306,0.00819,-0.00671,-0.00534
1307,0.00936,-0.00714,-0.00873
1308,0.00898,-0.00537,-0.0036
1309,0.0101,-0.00654,0.00201
1310,0.00944,-0.00641,-0.0086
1311,0.01032,-0.00712,-0.00683
1312,0.00977,-0.00715,-0.01195
1313,0.01146,-0.00603,-0.01332
1314,0.01054,-0.00802,-0.01454
1315,0.00925,-0.0079,-0.02019
1316,0.01079,-0.00697,-0.02021
1317,0.00956,-0.00744,-0.02461
1318,0.01086,-0.00782,-0.02457
1319,0.01176,-0.00853,-0.0199
1320,0.01313,-0.01058,-0.01756
1321,0.01152,-0.01064,-0.02141
1322,0.01243,-0.00845,-0.02465
1323,0.01076,-0.01116,-0.01916
1324,0.01128,-0.01076,-0.02093
1325,0.01029,-0.01051,-0.02213
1326,0.01235,-0.00904,-0.02088
1327,0.01179,-0.00894,-0.01973
1328,0.01276,-0.00862,-0.0263
1329,0.01274,-0.00916,-0.02426
1330,0.01295,-0.0086,-0.02347
1331,0.01328,-0.00678,-0.01974
1332,0.01245,-0.00789,-0.01755
1333,0.01354,-0.00775,-0.01307
1334,0.01444,-0.00647,-0.01717
1335,0.01383,-0.00754,-0.01301
1336,0.01378,-0.00698,-0.01509
1337,0.01414,-0.0087,-0.01635
1338,0.01687,-0.00878,-0.00778
1339,0.01684,-0.0095,-0.00715
1340,0.01645,-0.00973,-0.00432
1341,0.01886,-0.00967,-0.00799
1342,0.01864,-0.00864,-0.0079
1343,0.01979,-0.00917,-0.00381
1344,0.01961,-0.00855,-0.00558
1345,0.02166,-0.00893,0.0021
1346,0.02083,-0.00878,0.00159
1347,0.0217,-0.00948,-0.00092
1348,0.02235,-0.00861,0.00072
1349,0.02294,-0.01052,0.00033
1350,0.02278,-0.01007,-0.00141
1351,0.02247,-0.0097,-0.00308
1352,0.02342,-0.01151,-0.00308
1353,0.02116,-0.01216,-0.01015
1354,0.01926,-0.01119,-0.00366
1355,0.02079,-0.01051,-0.00617
1356,0.02099,-0.00974,-0.00459
1357,0.02105,-0.00861,-0.01154
1358,0.01962,-0.00981,-0.00965
1359,0.0208,-0.01047,-0.0118
1360,0.02136,-0.01107,-0.01574
1361,0.02218,-0.01161,-0.01416
1362,0.02189,-0.01204,-0.01407
1363,0.02379,-0.01256,-0.01026
1364,0.02309,-0.01133,-0.01716
1365,0.02306,-0.01108,-0.01588
1366,0.02371,-0.0118,-0.01792
1367,0.02177,-0.01297,-0.02121
1368,0.02366,-0.01479,-0.0225
1369,0.0236,-0.01466,-0.02223
1370,0.02316,-0.01423,-0.02733
1371,0.02165,-0.01467,-0.0226
1372,0.02255,-0.01476,-0.02287
1373,0.02081,-0.01294,-0.02829
1374,0.02196,-0.01412,-0.0289
1375,0.02218,-0.01367,-0.03119
1376,0.02098,-0.01402,-0.03762
1377,0.02315,-0.01367,-0.02775
1378,0.02395,-0.01277,-0.02686
1379,0.02181,-0.01337,-0.0248
1380,0.02438,-0.01302,-0.02641
1381,0.02344,-0.01287,-0.02509
1382,0.02476,-0.01195,-0.02745
1383,0.02451,-0.01103,-0.02139
