gps_week,dn(m),de(m),du(m)
1443,0.0,0.0,0.0
1444,0.00181,0.0014,0.00998
1445,0.00058,0.00107,0.0081
1446,-0.00072,0.00104,0.00858
1447,0.00013,0.00177,0.00853
1454,0.00555,-0.00152,0.01237
1455,0.00508,-0.00127,0.01195
1456,0.00633,-7e-05,0.00926
1457,0.00469,-0.00063,0.01223
1458,0.00492,-0.00147,0.00762
1459,0.00633,-0.00104,0.00638
1460,0.00717,-0.00107,0.01017
1461,0.00789,-0.00041,0.01168
1462,0.00849,-0.001,0.00823
1463,0.00792,0.00047,0.00904
1464,0.0077,0.00028,0.00697
1465,0.00762,-0.00025,0.00722
1466,0.00759,-0.00043,0.01173
1467,0.00648,-0.0003,0.00611
1468,0.00673,-0.0015,0.00864
1469,0.00818,-0.00038,0.00679
1470,0.00653,-0.00089,-0.00121
1471,0.00654,-0.00173,0.00597
1472,0.00658,-0.00077,0.00591
1476,0.00744,-0.00024,-0.00477
1477,0.0079,0.00031,0.0015
1478,0.00864,-0.00087,-0.00472
1479,0.00789,-0.0003,-0.00636
1480,0.00723,-0.00013,-0.0066
1481,0.00805,-0.00171,-0.00778
1482,0.0062,-0.0009,-0.01496
1483,0.00758,-0.00087,-0.01639
1484,0.01017,-0.00026,-0.01878
1485,0.00734,0.00025,-0.01767
1486,0.01003,0.00093,-0.01852
1487,0.01051,-0.00028,-0.01573
1488,0.0106,-0.0023,-0.02017
1489,0.01068,-0.0014,-0.02064
1490,0.01115,-0.00308,-0.01944
1491,0.01022,-0.00287,-0.00794
1492,0.01252,-0.00173,-0.00791
1493,0.01205,-0.00209,-0.0045
1494,0.01306,-0.0021,-0.0089
1495,0.01342,-0.00196,-0.00159
1496,0.0143,-0.00188,-0.00522
1497,0.01366,-0.00155,-0.00614
1498,0.01457,-0.00344,-0.00872
1499,0.01381,-0.00203,-0.00473
1500,0.0147,-0.00316,-0.00137
1501,0.01542,-0.00269,0.00369
1502,0.01569,-0.00204,0.0043
1503,0.01522,-0.00243,0.00209
1504,0.01553,-0.00334,-0.0001
1505,0.01616,-0.0031,0.01201
1506,0.01558,-0.00372,0.00484
1507,0.01538,-0.00335,0.00292
1508,0.01647,-0.00519,0.00505
1509,0.01828,-0.00513,0.00668
1510,0.01749,-0.00397,0.00192
1511,0.01807,-0.0028,0.0065
1512,0.01638,-0.00461,0.00246
1513,0.01923,-0.00433,-0.0084
1514,0.01919,-0.005,-0.00135
1515,0.01789,-0.00422,-0.0012
1516,0.01757,-0.00405,-0.00679
1517,0.01809,-0.00481,-0.00532
1518,0.01707,-0.00442,-0.00276
1519,0.01853,-0.00395,-0.00164
1520,0.01758,-0.00496,0.00093
1521,0.01799,-0.00525,-0.00077
1522,0.01713,-0.00437,-0.00198
1523,0.01909,-0.00547,0.00036
1524,0.01831,-0.00514,-0.00567
1525,0.01949,-0.00599,-0.00294
1526,0.01877,-0.00459,-0.00166
1527,0.01962,-0.00435,-0.00845
1528,0.02,-0.00504,-0.00824
1529,0.02027,-0.0061,-0.00738
1530,0.01952,-0.00615,-0.01266
1531,0.02006,-0.005,-0.00976
1532,0.01968,-0.00578,-0.00919
1533,0.02016,-0.0054,-0.00577
1534,0.0199,-0.00548,-0.01125
1535,0.02053,-0.00529,-0.01109
1536,0.01982,-0.00688,-0.01589
1537,0.01959,-0.00628,-0.01398
1538,0.02011,-0.00725,-0.01284
1539,0.02093,-0.00787,-0.01506
1540,0.02127,-0.00868,-0.01425
1541,0.02234,-0.0081,-0.01371
1542,0.02245,-0.0082,-0.01029
1543,0.02323,-0.00889,-0.00988
1544,0.02407,-0.00699,-0.01121
1545,0.02555,-0.00873,-0.00116
1546,0.02492,-0.00914,-0.00539
1547,0.02457,-0.00846,0.00058
1548,0.02568,-0.00929,-0.00145
1549,0.02479,-0.00805,0.00716
1550,0.02681,-0.00926,0.00312
1551,0.0266,-0.00951,0.00317
1552,0.02715,-0.00833,0.01058
1553,0.02906,-0.00705,0.01022
1554,0.02824,-0.00969,0.01402
1555,0.02894,-0.00948,0.0108
1556,0.02841,-0.00909,0.01566
1557,0.02927,-0.00881,0.0143
1558,0.02941,-0.00978,0.01522
1559,0.03039,-0.01088,0.01104
1560,0.0298,-0.01045,0.01648
1561,0.03032,-0.00941,0.01468
1562,0.03207,-0.00971,0.01236
1563,0.02996,-0.00925,0.00717
1564,0.03014,-0.00858,0.01172
1565,0.03033,-0.00964,0.01176
1566,0.03015,-0.00941,0.01495
1567,0.03049,-0.00822,0.0114
1568,0.03111,-0.00842,0.01657
1569,0.03142,-0.00837,0.0198
1570,0.0313,-0.00991,0.02369
1571,0.03156,-0.00903,0.02213
1572,0.03191,-0.01039,0.01957
1574,0.03262,-0.01012,0.02064
1575,0.03362,-0.00873,0.02355
1576,0.03308,-0.00801,0.01915
1577,0.03313,-0.00791,0.01877
1578,0.03235,-0.00794,0.01491
1579,0.03343,-0.00816,0.00959
1580,0.03396,-0.01035,0.00128
1581,0.03194,-0.01062,-0.00238
1582,0.03229,-0.01056,-0.00054
1583,0.03263,-0.01161,-0.0039
1584,0.03368,-0.01049,-0.01688
1585,0.03437,-0.01088,-0.01267
1586,0.03192,-0.01041,-0.0066
1587,0.03456,-0.01161,-0.01974
1588,0.03369,-0.01195,-0.01511
1589,0.03467,-0.01314,-0.0279
1590,0.03418,-0.01216,-0.02083
1591,0.03594,-0.01348,-0.01883
1592,0.03755,-0.01432,-0.01633
1593,0.0373,-0.01356,-0.01846
1594,0.03815,-0.01334,-0.01532
1595,0.03782,-0.0133,-0.01568
1596,0.03802,-0.01287,-0.01786
1597,0.03828,-0.01387,-0.01579
1598,0.03701,-0.01377,-0.01122
1599,0.03799,-0.01235,-0.00782
1600,0.03779,-0.01187,-0.00552
1601,0.03863,-0.01157,0.00054
1602,0.03983,-0.01196,0.00052
1603,0.03933,-0.01027,0.00167
1604,0.03993,-0.01109,0.00375
1605,0.03941,-0.0124,0.00133
1606,0.04064,-0.01217,0.00515
1607,0.04128,-0.01258,0.00375
1608,0.04119,-0.01386,0.00137
1609,0.04073,-0.01424,0.0023
1610,0.0418,-0.01395,0.00424
1611,0.04166,-0.0144,-0.0022
1612,0.04242,-0.0149,-0.0054
1613,0.04249,-0.01422,-0.00089
1614,0.04196,-0.01487,0.00331
1615,0.04291,-0.01374,-0.00242
1616,0.04274,-0.0147,-0.00154
1617,0.044,-0.01465,-0.00437
1618,0.0428,-0.01399,0.00439
1619,0.04412,-0.01499,-0.00091
1620,0.04399,-0.01526,-0.00145
1621,0.04417,-0.01571,0.00316
1622,0.04344,-0.01557,0.00283
1623,0.0433,-0.01469,-0.00369
1624,0.04431,-0.01339,-0.00057
1625,0.04455,-0.01484,-0.00371
