gps_week,dn(m),de(m),du(m)
1044,0.0,0.0,0.0
1045,-0.00121,-0.00186,0.00355
1056,-0.00308,-0.00159,0.01131
1057,-0.00039,-0.00217,0.00929
1058,0.00206,-0.00231,-0.00548
1059,0.00079,-0.00368,0.00089
1060,0.00057,-0.00486,0.00763
1061,0.00233,-0.00499,0.00079
1062,0.0022,-0.00278,-7e-05
1063,0.00253,-0.00235,0.00586
1064,0.00369,-0.00174,0.00785
1065,0.00386,-0.00273,0.01129
1066,0.00225,-0.0027,0.01051
1067,0.00314,-0.00379,0.0077
1068,0.00223,-0.00384,0.00885
1069,0.00272,-0.0045,0.00805
1070,0.00202,-0.0031,0.00913
1071,0.00195,-0.00212,0.00941
1072,0.00057,-0.00222,0.0073
1073,0.00089,-0.00322,0.0118
1074,0.00076,-0.00268,0.00937
1075,0.003,-0.00129,0.00823
1076,0.00363,-0.00231,0.0166
1077,0.00399,-0.00258,0.01723
1078,0.00638,-0.00182,0.0102
1079,0.00705,-0.00171,0.01019
1080,0.0062,-0.00151,0.01353
1081,0.00627,-0.00148,0.01512
1082,0.00694,-0.00153,0.01629
1083,0.008,-0.00022,0.01435
1084,0.00804,-0.00052,0.01503
1085,0.00666,-0.00174,0.017
1086,0.0089,-0.00138,0.01459
1087,0.00928,-0.00096,0.01135
1088,0.01046,-0.00222,0.0104
1089,0.01027,-0.00323,0.00963
1090,0.00991,-0.00325,0.01104
1091,0.01195,-0.00429,0.00988
1136,0.02205,-0.00454,0.016
1137,0.02379,-0.00461,0.01612
1138,0.02247,-0.00881,0.01927
1139,0.02392,-0.00786,0.01154
1140,0.0235,-0.00864,0.01426
1141,0.02532,-0.00646,0.01219
1142,0.02305,-0.00806,0.01859
1143,0.0234,-0.00927,0.02193
1144,0.0237,-0.00913,0.02114
1145,0.02513,-0.01094,0.03024
1189,0.03975,-0.01517,0.02155
1190,0.04073,-0.01494,0.01851
1191,0.03971,-0.01431,0.02071
1192,0.03992,-0.01494,0.0184
1193,0.04299,-0.01471,0.02703
1194,0.04233,-0.0146,0.02318
1195,0.04328,-0.01575,0.02354
1196,0.0401,-0.01238,0.02191
1197,0.04178,-0.01347,0.01936
1198,0.04077,-0.01369,0.02003
1199,0.04205,-0.01441,0.01349
1200,0.04053,-0.0141,0.01739
1201,0.03971,-0.01474,0.01742
1202,0.04178,-0.015,0.01944
1203,0.0429,-0.01597,0.0155
1204,0.0422,-0.01558,0.0161
1205,0.04336,-0.01665,0.01435
1206,0.04281,-0.01763,0.01761
1207,0.043,-0.01797,0.01486
1208,0.0445,-0.01729,0.01837
1209,0.04401,-0.01749,0.01465
1210,0.04362,-0.01732,0.01716
1211,0.04554,-0.01938,0.01566
1212,0.04557,-0.01678,0.01685
1213,0.044,-0.01691,0.01342
1214,0.04669,-0.01781,0.00911
1215,0.04581,-0.01815,0.00963
1216,0.04573,-0.01651,0.01016
1217,0.04689,-0.01738,0.0071
1218,0.04685,-0.01763,0.00713
1219,0.04705,-0.01859,0.01254
1220,0.04584,-0.01904,0.01562
1221,0.04546,-0.0179,0.01517
1222,0.04554,-0.01894,0.01754
1223,0.04554,-0.0189,0.01367
1224,0.04534,-0.01873,0.01472
1225,0.04451,-0.01832,0.01408
1226,0.04555,-0.01737,0.01323
1227,0.04663,-0.01678,0.01174
1228,0.04667,-0.01701,0.01336
1229,0.04758,-0.01616,0.01477
