gps_week,dn(m),de(m),du(m)
1340,0.0,0.0,0.0
1341,0.00074,0.00179,0.00171
1342,0.00161,0.00227,0.00055
1343,0.00155,0.00241,0.00502
1344,0.00164,0.00186,0.0035
1345,0.00252,0.00247,0.00401
1346,0.002,0.00196,0.00618
1347,0.00322,0.00181,0.00464
1348,0.00378,0.0013,0.0042
1349,0.00459,0.00184,0.00525
1350,0.00419,0.00125,0.00283
1351,0.00488,0.00151,0.00253
1352,0.00562,0.00074,0.00197
1353,0.00427,0.00054,0.00244
1354,0.00414,-0.0,0.00538
1355,0.00375,-0.00031,0.00358
1356,0.00416,-0.00012,0.00213
1357,0.00501,0.0004,0.00389
1358,0.00465,4e-05,0.00219
1359,0.00566,2e-05,0.0044
1360,0.00622,-5e-05,0.00338
1361,0.00642,-0.00135,0.00124
1362,0.00715,-0.00111,-5e-05
1363,0.00738,-0.00127,-0.00422
1364,0.00709,3e-05,0.00023
1365,0.00761,-0.00011,-0.00072
1366,0.00852,-0.00062,-0.00133
1367,0.00827,-0.00065,-0.00118
1368,0.00806,-0.00266,-0.00665
1369,0.00941,-0.00281,-0.00484
1370,0.0073,-0.0031,-0.00691
1371,0.00867,-0.0031,-0.00369
1372,0.00898,-0.0039,-0.00525
1373,0.01144,-0.00401,-0.00605
1374,0.01523,-0.00537,-0.00828
1375,0.01545,-0.00526,0.00091
1376,0.01486,-0.00476,-0.00204
1377,0.01523,-0.00463,-0.0023
1378,0.01534,-0.00448,0.0037
1379,0.0149,-0.00467,0.00477
1380,0.0161,-0.00437,0.00113
1381,0.01541,-0.00414,-0.00119
1382,0.01586,-0.00412,0.00045
1383,0.01563,-0.00312,0.00078
1384,0.0162,-0.00353,0.00118
1385,0.01664,-0.00275,0.00358
1386,0.01636,-0.0034,-0.0011
1387,0.01674,-0.00339,0.00263
1388,0.01759,-0.00339,0.00257
1389,0.01768,-0.00473,0.00107
1390,0.01873,-0.00471,0.00347
1391,0.01882,-0.00463,0.0045
1392,0.01981,-0.00335,0.00491
1393,0.02021,-0.00388,0.00536
1394,0.02204,-0.00323,0.00806
1395,0.02135,-0.00361,0.00795
1396,0.01872,-0.00479,0.01472
1397,0.02125,-0.00455,0.0068
1398,0.01815,-0.00593,0.02251
1399,0.02281,-0.00556,0.00731
1400,0.02325,-0.00483,0.00879
1401,0.02337,-0.00553,0.00672
1402,0.02429,-0.00579,0.00958
1403,0.02444,-0.00552,0.00948
1404,0.02289,-0.00675,0.02357
1405,0.02313,-0.00638,0.02028
1406,0.02641,-0.00491,0.00603
1407,0.02591,-0.00498,0.00607
1408,0.02623,-0.00584,0.00569
1409,0.02565,-0.00559,0.00708
1410,0.02409,-0.00698,0.02277
1411,0.02663,-0.00645,0.00985
1412,0.02687,-0.00616,0.00848
1413,0.02784,-0.00731,0.00675
1414,0.02752,-0.00832,0.01226
1415,0.02398,-0.00882,0.02504
1416,0.02797,-0.00683,0.00932
1417,0.02873,-0.00918,0.00414
1418,0.02822,-0.00887,0.0046
1419,0.02948,-0.00722,-0.0003
1420,0.02683,-0.00843,0.01217
1421,0.03047,-0.0083,0.00414
1422,0.02917,-0.00903,0.00721
1423,0.02958,-0.01015,0.00783
1424,0.02935,-0.01002,0.00864
1425,0.0278,-0.00862,0.00717
1426,0.0274,-0.00948,0.00704
1427,0.02728,-0.00895,0.00682
1428,0.02814,-0.0089,0.00772
1429,0.02954,-0.00826,0.00505
1430,0.03037,-0.00729,0.00747
1431,0.02978,-0.00859,0.00466
1432,0.02938,-0.00881,0.00696
1433,0.02287,-0.00733,0.00175
1434,0.02052,-0.0065,0.00109
1435,0.02089,-0.00619,-0.00326
1436,0.02109,-0.00546,0.00014
1437,0.0212,-0.00571,-0.00218
1438,0.02225,-0.00539,-0.00135
1439,0.02289,-0.00608,0.00074
1440,0.02277,-0.00665,0.002
1441,0.02342,-0.00651,0.00548
1442,0.02396,-0.00758,0.00319
1443,0.0254,-0.00649,0.00401
1444,0.02622,-0.00607,0.00506
1445,0.02688,-0.00697,0.00613
1446,0.02528,-0.00735,0.00493
1447,0.02629,-0.00819,0.00735
1448,0.02636,-0.00872,0.00649
1449,0.02587,-0.00816,0.00345
1450,0.02697,-0.008,0.00373
1451,0.02795,-0.00771,0.00804
1452,0.02816,-0.00763,0.00843
1453,0.02878,-0.00649,0.00409
1454,0.03022,-0.00737,0.00501
1455,0.02972,-0.00734,0.00421
1456,0.02965,-0.00761,0.00504
1457,0.02877,-0.00832,0.00668
1458,0.02944,-0.00774,0.0037
1459,0.0289,-0.00896,0.00696
1460,0.02957,-0.00795,0.00637
1461,0.03034,-0.00766,0.00539
1462,0.03245,-0.00924,0.00269
1463,0.02995,-0.00749,0.01406
1464,0.03262,-0.00896,0.00189
1465,0.03345,-0.00945,0.00195
1466,0.03334,-0.0097,0.00309
1468,0.03379,-0.00915,-0.00109
1469,0.03324,-0.01136,-0.00312
1470,0.03044,-0.01139,0.00569
