gps_week,dn(m),de(m),du(m)
1475,0.0,0.0,0.0
1476,0.0006,0.00043,0.00232
1477,0.00254,-0.00044,0.00126
1478,-0.00029,0.00121,-0.00502
1483,-0.00107,0.00079,-0.00101
1484,0.00048,0.00036,0.00045
1485,0.00049,0.00029,-0.00308
1486,0.00103,0.00159,-0.00083
1487,0.00174,0.0014,-0.00312
1488,0.00225,0.00162,-0.00225
1489,0.00176,0.00053,0.00071
1490,0.00261,0.00047,0.00246
1491,0.00276,0.00026,0.00197
1492,0.00319,0.00035,0.0024
1493,0.00343,0.00058,0.0044
1494,0.0041,0.00087,0.00537
1500,0.00571,0.00068,0.0136
1501,0.00759,0.00095,0.01113
1503,0.00931,0.00171,0.00759
1508,0.00974,8e-05,0.00249
1510,0.00923,1e-05,0.01379
1512,0.01059,-0.00078,0.00683
1513,0.01088,-0.00104,0.00934
1514,0.01156,-0.00075,0.01119
1515,0.01125,-0.00177,0.00594
1516,0.01128,-0.00095,0.00789
1517,0.01179,-0.00127,0.00726
1518,0.01165,-0.00063,0.00689
1519,0.01367,-0.00114,0.00221
1520,0.01139,-0.00312,0.00095
1521,0.01226,-0.00471,0.00258
1522,0.01428,-0.00462,0.00017
1523,0.0144,-0.00495,0.00158
1524,0.01343,-0.00554,0.00187
1525,0.01233,-0.00589,0.00212
1526,0.01251,-0.00523,0.00267
1527,0.01284,-0.00537,0.00069
1528,0.0123,-0.00445,-0.00432
1529,0.0129,-0.00426,-0.0029
1530,0.01278,-0.00401,-0.00575
1531,0.01339,-0.00516,-0.00479
1532,0.01169,-0.00626,-0.00508
1533,0.01139,-0.00659,-0.00692
1534,0.01214,-0.00611,-0.00746
1535,0.01152,-0.00609,-0.00845
1536,0.01191,-0.0043,-0.00611
1537,0.01316,-0.00461,-0.00491
1538,0.01269,-0.00514,-0.00429
1539,0.01316,-0.00442,-0.00456
1540,0.01315,-0.00501,0.0012
1541,0.01331,-0.006,0.0002
1542,0.01321,-0.0057,0.00092
1543,0.01564,-0.00466,0.00101
1544,0.015,-0.00453,0.00484
1545,0.01579,-0.00408,0.00604
1546,0.01506,-0.00455,0.00513
1547,0.01586,-0.00424,0.00466
1548,0.01578,-0.00407,0.00564
1549,0.01575,-0.00369,0.00668
1550,0.01667,-0.0035,0.00756
1551,0.01745,-0.00412,0.00675
1552,0.01754,-0.00423,0.0071
1553,0.02048,-0.00193,0.00936
1554,0.02023,-0.00149,0.01318
1555,0.02087,-0.00106,0.01514
1556,0.0213,-0.00126,0.00965
1557,0.02065,-0.00282,0.01462
1558,0.02109,-0.00126,0.01046
1559,0.02229,-0.00079,0.01007
1560,0.02226,-0.00215,0.0111
1561,0.02151,-0.00208,0.01319
1562,0.02224,-0.00205,0.01101
1563,0.02111,-0.00284,0.01337
1564,0.02178,-0.00392,0.01648
1565,0.02145,-0.00422,0.01701
1566,0.02165,-0.00309,0.0161
1567,0.02192,-0.00284,0.01652
1568,0.0227,-0.00246,0.01077
1569,0.02403,-0.00259,0.01237
1570,0.02517,-0.00301,0.01572
1571,0.02577,-0.00435,0.01027
1572,0.02475,-0.00507,0.00734
1574,0.02694,-0.0046,0.01427
1575,0.02653,-0.00611,0.01291
1576,0.02907,-0.00569,0.00779
1577,0.02627,-0.00592,0.01605
1578,0.02755,-0.00848,0.01718
1579,0.02612,-0.0063,0.01034
1580,0.02816,-0.00468,0.00782
1581,0.02601,-0.00561,0.00656
1582,0.02735,-0.00661,0.00688
1583,0.02823,-0.00668,0.00314
1584,0.02751,-0.00527,0.00527
1585,0.0286,-0.00624,0.01005
1586,0.02827,-0.00542,0.00685
1587,0.02848,-0.00459,0.00453
1588,0.02871,-0.0063,0.0065
1589,0.02879,-0.0066,0.00609
1590,0.02898,-0.00643,0.01196
1591,0.03001,-0.00605,0.01276
1592,0.03073,-0.00643,0.01278
1593,0.0294,-0.00265,0.0164
1594,0.0306,-0.00554,0.01295
1595,0.03055,-0.0047,0.01701
1596,0.03095,-0.00548,0.01477
1597,0.03093,-0.00568,0.01732
1598,0.03085,-0.00593,0.01778
1599,0.03169,-0.00578,0.01682
1600,0.03269,-0.00521,0.01346
1601,0.03285,-0.00517,0.01771
1602,0.03383,-0.00477,0.01643
1603,0.03443,-0.00546,0.01832
1604,0.03473,-0.00499,0.01729
1605,0.03498,-0.00558,0.01532
1606,0.03496,-0.00494,0.0114
1607,0.03543,-0.00435,0.01165
1608,0.03554,-0.00632,0.00906
1609,0.03596,-0.00577,0.01281
1610,0.03536,-0.00591,0.01242
