gps_week,dn(m),de(m),du(m)
1437,0.0,0.0,0.0
1438,0.00138,0.00196,-0.00663
1439,0.00143,0.00199,-0.00251
1440,0.00259,0.0011,-0.00213
1441,0.00302,0.00115,0.00011
1442,0.00382,-0.00073,0.00039
1443,0.00411,0.00076,0.00302
1444,0.00443,0.00159,0.00364
1445,0.00559,0.00123,0.00386
1446,0.00394,0.0002,0.00713
1447,0.00613,0.00063,0.00624
1448,0.00544,0.00018,0.00752
1449,0.00495,0.00157,0.00897
1450,0.00443,0.00085,0.01101
1451,0.00516,0.00223,0.01059
1452,0.00505,0.0007,0.01299
1453,0.0061,0.00158,0.00532
1454,0.00703,0.00078,0.00501
1455,0.00668,0.00208,0.00813
1456,0.00776,0.00139,0.01219
1457,0.00589,0.00076,0.00856
1458,0.00598,0.0003,0.00528
1459,0.00623,-0.00012,0.00273
1460,0.00597,0.00031,0.00441
1461,0.00698,-0.00026,-0.00073
1462,0.0074,-0.00104,0.00059
1463,0.00929,0.00021,0.00255
1464,0.01049,-0.00188,-0.00071
1465,0.01212,-0.00124,0.00054
1466,0.01132,-0.00162,-0.00065
1467,0.01055,-0.0031,0.00685
1468,0.01073,-0.00478,0.00125
1469,0.0092,-0.00419,0.0014
1470,0.01176,-0.00539,-0.00128
1471,0.01248,-0.00526,-0.00017
1472,0.01259,-0.00587,0.00342
1473,0.01421,-0.00449,0.00182
1474,0.01352,-0.00532,0.00179
1475,0.01321,-0.00581,0.00159
1476,0.01435,-0.00407,0.00181
1477,0.01388,-0.00386,0.00111
1478,0.01309,-0.00313,-0.00044
1479,0.01385,-0.00346,-0.00112
1480,0.01334,-0.00207,-0.00447
1481,0.01426,-0.00149,-0.00153
1482,0.01467,-0.00136,0.00201
1483,0.01178,-0.0016,-0.00151
1484,0.01398,-0.00319,-0.00343
1485,0.01245,-0.00244,-0.00493
1486,0.01281,-0.00162,-0.00789
1487,0.01206,-0.00192,-0.00991
1488,0.01287,-0.0014,-0.00934
1489,0.01175,-0.00248,-0.00363
1490,0.01215,-0.00229,-0.00482
1491,0.01303,-0.00383,0.0012
1492,0.01305,-0.00313,0.0007
1493,0.01361,-0.00172,-0.00031
1494,0.01493,-0.00169,0.0027
1495,0.01445,-0.00186,0.00507
1496,0.01456,-0.00168,0.00883
1497,0.01551,-0.00201,0.00645
1498,0.01612,-0.00221,0.00709
1499,0.01543,-0.00248,0.01009
1500,0.01482,-0.00349,0.00637
1501,0.01604,-0.0031,0.00473
1502,0.01608,-0.00228,0.00725
1503,0.017,-0.0022,0.00658
1504,0.01761,-0.00187,0.00733
1505,0.01784,-0.00132,0.00417
1506,0.01762,-0.00319,0.00528
1507,0.01683,-0.00331,-0.0019
1508,0.01763,-0.0044,-0.00025
1509,0.01879,-0.00315,0.00307
1510,0.01706,-0.00322,0.00074
1511,0.0179,-0.00461,0.00586
1512,0.01953,-0.0063,0.00758
1513,0.01936,-0.00683,0.00033
1514,0.01957,-0.00698,-0.00273
1515,0.02039,-0.00826,-0.00155
1516,0.02144,-0.00775,-0.00281
1517,0.02321,-0.00889,0.00099
1518,0.022,-0.00899,-0.00624
1519,0.02209,-0.00707,-0.00305
1520,0.02364,-0.00873,-0.00587
1521,0.02443,-0.01006,-0.00457
1522,0.02524,-0.01019,0.0001
1523,0.02595,-0.01132,-0.00019
1524,0.02563,-0.01032,-0.00219
1525,0.02544,-0.01113,-0.0068
1526,0.02565,-0.01049,-0.0019
1527,0.02698,-0.00965,-0.00471
1528,0.02644,-0.00997,-0.00656
1529,0.02747,-0.00952,-0.00655
1530,0.02696,-0.00836,-0.00783
1531,0.02853,-0.00834,-0.00261
1532,0.02885,-0.0089,-0.00419
1533,0.02719,-0.00939,-0.00245
1534,0.02794,-0.0097,-0.00626
1535,0.02754,-0.00893,-0.01181
1536,0.02767,-0.00843,-0.00819
1537,0.0277,-0.00723,-0.00462
1538,0.02834,-0.00694,-0.00856
1539,0.02862,-0.00774,-0.00613
1540,0.02928,-0.00925,-0.00491
1541,0.02849,-0.00895,-0.00194
1542,0.02963,-0.0085,-0.00123
1543,0.03053,-0.00797,-0.00101
1544,0.03059,-0.00729,0.00041
1545,0.03103,-0.00788,0.00231
1546,0.03101,-0.00722,0.00255
1547,0.03086,-0.00772,0.00661
1548,0.02969,-0.00768,0.00693
1549,0.03003,-0.00661,0.00615
1550,0.02951,-0.00758,0.00313
1551,0.03165,-0.00814,0.00677
1552,0.0312,-0.00794,0.00541
