gps_week,dn(m),de(m),du(m)
1554,0.0,0.0,0.0
1555,0.00057,0.00069,0.0005
1556,-0.0003,6e-05,-0.00167
1557,0.00053,-0.00052,0.00172
1558,-0.00026,0.00048,-0.00135
1559,0.00127,0.00051,-0.00015
1560,0.00069,-0.00116,-0.00023
1561,0.00044,-0.00063,0.00272
1562,0.00205,-0.00046,0.00051
1563,0.0001,-0.00136,-0.0009
1564,0.0003,-0.00133,1e-05
1565,0.00024,-0.00161,0.00239
1566,0.00016,-0.00217,0.00164
1567,0.00138,-0.00246,0.00135
1568,0.00196,-0.00187,-0.00176
1569,0.00322,-0.00242,0.00202
1570,0.00382,-0.00261,0.00205
1571,0.00576,-0.00448,0.00904
1576,0.00561,-0.00422,0.00078
1577,0.00497,-0.00383,0.002
1578,0.00635,-0.00661,0.00611
1579,0.00584,-0.00478,0.00171
1580,0.00699,-0.00357,-0.00375
1581,0.00453,-0.00436,-0.00574
1582,0.00629,-0.00454,-0.00646
1583,0.0074,-0.00443,-0.00684
1584,0.00873,-0.00163,-0.0079
1585,0.00677,-0.00469,-0.00258
1586,0.0065,-0.00422,-0.00364
1587,0.00735,-0.00359,-0.00719
1588,0.00795,-0.00391,-0.00492
1589,0.0079,-0.00478,-0.00467
1590,0.00796,-0.00428,-0.00034
1591,0.00934,-0.00467,-0.00161
1592,0.0097,-0.00441,0.00045
1593,0.00851,-0.00452,-0.0029
1594,0.00861,-0.00435,0.00058
1595,0.00922,-0.00358,0.00229
1596,0.01009,-0.00383,5e-05
1597,0.00969,-0.00396,0.00144
1598,0.00921,-0.00372,0.00239
1599,0.01009,-0.00377,0.00247
1600,0.01123,-0.00406,-0.0003
1601,0.01101,-0.00331,0.00319
1602,0.01169,-0.00277,0.00654
1603,0.0123,-0.00326,0.00653
1604,0.01279,-0.00354,0.00629
1605,0.01252,-0.00364,0.00553
1606,0.01317,-0.00314,0.00558
1607,0.01331,-0.00217,0.00592
1608,0.01336,-0.00396,0.00075
1609,0.01365,-0.00376,0.00056
1610,0.0133,-0.00367,0.00097
1611,0.01394,-0.00289,-0.00126
1612,0.01301,-0.0043,-0.00012
1613,0.01295,-0.00414,0.00278
1614,0.01317,-0.00424,0.00495
1615,0.01337,-0.00469,0.00864
1616,0.01339,-0.00601,0.00355
1617,0.01404,-0.00475,0.00489
1618,0.01499,-0.00582,0.00509
1619,0.01569,-0.00635,0.00452
1620,0.01555,-0.00709,-0.00092
1621,0.01488,-0.00801,0.002
1622,0.01486,-0.00987,0.00425
1623,0.01804,-0.01058,0.00582
1624,0.01802,-0.00907,-0.00239
1625,0.01653,-0.00956,-0.00818
1626,0.01715,-0.00926,-0.00306
1627,0.01613,-0.00876,-0.00726
1628,0.01722,-0.01065,-0.00831
1629,0.0159,-0.00897,-0.00748
1630,0.01519,-0.01164,-0.00885
1631,0.01854,-0.01011,-0.00143
1632,0.0165,-0.01128,3e-05
1633,0.0175,-0.00934,-0.00625
1634,0.01825,-0.0091,-0.01064
1635,0.01956,-0.01132,-0.00625
1636,0.01716,-0.00984,-0.00909
1637,0.01819,-0.01041,-0.00749
1638,0.02064,-0.01046,-0.00749
1639,0.01935,-0.01137,-0.00688
1640,0.02056,-0.01001,-0.00743
1641,0.02074,-0.01106,-0.00749
1642,0.02145,-0.01184,-0.00394
1643,0.01977,-0.01136,-0.00433
1644,0.02158,-0.01128,-0.00325
1645,0.02027,-0.01105,-0.00285
1646,0.02058,-0.01031,-0.00177
1647,0.01945,-0.0103,0.0043
1648,0.02011,-0.00986,0.0018
1649,0.01952,-0.00903,-0.00348
1650,0.02084,-0.00915,0.00161
1651,0.01887,-0.0088,-0.00336
1652,0.02098,-0.00788,0.00106
1653,0.02108,-0.0073,-0.00016
1654,0.02182,-0.00706,-4e-05
1655,0.02197,-0.00837,0.00548
1656,0.02268,-0.00912,0.00275
1657,0.02408,-0.00733,0.00337
1658,0.0236,-0.00695,0.00275
1659,0.02487,-0.00685,0.00269
1660,0.02327,-0.00926,0.00442
1661,0.02296,-0.00898,0.00615
1662,0.02158,-0.00936,0.00216
1663,0.02412,-0.00934,-0.00355
1664,0.02491,-0.01023,-0.00112
1665,0.02426,-0.0107,-0.003
1666,0.02568,-0.00981,0.00019
1667,0.02566,-0.00989,0.00374
1668,0.02459,-0.0099,0.0
1669,0.02586,-0.00987,-0.00034
1670,0.02816,-0.00979,0.00043
1671,0.02846,-0.009,0.00198
1672,0.02913,-0.0111,-0.00247
1673,0.03043,-0.01056,0.00657
1674,0.03087,-0.00995,0.00061
1675,0.02999,-0.01025,0.00189
1676,0.03021,-0.01083,-0.00327
1677,0.02785,-0.01265,-0.00124
1678,0.02866,-0.01273,-0.00342
