gps_week,dn(m),de(m),du(m)
1718,0.0,0.0,0.0
1719,0.00164,-0.00085,0.00384
1720,0.00063,-0.0009,0.00152
1721,-0.0016,-1e-05,0.00557
1722,0.00065,0.0013,-0.00082
1723,0.00322,-0.00043,-0.00358
1724,0.00152,0.00063,-0.00137
1725,0.0021,0.00121,-0.00061
1726,0.00274,0.00082,-0.00373
1727,0.0039,0.00125,-0.00466
1728,0.00491,0.00131,-0.00245
1729,0.00474,0.00132,-0.00262
1730,0.00449,0.00147,-0.00544
1731,0.00359,0.00021,-0.00601
1732,0.0054,0.00291,-0.00749
1733,0.00494,0.00192,-0.00182
1734,0.00283,0.00264,-0.00626
1735,0.00219,0.0016,-0.00736
1736,0.00399,0.00287,-0.008
1737,0.0046,0.00324,-0.00826
1738,0.00432,0.00315,-0.00269
1739,0.00525,0.00317,-0.00766
1740,0.00467,0.00245,-0.00564
1741,0.00509,0.003,-0.00571
1742,0.0054,0.00288,-0.00636
1743,0.00522,0.00168,-0.00678
1744,0.005,0.00183,-0.00394
1745,0.00528,0.00334,-0.00579
1746,0.00552,0.00323,-0.00446
1747,0.00499,0.0022,-0.00617
1748,0.00525,0.00247,-0.00326
1749,0.00501,0.00375,-0.00249
1750,0.006,0.00293,-0.00265
1751,0.00665,0.00327,-0.00041
1752,0.00673,0.00418,-0.0003
1753,0.00743,0.00361,-0.00249
1754,0.00742,0.00303,-0.00211
1755,0.00752,0.00299,-0.00419
1756,0.00733,0.00141,-0.00304
1757,0.00807,0.00215,-0.00386
1758,0.00788,0.00165,-0.00272
1759,0.00706,0.00105,-0.00147
1760,0.00748,0.00195,-0.00019
1761,0.00807,0.00263,0.00097
1762,0.00879,0.00266,-0.00189
1763,0.01055,0.00269,-0.00096
1764,0.01048,0.00268,0.00046
1765,0.01143,0.00212,0.00143
1766,0.01101,0.00232,0.00173
1767,0.0106,0.00248,-0.00201
1768,0.01204,0.00218,8e-05
1769,0.01206,0.00286,0.00126
1770,0.01268,0.00363,-0.00072
1782,0.0099,0.00464,-0.00386
1783,0.01095,0.00552,-0.00635
1784,0.01042,0.0035,-0.00678
1785,0.01134,0.00601,-0.01239
1786,0.01106,0.00358,-0.00778
1787,0.01048,0.00625,-0.00704
1788,0.01042,0.00616,-0.0093
1789,0.01166,0.00643,-0.01353
1790,0.01249,0.00633,-0.0128
