gps_week,dn(m),de(m),du(m)
1217,0.0,0.0,0.0
1218,0.00115,-0.00115,-0.00226
1223,-0.00143,-0.00159,0.00474
1224,-0.00074,-0.00106,0.00705
1226,-0.0022,-0.00064,0.00519
1227,-2e-05,-0.0004,0.00373
1228,-8e-05,-0.00073,0.00358
1229,0.00036,0.00072,0.00281
1230,0.00043,0.00035,0.00595
1231,-0.00071,0.00049,0.00182
1232,0.00036,-7e-05,0.00339
1233,-0.00161,-0.00036,0.00609
1234,0.00039,-0.00021,0.00664
1235,-8e-05,-0.00096,0.01103
1236,0.00126,0.00013,0.01173
1237,0.00071,0.00048,0.02092
1238,0.00053,0.00012,0.01546
1239,0.00144,2e-05,0.01973
1240,0.00354,0.00012,0.00995
1241,0.0032,-0.00098,0.0168
1242,0.00173,-0.00197,0.01439
1244,0.00523,-0.00107,0.0126
1245,0.00391,0.0003,0.01346
1246,0.00478,5e-05,0.01419
1247,0.00553,-0.00014,0.01231
1248,0.00595,-0.00153,0.01269
1249,0.00594,-0.00174,0.01147
1250,0.00607,-0.00013,0.01334
1251,0.00738,-0.00101,0.00995
1252,0.00908,-0.00207,0.00892
1253,0.00933,-0.00099,0.01032
1254,0.00933,-0.00231,0.00937
1255,0.00885,-0.00339,0.01105
1256,0.00979,-0.00383,0.00612
1257,0.00835,-0.00183,0.0058
1258,0.00922,-0.00221,0.00658
1259,0.00972,-0.00293,0.00317
1260,0.01055,-0.00176,0.00322
1261,0.01184,-0.00392,-0.00187
1262,0.01173,-0.00154,0.00189
1263,0.01132,-0.00154,0.00173
1264,0.01218,-0.00311,0.00469
1265,0.01193,-0.0025,0.00068
1266,0.01118,-0.00329,0.00058
1267,0.013,-0.00262,-0.00181
1268,0.01337,-0.00332,-0.00271
1269,0.01286,-0.00385,0.00051
1270,0.01234,-0.00395,0.00144
1271,0.01261,-0.00401,-0.00019
1272,0.01287,-0.00451,0.00101
1273,0.01352,-0.00455,-0.00301
1274,0.01324,-0.00505,-0.00152
1275,0.01263,-0.004,-0.00568
1276,0.01272,-0.00441,-0.00055
1277,0.01317,-0.00385,-0.00073
1278,0.0123,-0.00357,0.00121
1279,0.0123,-0.00298,-0.00074
1280,0.01307,-0.00409,-0.01346
1281,0.01391,-0.00478,-0.00882
1282,0.01273,-0.00433,-0.00466
1283,0.01427,-0.00471,-0.01167
1284,0.01425,-0.00402,-0.01006
1285,0.01219,-0.00353,-0.00221
1286,0.01317,-0.00345,-0.00229
1289,0.01337,-0.00425,0.00417
1290,0.01352,-0.00479,0.00257
1291,0.01386,-0.00431,-0.00524
1292,0.01492,-0.00539,0.00363
1293,0.01563,-0.00667,-0.00024
1294,0.01646,-0.00627,0.00078
1295,0.0166,-0.00469,0.00865
1296,0.01694,-0.00605,0.00641
1297,0.01719,-0.00623,0.00221
1298,0.01852,-0.00467,0.00542
1299,0.01921,-0.0047,0.00477
1300,0.01873,-0.00517,0.00209
1301,0.01979,-0.00529,0.00232
1302,0.01959,-0.00689,0.00401
1303,0.02015,-0.00716,0.00258
1304,0.02117,-0.00753,0.00602
1305,0.02047,-0.00775,0.00572
1306,0.01992,-0.0076,0.00298
1307,0.02032,-0.00768,0.00512
1308,0.02076,-0.00598,-0.00095
1309,0.02299,-0.00613,0.00099
1310,0.0223,-0.00661,0.00565
1311,0.02269,-0.00707,0.00259
1312,0.02285,-0.0048,-0.00249
1328,0.02523,-0.00682,-0.00075
1329,0.02579,-0.00691,0.00253
1330,0.02585,-0.00617,-0.0001
1331,0.02595,-0.00539,0.00088
1332,0.02466,-0.00647,0.00126
1333,0.02567,-0.0068,0.00229
1334,0.0249,-0.00578,0.00059
1335,0.02407,-0.0063,-0.00127
1336,0.02487,-0.00641,-0.00221
1337,0.02396,-0.00626,0.00354
1338,0.02479,-0.00615,0.00609
1339,0.02543,-0.00788,0.00667
1340,0.02543,-0.0089,0.00514
1341,0.0263,-0.00803,0.00901
1342,0.02739,-0.00814,0.0065
1343,0.02748,-0.00824,0.00823
1344,0.02755,-0.00738,0.0105
1345,0.02712,-0.00768,0.01078
1346,0.02721,-0.00737,0.01556
1347,0.02921,-0.00817,0.01139
1348,0.03023,-0.00776,0.00926
1349,0.02913,-0.0068,0.01292
1350,0.02983,-0.00713,0.01095
1351,0.03043,-0.00579,0.00826
1352,0.03192,-0.00815,0.00781
1353,0.03171,-0.0083,0.00652
1354,0.0312,-0.00765,0.01112
1355,0.03184,-0.00828,0.00342
1356,0.03227,-0.00869,0.00709
1357,0.03393,-0.00875,0.00175
1358,0.03203,-0.00797,-0.00215
1359,0.0326,-0.00878,0.00258
1360,0.03286,-0.00812,0.00448
1361,0.03286,-0.00933,0.00538
1362,0.03394,-0.00956,0.00318
1363,0.03634,-0.00966,0.009
1364,0.03569,-0.01,0.00549
1365,0.03637,-0.01002,0.00511
1366,0.03768,-0.01087,0.00275
1367,0.03652,-0.01178,0.00013
1368,0.03724,-0.01224,-0.00021
1369,0.03737,-0.01182,-0.00253
1370,0.03716,-0.01033,0.00061
1371,0.03766,-0.01147,-0.00054
1372,0.0368,-0.01173,-0.001
1373,0.03652,-0.01139,-0.00131
1374,0.03694,-0.01232,-0.00148
1375,0.03696,-0.01161,0.00072
1376,0.03646,-0.01072,0.00077
1377,0.03686,-0.01098,0.00476
1378,0.03679,-0.01052,0.0044
1379,0.03632,-0.01053,0.00374
1380,0.03676,-0.00981,0.00326
1381,0.0366,-0.0096,0.00275
1382,0.0378,-0.00952,0.0032
1383,0.03626,-0.00937,0.00355
1384,0.03671,-0.01002,0.00157
1385,0.03545,-0.01031,0.00447
1386,0.03443,-0.00999,-0.00051
1387,0.03496,-0.0103,0.00427
1388,0.03443,-0.0106,0.00561
1389,0.03552,-0.01039,0.00562
1390,0.03599,-0.01115,0.01015
1391,0.03657,-0.01176,0.00583
