gps_week,dn(m),de(m),du(m)
1095,0.0,0.0,0.0
1096,-0.0034,0.0003,-0.00428
1097,-0.00171,-0.00138,-0.00889
1098,-0.00099,-0.0019,-0.0048
1101,0.00039,-0.00419,-0.00121
1102,0.00266,-0.00374,-0.01573
1103,-0.00132,-0.00129,-0.00613
1104,0.00255,-0.00301,0.00032
1105,0.0003,-0.00208,-0.00947
1106,-0.00011,-0.00371,-0.00819
1107,-0.00035,-0.00283,-0.01305
1108,0.00023,-0.0042,-0.01237
1109,0.00121,-0.00263,-0.0119
1110,0.00473,-0.00308,-0.01628
1111,0.00104,0.0014,-0.00252
1112,0.00541,-0.0012,-0.00945
1116,-0.00472,-0.00435,0.0112
1117,0.00253,-0.00204,-0.01346
1120,0.00494,-0.00358,-0.00872
1121,0.00541,-0.00238,-0.00614
1122,0.0037,-0.00342,-0.00475
1123,0.00302,-0.00275,-0.0032
1124,0.004,-0.0038,-0.00422
1127,0.0082,-0.00276,-0.00484
1128,0.00534,-0.00023,-0.00346
1129,0.00529,0.00069,-0.00673
1134,0.00652,-0.00082,-0.0101
1135,0.00816,-0.00037,-0.011
1136,0.00816,-0.00129,-0.00858
1137,0.00934,-0.00167,-0.01128
1138,0.00747,-0.00384,-0.00461
1139,0.00993,-0.00315,-0.00678
1140,0.00881,-0.00309,-0.0108
1141,0.01151,-0.00153,-0.01233
1142,0.00852,-0.00294,0.0012
1143,0.0061,-0.00507,0.00652
1149,0.01168,-0.00775,-0.00442
1150,0.00902,-0.00519,-0.00656
1151,0.00928,-0.00714,-0.0059
1152,0.01096,-0.00715,-0.01018
1153,0.01279,-0.00704,-0.0123
1154,0.01059,-0.00886,-0.01702
1156,0.01402,-0.00881,-0.02151
1157,0.01365,-0.00495,-0.00574
1184,0.01768,-0.00689,-0.01345
1185,0.02006,-0.0074,-0.00257
1186,0.01968,-0.00892,-0.00578
1187,0.01949,-0.00841,-0.00557
1190,0.02246,-0.00955,-0.00317
1191,0.02162,-0.00978,-0.00091
1192,0.0217,-0.00871,-0.00079
1193,0.02415,-0.00991,0.00231
1194,0.0236,-0.00878,0.00574
1195,0.02431,-0.00897,0.0048
1196,0.0214,-0.007,0.00456
1197,0.02322,-0.00748,-0.00047
1198,0.02292,-0.00857,0.00316
1199,0.02395,-0.00886,-0.00187
1200,0.02329,-0.00887,0.00122
1201,0.02334,-0.00759,-0.00121
1202,0.02248,-0.00956,0.00244
1203,0.02388,-0.00927,-0.00397
1204,0.02334,-0.0093,-0.00205
1205,0.02352,-0.01107,0.00295
1206,0.02396,-0.01193,-0.00227
1207,0.02543,-0.01189,-0.00159
1208,0.02483,-0.0112,-0.00075
1209,0.02433,-0.01241,-0.00779
1210,0.02459,-0.01227,-0.01028
1211,0.02456,-0.01429,-0.00775
1212,0.02543,-0.01204,-0.00706
1213,0.02527,-0.01192,-0.00693
1214,0.02714,-0.01301,-0.01481
1215,0.02611,-0.01412,-0.01511
1216,0.0273,-0.01213,-0.01626
1217,0.02815,-0.0127,-0.01694
1218,0.02802,-0.01294,-0.01903
1219,0.02778,-0.01367,-0.01377
1220,0.02637,-0.01444,-0.01118
1221,0.02655,-0.01305,-0.01103
1222,0.02608,-0.01472,-0.01036
1223,0.02596,-0.01464,-0.01344
1224,0.02672,-0.01388,-0.00857
1225,0.02613,-0.01365,-0.01056
1226,0.02671,-0.01262,-0.01033
1227,0.02814,-0.01165,-0.01362
1228,0.02736,-0.01185,-0.0137
1229,0.02852,-0.0114,-0.00924
1230,0.0286,-0.01224,-0.00677
1231,0.02779,-0.01213,-0.00846
1232,0.02922,-0.01254,-0.00982
1233,0.02806,-0.01366,-0.01007
1234,0.02834,-0.01171,-0.00896
1235,0.02906,-0.01317,-0.00671
1236,0.03104,-0.01269,-0.00615
1237,0.03134,-0.01202,-0.00461
1238,0.03153,-0.01179,-0.00726
1239,0.03043,-0.01314,-0.00176
1240,0.0322,-0.01352,-0.00325
1241,0.03164,-0.0135,-0.00695
1242,0.0324,-0.01284,-0.00509
1243,0.03454,-0.01193,-0.00205
1244,0.03567,-0.01496,-0.00341
1245,0.03347,-0.01189,-0.00121
1246,0.03472,-0.01262,0.00091
1247,0.03582,-0.01242,0.00301
1248,0.03545,-0.01584,0.00229
1249,0.03733,-0.01503,0.0055
1250,0.0366,-0.01642,0.00279
1251,0.03689,-0.01628,-7e-05
1252,0.03649,-0.01682,0.00087
