gps_week,dn(m),de(m),du(m)
1257,0.0,0.0,0.0
1258,0.00058,0.002,0.00235
1261,0.0052,0.00212,0.00753
1262,0.00261,0.00239,0.00184
1263,0.00376,0.00107,0.00298
1264,0.00324,0.00079,0.002
1265,0.00347,0.00219,0.00429
1266,0.00187,-0.00054,0.00379
1267,0.00472,7e-05,-0.0015
1268,0.0039,0.00207,-0.0043
1269,0.00552,0.00166,-0.00368
1270,0.00482,0.00115,-0.00348
1271,0.00412,0.00225,-0.01091
1272,0.00487,0.00057,-0.00953
1273,0.00814,-0.00262,0.00396
1274,0.00638,-0.00101,0.0
1275,0.00546,-0.00284,0.00761
1276,0.00613,-0.00102,0.00219
1277,0.00578,-0.00175,0.00274
1278,0.00664,-0.00037,-0.00628
1279,0.00789,-0.00259,0.00201
1280,0.00716,-0.00157,-0.00718
1281,0.00895,-0.00078,-0.00297
1282,0.00919,-0.00126,-0.00154
1283,0.0114,-0.00055,0.00213
1284,0.00904,0.00037,-0.00639
1285,0.00985,-0.00143,-0.00512
1286,0.01058,0.00297,-0.0078
1287,0.0086,0.00094,-0.0038
1288,0.00902,0.00103,-0.01086
1289,0.01051,0.00016,-0.00408
1290,0.01204,0.00151,0.00116
1291,0.01127,0.00173,-0.00722
1292,0.0102,-0.00017,0.00384
1293,0.01041,0.00038,-0.00379
1294,0.0115,2e-05,-0.0062
1295,0.014,0.00127,-0.00783
1296,0.01344,0.00084,-0.00496
1297,0.01173,-0.00056,-0.00618
1298,0.0106,0.0021,-0.00558
1299,0.01258,-0.00036,-0.00392
1300,0.01369,0.00227,-0.0051
1301,0.01327,0.00034,-0.00068
1302,0.01399,0.00076,-0.00141
1303,0.01396,0.00119,-0.00213
1305,0.0157,0.00114,-0.00671
1306,0.01759,0.00026,-0.00747
1307,0.01573,0.00029,-0.00018
1308,0.01696,0.00162,-0.00485
1309,0.01766,0.00159,-0.00216
1310,0.01768,0.00177,-0.00373
1311,0.01703,0.00235,-0.00397
1312,0.01573,0.00389,-0.00236
1313,0.01666,0.00318,-0.00537
1314,0.01667,0.00188,0.00283
1316,0.01848,0.00514,0.00698
1317,0.01823,0.00326,0.00534
1318,0.01955,0.00358,0.0012
1319,0.01924,0.00421,-0.00266
1321,0.01766,0.0047,-0.00341
1322,0.01912,0.00201,0.00453
1323,0.01726,0.00347,-0.00355
1324,0.01762,0.00126,-0.00432
1325,0.01926,-0.00049,0.00574
1326,0.01764,0.00274,-0.00327
1327,0.01989,0.00157,-0.00223
1328,0.02203,-0.00054,-0.00172
1329,0.02168,-0.00049,0.00154
1330,0.02004,0.00139,-0.00801
1331,0.0212,0.00183,-0.00951
1333,0.02393,-0.00076,0.00395
1334,0.02476,-0.0015,0.00822
1335,0.02146,6e-05,-0.00613
1336,0.0217,0.00049,-0.00709
1338,0.02335,0.00025,0.0058
1339,0.02276,0.00091,-0.00109
1340,0.02397,-0.00022,-0.0
1341,0.02396,0.00221,0.00172
1361,0.02913,0.00415,-0.00891
1362,0.02878,0.00634,-0.00498
1363,0.02843,0.00474,-0.00287
1364,0.02991,0.00515,0.00065
1365,0.02933,0.00627,-0.00342
1366,0.03179,0.00551,-0.00212
1367,0.03156,0.00662,-0.00688
1368,0.03075,0.00557,-0.0045
1369,0.03147,0.00525,-0.00429
