gps_week,dn(m),de(m),du(m)
1043,0.0,0.0,0.0
1044,0.0024,0.00103,0.0015
1045,0.00245,0.00089,0.00402
1046,-0.00067,0.00188,0.00579
1047,0.00243,0.00455,0.00858
1048,0.00268,0.0028,0.00364
1049,0.00322,0.00285,0.00258
1050,0.00527,0.00334,-0.0005
1052,0.00461,0.0033,-0.00576
1053,0.00402,0.00153,-0.00551
1054,0.00493,0.00214,-0.00691
1055,0.00404,0.00396,-0.01493
1056,0.00421,0.00104,-0.0136
1057,0.00347,0.00194,-0.00545
1058,0.00348,0.00294,-0.00547
1059,0.00422,0.00361,-0.00191
1060,0.00466,0.00246,-0.00219
1061,0.00487,0.00145,-0.00808
1062,0.00462,0.00169,-0.00196
1063,0.00469,0.00236,-0.00386
1064,0.00577,0.00298,-0.00042
1065,0.00524,0.00284,-0.00179
1066,0.00467,0.00114,-0.00028
1067,0.00514,0.00017,-0.00135
1068,0.00422,0.00196,0.00434
1069,0.00454,0.00084,0.00186
1070,0.00348,0.00165,0.00065
1071,0.00407,0.00206,0.00222
1072,0.00288,0.0012,0.00216
1073,0.003,0.00029,0.0087
1074,0.00301,-0.00024,0.00463
1075,0.00516,0.00118,0.00408
1076,0.00508,0.00097,0.00474
1077,0.00466,-3e-05,0.00728
1078,0.00764,0.00046,0.00993
1079,0.00814,0.00109,0.00358
1080,0.00709,0.00239,0.00381
1081,0.00737,0.00273,0.00679
1082,0.00711,0.00188,0.01058
1083,0.00828,0.00111,0.01067
1084,0.00809,0.00329,0.01789
1085,0.00606,0.00193,0.01345
1086,0.00914,0.0006,0.014
1087,0.01096,0.00164,0.0135
1088,0.01187,0.00088,0.01063
1089,0.01312,0.00181,0.01388
1090,0.01139,0.00068,0.01901
1091,0.01192,-0.00098,0.00694
1092,0.01258,0.00087,0.01089
1093,0.012,-0.00011,0.00413
1094,0.01251,-0.00147,0.00674
1095,0.01332,-0.00061,0.0015
1096,0.01242,-0.0022,0.00174
1097,0.01327,-0.00083,-0.00174
1098,0.01295,-0.00141,-0.0004
1099,0.01448,-0.00155,0.00142
1100,0.01649,-0.00326,0.00337
1101,0.01635,-0.00374,0.00068
1102,0.01711,-0.00542,-0.00277
1103,0.01311,-0.00433,-0.0073
1104,0.01663,-0.00356,-0.00472
1105,0.01507,-0.00092,-0.00694
1106,0.01562,-0.00227,-0.00511
1107,0.01313,-0.00056,-0.00893
1108,0.01505,-0.00172,-0.00286
1109,0.01577,-0.00026,-0.00326
1110,0.01908,-0.00144,-0.00533
1111,0.01664,0.00053,0.00056
1112,0.01728,3e-05,-0.00701
1113,0.01645,-0.00095,-0.00372
1114,0.01667,-0.00097,-0.00623
1115,0.01831,-0.00073,-0.00321
1116,0.01729,-0.00101,0.00071
1117,0.01781,-0.00262,-0.00322
1118,0.01862,-0.0026,0.00157
1119,0.01771,-0.00343,-0.00728
1120,0.01848,-0.00465,-0.00246
1121,0.01894,-0.00252,0.00202
1122,0.01871,-0.00376,0.00532
1123,0.01816,-0.00443,0.00534
1124,0.01771,-0.00479,0.00664
1125,0.01695,-0.00332,0.00505
1126,0.01768,-0.00415,0.00825
1127,0.01811,-0.00328,0.00877
1128,0.0167,-0.00395,0.00918
1129,0.01741,-0.00336,0.00884
1130,0.01752,-0.00462,0.01016
1131,0.01872,-0.0039,0.01353
1132,0.01753,-0.0031,0.00947
1133,0.01732,-0.00298,0.01449
1134,0.01769,-0.00322,0.00829
1135,0.01785,-0.00353,0.01095
1136,0.01837,-0.00533,0.01341
1137,0.01973,-0.00258,0.01202
1138,0.01935,-0.00461,0.01616
1139,0.02044,-0.00449,0.005
1140,0.02049,-0.00542,0.00934
1141,0.02231,-0.00706,0.00572
1142,0.02134,-0.00628,0.00698
1143,0.02191,-0.00471,0.00928
1144,0.02266,-0.00514,0.00445
1145,0.02431,-0.00643,0.00467
1146,0.02262,-0.00702,0.00212
1147,0.02366,-0.00632,0.00251
1148,0.02345,-0.00613,0.00143
1149,0.02611,-0.00742,-0.00553
1150,0.02389,-0.00597,-0.00397
1151,0.02654,-0.00649,-0.00284
1152,0.02831,-0.00692,-0.00088
1153,0.02905,-0.00649,-0.0048
1154,0.02707,-0.00638,-0.00406
1155,0.02661,-0.0034,-0.00863
1156,0.02678,-0.00395,-0.00771
1157,0.02722,-0.0035,-0.00657
1158,0.02819,-0.00485,-0.00151
1159,0.02881,-0.00388,-0.00211
1160,0.02898,-0.00423,-0.01076
1161,0.02919,-0.00523,-0.00237
1162,0.02864,-0.00339,-0.00052
1163,0.02936,-0.00505,-0.00624
1164,0.03036,-0.00553,-0.00646
1165,0.02961,-0.00732,-0.00421
1166,0.03115,-0.00687,-0.00046
1167,0.0303,-0.00845,-0.00996
1168,0.02937,-0.00842,-0.00519
1169,0.02924,-0.00568,-0.00591
1170,0.03068,-0.00647,-0.00057
1171,0.02953,-0.0068,-0.00365
1172,0.03019,-0.00698,-0.00104
1173,0.03071,-0.00728,0.00247
1174,0.02931,-0.0079,0.00188
1175,0.02833,-0.00711,0.0041
1176,0.02917,-0.00806,0.0058
1177,0.02903,-0.00801,0.0054
1178,0.03052,-0.00813,0.00957
1179,0.03123,-0.0076,0.0082
1180,0.03003,-0.00821,0.00827
1181,0.02975,-0.00739,0.0116
1182,0.029,-0.00706,0.00868
1183,0.029,-0.00614,0.01187
1184,0.03018,-0.00875,0.01301
1185,0.03085,-0.00748,0.01296
1186,0.03131,-0.00902,0.01178
1187,0.0314,-0.0086,0.01048
1188,0.0326,-0.00902,0.02013
1189,0.03362,-0.01004,0.01827
1190,0.0353,-0.00943,0.01815
1191,0.03415,-0.01037,0.01047
1192,0.03391,-0.01063,0.00861
1193,0.03603,-0.00913,0.01217
1194,0.03619,-0.00695,0.02113
1195,0.03766,-0.00728,0.01769
1196,0.03457,-0.00823,0.0055
1197,0.03473,-0.00782,-0.00014
1198,0.03335,-0.01369,0.00273
1201,0.03591,-0.00736,0.00877
1202,0.03815,-0.00786,0.01045
1203,0.04001,-0.00903,0.00011
1204,0.03909,-0.00889,-0.00123
1205,0.03963,-0.00882,0.00735
1206,0.03908,-0.00894,-0.00302
1207,0.03946,-0.00889,-0.00613
1208,0.04034,-0.00763,-0.00391
1209,0.03917,-0.00818,-0.00799
1210,0.03995,-0.00814,-0.00773
1211,0.04094,-0.00759,-0.00706
1212,0.04175,-0.00671,-0.00726
1213,0.04037,-0.00751,-0.00914
1214,0.04321,-0.00685,-0.0104
1215,0.04089,-0.00834,-0.00943
1216,0.04101,-0.00906,-0.01217
1217,0.04255,-0.00948,-0.01303
1218,0.04285,-0.01043,-0.01312
1219,0.04378,-0.00944,-0.00333
1220,0.04262,-0.00944,-0.00487
1221,0.04245,-0.00963,-0.00016
1222,0.04168,-0.009,0.00381
1223,0.04167,-0.01078,-0.00165
1224,0.04196,-0.00926,0.00332
1225,0.04111,-0.00981,0.00668
1226,0.04108,-0.00998,0.00523
1227,0.04195,-0.0097,0.00214
1228,0.04156,-0.01049,0.00488
1229,0.0424,-0.01023,0.00279
1230,0.04318,-0.011,0.00962
1231,0.04266,-0.01213,0.00483
1232,0.04388,-0.01201,0.00658
1233,0.04271,-0.01146,0.0041
1234,0.04204,-0.01072,0.00813
1235,0.04199,-0.01075,0.00798
1236,0.0443,-0.01128,0.00865
1237,0.04313,-0.01221,0.01056
1238,0.0439,-0.01144,0.00914
1239,0.04425,-0.01103,0.01535
1240,0.04691,-0.01198,0.01118
1241,0.0461,-0.01143,0.01912
1242,0.04596,-0.01367,0.01144
1243,0.04902,-0.01085,0.00863
1244,0.04897,-0.01259,0.01118
1245,0.04938,-0.01166,0.00582
1246,0.04872,-0.01306,0.01006
1247,0.04937,-0.0115,0.01097
1248,0.0476,-0.01083,0.01437
1249,0.04722,-0.0121,0.01293
1250,0.0475,-0.01191,0.0159
1251,0.0499,-0.01128,0.0119
1252,0.05116,-0.01294,0.00376
1253,0.0508,-0.0121,0.00234
1254,0.05275,-0.01203,0.01201
1255,0.05207,-0.01243,0.00361
1256,0.05244,-0.01242,-0.00299
1257,0.0513,-0.01122,-0.00262
1258,0.05242,-0.01156,-0.00331
1259,0.05245,-0.01217,-0.00622
1260,0.05355,-0.00997,-0.00906
1261,0.05316,-0.01281,-0.01077
1262,0.05355,-0.01037,-0.01054
1263,0.0542,-0.01055,-0.00778
1264,0.05537,-0.01096,-0.00633
1265,0.05453,-0.0105,-0.00546
1266,0.05498,-0.01128,-0.00559
1267,0.05621,-0.01193,-0.00668
1268,0.05541,-0.01256,-0.00963
1269,0.05511,-0.01287,-0.01259
1270,0.05565,-0.0126,-0.00933
1271,0.05489,-0.01221,-0.00455
1272,0.05481,-0.01201,-0.00582
1273,0.05566,-0.0119,-0.00575
1274,0.05486,-0.01258,-0.0042
1275,0.0542,-0.01235,-0.0034
1276,0.05454,-0.01281,-3e-05
1277,0.05473,-0.01272,-0.00032
1278,0.055,-0.01307,0.00296
1279,0.05497,-0.01277,0.0008
1280,0.05541,-0.01382,-0.00111
1281,0.05687,-0.01441,-0.00367
1282,0.05635,-0.01424,0.00023
1283,0.05708,-0.01381,-0.00023
1284,0.05646,-0.01397,0.00235
1285,0.05546,-0.01526,0.00154
1286,0.05528,-0.01602,0.00261
1287,0.05507,-0.0145,0.00554
1288,0.05506,-0.01595,0.00058
1289,0.05565,-0.01479,0.00594
1290,0.05684,-0.01543,0.00377
1291,0.05743,-0.01477,0.00311
1292,0.05733,-0.017,0.00828
1293,0.05955,-0.01626,0.00726
1294,0.05891,-0.0152,0.00655
1295,0.05946,-0.01479,0.00963
1296,0.06068,-0.01463,0.0079
1297,0.05987,-0.01538,0.00413
1298,0.0602,-0.01288,0.00618
1299,0.0599,-0.01341,0.01201
1300,0.0608,-0.01231,0.00661
1301,0.0609,-0.01412,0.00692
1302,0.06066,-0.01448,0.00929
1303,0.06239,-0.01415,0.0056
1304,0.06275,-0.01549,0.00466
1305,0.06271,-0.01592,0.00367
1306,0.06152,-0.01579,0.00182
1307,0.06255,-0.01442,0.00492
1308,0.06273,-0.01387,-0.00224
1309,0.06401,-0.01493,0.00295
1310,0.06499,-0.01494,0.00113
1311,0.06431,-0.016,0.00203
1312,0.06334,-0.01524,-0.00772
1316,0.0662,-0.01364,-0.00498
1317,0.06707,-0.01546,-0.00895
1318,0.06691,-0.0152,-0.00591
1319,0.06862,-0.01576,-0.00326
1320,0.06852,-0.01597,-0.00513
1321,0.06716,-0.01417,-0.00015
1322,0.06722,-0.01413,-0.00147
1323,0.06734,-0.01565,-0.00155
1324,0.06736,-0.01597,-0.00277
1325,0.06625,-0.01614,-0.00317
1326,0.06603,-0.01623,-0.00131
1327,0.06619,-0.01682,-0.0011
1328,0.0665,-0.0161,-0.00117
1329,0.06638,-0.01587,-5e-05
1330,0.06722,-0.01548,-0.00072
1331,0.06675,-0.01499,0.0037
1332,0.06667,-0.01553,0.00396
1333,0.0671,-0.01574,0.00338
1334,0.06595,-0.01495,0.00313
1335,0.06553,-0.01603,0.00251
1336,0.06525,-0.01663,0.00084
1337,0.0651,-0.01731,0.00288
1338,0.06645,-0.01727,0.00416
1339,0.06752,-0.01794,0.00993
1340,0.06755,-0.01826,0.00534
1341,0.06856,-0.01891,0.00675
1342,0.06879,-0.01836,0.0056
1343,0.06946,-0.01753,0.01096
1344,0.06944,-0.01603,0.01805
1345,0.06865,-0.01778,0.01746
1346,0.06931,-0.01666,0.00633
1347,0.0714,-0.01751,0.0118
1348,0.07155,-0.01506,0.00987
1349,0.07224,-0.01552,0.00728
1350,0.0703,-0.01485,0.01605
1351,0.07018,-0.01522,0.01311
1352,0.07222,-0.01644,0.00655
1353,0.07032,-0.01601,0.01462
1354,0.07285,-0.01585,0.00791
1355,0.07277,-0.01609,0.00635
1356,0.07299,-0.01625,0.00424
1357,0.07366,-0.01615,0.00387
1358,0.07363,-0.01558,0.00225
1359,0.07389,-0.01591,0.00345
1360,0.076,-0.01662,-0.00072
1361,0.07611,-0.01744,-0.00824
1362,0.07743,-0.0184,-0.01777
1363,0.078,-0.01764,-0.01276
1364,0.07715,-0.01756,-0.01078
1365,0.07773,-0.01734,-0.01087
1366,0.07899,-0.01738,-0.00992
1367,0.07707,-0.0193,-0.0132
1368,0.07848,-0.01781,-0.01394
