gps_week,dn(m),de(m),du(m)
1512,0.0,0.0,0.0
1513,0.0008,0.0007,0.00141
1514,0.00144,-1e-05,0.00164
1515,0.00248,0.00033,0.00136
1516,0.00306,3e-05,-0.00118
1517,0.00378,0.00011,-0.00303
1518,0.00241,0.00029,-0.00715
1519,0.00401,-0.00053,-0.00498
1520,0.00452,-0.00158,-0.00743
1521,0.00465,-0.00221,-0.00737
1522,0.00652,-0.00195,-0.00962
1523,0.00754,-0.00218,-0.00695
1524,0.00683,-0.00161,-0.00795
1525,0.00575,-0.00153,-0.00587
1526,0.00712,-0.00184,-0.01052
1527,0.0068,-0.00078,-0.00967
1528,0.00752,-0.00207,-0.01317
1529,0.00794,-0.00103,-0.01096
1530,0.00677,-0.00039,-0.00733
1531,0.00867,-0.00015,-0.00639
1532,0.00945,-0.00058,-0.00752
1533,0.00875,-0.00148,-0.00933
1534,0.00844,-0.00131,-0.01618
1535,0.00981,-0.0009,-0.0174
1536,0.00753,-0.00133,-0.01484
1537,0.00724,-0.00103,-0.01586
1538,0.00735,-0.00041,-0.01289
1539,0.00733,-0.00199,-0.01448
1540,0.0086,-0.00217,-0.01801
1541,0.00792,-0.00259,-0.01265
1542,0.00824,-0.00172,-0.01486
1543,0.00951,-0.00178,-0.0107
1544,0.00889,-0.00015,-0.01059
1545,0.00859,-0.00105,-0.00867
1546,0.00771,-0.00043,-0.01015
1547,0.00705,-0.00013,-0.00511
1548,0.00762,0.00045,-0.00942
1549,0.00753,0.00058,-0.00541
1550,0.0077,5e-05,-0.00766
1551,0.00934,-0.00014,-0.01301
1552,0.0088,-2e-05,-0.00514
1553,0.00945,-0.0001,-0.00889
1554,0.00985,-0.00086,-0.00943
1555,0.01021,-0.00104,-0.00734
1556,0.00753,-0.00076,0.00024
1557,0.00957,-0.00123,-0.00731
1558,0.00843,-0.00124,-0.0035
1559,0.00838,-0.00209,-0.00913
1560,0.00791,-0.00394,-0.01558
1561,0.0101,-0.00345,-0.017
1562,0.01028,-0.00331,-0.02084
1563,0.0105,-0.00298,-0.0136
1564,0.01168,-0.00305,-0.01568
1565,0.01162,-0.00324,-0.01181
1566,0.01183,-0.00351,-0.01975
1567,0.01377,-0.0024,-0.0206
1568,0.01441,-0.00376,-0.01963
1569,0.01382,-0.00299,-0.01373
1570,0.01344,-0.00449,-0.01412
1571,0.01525,-0.00363,-0.02199
1572,0.01496,-0.0059,-0.01241
