gps_week,dn(m),de(m),du(m)
1675,0.0,0.0,0.0
1676,-0.00063,-0.00275,0.00269
1677,-0.00173,-0.00368,0.00282
1678,-0.00095,-0.00223,-0.00048
1679,0.00014,-0.00251,0.00363
1680,0.00035,-0.0008,0.00143
1681,-0.00446,-0.0016,0.0148
1682,7e-05,-0.00203,0.00465
1683,-0.00061,-0.00275,0.0007
1684,-0.00079,-0.00364,-0.0016
1685,-0.00046,-0.00257,-0.00138
1686,-0.00111,-0.00301,-0.00659
1687,-0.00073,-0.00276,-0.00245
1688,-0.00015,-0.00292,-0.00716
1689,-0.00146,-0.00323,-0.011
1690,-0.00085,-0.00516,-0.0044
1691,-0.0005,-0.00483,-0.00293
1692,-0.00071,-0.00441,-0.00225
1693,0.00018,-0.00568,-0.00318
1694,0.00068,-0.00473,-0.00081
1695,-0.00041,-0.00455,-0.00071
1696,-0.00106,-0.00466,-0.00097
1697,-0.00074,-0.00518,0.00064
1698,-0.00172,-0.00318,0.00379
1699,-0.00126,-0.00327,0.00158
1700,-0.00104,-0.00278,0.00465
1701,-0.00055,-0.00354,0.00378
1702,-0.00062,-0.00265,0.00329
1703,-0.00035,-0.00391,0.00457
1704,-0.0005,-0.00372,0.00626
1705,0.0009,-0.00323,0.01031
1706,0.00143,-0.00372,0.01216
1707,7e-05,-0.00303,0.00862
1708,0.00159,-0.00395,0.0153
1709,0.00113,-0.00419,0.01336
1710,-6e-05,-0.00358,0.01581
1711,0.00143,-0.00445,0.01962
1712,0.00083,-0.00445,0.01437
1713,0.00209,-0.00456,0.01544
1714,0.00319,-0.00563,0.01718
1715,0.00264,-0.00658,0.01774
1716,0.00466,-0.00596,0.01707
1717,0.00658,-0.00718,0.01476
1718,0.00489,-0.00775,0.0191
1719,0.00744,-0.00658,0.0168
1720,0.00725,-0.00626,0.01417
1721,0.00624,-0.00721,0.014
1722,0.00635,-0.00591,0.01237
1723,0.00846,-0.00741,0.00199
1724,0.00906,-0.00656,0.00743
1725,0.01007,-0.00547,0.00826
1726,0.01049,-0.00701,0.00755
1727,0.01066,-0.00782,0.00822
1728,0.01104,-0.00693,0.00639
1729,0.01175,-0.00748,0.0019
1730,0.01317,-0.00579,-0.00329
1731,0.01065,-0.0064,0.00568
1732,0.01192,-0.00612,-0.00049
1733,0.01194,-0.00655,-0.00177
1734,0.01088,-0.00625,-0.00669
1735,0.01164,-0.00643,-0.00691
1736,0.01226,-0.00604,-0.01093
1737,0.01165,-0.0062,-0.01152
1738,0.0115,-0.00756,-0.00894
1739,0.01201,-0.00757,-0.00553
1740,0.01158,-0.00846,-0.0032
1741,0.01243,-0.00923,-0.00063
1742,0.01377,-0.00878,-0.00311
1743,0.014,-0.00906,-0.00314
1744,0.01405,-0.00919,0.00059
1745,0.01486,-0.00961,0.00623
1746,0.01497,-0.00859,0.00663
1747,0.01417,-0.00841,0.00423
1748,0.01331,-0.00723,0.00614
1749,0.01389,-0.00757,0.00608
1750,0.01408,-0.00883,0.00701
1751,0.0146,-0.00797,0.00341
1752,0.01385,-0.00817,0.00668
1753,0.01356,-0.00796,0.00964
1754,0.01388,-0.00737,0.00716
1755,0.01343,-0.00859,0.00821
1756,0.01348,-0.00763,0.01227
1757,0.0143,-0.00716,0.01137
1758,0.0138,-0.00813,0.01309
1759,0.01364,-0.00876,0.01046
1760,0.01347,-0.00857,0.01538
1761,0.01373,-0.00663,0.01221
1762,0.01307,-0.00892,0.01828
1763,0.01571,-0.00855,0.00941
1764,0.01534,-0.00853,0.01185
1765,0.0172,-0.00965,0.01577
1766,0.01877,-0.01141,0.01902
1767,0.0185,-0.01104,0.0153
1768,0.0191,-0.01029,0.00676
1769,0.02059,-0.0106,0.01336
1770,0.02214,-0.00848,0.02111
1771,0.02145,-0.01,0.02404
1772,0.02174,-0.00867,0.00928
1773,0.02312,-0.00965,0.01743
1774,0.0235,-0.01109,0.01063
1775,0.0232,-0.01142,0.01617
1776,0.0243,-0.01061,0.01036
1777,0.02474,-0.01036,0.01276
1778,0.02448,-0.01063,0.01539
1779,0.02561,-0.01165,0.01417
1780,0.02531,-0.00923,0.01094
1781,0.02698,-0.01059,0.007
1782,0.02502,-0.01086,0.00643
1783,0.02496,-0.01109,0.00551
1784,0.02473,-0.01241,0.00402
1785,0.02505,-0.01,-0.00353
1786,0.02344,-0.01132,-0.00082
1787,0.02384,-0.0116,0.00182
1788,0.0242,-0.01277,-0.0018
1789,0.02478,-0.01204,0.00055
1790,0.02522,-0.01265,0.00211
1791,0.02608,-0.01134,2e-05
1792,0.02628,-0.01261,0.00337
1793,0.02845,-0.01298,0.00663
1794,0.02829,-0.01269,0.00608
1795,0.02767,-0.01301,0.01009
1796,0.02653,-0.01342,0.00675
1797,0.02596,-0.01253,0.0076
1798,0.02579,-0.01079,0.01165
1799,0.02504,-0.012,0.01231
1800,0.02691,-0.01141,0.0094
1801,0.02528,-0.01125,0.00948
1802,0.02523,-0.01175,0.01089
1803,0.02648,-0.0113,0.00999
1804,0.02653,-0.01127,0.011
1805,0.02616,-0.01162,0.01322
1806,0.02611,-0.01116,0.01068
1807,0.02641,-0.01124,0.01558
1808,0.02663,-0.01075,0.01668
1809,0.02584,-0.01007,0.0139
1810,0.02578,-0.01164,0.01721
1811,0.02654,-0.01216,0.02032
1812,0.02714,-0.01134,0.01977
1813,0.02798,-0.01237,0.0168
1814,0.02657,-0.01289,0.02027
1815,0.02736,-0.01329,0.02162
1816,0.02802,-0.01532,0.02067
1817,0.03063,-0.01537,0.01831
1818,0.03128,-0.01474,0.02151
1819,0.03274,-0.01447,0.0187
1821,0.03433,-0.01296,0.016
1822,0.03398,-0.01359,0.01887
1823,0.03293,-0.01404,0.01451
1824,0.03464,-0.01458,0.01304
1825,0.03529,-0.01492,0.01502
1826,0.03546,-0.01592,0.01825
1827,0.03728,-0.01488,0.02126
1828,0.03749,-0.01557,0.01419
1829,0.03599,-0.01592,0.02113
1830,0.03577,-0.01546,0.0159
1831,0.03652,-0.01382,0.01525
1832,0.03753,-0.01373,0.0112
1833,0.038,-0.01496,0.00905
1834,0.03776,-0.01582,0.00961
1835,0.03849,-0.01489,0.00767
1836,0.03789,-0.01559,0.00203
1837,0.03636,-0.013,0.00721
1838,0.03682,-0.01453,0.00774
1839,0.03731,-0.01397,0.00639
1840,0.03663,-0.01522,0.00679
1841,0.03821,-0.01544,0.00671
1842,0.03953,-0.01434,0.00322
1843,0.04132,-0.01578,0.00804
1844,0.04218,-0.01685,0.00688
1845,0.04199,-0.01639,0.00529
1846,0.04243,-0.01537,0.00878
1847,0.04272,-0.01543,0.00426
1848,0.04127,-0.01493,0.00817
1849,0.04012,-0.01402,0.00919
1850,0.04025,-0.01507,0.00346
1851,0.04044,-0.01546,0.00694
1852,0.03965,-0.01621,0.00712
1853,0.03997,-0.01544,0.0052
1854,0.03938,-0.01508,0.00699
1855,0.03847,-0.01568,0.00839
1856,0.03886,-0.01498,0.01047
1857,0.0396,-0.01562,0.00831
1858,0.03889,-0.01413,0.01081
1859,0.03869,-0.01536,0.01048
1860,0.03955,-0.01474,0.01005
1861,0.04013,-0.01587,0.01194
1862,0.03957,-0.01499,0.01133
1863,0.04029,-0.01635,0.01599
1864,0.0405,-0.01652,0.01681
1865,0.04102,-0.01832,0.01598
1866,0.04072,-0.01802,0.01879
1867,0.04205,-0.01664,0.01986
1868,0.04202,-0.01752,0.01793
1869,0.0451,-0.01864,0.01971
1870,0.04334,-0.01726,0.02006
1871,0.04426,-0.01766,0.0185
1872,0.04554,-0.01786,0.01959
1873,0.04538,-0.01824,0.014
1874,0.04547,-0.01813,0.01187
1875,0.04632,-0.01789,0.01105
1876,0.04801,-0.01843,0.00856
1877,0.04784,-0.01869,0.01107
1878,0.04745,-0.01865,0.0129
1879,0.04702,-0.01843,0.00929
1880,0.05042,-0.01868,0.00766
1881,0.05058,-0.01747,0.00131
1882,0.05042,-0.01727,0.00648
1883,0.04917,-0.01916,0.0078
1884,0.04975,-0.01832,0.00373
1885,0.05158,-0.01669,0.0016
1886,0.05098,-0.01829,0.00073
1887,0.05148,-0.01696,0.00052
1888,0.05154,-0.01946,-0.00743
1889,0.05038,-0.01958,-0.00593
1890,0.05022,-0.01825,-0.00506
1891,0.05006,-0.01833,-0.00538
1892,0.05232,-0.02052,0.00098
1893,0.05302,-0.01895,0.00296
1894,0.05364,-0.01877,-0.00366
1895,0.0531,-0.01879,-0.00175
1896,0.05299,-0.01894,-0.00062
1897,0.05347,-0.01833,-0.00106
1898,0.05195,-0.02038,-0.00251
1899,0.05368,-0.01996,0.00125
1900,0.0529,-0.02001,-0.00474
1901,0.05112,-0.02058,-0.00378
1902,0.0514,-0.02095,-0.00151
1903,0.0518,-0.02059,-0.00284
1904,0.05157,-0.01975,-0.00254
1905,0.052,-0.02093,0.00065
1906,0.05211,-0.01983,-0.00537
1908,0.05131,-0.01995,0.00019
1909,0.05185,-0.01946,0.00178
1910,0.05271,-0.01958,0.0069
1911,0.05202,-0.01863,0.00125
1912,0.05196,-0.01983,0.00286
1913,0.05104,-0.02083,0.00118
1914,0.05245,-0.02163,0.00538
1915,0.05325,-0.02159,0.00673
1916,0.05401,-0.02161,0.00968
1917,0.05591,-0.02125,0.01213
1918,0.05533,-0.02085,0.00941
1919,0.05524,-0.0216,0.01276
1920,0.05707,-0.02008,0.0129
1921,0.05558,-0.02124,0.01113
1922,0.0574,-0.02172,0.01325
1923,0.05671,-0.01929,0.01164
1924,0.05897,-0.02034,0.01429
1925,0.05832,-0.02036,0.01242
1926,0.05899,-0.02024,0.01367
1927,0.05849,-0.02031,0.00874
1928,0.05942,-0.02088,0.0068
1929,0.05922,-0.01998,0.01095
1930,0.05892,-0.01967,0.0099
1931,0.05996,-0.02018,0.0079
1932,0.05924,-0.01923,0.0043
1933,0.06063,-0.02006,0.0066
1934,0.05799,-0.02373,0.00728
1935,0.05819,-0.02135,0.00409
1936,0.05793,-0.02409,0.00065
1937,0.05745,-0.02433,0.00037
1938,0.05839,-0.02523,0.00391
1939,0.05956,-0.02272,0.00327
1940,0.06141,-0.02389,0.00034
1941,0.06032,-0.02354,0.00396
1942,0.05987,-0.02448,0.00339
1943,0.06135,-0.02497,0.0067
1944,0.06161,-0.02449,0.00577
1945,0.06329,-0.02503,0.00222
1946,0.06108,-0.0252,0.00451
1947,0.06116,-0.02436,0.00377
