gps_week,dn(m),de(m),du(m)
1767,0.0,0.0,0.0
1768,-0.00125,0.00082,0.00474
1769,-0.00094,0.00204,-0.00066
1770,-0.00088,0.00343,-0.00161
1771,-7e-05,0.00188,0.00158
1772,6e-05,0.00195,0.0021
1773,0.00095,0.00238,0.00145
1774,0.00111,0.00359,0.00015
1775,0.00141,0.00318,-0.00479
1776,0.00244,0.00174,-0.00559
1777,0.00264,0.00356,-0.00611
1778,0.00375,0.002,-0.00353
1779,0.00369,0.00237,-0.0108
1780,0.00193,0.00281,-0.01154
1781,0.00232,0.00346,-0.00759
1782,0.00125,0.00208,-0.0094
1783,0.00098,0.00272,-0.00571
1784,0.00025,0.00107,-0.00813
1785,0.00081,0.00307,-0.01438
1786,0.00038,0.001,-0.00968
1787,0.00074,0.00335,-0.01038
1788,0.00047,0.00355,-0.01178
1789,0.00148,0.00436,-0.01224
1790,0.00236,0.00438,-0.01179
1791,0.00321,0.00625,-0.01373
1792,0.00316,0.0047,-0.00946
1793,0.00342,0.00488,-0.01234
1794,0.00318,0.00444,-0.00858
1795,0.00338,0.00329,-0.00848
1796,0.00259,0.00422,-0.00705
1797,0.0034,0.00456,-0.00325
1798,0.00398,0.00482,-0.00715
1799,0.00326,0.00435,-0.01041
1800,0.00349,0.00416,-0.00619
1801,0.00296,0.00495,-0.00503
1802,0.00396,0.00559,-0.00864
1803,0.00484,0.00444,-0.00926
1804,0.0048,0.00558,-0.00538
1805,0.00455,0.00651,-0.00744
1806,0.00573,0.00569,-0.00455
1807,0.00562,0.00585,-0.00578
1808,0.00481,0.00631,-0.0011
1809,0.00548,0.00598,-0.00038
1810,0.00613,0.00706,-0.00327
1811,0.00603,0.00703,-0.01308
1812,0.00805,0.00613,0.00251
1813,0.00864,0.00751,-0.005
1814,0.00871,0.00508,-0.00323
1815,0.00835,0.00739,-0.00449
1816,0.00837,0.00583,0.00255
1817,0.00952,0.0053,-0.00131
1818,0.01064,0.008,-0.00428
1819,0.01137,0.00822,-0.00219
1820,0.01065,0.00941,-0.00221
1821,0.01143,0.00881,-0.00108
1822,0.01161,0.00882,-0.00264
1823,0.01113,0.00737,-0.00379
1824,0.01183,0.0111,-0.00157
1825,0.0119,0.00987,-0.00337
1826,0.01238,0.00949,0.00204
1827,0.01343,0.01012,-0.00782
1828,0.0135,0.00923,-0.00775
1829,0.01424,0.00746,-0.01176
1830,0.01221,0.0103,-0.0054
1831,0.01253,0.01015,-0.00933
1832,0.01464,0.00951,-0.0058
1833,0.01357,0.0101,-0.00865
1834,0.01386,0.01046,-0.00383
1835,0.01422,0.00905,-0.00621
1836,0.01448,0.01062,-0.00928
1837,0.01292,0.01021,-0.01387
1838,0.0122,0.01001,-0.01029
1839,0.01334,0.01171,-0.01137
1840,0.01221,0.0109,-0.01157
1841,0.01301,0.01011,-0.01129
1842,0.01396,0.01215,-0.01436
1843,0.01566,0.0127,-0.01473
1844,0.01481,0.01127,-0.01062
1845,0.01532,0.01154,-0.01121
1846,0.01611,0.01316,-0.0101
1847,0.01772,0.01461,-0.00613
1848,0.01537,0.01294,-0.00889
1849,0.01522,0.01378,-0.00269
1850,0.01501,0.01161,0.00136
1851,0.01506,0.01282,-0.00634
1852,0.01464,0.01346,-0.00923
1853,0.01576,0.01398,-0.00878
