gps_week,dn(m),de(m),du(m)
1744,0.0,0.0,0.0
1745,-0.0005,-0.00029,0.00444
1746,0.00074,0.00136,0.00589
1747,-0.00057,0.00096,0.00724
1748,-0.00166,0.00073,0.00561
1749,-0.00106,0.0006,0.00911
1750,-0.00163,-0.00109,0.00755
1751,-0.00059,-0.00047,0.00782
1752,-0.00142,-0.00048,0.01142
1753,-0.00141,0.00047,0.00816
1754,-0.00172,0.00042,0.01039
1755,-0.00086,0.00012,0.00946
1756,-0.0012,0.0004,0.00971
1757,-0.00056,-0.00029,0.01295
1758,0.0006,-0.00065,0.01271
1759,-0.00024,-0.0001,0.01489
1760,-0.00113,0.00084,0.01527
1761,0.0008,0.0035,0.01391
1762,0.0014,0.00123,0.01138
1763,0.00256,0.00129,0.01172
1764,0.00139,0.00133,0.01515
1765,0.0032,-0.00073,0.01147
1767,0.00506,-0.00307,0.01436
1768,0.00433,-0.00041,0.00932
1769,0.00591,-0.00195,0.01189
1770,0.00692,5e-05,0.00775
1771,0.00625,-3e-05,0.00393
1772,0.00804,0.00087,0.00382
1773,0.00866,-0.00017,0.00742
1774,0.00864,0.00033,0.00041
1775,0.00902,0.00015,-0.00153
1776,0.00913,-0.00043,0.00302
1777,0.00942,-0.00129,0.00247
1778,0.01135,-0.00235,0.00422
1779,0.01112,-0.00237,0.00303
1780,0.01124,-0.00091,0.00121
1781,0.01307,-0.00072,0.00192
1782,0.01032,-0.00054,-0.00267
1783,0.0106,-0.00021,-0.00357
1784,0.01268,-0.00162,-0.00779
1785,0.01113,-0.00117,-0.00864
1786,0.01192,-0.00162,-0.01242
1787,0.01283,-0.0021,-0.00342
1788,0.01138,-0.00293,-0.00966
1789,0.01147,-0.00193,-0.00739
1790,0.01178,-0.00318,-0.00701
1791,0.01308,-0.00191,-0.00844
1792,0.01286,-0.003,-0.00334
1793,0.01474,-0.0032,-0.00072
1794,0.01355,-0.00338,0.00118
1795,0.01295,-0.00486,0.00131
1796,0.01214,-0.00418,0.00311
1797,0.01083,-0.00323,0.00285
1798,0.01139,-0.00261,0.00587
1799,0.01068,-0.00325,0.00493
1800,0.0119,-0.00416,0.00436
1801,0.01057,-0.00391,0.0055
1802,0.00975,-0.00374,0.00681
1803,0.01088,-0.00421,0.00529
1804,0.01153,-0.00332,0.00571
1805,0.01135,-0.00321,0.00533
1806,0.01159,-0.00342,0.00679
1807,0.01236,-0.00206,0.00624
1808,0.01137,-0.00277,0.00966
1809,0.01244,-0.00205,0.01139
1810,0.01272,-0.00246,0.01087
1811,0.0126,-0.00256,0.01373
1812,0.01398,-0.00167,0.01392
1813,0.01459,-0.00285,0.01088
1814,0.0147,-0.00457,0.01341
1815,0.01351,-0.00506,0.01758
1816,0.01424,-0.00596,0.01841
1817,0.01561,-0.00695,0.01974
1818,0.01848,-0.00686,0.01789
1819,0.02001,-0.0051,0.01134
1820,0.01808,-0.00596,0.01206
1821,0.01842,-0.00162,0.01145
1822,0.01852,-0.0046,0.00974
1823,0.01978,-0.00459,0.01269
1824,0.02048,-0.00408,0.00788
1825,0.0223,-0.00729,0.00827
1826,0.02117,-0.00649,0.0084
1827,0.02263,-0.00536,0.01294
1828,0.02309,-0.00608,0.00813
1829,0.02155,-0.0064,0.00825
1830,0.02039,-0.00622,0.00482
1831,0.02353,-0.00374,0.00203
1832,0.02459,-0.00581,0.00258
1833,0.02571,-0.00676,0.00167
1834,0.02457,-0.00637,-0.00179
1835,0.02397,-0.00721,-0.00175
1836,0.02488,-0.00628,-0.00604
1837,0.02312,-0.00601,-0.0089
1838,0.02448,-0.0096,-0.00558
1839,0.02224,-0.00574,0.00141
1840,0.02304,-0.00595,-0.00857
1841,0.02469,-0.00618,-0.00678
1842,0.02632,-0.00553,-0.00353
1843,0.02724,-0.00709,-0.01015
1844,0.02595,-0.00794,-0.00781
1845,0.02659,-0.00679,-0.00537
1846,0.02748,-0.0058,-0.00433
1847,0.02792,-0.00571,0.00012
1848,0.02668,-0.00594,0.00304
1849,0.02528,-0.00553,0.00434
1850,0.02455,-0.00714,0.00197
1851,0.02531,-0.00719,0.0028
1852,0.02431,-0.00742,0.0036
1853,0.02511,-0.00772,0.00299
1854,0.02397,-0.00704,0.00332
1855,0.02395,-0.00771,0.00488
1856,0.02412,-0.00608,0.00496
1857,0.02418,-0.00623,0.00546
1858,0.02395,-0.00499,0.00792
1859,0.02394,-0.00653,0.01111
1860,0.02566,-0.00596,0.0089
1861,0.02567,-0.00685,0.0153
1862,0.02584,-0.00577,0.00936
1863,0.02601,-0.00559,0.01498
1864,0.0262,-0.00616,0.01725
1865,0.02775,-0.00832,0.01637
1866,0.02745,-0.00674,0.01773
1867,0.02845,-0.00664,0.01694
1868,0.02732,-0.00736,0.01463
1869,0.02993,-0.00803,0.02029
1870,0.03021,-0.00787,0.01718
1871,0.03042,-0.00756,0.02135
1872,0.03182,-0.00563,0.02861
1873,0.03197,-0.00706,0.0192
1874,0.02989,-0.00762,0.01799
1875,0.0317,-0.00655,0.01784
1876,0.03323,-0.00752,0.01751
1877,0.03344,-0.01011,0.01333
1878,0.03223,-0.01036,0.01181
1879,0.03139,-0.00937,0.01249
1880,0.03406,-0.00913,0.00562
1881,0.03447,-0.00786,0.00561
1882,0.03587,-0.0076,-0.00073
1883,0.0361,-0.00766,0.00388
1884,0.0365,-0.00716,0.00585
1885,0.03767,-0.00717,0.00542
1886,0.03718,-0.00833,0.00417
1887,0.03612,-0.00762,0.00241
1888,0.03777,-0.00907,0.00054
1889,0.03756,-0.00936,0.00542
1890,0.03731,-0.0087,0.00136
1891,0.03786,-0.00856,-0.00025
1892,0.03858,-0.00942,0.00129
1893,0.03936,-0.00898,0.00794
1894,0.04019,-0.00897,0.00573
1895,0.03857,-0.00902,0.00709
1896,0.03875,-0.01004,0.0057
1897,0.03841,-0.00957,0.01054
1898,0.03654,-0.01088,0.00605
