gps_week,dn(m),de(m),du(m)
1474,0.0,0.0,0.0
1483,-0.00183,0.00165,0.00232
1484,-0.00124,0.00097,0.00471
1485,-0.00229,0.00127,0.00515
1486,-0.00255,0.00133,0.00203
1487,-0.00207,0.00117,0.00129
1488,-0.00164,0.00124,0.00293
1492,-0.00043,0.0001,0.00906
1493,-0.00069,0.00069,0.01039
1494,0.00013,0.00141,0.01642
1495,-8e-05,0.00126,0.01492
1496,0.00057,0.00213,0.01391
1497,0.0006,0.00193,0.01671
1500,0.00153,0.00027,0.02243
1501,0.00243,0.00151,0.02018
1502,0.0028,0.00085,0.02353
1503,0.00246,0.00137,0.02166
1504,0.00377,-0.00028,0.02443
1505,0.00375,0.00144,0.0249
1506,0.0028,0.0008,0.01941
1507,0.00256,0.00047,0.01873
1508,0.00498,-0.00016,0.02072
1509,0.00489,0.00078,0.02628
1510,0.00349,0.00092,0.02964
1511,0.0069,-0.00116,0.02298
1512,0.00943,-0.00109,0.01671
1513,0.0088,0.00032,0.01456
1514,0.007,-0.00295,0.01275
1515,0.00937,-0.00029,0.00892
1516,0.00944,-0.00156,0.01571
1517,0.00874,-0.00186,0.0121
1518,0.00763,-0.00124,0.01348
1519,0.01036,-0.00138,0.0076
1520,0.00895,-0.00223,0.00816
1521,0.00985,-0.00362,0.00468
1522,0.01043,-0.00352,0.01199
1523,0.01216,-0.00439,0.00915
1524,0.01157,-0.00286,0.00143
1525,0.01166,-0.00312,0.00694
1528,0.01229,-0.0012,-0.00769
1529,0.01299,-0.00269,-0.0021
1530,0.0131,-0.00216,-0.00031
1531,0.01431,-0.00083,0.00514
1532,0.01509,-0.00229,0.00394
1533,0.01312,-0.00289,0.00535
1534,0.01286,-0.00366,-0.00155
1535,0.0138,-0.00331,-0.00111
1536,0.01251,-0.00385,-0.00318
1537,0.01316,-0.00422,-0.0011
1538,0.01408,-0.00454,-0.00275
1539,0.01366,-0.0038,0.00299
1540,0.01444,-0.00473,5e-05
1541,0.014,-0.0052,0.00118
1542,0.01454,-0.00393,0.00194
1543,0.01472,-0.00436,0.00712
1544,0.01439,-0.00298,0.00943
1545,0.01499,-0.00317,0.01062
1546,0.01441,-0.0031,0.01273
1547,0.0153,-0.0029,0.01346
1548,0.01506,-0.00338,0.01456
1549,0.01307,-0.00269,0.01593
1550,0.01445,-0.00382,0.01656
1551,0.01492,-0.00411,0.01453
1552,0.01526,-0.0035,0.01434
1553,0.01606,-0.00394,0.01781
1554,0.01456,-0.00282,0.01992
1555,0.01601,-0.00241,0.02151
1556,0.01525,-0.00209,0.0167
1557,0.01522,-0.0028,0.0158
1558,0.01484,-0.00148,0.01874
1559,0.01461,-0.00432,0.01395
1560,0.0147,-0.00426,0.01075
1561,0.0168,-0.00426,0.01217
1562,0.01699,-0.00409,0.01151
1563,0.01625,-0.00494,0.01015
1564,0.01837,-0.00414,0.00563
1565,0.01865,-0.00546,0.00619
1566,0.0184,-0.00497,0.0044
1567,0.01914,-0.00555,0.00316
1568,0.01899,-0.00468,0.0044
1569,0.01935,-0.00399,0.00268
1570,0.0197,-0.00638,-0.00343
1571,0.02052,-0.00576,0.00338
1572,0.02055,-0.00629,9e-05
1574,0.01953,-0.00755,-0.0024
1575,0.01954,-0.00816,0.00362
1576,0.02156,-0.00643,0.00372
1577,0.02087,-0.00739,-0.00693
1578,0.02236,-0.00782,-0.00524
1579,0.02196,-0.00722,-0.00911
1580,0.02172,-0.00776,-0.00492
1581,0.02006,-0.00644,-0.00582
1582,0.02106,-0.00716,-0.00566
1583,0.0223,-0.00854,-0.00739
1584,0.02177,-0.00787,-0.00986
1585,0.02216,-0.00869,-0.00614
1586,0.02175,-0.00803,-0.00661
1587,0.02114,-0.00808,-0.00846
1588,0.02141,-0.00875,-0.00107
1589,0.02191,-0.00893,-0.00042
1590,0.02193,-0.00918,-0.00232
1591,0.0233,-0.00919,0.00158
1592,0.02282,-0.01095,-0.00072
1593,0.02294,-0.00995,0.00151
1594,0.02343,-0.00932,0.00361
1595,0.02334,-0.00857,0.00266
1596,0.02396,-0.00781,0.00454
1597,0.02432,-0.00792,0.0089
1598,0.02323,-0.00796,0.01069
1599,0.02307,-0.00702,0.01246
1600,0.02371,-0.00678,0.01585
1601,0.02338,-0.00715,0.01463
1602,0.02402,-0.00682,0.0143
1603,0.02447,-0.00671,0.01779
1604,0.02509,-0.00732,0.0142
1605,0.02523,-0.00917,0.01488
1606,0.02466,-0.00676,0.01696
1607,0.02472,-0.00719,0.01764
1608,0.02543,-0.00784,0.01273
1609,0.02464,-0.00828,0.01331
1610,0.02472,-0.00914,0.01073
1611,0.02368,-0.00694,0.01664
1612,0.02579,-0.0095,0.00891
1613,0.02576,-0.00674,0.0191
1614,0.02932,-0.00731,0.01599
1615,0.0309,-0.00827,0.01464
1616,0.0311,-0.00887,0.0166
1617,0.03223,-0.00916,0.01247
1618,0.0328,-0.00959,0.00843
1619,0.03446,-0.00922,0.00523
1620,0.0337,-0.00931,0.00563
1621,0.03274,-0.00979,0.00676
1622,0.03368,-0.01014,0.00784
1623,0.03402,-0.01091,-0.00135
1624,0.03739,-0.01052,0.00232
1625,0.03689,-0.01138,-0.0041
1626,0.03523,-0.01012,-0.00313
1627,0.03618,-0.01033,-0.00285
1628,0.03527,-0.01041,-0.00932
1629,0.03566,-0.00761,-0.00493
1630,0.03478,-0.0096,-0.00819
1631,0.0376,-0.01104,-0.00877
1632,0.0362,-0.01141,-0.01393
1633,0.0365,-0.00984,-0.01296
1634,0.03693,-0.01094,-0.01305
1635,0.03738,-0.01134,-0.01327
1636,0.03489,-0.01131,-0.01102
1637,0.03538,-0.01035,-0.01308
1638,0.03646,-0.00969,-0.01036
1639,0.03565,-0.01119,-0.00687
1640,0.03668,-0.01002,-0.00787
1641,0.0369,-0.00991,-0.00667
1642,0.0377,-0.01102,-0.0071
1643,0.03721,-0.01098,-0.00304
1644,0.03845,-0.00963,-0.00065
1645,0.03751,-0.0085,0.00335
1646,0.03748,-0.00809,0.00275
1647,0.03665,-0.00827,0.00517
1648,0.03714,-0.00878,0.0056
1649,0.0373,-0.00857,0.00565
1650,0.03706,-0.00886,0.00312
1651,0.03564,-0.00894,0.00892
1652,0.03701,-0.00787,0.00926
1653,0.03728,-0.00736,0.00639
1654,0.03894,-0.00761,0.00942
1655,0.03714,-0.00824,0.01334
1656,0.03802,-0.0091,0.01234
1657,0.03889,-0.00671,0.01409
1658,0.03746,-0.00736,0.00789
1659,0.03943,-0.00712,0.00721
1660,0.0385,-0.00937,0.01114
1661,0.0398,-0.00708,0.01126
1662,0.03917,-0.00818,0.00763
1663,0.04034,-0.00741,0.00899
1664,0.04154,-0.00907,0.00383
1665,0.04306,-0.00773,0.01119
1666,0.04377,-0.00849,0.00518
1667,0.04632,-0.00756,0.00858
1668,0.04464,-0.00821,0.00418
1669,0.04603,-0.00889,0.00262
1670,0.04773,-0.00832,0.0003
1671,0.04759,-0.01177,0.00203
1672,0.0485,-0.01129,-0.00146
1673,0.04914,-0.0105,0.00113
1674,0.04862,-0.01051,-0.00215
1675,0.04827,-0.0134,-0.00148
1676,0.04818,-0.01112,0.00119
1677,0.05006,-0.00939,-0.00152
1678,0.04959,-0.01043,-0.00267
1679,0.04987,-0.0107,-0.00095
1680,0.04902,-0.01132,-0.00176
1681,0.04998,-0.01234,-0.00546
1682,0.05044,-0.00922,-0.00083
1683,0.05069,-0.01389,-0.00885
1684,0.05052,-0.0148,-0.0083
1685,0.05117,-0.01416,-0.00581
1686,0.04771,-0.01538,-0.00584
1687,0.0489,-0.01392,-0.0036
1688,0.04811,-0.015,-0.00514
1689,0.04863,-0.01469,-0.00875
1690,0.04974,-0.01485,-0.00594
1691,0.0481,-0.01644,-0.00468
1692,0.0497,-0.01676,-0.00147
1693,0.0502,-0.0164,0.0011
1694,0.04997,-0.01526,0.00079
1695,0.04839,-0.01419,0.00408
1696,0.04744,-0.01438,0.00505
1697,0.04674,-0.01509,0.00424
1698,0.04848,-0.01276,0.00286
1699,0.04779,-0.01332,0.00654
1700,0.04844,-0.01337,0.00688
1701,0.04859,-0.01367,0.00738
1702,0.04994,-0.0129,0.01025
1703,0.04954,-0.01402,0.00853
1704,0.04956,-0.01145,0.00684
1705,0.0502,-0.01076,0.01154
1706,0.05064,-0.01321,0.01589
1707,0.04953,-0.01375,0.01266
1708,0.05061,-0.01156,0.01516
1709,0.05096,-0.01284,0.01358
1710,0.05044,-0.01266,0.01115
1711,0.0526,-0.01334,0.01426
1712,0.05097,-0.01519,0.01586
1713,0.0527,-0.01666,0.01557
1714,0.05456,-0.01471,0.01845
1715,0.05299,-0.0143,0.01319
1716,0.05703,-0.01381,0.01205
1717,0.05805,-0.01474,0.00743
1718,0.05797,-0.01635,0.01101
1719,0.05839,-0.01652,0.01479
1720,0.05816,-0.01606,0.01129
1721,0.05707,-0.01622,0.00704
1722,0.05792,-0.01737,0.01219
1723,0.05876,-0.01622,0.00642
1724,0.06019,-0.01611,0.00886
1725,0.06107,-0.01557,0.00141
1726,0.06217,-0.01853,0.00911
1727,0.06191,-0.01702,0.00325
1728,0.06215,-0.01706,0.0055
1729,0.06328,-0.01594,-0.00209
1730,0.06158,-0.01655,-0.00036
