gps_week,dn(m),de(m),du(m)
1787,0.0,0.0,0.0
1788,-0.00071,-0.00027,0.00161
1789,-7e-05,-0.00043,0.0007
1790,0.00138,-0.00141,0.00512
1791,0.00239,0.00115,0.00232
1792,0.00145,0.00036,0.00695
1793,0.00407,-0.0002,0.01168
1794,0.00362,-0.00031,0.0159
1795,0.00329,-0.00094,0.01624
1796,0.00354,-0.00148,0.01658
1797,0.00352,-0.00059,0.01455
1798,0.00326,0.00186,0.02011
1799,0.00227,0.00097,0.01527
1800,0.00299,0.00029,0.01388
1801,0.00205,0.00039,0.01375
1802,0.00246,0.00184,0.0176
1803,0.00328,0.00218,0.01312
1804,0.004,0.00128,0.01579
1805,0.00392,0.00082,0.01943
1806,0.00445,0.00189,0.01733
1807,0.00386,0.00224,0.02235
1808,0.00512,0.00106,0.02382
1809,0.00471,0.00226,0.02468
1810,0.00419,0.00147,0.02462
1811,0.00448,0.00081,0.02611
1812,0.00712,0.00128,0.02156
1813,0.00739,0.00113,0.02455
1814,0.00663,-0.00033,0.0269
1815,0.0062,0.0001,0.02664
1816,0.00549,-0.00155,0.02421
1817,0.00664,-0.00278,0.02122
1818,0.00806,-0.00212,0.0186
1819,0.01106,-0.00148,0.0171
1820,0.0114,-0.00051,0.02562
1821,0.01096,-0.00103,0.02446
1822,0.0106,-0.00086,0.01648
1823,0.00979,-0.00168,0.01567
1824,0.01225,-0.00237,0.01795
1825,0.01218,-0.00405,0.01786
1826,0.01266,-0.00392,0.01794
1827,0.01354,-0.00336,0.01872
1828,0.01406,-0.00316,0.0163
1829,0.01431,-0.00345,0.01627
1830,0.01192,-0.00091,0.01598
1831,0.01361,-0.00125,0.01616
1832,0.01641,-0.00072,0.01239
1833,0.01672,-0.00134,0.02093
1834,0.01511,-0.00311,0.01648
1835,0.01534,-0.00483,0.01033
1836,0.01622,-0.00382,0.01541
1837,0.01271,-0.00315,0.00775
1838,0.01376,-0.0044,0.01437
1839,0.01382,-0.00334,0.01008
1840,0.01366,-0.00269,0.01456
1841,0.01503,-0.00405,0.0177
1842,0.01592,-0.00298,0.01016
1843,0.01684,-0.00522,0.0163
1844,0.01777,-0.00603,0.01886
1845,0.01869,-0.00566,0.01806
1846,0.01956,-0.0037,0.02018
1847,0.01944,-0.00402,0.01878
1848,0.01845,-0.00372,0.01782
1849,0.01668,-0.00335,0.02328
1850,0.01755,-0.00435,0.01496
1851,0.01759,-0.00394,0.01926
1852,0.01735,-0.00354,0.01759
1853,0.01749,-0.00278,0.01873
1854,0.01714,-0.00336,0.0161
1855,0.016,-0.00379,0.01297
1856,0.01691,-0.00213,0.01684
1857,0.01912,-0.00241,0.01892
1858,0.01753,-0.0012,0.02038
