gps_week,dn(m),de(m),du(m)
1244,0.0,0.0,0.0
1245,0.00119,0.0007,-0.00194
1246,-0.00039,0.00145,-0.00261
1247,0.00039,0.00192,-0.00073
1248,0.00056,0.00095,0.00472
1249,-0.00039,0.0007,0.00612
1250,-0.0011,0.00169,0.00565
1251,0.00215,0.00191,0.00122
1252,0.00147,0.00098,0.00728
1253,0.00106,0.00153,0.00134
1254,0.00261,0.00163,0.00872
1255,0.00053,0.00248,0.00743
1256,0.00225,0.00198,0.00159
1257,-4e-05,0.00165,0.00304
1258,0.00177,0.00218,-0.0008
1259,0.00174,0.00189,0.00372
1260,0.00147,0.00243,0.00646
1261,0.00319,0.00267,0.00494
1262,0.00335,0.00341,0.00947
1263,0.00241,0.00346,0.00639
1264,0.00297,0.00242,0.0124
1265,0.00247,0.00221,0.0057
1266,0.0046,0.00027,0.00402
1267,0.00686,0.00092,-0.00235
1268,0.0079,0.00084,0.00058
1269,0.0093,0.00024,-0.00647
1270,0.00819,0.00094,-0.00558
1271,0.00936,0.00046,-0.00313
1272,0.00907,-0.00026,-0.00711
1273,0.01077,-0.00048,-0.00308
1274,0.0093,-0.00049,-0.00222
1275,0.01014,-0.00053,0.00341
1276,0.01038,-0.00112,0.0032
1277,0.01015,-0.00053,-0.00224
1278,0.01023,-0.00012,-0.00487
1279,0.01025,-0.0006,-0.00936
1280,0.01013,-0.00222,-0.00428
1281,0.00958,-0.0013,-0.01002
1282,0.01005,-0.00121,-0.01146
1283,0.00961,-0.00266,-0.0056
1284,0.00825,-0.00037,-0.01146
1285,0.00756,-0.00135,-0.00765
1286,0.00718,-0.00101,-0.00152
1287,0.00673,-0.00077,-0.00451
1288,0.00806,-0.00213,-0.00209
1289,0.00939,-0.00111,-0.00201
1290,0.00854,-0.0011,-0.00028
1291,0.00925,-0.00063,-0.00154
1292,0.01026,-0.00149,0.00273
1293,0.01069,-0.00123,0.00051
1294,0.01053,-0.00024,0.00019
1295,0.01037,0.00068,-0.0053
1296,0.0119,-0.00018,-0.00221
1297,0.01267,-0.00119,-0.00111
1298,0.01171,0.00163,0.00562
1299,0.01064,0.00106,0.00941
1300,0.01159,0.00181,0.0022
1301,0.01159,0.00085,0.00508
1302,0.01265,0.00021,0.00746
1303,0.01409,0.00122,0.0087
1307,0.01317,0.00139,0.00635
1308,0.01491,0.00142,-0.00259
1309,0.01434,0.00182,0.00316
1310,0.01523,0.00168,0.00851
1311,0.01318,0.00183,0.00957
1312,0.01278,0.00238,0.00228
1313,0.01489,0.00491,0.00581
1314,0.01518,0.00322,0.0074
1315,0.01615,0.00217,0.00523
1316,0.01621,0.0031,0.00317
1317,0.01758,0.00161,0.00385
1318,0.01844,0.00274,-0.0057
1319,0.01958,0.00191,-0.00045
1320,0.02254,0.00119,0.00016
1321,0.0195,0.00177,0.00189
1322,0.02031,0.00223,0.00375
1323,0.02048,0.00137,0.00455
1324,0.0217,0.00048,0.00922
1325,0.02106,0.0017,0.00837
1326,0.02057,0.00072,0.00331
1327,0.02124,-0.00085,-0.00711
1328,0.02302,-0.00082,-0.00174
1329,0.02143,0.00117,0.00343
1330,0.02188,0.00058,-0.00515
1331,0.02048,0.00051,-0.0085
1332,0.02166,-0.00103,-0.0077
1333,0.02149,-0.00188,-0.00531
1334,0.01899,-0.00044,-0.00237
1335,0.01912,-0.00097,-0.0078
1336,0.01846,-0.00084,-0.00371
1337,0.01715,-0.00198,-0.00391
1338,0.02033,-0.00118,0.00033
1339,0.02096,-0.0022,0.00659
1340,0.02217,-0.00165,-0.00468
1341,0.02141,-0.00149,-0.00111
1342,0.02125,-0.00026,0.00177
1343,0.02143,0.00017,-0.00428
1344,0.02094,0.00079,9e-05
1345,0.01972,0.00099,0.00269
1346,0.02053,0.00083,-0.00215
1347,0.02188,8e-05,0.00211
1348,0.02365,0.00143,0.00367
1349,0.02112,0.0022,0.00659
1350,0.0214,0.00288,0.01144
1351,0.02041,0.00348,0.00667
1352,0.02342,0.00155,0.00655
1353,0.02345,0.00094,0.0068
1354,0.02342,0.00206,0.0073
1355,0.0226,0.00254,0.00708
1356,0.02246,0.00199,0.00603
1357,0.02345,0.00213,0.00419
1358,0.02345,0.00258,0.00291
1359,0.02344,0.00157,0.00418
1360,0.02286,0.00313,0.00438
1361,0.02388,0.00188,0.0055
1362,0.02338,0.00182,0.00617
1363,0.02558,0.0033,0.01321
1364,0.0261,0.00142,0.00512
1365,0.02586,0.00164,0.00635
1366,0.02814,0.00227,0.00705
1367,0.02646,0.00041,0.00497
1368,0.02804,-0.00023,0.00103
1369,0.02948,-1e-05,0.0021
1370,0.02844,0.00138,-0.00178
1371,0.03034,-1e-05,-0.00056
1372,0.02873,0.00039,-0.00087
1373,0.03145,-0.00058,0.0026
1374,0.03161,-0.00119,0.00303
1375,0.03061,-4e-05,0.00483
1376,0.0328,-0.00097,0.00796
1377,0.03287,-0.00063,0.00397
1378,0.03134,-0.00027,0.0024
1379,0.03117,-0.0007,-0.00299
1380,0.02992,1e-05,-0.00108
1381,0.03128,0.00033,-0.00258
1382,0.02967,-0.00089,-0.00685
1383,0.02971,0.00025,-0.00347
1384,0.03032,-0.00056,-0.00227
1385,0.02938,-0.00425,-0.00955
1386,0.0308,-0.00202,0.00061
1387,0.02948,-0.0016,0.0097
1388,0.02927,-0.00086,0.00559
1389,0.03074,-0.00151,0.0056
1390,0.0305,-0.0009,0.0051
1391,0.03224,-0.00238,0.00192
1392,0.02971,-0.0007,0.00373
1393,0.0289,-0.00018,0.00515
1394,0.03092,-0.0006,0.00189
1395,0.03009,-0.00014,0.00299
1396,0.02997,0.00061,0.00556
1397,0.03121,-0.00029,0.00488
1398,0.03068,0.00167,0.00639
1399,0.0331,0.00032,0.00696
1400,0.03287,0.00092,0.0049
1401,0.032,0.00077,0.00949
1402,0.03322,0.00124,0.00815
1403,0.03499,0.00107,0.01128
1404,0.03414,0.00141,0.00841
1405,0.03307,0.00216,0.00827
1406,0.03513,0.00179,0.01237
1407,0.03337,0.00169,0.00703
1408,0.03334,0.00264,0.00459
1409,0.0342,0.00166,0.0071
1410,0.03517,0.00304,0.00265
1411,0.03548,0.00144,0.00642
1412,0.03608,0.00291,0.00451
1413,0.03516,0.00218,0.00515
1414,0.03732,0.00095,0.00736
1415,0.03751,0.00073,0.00311
1416,0.03693,0.0009,-0.00147
1417,0.03958,-0.00087,-0.00278
1418,0.03956,-0.0006,-0.00084
1419,0.03805,-0.00076,-0.00257
1420,0.03991,-8e-05,-0.00177
1421,0.04066,-0.00038,-0.00456
1422,0.04165,-0.00166,-0.00237
1423,0.04204,-0.00127,0.00206
1424,0.04204,-0.00108,-0.00575
1425,0.04139,-0.00167,0.00022
1426,0.04325,-0.0014,-0.00939
1427,0.0441,-0.00118,-0.00156
1428,0.04448,-0.00159,-0.0052
1429,0.04435,-0.00136,-0.00934
1430,0.04388,0.00115,-0.00377
