gps_week,dn(m),de(m),du(m)
1536,0.0,0.0,0.0
1537,-0.0005,-0.00013,0.00292
1538,-0.00032,0.00027,0.00677
1539,7e-05,0.00053,0.00585
1540,-0.00024,-0.00161,0.00412
1541,-4e-05,-0.00109,0.00868
1542,0.00047,-0.00075,0.00637
1543,0.00088,-0.00046,0.00854
1544,0.00229,0.00095,0.00742
1545,0.0022,0.00056,0.01436
1546,0.00077,0.00133,0.01143
1547,-0.00011,0.00072,0.01208
1548,-0.00074,0.00167,0.01655
1549,-0.00053,0.00167,0.01455
1550,-0.00053,0.00184,0.0148
1551,0.00022,0.00112,0.01486
1552,0.00098,0.0008,0.01378
1553,0.00108,0.00181,0.01715
1554,0.00015,0.00218,0.01714
1555,0.00095,0.00253,0.01357
1556,0.00149,0.00356,0.01465
1557,0.00207,0.00245,0.01694
1558,0.00103,0.00352,0.0146
1559,0.00051,0.00235,0.01651
1560,0.0006,0.00101,0.01102
1561,0.00096,0.00243,0.01023
1562,0.00309,0.00276,0.00601
1563,0.00275,0.0021,0.00728
1564,0.00375,0.0018,0.00773
1565,0.00432,0.00173,0.00592
1566,0.00412,0.00088,0.00844
1567,0.00302,0.00114,0.00646
1568,0.00522,0.00065,-0.00214
1569,0.00643,5e-05,-0.00525
1570,0.00686,-0.00183,0.00148
1571,0.00673,-0.00238,-0.00134
1572,0.00727,-0.00252,-0.00368
1574,0.007,-0.00414,-0.0001
1575,0.00824,-0.00384,-0.00293
1576,0.00875,-0.0035,-0.00074
1577,0.00713,-0.00324,-0.00523
1578,0.00829,-0.0048,-0.00914
1579,0.01054,-0.00511,-0.01202
1580,0.01121,-0.00288,-0.00524
1581,0.00941,-0.00352,-0.00443
1582,0.01089,-0.00408,-0.00598
1583,0.01162,-0.00571,-0.0048
1584,0.01144,-0.00549,-0.00626
1585,0.0116,-0.00562,-0.00545
1602,0.01705,-0.0049,0.01655
1603,0.01647,-0.00543,0.02264
1604,0.01435,-0.0056,0.0065
1605,0.01439,-0.00715,0.01182
1606,0.01499,-0.00514,0.00982
1607,0.01482,-0.00513,0.01029
1608,0.01507,-0.00602,0.00569
1609,0.0133,-0.00646,0.01027
1610,0.0153,-0.00654,0.00949
1611,0.01455,-0.00622,0.00918
1612,0.0155,-0.00662,0.01052
1613,0.01528,-0.00685,0.01484
1614,0.01601,-0.00588,0.01752
1615,0.01721,-0.00608,0.00861
1616,0.01749,-0.00759,0.01854
1617,0.01932,-0.00678,0.01024
1618,0.02007,-0.00772,0.0124
1619,0.02071,-0.00659,0.00907
1620,0.01978,-0.00807,0.00188
1621,0.02098,-0.00763,0.00675
1622,0.02232,-0.00745,0.00249
1623,0.02244,-0.00813,0.00015
1624,0.02348,-0.00939,0.00237
1625,0.02475,-0.00995,-0.00216
1626,0.02348,-0.00979,-6e-05
