gps_week,dn(m),de(m),du(m)
1443,0.0,0.0,0.0
1444,-0.00036,0.00058,-0.0019
1445,0.00077,5e-05,-0.00127
1446,0.00038,-0.00011,-0.00286
1447,0.00171,0.00063,0.00042
1448,0.00145,0.00012,0.00377
1449,0.0011,0.00052,0.00055
1450,-0.00018,-0.00042,0.0058
1451,0.0004,0.0003,0.00639
1452,0.0013,-7e-05,0.00743
1453,0.00307,-0.00086,0.0039
1454,0.00322,-0.00028,0.0065
1455,0.0032,0.00089,0.00199
1456,0.00356,0.00132,0.00447
1457,0.00377,0.00048,0.00443
1458,0.00308,0.00073,-8e-05
1459,0.00271,0.00019,0.00388
1460,0.00366,0.00031,0.00098
1461,0.00486,0.00042,0.00129
1462,0.00647,-0.00136,0.00594
1463,0.00702,0.00023,-0.0021
1464,0.00903,-0.0017,0.0083
1466,0.00848,-0.00132,0.00299
1467,0.00811,-0.00195,-0.00149
1468,0.009,-0.00285,0.00388
1469,0.0081,-0.00251,-0.00168
1470,0.00822,-0.00419,-0.00262
1471,0.01108,-0.00392,0.00193
1472,0.01052,-0.00391,0.00566
1473,0.01028,-0.00303,0.00417
1474,0.01251,-0.00134,0.00492
1475,0.01145,-0.00231,-0.0009
1476,0.01189,-0.00105,0.00624
1477,0.01175,-0.00139,-0.00088
1478,0.0118,-0.00209,-0.00321
1479,0.01182,-0.00176,0.0032
1480,0.0118,0.00027,0.00349
1481,0.01231,-0.00061,-0.00343
1482,0.01245,-0.00068,-0.00106
1483,0.01195,-0.00045,-0.0015
1484,0.01239,-0.00205,-0.00308
1485,0.01161,-0.00118,-0.00336
1486,0.01103,-0.0011,-0.00481
1487,0.01085,-0.00176,-0.00696
1488,0.01097,-0.00214,-0.00044
1489,0.01092,-0.00243,0.00059
1490,0.01145,-0.00357,0.00031
1491,0.01207,-0.0041,-0.00265
1492,0.01253,-0.00394,-0.0005
1493,0.01278,-0.00321,0.00265
1494,0.01287,-0.0028,0.00105
1495,0.01255,-0.00219,0.00524
1496,0.01363,-0.00294,0.00057
1497,0.0146,-0.00325,0.00427
1498,0.0147,-0.00265,0.0053
1499,0.01509,-0.00287,0.00994
1500,0.01512,-0.00269,0.00685
1501,0.01474,-0.00329,0.00989
1502,0.01544,-0.00304,0.00663
1503,0.01586,-0.003,0.00484
1504,0.01539,-0.00348,0.00828
1506,0.01606,-0.00234,0.00632
1507,0.01599,-0.00199,0.00627
1508,0.01618,-0.00227,0.00352
1509,0.01562,-0.00103,0.00581
1510,0.01592,-0.00131,0.00403
1511,0.01612,-0.00142,0.00295
1512,0.01669,-0.00271,0.0035
1513,0.01752,-0.00272,0.00218
1514,0.01842,-0.00262,0.00794
1515,0.01937,-0.00389,0.00084
1516,0.01995,-0.00285,0.00646
1517,0.01891,-0.00383,0.0009
1518,0.01881,-0.00388,0.00099
1519,0.0212,-0.00364,0.00592
1520,0.02128,-0.00545,-0.00219
1521,0.02121,-0.00664,0.00086
1522,0.02128,-0.00622,-0.00279
1523,0.02324,-0.0062,-0.00155
1524,0.02197,-0.00546,-0.00018
1525,0.02233,-0.00617,-0.00247
1526,0.02301,-0.00612,-0.0002
1527,0.02378,-0.00504,-0.00166
1528,0.02415,-0.0055,-0.00451
1529,0.0246,-0.00524,-0.0015
1530,0.02317,-0.00407,0.003
1531,0.02566,-0.00319,0.00011
1532,0.02578,-0.00438,-0.00116
1533,0.02525,-0.00484,-0.00154
1534,0.02503,-0.00567,-0.0071
1535,0.0264,-0.00456,-0.00565
1536,0.02409,-0.00493,-0.00292
1537,0.02456,-0.0053,-0.00277
1538,0.02398,-0.00548,-0.00382
1539,0.02522,-0.00605,-0.00067
1540,0.02468,-0.00764,-0.00819
1541,0.02486,-0.00682,-0.00578
1542,0.02602,-0.0062,-0.00814
1543,0.02732,-0.00715,-0.00267
1544,0.02717,-0.00622,-0.00591
1545,0.02683,-0.00568,-0.0041
1546,0.02573,-0.00608,-0.00104
1547,0.02805,-0.006,0.00493
1548,0.0276,-0.0056,-0.00039
1549,0.0267,-0.00618,0.00432
1550,0.02668,-0.00623,0.00479
1551,0.02832,-0.00604,0.0018
1552,0.02859,-0.00678,0.00367
1553,0.02823,-0.00615,0.00378
1554,0.02812,-0.00593,0.00876
1555,0.02907,-0.00616,0.00833
1556,0.02768,-0.00491,0.00623
1557,0.02902,-0.00632,0.00583
1558,0.02826,-0.00678,0.00958
