gps_week,dn(m),de(m),du(m)
1044,0.0,0.0,0.0
1045,-0.001,-0.00137,0.00843
1050,-0.0005,-0.00035,-0.00075
1051,0.00109,0.00031,-0.01051
1053,-0.00292,0.00055,-0.01972
1054,6e-05,0.001,-0.01032
1055,0.00011,0.00072,-0.01469
1056,-0.00072,-0.00041,-0.01557
1057,-0.00039,-0.00113,-0.01199
1058,9e-05,-0.00152,-0.01567
1060,-6e-05,-0.00329,-0.01512
1061,0.001,-0.00149,-0.01513
1062,0.0022,-0.00152,-0.01411
1063,0.00296,-0.00055,-0.00862
1064,0.0041,-0.00012,-0.00401
1076,0.00533,0.00148,-0.00075
1077,0.00665,-1e-05,0.00277
1078,0.0064,-0.00215,0.00512
1084,0.00765,0.00179,0.00497
1085,0.00766,0.00386,0.00704
1086,0.01227,0.00022,-0.00698
1087,0.00949,0.0014,0.00598
1088,0.00962,-0.00016,0.01217
1089,0.00939,-0.00074,0.01165
1090,0.01,-0.00108,0.00813
1091,0.00976,-0.00283,0.01597
1092,0.00987,-0.0009,0.01082
1093,0.00959,-0.00014,0.00368
1094,0.0092,-0.00446,0.00946
1095,0.01099,-0.00275,0.0091
1096,0.00864,-0.00264,0.00692
1097,0.01005,-0.00389,0.00246
1098,0.01226,-0.00579,0.00056
1099,0.01313,-0.00458,0.00178
1100,0.0133,-0.00528,-0.00021
1101,0.01261,-0.00429,0.00587
1102,0.01495,-0.00781,-0.00217
1103,0.01148,-0.006,-0.00671
1104,0.01343,-0.00787,0.00536
1105,0.0126,-0.00409,-0.01055
1106,0.01226,-0.00704,-0.00446
1107,0.01094,-0.00689,-0.00992
1108,0.01256,-0.00574,-0.00705
1109,0.01355,-0.00498,-0.00484
1110,0.01533,-0.00556,-0.00917
1111,0.01484,-0.00369,-0.0095
1112,0.01722,-0.00449,-0.01385
1113,0.01617,-0.00424,-0.01173
1114,0.01732,-0.00519,-0.01309
1115,0.01816,-0.00307,-0.00467
1116,0.01449,-0.00499,-0.0072
1117,0.01597,-0.00377,-0.01169
1118,0.0174,-0.00486,-0.00979
1119,0.01666,-0.00601,-0.0055
1120,0.0187,-0.00693,-0.00522
1121,0.01844,-0.00486,-0.00813
1122,0.01779,-0.00491,-0.00179
1123,0.01694,-0.0055,0.00121
1124,0.01764,-0.00646,-0.00166
1125,0.01876,-0.00439,-0.00857
1127,0.01913,-0.00424,0.0022
1128,0.01875,-0.00381,0.00144
1129,0.01848,-0.00351,0.0021
1130,0.01928,-0.00441,0.00536
1131,0.02096,-0.00509,0.0041
1132,0.01942,-0.00462,0.00458
1133,0.01918,-0.00502,0.00128
1134,0.019,-0.0043,0.00244
1135,0.01979,-0.0038,0.0062
1136,0.02027,-0.00461,0.00809
1137,0.02057,-0.00318,0.00453
1138,0.01835,-0.00565,0.00612
1139,0.02046,-0.00562,0.00314
1140,0.02068,-0.00498,0.00683
1141,0.02318,-0.00545,0.00409
1142,0.02054,-0.00663,0.01296
1143,0.01888,-0.00538,0.01541
1144,0.02059,-0.00682,0.01449
1145,0.02024,-0.00976,0.01686
1146,0.01966,-0.00764,0.01098
1147,0.01969,-0.01058,0.00439
1148,0.01993,-0.0082,-0.00137
1149,0.02152,-0.00794,-0.003
1150,0.02123,-0.0073,-0.00417
1151,0.02073,-0.00786,0.00772
1152,0.02241,-0.00766,-0.00133
1153,0.0234,-0.00876,-0.00573
1154,0.02243,-0.01178,-0.01277
1155,0.02448,-0.00785,-0.00419
1156,0.02428,-0.00801,-0.0027
1157,0.02317,-0.00648,-0.0004
1158,0.02541,-0.0094,-0.00025
1159,0.02493,-0.00905,-0.00093
1160,0.02465,-0.00947,0.00138
1161,0.02622,-0.0096,-0.01301
1162,0.02605,-0.00806,-0.01104
1163,0.0286,-0.00794,-0.00441
1164,0.02805,-0.00848,0.00048
1165,0.02834,-0.00941,-0.00958
1166,0.02886,-0.00819,-0.00417
1167,0.02907,-0.00945,-0.0067
1168,0.02871,-0.00994,-0.00455
1169,0.02824,-0.00988,-0.00263
1170,0.02941,-0.01167,-0.00069
1171,0.02923,-0.0098,-0.00416
1172,0.03002,-0.01005,-0.00192
1173,0.02986,-0.0111,-0.0008
1174,0.02921,-0.01124,-0.00274
1175,0.0285,-0.0096,0.00269
1176,0.03061,-0.01085,0.00328
1177,0.03021,-0.01051,0.00221
1178,0.03257,-0.01047,0.00546
1179,0.03182,-0.00968,0.0046
1180,0.03129,-0.00853,0.00511
1181,0.03013,-0.00841,0.01038
1182,0.03044,-0.00764,0.01019
1183,0.02977,-0.0085,0.00708
1184,0.03101,-0.009,0.00809
1185,0.03118,-0.01,0.01306
1186,0.03198,-0.0103,0.01497
1187,0.03199,-0.00947,0.01298
1188,0.03315,-0.01244,0.01021
1189,0.03423,-0.01147,0.01485
1190,0.03456,-0.01006,0.01636
1191,0.03443,-0.01168,0.01132
1192,0.03246,-0.01072,0.01535
1194,0.03534,-0.00901,0.02307
1195,0.03594,-0.01054,0.02186
1196,0.03346,-0.00772,0.01763
1197,0.03477,-0.00903,0.01272
1198,0.03495,-0.01033,0.01565
1199,0.03492,-0.0097,0.00808
1200,0.03395,-0.01024,0.01773
1201,0.0334,-0.00957,0.01822
1202,0.03409,-0.00961,0.01395
1203,0.03662,-0.01149,0.01127
1204,0.03595,-0.01207,0.00605
1205,0.03608,-0.00941,0.00983
1206,0.03505,-0.01273,0.00736
1207,0.03625,-0.01261,0.01573
1212,0.03868,-0.01244,-0.0042
1213,0.03686,-0.01337,-0.0071
1214,0.04027,-0.01464,-0.00642
1215,0.03914,-0.01413,-0.00275
1216,0.03952,-0.01298,-0.01318
1217,0.04056,-0.0128,-0.01115
1218,0.04092,-0.01354,-0.01121
1219,0.04157,-0.01453,-0.00533
1220,0.03973,-0.01507,9e-05
1221,0.03964,-0.01486,-0.00575
1222,0.03923,-0.01518,0.00173
1223,0.03975,-0.01624,-0.00371
1224,0.04043,-0.0145,-0.00212
1225,0.03884,-0.01431,0.00164
1226,0.04045,-0.01429,-0.00429
1227,0.04185,-0.01438,-0.00298
1228,0.04136,-0.01384,-0.00231
1229,0.04258,-0.0132,0.00107
1230,0.0433,-0.01352,0.00453
1231,0.04188,-0.01375,0.0046
1232,0.04246,-0.01428,0.00829
1233,0.04121,-0.01412,0.008
1234,0.0415,-0.0126,0.01391
1235,0.04175,-0.01447,0.01688
1236,0.04437,-0.01397,0.01244
1237,0.04297,-0.01443,0.01411
1238,0.04521,-0.01352,0.01087
1239,0.04337,-0.01488,0.01559
1240,0.04527,-0.01559,0.01322
1241,0.04627,-0.01555,0.0116
1242,0.04582,-0.0153,0.01275
1243,0.04624,-0.01344,0.0085
1245,0.0475,-0.01355,0.01471
1246,0.04819,-0.01507,0.01381
1247,0.04886,-0.01445,0.01811
1248,0.0474,-0.0152,0.01581
1249,0.04862,-0.01441,0.02059
1250,0.04784,-0.01492,0.01498
1251,0.04747,-0.01281,0.01254
1253,0.04972,-0.01581,0.00678
1254,0.04999,-0.01695,0.00157
1255,0.04814,-0.01795,-0.00113
1256,0.0494,-0.01629,-0.00342
1257,0.04776,-0.01574,-0.00537
1258,0.04753,-0.01759,-0.00967
1259,0.0483,-0.01751,-0.01574
1260,0.04793,-0.01664,-0.01046
1261,0.04878,-0.01951,-0.02524
1262,0.05151,-0.0156,-0.01132
1263,0.04931,-0.01674,-0.01231
1264,0.05027,-0.01629,-0.01449
1265,0.05106,-0.0153,-0.01599
1266,0.05178,-0.01781,-0.01774
1267,0.0531,-0.01625,-0.01699
1268,0.05329,-0.01743,-0.02603
1269,0.0519,-0.018,-0.01574
1270,0.054,-0.0177,-0.01782
1271,0.05287,-0.01773,-0.01003
1272,0.05362,-0.01884,-0.01123
1274,0.05423,-0.01889,-0.01472
1275,0.05393,-0.01815,-0.01143
1276,0.05302,-0.01887,-0.01334
1277,0.05405,-0.0182,-0.00908
1278,0.05462,-0.01893,-0.0077
1279,0.05402,-0.01914,-0.02017
1281,0.05587,-0.0182,-0.00858
1282,0.05425,-0.01819,-0.00319
1283,0.05495,-0.01864,-0.00073
1284,0.05616,-0.01877,-0.00106
1285,0.05454,-0.01871,-0.00051
1286,0.05624,-0.01965,0.00175
1287,0.0561,-0.01999,0.00212
1288,0.05558,-0.02242,0.00442
1289,0.05614,-0.02008,0.00303
1290,0.05777,-0.02076,-0.00037
1291,0.05817,-0.01966,0.00724
1292,0.05682,-0.02041,0.00589
1293,0.05687,-0.01972,0.01093
1294,0.05733,-0.02001,0.01333
1295,0.0582,-0.01936,0.00834
1296,0.06028,-0.01827,0.00652
1297,0.06021,-0.01753,0.00658
1298,0.05959,-0.01792,0.01113
1299,0.06104,-0.01739,0.01193
1300,0.06131,-0.01759,0.00456
1301,0.05935,-0.01919,0.01087
1302,0.0607,-0.02118,0.0147
1303,0.05971,-0.01963,0.00861
1312,0.06173,-0.02044,0.00114
1313,0.06179,-0.0201,0.00088
1314,0.06055,-0.02076,0.00425
1315,0.06033,-0.02004,0.00284
1316,0.0608,-0.01963,-0.00115
1319,0.0643,-0.02089,0.00132
1320,0.06465,-0.02356,-0.00149
1321,0.06455,-0.02334,-0.0095
1323,0.06467,-0.02271,-0.00426
1324,0.06457,-0.02282,-0.00045
1325,0.06327,-0.02239,-0.00897
1326,0.06415,-0.02106,-0.00712
1327,0.06418,-0.02197,-0.00623
1328,0.06572,-0.02089,-0.00978
1329,0.06547,-0.02134,-0.00854
1330,0.06595,-0.02039,-0.00856
1331,0.06564,-0.01964,-0.00567
1332,0.06426,-0.02034,-0.00331
1333,0.0657,-0.02012,-0.00083
