gps_week,dn(m),de(m),du(m)
1052,0.0,0.0,0.0
1053,-0.00151,-0.00112,0.00143
1054,-0.00159,-0.00105,0.00448
1055,-0.00124,-0.00167,0.00133
1056,-0.00121,-0.00123,-0.00039
1057,-0.00215,-0.00143,-0.00102
1058,-0.00236,-0.00198,-0.00049
1059,-0.0034,-0.00122,-0.00226
1060,-0.00349,-0.00262,-0.00089
1061,-0.00402,-0.00444,0.00031
1062,-0.00294,-0.0038,-0.007
1063,-0.00327,-0.0038,-0.00947
1064,-0.00216,-0.00379,-0.00067
1065,-0.00325,-0.00433,0.00126
1066,-0.00195,-0.00442,-0.00317
1067,-0.00167,-0.00518,-0.00208
1068,-0.0016,-0.00514,-0.00039
1069,-0.00156,-0.0048,0.00283
1070,-0.00162,-0.00594,-0.00089
1071,-0.00112,-0.00452,0.00055
1072,-0.00167,-0.00374,-0.00526
1073,-0.00185,-0.00391,-0.00437
1074,-0.00142,-0.00477,0.00139
1075,0.00162,-0.00404,-0.00098
1076,0.0024,-0.00384,0.00412
1077,0.00429,-0.00411,0.00515
1078,0.00523,-0.00271,0.00493
1079,0.0051,-0.00382,0.00271
1080,0.00715,-0.00223,0.00499
1081,0.00641,-0.00401,0.00564
1082,0.00763,-0.00334,0.00377
1083,0.00898,-0.00341,0.00888
1084,0.00845,-0.00367,0.00673
1085,0.00988,-0.00213,0.00588
1086,0.00964,-0.00403,0.00736
1087,0.01153,-0.00332,0.01018
1088,0.01042,-0.00365,0.00933
1089,0.00969,-0.00431,0.01236
1090,0.01053,-0.00507,0.01189
1091,0.01132,-0.00549,0.01408
1092,0.01244,-0.0057,0.00632
1093,0.01123,-0.00528,0.00707
1094,0.01249,-0.00668,0.01174
1095,0.01263,-0.00674,0.00674
1096,0.01307,-0.0059,0.0057
1097,0.01169,-0.0064,0.00247
1098,0.01194,-0.00731,0.00937
1099,0.01169,-0.00686,0.00519
1100,0.01192,-0.00733,0.0044
1101,0.01085,-0.00695,0.00641
1102,0.0127,-0.00641,0.00578
1103,0.01016,-0.00482,0.00564
1104,0.01163,-0.00598,0.0055
1105,0.01001,-0.00483,0.00766
1106,0.01099,-0.00637,0.00819
1107,0.0085,-0.00649,0.00236
1109,0.01104,-0.00631,0.0039
1110,0.01295,-0.00617,0.0038
1111,0.01092,-0.0053,0.00907
1112,0.01311,-0.00512,0.00332
1113,0.01192,-0.00533,0.00129
1114,0.01133,-0.00639,-0.00244
1115,0.0128,-0.00482,-0.00221
1116,0.00948,-0.00667,-0.00188
1117,0.01079,-0.00782,-0.00381
1118,0.01328,-0.00757,-0.00333
1119,0.01154,-0.00917,-0.00095
1120,0.01285,-0.01079,2e-05
1121,0.01421,-0.00861,0.0019
1122,0.01159,-0.00987,0.00115
1123,0.01141,-0.00954,0.00369
1124,0.01367,-0.01011,0.00176
1125,0.0141,-0.01034,0.00455
1126,0.01363,-0.01022,0.02015
1127,0.01488,-0.00859,0.00457
1128,0.01477,-0.00885,0.00379
1129,0.01707,-0.00673,0.00443
1130,0.01743,-0.008,0.00404
1131,0.01912,-0.00966,0.00474
1133,0.0181,-0.0095,0.00219
1134,0.01822,-0.0086,0.00504
1135,0.01976,-0.00853,0.00518
1136,0.02078,-0.00827,0.00606
1137,0.02175,-0.00767,0.00717
1138,0.0215,-0.01083,0.00787
1139,0.02226,-0.00949,0.00256
1152,0.02733,-0.00461,0.02628
1153,0.02843,-0.00467,0.02448
1154,0.02707,-0.00461,0.02131
1155,0.02662,-0.00358,0.02764
1156,0.02644,-0.00486,0.02396
1157,0.02674,-0.00427,0.02772
1158,0.02549,-0.00475,0.02477
1159,0.02603,-0.00559,0.02661
1160,0.02716,-0.00467,0.0243
1161,0.02666,-0.00743,0.02647
1162,0.02623,-0.00661,0.02246
1163,0.02725,-0.00614,0.02158
1164,0.02786,-0.00723,0.01813
1165,0.0283,-0.0075,0.02101
1166,0.0292,-0.00766,0.02239
1167,0.02947,-0.01019,0.02111
1168,0.02724,-0.00882,0.02068
1169,0.02761,-0.00899,0.02522
1170,0.02711,-0.00858,0.02371
1171,0.02764,-0.0088,0.01981
1172,0.0268,-0.00948,0.02114
1173,0.02658,-0.01046,0.01991
1174,0.02711,-0.0107,0.01907
1175,0.02725,-0.00963,0.01909
1176,0.02988,-0.01084,0.02232
1177,0.02919,-0.00968,0.01786
1178,0.03126,-0.01043,0.01816
1179,0.03057,-0.00979,0.02099
1180,0.03187,-0.00837,0.02848
1181,0.03192,-0.0079,0.02407
1182,0.03245,-0.00937,0.02503
1183,0.03144,-0.00927,0.02332
1184,0.03246,-0.01108,0.02223
1185,0.03422,-0.00984,0.03022
1186,0.0334,-0.01007,0.02932
1187,0.03451,-0.00806,0.03125
1188,0.037,-0.00924,0.03121
1189,0.03737,-0.00961,0.02857
1190,0.03752,-0.00968,0.03111
1191,0.03748,-0.00918,0.03116
1192,0.03812,-0.00997,0.02902
1193,0.03978,-0.01046,0.02772
1194,0.03996,-0.00839,0.0239
1195,0.04059,-0.0108,0.03106
1196,0.03936,-0.00971,0.02732
1197,0.04028,-0.01018,0.02469
1198,0.03947,-0.01087,0.02718
1199,0.03901,-0.00943,0.02816
1200,0.03675,-0.00868,0.03026
1201,0.03757,-0.00887,0.02876
1202,0.03907,-0.00791,0.03124
1203,0.04043,-0.00733,0.03109
1205,0.0399,-0.00959,0.02336
1206,0.03875,-0.00898,0.02741
1207,0.03902,-0.00881,0.03056
1208,0.04009,-0.00867,0.02553
1209,0.04036,-0.00854,0.02935
1210,0.04091,-0.00806,0.02933
1211,0.04119,-0.00884,0.03544
1212,0.04065,-0.00792,0.03158
1213,0.04064,-0.00923,0.03021
1214,0.04101,-0.00937,0.02924
1215,0.04002,-0.00934,0.03038
1216,0.04136,-0.00986,0.02338
1217,0.04157,-0.00938,0.02433
1218,0.04133,-0.01062,0.02762
1219,0.04154,-0.01225,0.02607
1220,0.03877,-0.01166,0.02353
1221,0.03936,-0.01247,0.02747
1222,0.03862,-0.01307,0.02566
1223,0.038,-0.01421,0.02423
1224,0.04018,-0.0137,0.02471
