gps_week,dn(m),de(m),du(m)
1043,0.0,0.0,0.0
1044,0.00178,0.00035,0.00439
1045,0.0011,0.00129,-0.00102
1046,0.00054,0.00087,-0.00097
1047,0.00147,0.00321,0.00256
1048,0.00071,0.0006,0.00622
1049,0.00304,0.00088,-0.0042
1050,0.00394,0.00161,0.00489
1052,0.00428,0.00109,0.00302
1053,0.00288,0.00098,0.0029
1054,0.00454,0.0019,0.00128
1055,0.00311,0.00287,-0.00825
1056,0.00348,0.00084,-0.00342
1057,0.00245,0.00297,-0.00708
1058,0.00286,0.00266,-0.01023
1059,0.00351,0.00272,-0.00593
1060,0.00527,0.00248,-0.01191
1061,0.00563,0.00206,-0.0088
1062,0.00563,0.00074,-0.0132
1063,0.00622,0.00067,-0.01082
1064,0.00609,0.00069,-0.00566
1065,0.00561,0.00042,-0.0073
1066,0.00496,0.00121,-0.00762
1067,0.00609,0.00013,-0.00775
1068,0.00655,-0.00073,-0.00091
1069,0.00668,0.00085,-0.00889
1070,0.00667,0.00155,-0.01701
1071,0.00581,0.00212,-0.01272
1072,0.00457,0.00073,-0.01351
1073,0.0056,0.00032,-0.00915
1074,0.00553,0.00039,-0.00883
1075,0.00666,0.00032,-0.0095
1076,0.00752,0.0007,-0.00965
1077,0.00754,8e-05,-0.00998
1078,0.00928,-0.00027,-0.01718
1081,0.00781,0.0008,-0.01427
1082,0.00791,0.00152,-0.01463
1083,0.0068,0.00121,-0.01038
1084,0.00695,0.00034,-0.01394
1085,0.0068,7e-05,-0.01041
1086,0.00931,-0.0007,-0.01055
1087,0.00908,-0.00021,-0.00904
1088,0.01009,-0.0008,-0.01404
1089,0.01262,0.00045,-0.00977
1090,0.01252,-0.00195,-0.00693
1091,0.01296,-0.00083,-0.01016
1092,0.01252,-0.00076,-0.00362
1093,0.01346,-0.00031,-0.00724
1094,0.01408,-0.00149,-0.0075
1095,0.01362,-0.00166,-0.00555
1096,0.01542,-0.00183,-0.00412
1097,0.01574,-0.00368,-0.00781
1098,0.01503,-0.00287,-0.00525
1099,0.01579,-0.00307,-0.00288
1102,0.02018,-0.00395,0.01623
1103,0.01641,-0.00139,0.00596
1104,0.01774,-0.00176,0.0023
1105,0.01515,-0.00108,0.00361
1106,0.01536,-0.00215,-0.00023
1107,0.01455,-0.00319,-0.00304
1108,0.01661,-0.0024,-0.0002
1109,0.01576,-0.00163,-0.00117
1110,0.01797,-0.00139,-0.00083
1111,0.01669,0.00019,-0.00284
1112,0.01579,-0.00077,-0.00392
1113,0.01577,-0.00149,-0.00214
1114,0.01677,-0.00285,-0.00328
1115,0.01755,-0.0015,-0.00105
