gps_week,dn(m),de(m),du(m)
1443,0.0,0.0,0.0
1444,0.00161,0.00022,0.00415
1445,0.00164,-0.0005,0.00704
1446,0.00205,-0.00026,0.00712
1447,0.0017,0.00064,0.01043
1448,0.00122,-4e-05,0.01081
1449,0.00089,0.00087,0.0117
1450,0.00187,-0.00127,0.01329
1451,0.00259,-0.00066,0.01264
1452,0.00229,-0.00075,0.01324
1453,0.00191,2e-05,0.0126
1454,0.00215,-0.00106,0.01422
1455,0.00258,-0.00275,0.01094
1456,0.00231,-0.00263,0.00388
1457,0.0022,-0.00306,0.01282
1458,0.00175,-0.00287,0.01138
1459,0.00276,-0.00297,0.00799
1460,0.00454,-0.00271,0.00932
1461,0.00493,-0.00204,0.00904
1463,0.005,-0.0042,0.00296
1464,0.00662,-0.00393,-0.00509
1465,0.00705,-0.00359,-0.00366
1466,0.00719,-0.00439,-0.00148
1467,0.00643,-0.00408,-0.00513
1468,0.00517,-0.00484,-0.00132
1469,0.00685,-0.00578,-0.00845
1470,0.00756,-0.00472,-0.01422
1471,0.00813,-0.0057,-0.01354
1472,0.00822,-0.00438,-0.01915
1473,0.00925,-0.00487,-0.02225
1474,0.00991,-0.00393,-0.01941
1475,0.0073,-0.00416,-0.01757
1476,0.00951,-0.00395,-0.01933
1477,0.01164,-0.00333,-0.01974
1478,0.00994,-0.00285,-0.02725
1479,0.01067,-0.00267,-0.0253
1480,0.01076,-0.00267,-0.02308
1481,0.01046,-0.00356,-0.02164
1482,0.01066,-0.00337,-0.01737
1483,0.01023,-0.00334,-0.01521
1484,0.01104,-0.00364,-0.01555
1485,0.01008,-0.00335,-0.01527
1486,0.01147,-0.00306,-0.01481
1487,0.01181,-0.00285,-0.01637
1488,0.01183,-0.00368,-0.01371
1489,0.01161,-0.00342,-0.01318
1490,0.01265,-0.00328,-0.01088
1491,0.01299,-0.00491,-0.00706
1492,0.01289,-0.00365,-0.00584
1493,0.01325,-0.00353,-0.00275
1494,0.01332,-0.00284,-0.00026
1495,0.01292,-0.00305,0.00047
1496,0.01461,-0.00224,0.00185
1497,0.01347,-0.00183,0.00548
1498,0.0139,-0.00304,0.00426
1499,0.01438,-0.00234,0.00719
1500,0.01355,-0.00239,0.00874
1501,0.01524,-0.00467,0.00554
1502,0.0142,-0.00369,0.00482
1503,0.01491,-0.00404,0.00606
1504,0.0158,-0.0047,0.01291
1505,0.01507,-0.00371,0.01067
1506,0.01413,-0.00446,0.01031
1507,0.01455,-0.00461,0.00834
1508,0.01482,-0.00488,0.00679
1509,0.01551,-0.00458,0.01055
1510,0.01599,-0.0046,0.00648
1511,0.01584,-0.00559,0.00513
1512,0.01531,-0.00678,0.00798
1513,0.0166,-0.00672,0.00393
1514,0.0167,-0.00655,-0.00078
1515,0.0171,-0.00702,-0.0085
1517,0.01776,-0.00617,-0.00915
1518,0.01811,-0.00747,-0.00623
1519,0.01831,-0.00636,-0.01143
1520,0.01913,-0.00777,-0.0149
1521,0.01854,-0.00866,-0.01486
1522,0.02024,-0.00913,-0.01727
1523,0.023,-0.00663,-0.01044
1524,0.02058,-0.00949,-0.0162
1525,0.02173,-0.00881,-0.01934
1526,0.02182,-0.00874,-0.02145
1527,0.02145,-0.00773,-0.0246
1528,0.02227,-0.00763,-0.03884
1529,0.02423,-0.00773,-0.03451
1530,0.02518,-0.00683,-0.03974
1531,0.02617,-0.00689,-0.03564
1532,0.02536,-0.00732,-0.0319
1533,0.02617,-0.00801,-0.03274
1534,0.02582,-0.00921,-0.02728
1535,0.02801,-0.00659,-0.02279
1536,0.02797,-0.00692,-0.02767
1537,0.02702,-0.00972,-0.02989
1538,0.02803,-0.00917,-0.02357
1539,0.02762,-0.00942,-0.02664
1540,0.02819,-0.00994,-0.02169
1541,0.02749,-0.01008,-0.02027
1542,0.02878,-0.00957,-0.01777
1543,0.02908,-0.0092,-0.01334
1544,0.02904,-0.00786,-0.01241
1545,0.02954,-0.00783,-0.00988
1546,0.02961,-0.00707,-0.0093
1547,0.0283,-0.00687,-0.00936
1548,0.02874,-0.00798,-0.00686
1549,0.02803,-0.00817,-0.00728
1550,0.02891,-0.00819,-0.00185
1551,0.02924,-0.00845,0.00067
1552,0.02961,-0.00833,0.00111
1553,0.02952,-0.00838,0.00069
1554,0.0296,-0.00944,0.00357
1555,0.02937,-0.00782,0.00851
1556,0.02884,-0.0084,0.0042
1557,0.03006,-0.01009,0.00472
1558,0.02996,-0.0092,0.00604
1559,0.02963,-0.01017,-2e-05
1560,0.02927,-0.01111,0.00017
1561,0.02928,-0.01073,0.00228
1562,0.03108,-0.01014,-0.0028
1563,0.0295,-0.00976,-0.0008
1564,0.03008,-0.0116,-0.00643
1565,0.03152,-0.01103,-0.0054
1566,0.03109,-0.01128,-0.00941
1567,0.03212,-0.01065,-0.00744
1568,0.03398,-0.01074,-0.01214
1569,0.03431,-0.01207,-0.01457
1570,0.03433,-0.01186,-0.01549
1571,0.03544,-0.01293,-0.01949
1572,0.03466,-0.013,-0.01655
1574,0.03624,-0.01356,-0.01153
1575,0.03657,-0.01396,-0.00991
1576,0.03651,-0.01302,-0.01716
1577,0.03582,-0.01429,-0.01935
1578,0.03654,-0.01338,-0.02473
1579,0.03762,-0.01248,-0.02634
1580,0.03895,-0.01287,-0.02847
1581,0.03762,-0.01251,-0.02323
1582,0.03822,-0.01393,-0.02425
1583,0.03821,-0.01408,-0.02588
1584,0.03966,-0.01331,-0.02364
1585,0.03897,-0.014,-0.02088
1586,0.03854,-0.01461,-0.02164
1587,0.03925,-0.01335,-0.02346
1588,0.04004,-0.01433,-0.01928
1589,0.04064,-0.01459,-0.01861
1590,0.03964,-0.01403,-0.01766
1591,0.0409,-0.01338,-0.01333
1592,0.04212,-0.01496,-0.01319
1593,0.04121,-0.01442,-0.01143
1594,0.04037,-0.01389,-0.00998
1595,0.04014,-0.01217,-0.00858
1596,0.04079,-0.01205,-0.00628
1597,0.04007,-0.01312,-0.00289
1598,0.04085,-0.01308,-0.0022
1599,0.04036,-0.0123,-0.00186
1600,0.04141,-0.01298,0.00066
1601,0.04139,-0.01164,0.00411
1602,0.0424,-0.0114,0.00742
1603,0.04094,-0.01136,0.00966
1604,0.04256,-0.01249,0.00712
1605,0.04251,-0.01232,0.00638
1606,0.04104,-0.01362,0.00299
1607,0.04198,-0.01203,0.00147
1608,0.04192,-0.01388,0.0053
1609,0.0415,-0.01332,0.00217
1610,0.04084,-0.01445,0.00555
1611,0.04128,-0.01449,0.0049
1612,0.04178,-0.01445,0.00798
1613,0.04062,-0.01493,0.00633
1614,0.04241,-0.01358,0.0058
1615,0.04254,-0.0134,0.00551
1616,0.04364,-0.0139,0.00307
1617,0.04357,-0.01385,0.00024
1618,0.0441,-0.01508,0.00301
1619,0.04559,-0.01468,-0.00323
1620,0.04582,-0.0147,-0.01042
1621,0.04548,-0.0161,-0.0149
1622,0.0461,-0.01677,-0.01023
1623,0.04741,-0.01736,-0.01809
1624,0.04867,-0.01629,-0.01843
1625,0.04924,-0.01688,-0.02373
1626,0.04966,-0.01622,-0.02821
1627,0.04915,-0.01718,-0.02759
1628,0.04921,-0.01679,-0.03107
1629,0.04837,-0.01668,-0.02793
1630,0.0488,-0.01663,-0.02566
1631,0.05061,-0.01724,-0.03137
1632,0.05045,-0.01708,-0.03491
1633,0.05176,-0.01685,-0.0338
1634,0.05167,-0.01678,-0.03146
1635,0.05255,-0.01738,-0.02877
1636,0.05082,-0.01758,-0.02866
1637,0.05187,-0.01764,-0.03411
1638,0.05364,-0.01778,-0.02959
1640,0.05295,-0.01848,-0.02552
1641,0.05343,-0.01805,-0.02518
1642,0.05563,-0.01855,-0.02064
1643,0.05309,-0.0184,-0.01812
1644,0.05411,-0.01671,-0.01497
1645,0.05369,-0.01678,-0.01458
1646,0.053,-0.0155,-0.01197
1647,0.05161,-0.01511,-0.00656
1648,0.0526,-0.0168,-0.00878
1649,0.05268,-0.01652,-0.00532
1650,0.05353,-0.0167,-0.00756
1651,0.05215,-0.01638,-0.00505
1652,0.05342,-0.01683,-0.00117
1653,0.05346,-0.01676,-0.00378
1707,0.06327,-0.0148,0.00083
1708,0.06288,-0.01405,0.00571
