gps_week,dn(m),de(m),du(m)
1574,0.0,0.0,0.0
1575,0.00135,-0.00101,-0.00015
1576,0.00342,0.00025,-0.00282
1577,0.00305,0.00077,-0.00139
1578,0.00108,0.00204,-0.00253
1579,0.00219,0.00187,-0.00896
1580,0.0024,0.00055,-0.01049
1581,0.00149,0.00185,-0.01088
1582,0.00344,0.00035,-0.00977
1583,0.00216,0.00148,-0.00683
1584,0.0038,0.00086,-0.00694
1585,0.00243,0.00191,-0.00666
1586,0.0046,-0.00101,-0.00907
1587,0.00443,0.00095,-0.01005
1588,0.00586,-0.00098,-0.00773
1589,0.00706,-0.00104,-0.00339
1590,0.00629,-0.00059,-0.00278
1591,0.00811,-0.00108,0.00231
1592,0.00774,-0.00114,0.00306
1593,0.00818,-0.00096,0.0015
1594,0.00728,-0.00135,0.00346
1595,0.00824,-0.00026,0.00584
1596,0.00809,-0.00048,0.00809
1597,0.00748,-0.00063,0.00853
1598,0.00589,-0.00047,0.01414
1599,0.00627,0.00023,0.01052
1600,0.0061,0.00113,0.01328
1601,0.00617,0.00146,0.01543
1602,0.00786,0.00127,0.01438
1603,0.00826,0.00135,0.01897
1604,0.00973,0.00158,0.01519
1605,0.00834,0.00255,0.01584
1606,0.00849,0.00124,0.01412
1607,0.00703,0.00231,0.01021
1608,0.00669,0.00376,0.01275
1609,0.00533,0.00115,0.0094
1610,0.00733,0.00131,0.00841
1611,0.00668,0.00182,0.00796
1612,0.00729,0.00152,0.01233
1613,0.00638,0.0007,0.01744
1614,0.01207,-0.00214,0.02044
1619,0.00744,0.00089,0.00734
1630,0.01082,-0.00108,-0.01337
1631,0.0132,-0.00102,-0.0103
1632,0.01358,-0.00087,-0.01256
1633,0.01413,-0.00175,-0.01033
1634,0.01316,-0.00193,-0.0164
1635,0.01503,-0.00229,-0.01641
1636,0.0133,-0.00177,-0.01537
1637,0.0147,-0.00308,-0.01812
1638,0.0167,-0.00264,-0.01432
1639,0.01803,-0.0049,-0.01218
1705,0.02871,-0.00573,0.00407
1706,0.0275,-0.00547,0.01664
1707,0.02767,-0.00697,0.01623
1708,0.02891,-0.00719,0.01652
1710,0.02766,-0.0064,0.00238
1711,0.0279,-0.0097,0.00966
1712,0.02931,-0.00847,0.01059
1713,0.02861,-0.00884,0.0083
1714,0.02961,-0.01168,0.01566
1715,0.0272,-0.01254,0.01418
1716,0.02929,-0.01089,0.00856
1717,0.03016,-0.01065,-0.00665
1718,0.02884,-0.01164,0.00387
1719,0.03042,-0.01177,0.00992
1720,0.02919,-0.0094,0.01282
1721,0.03036,-0.00929,0.00141
1722,0.03143,-0.00989,-0.00143
1723,0.03285,-0.01155,-0.00932
1730,0.0388,-0.01166,-1e-05
1731,0.03638,-0.01343,0.00987
1732,0.03864,-0.01007,0.00657
1733,0.041,-0.00936,0.01512
1734,0.0383,-0.00996,0.00963
1735,0.04087,-0.00802,0.01124
1736,0.03695,-0.00869,0.00724
1737,0.03665,-0.01225,-0.01388
1738,0.03722,-0.01578,-0.0123
1739,0.03846,-0.01387,-0.01354
1740,0.03916,-0.01439,-0.0121
1741,0.0383,-0.01485,-0.01084
