gps_week,dn(m),de(m),du(m)
1357,0.0,0.0,0.0
1358,0.00021,0.00082,0.00013
1359,0.00013,-0.00207,-0.00267
1360,0.00062,-0.00049,-0.0009
1361,0.00209,-0.00256,-0.00381
1362,0.00163,-0.00084,-0.00314
1363,0.00373,-0.0019,-0.00231
1364,0.0016,-0.00075,-0.0032
1365,0.00239,-0.00156,-0.00446
1366,0.00201,-0.00182,-0.012
1367,0.00239,-0.00318,-0.01562
1368,0.00211,-0.00288,-0.01787
1369,0.00286,-0.00358,-0.01456
1370,0.00122,-0.00379,-0.01708
1371,0.00206,-0.00422,-0.01827
1372,0.00163,-0.00421,-0.01908
1373,0.00057,-0.00461,-0.02391
1374,0.0017,-0.00579,-0.0244
1375,0.00119,-0.00482,-0.01772
1376,0.00204,-0.00491,-0.02382
1377,0.00238,-0.00551,-0.02319
1378,0.0039,-0.00455,-0.02092
1379,0.00186,-0.00527,-0.02379
1380,0.00394,-0.00459,-0.02217
1381,0.00465,-0.00369,-0.02247
1382,0.00393,-0.00428,-0.02109
1383,0.00309,-0.00379,-0.01583
1384,0.00485,-0.00394,-0.0206
1385,0.0057,-0.00391,-0.01054
1386,0.00469,-0.00579,-0.01964
1387,0.00654,-0.00391,-0.01261
1388,0.00704,-0.00425,-0.01272
1389,0.00728,-0.00463,-0.01465
1390,0.00877,-0.00526,-0.01345
1391,0.00938,-0.00609,-0.00618
1392,0.00959,-0.00469,0.00015
1393,0.00895,-0.00498,-0.00789
1394,0.01134,-0.00353,-0.00545
1395,0.01233,-0.00457,-0.00633
1396,0.01108,-0.00327,-0.00868
1397,0.01085,-0.00371,-0.00644
1398,0.00987,-0.00529,-0.0075
1399,0.01175,-0.00575,-0.00127
1400,0.01071,-0.00525,-0.00648
1401,0.01218,-0.0054,0.00069
1402,0.01259,-0.00537,0.00302
1403,0.01176,-0.00548,0.0052
1404,0.0105,-0.00455,-0.00236
1406,0.01211,-0.00567,-0.0032
1407,0.01282,-0.00517,0.00118
1408,0.013,-0.00593,-0.00542
1411,0.01396,-0.00589,0.005
1412,0.01409,-0.0052,0.0031
1413,0.01383,-0.00565,-0.00294
1414,0.01498,-0.0048,-0.00092
1416,0.01384,-0.00484,-0.00444
1417,0.0145,-0.006,-0.01036
1418,0.01545,-0.00638,-0.00912
1419,0.01469,-0.0064,-0.01437
1420,0.01452,-0.00691,-0.01261
1421,0.01733,-0.00731,-0.00786
1422,0.01657,-0.00932,-0.00484
1423,0.01432,-0.00849,-0.00907
1424,0.01515,-0.00798,-0.00671
1425,0.01562,-0.00825,-0.00595
1426,0.01622,-0.00854,-0.01229
1427,0.01558,-0.00888,-0.01486
1428,0.0179,-0.00915,-0.01349
1429,0.0179,-0.00838,-0.01776
1430,0.01665,-0.00759,-0.01512
1431,0.01608,-0.00863,-0.01442
1432,0.01815,-0.00915,-0.00763
1433,0.01656,-0.0095,-0.00699
1434,0.01881,-0.00776,-0.01508
1435,0.01757,-0.00924,-0.01533
1436,0.01935,-0.00822,-0.01551
1437,0.02011,-0.00886,-0.01406
1438,0.02047,-0.00854,-0.01209
1439,0.02131,-0.0077,-0.01041
1440,0.02167,-0.00878,-0.00748
1441,0.02181,-0.00826,-0.00522
1442,0.02151,-0.00935,-0.00786
1443,0.02309,-0.0102,-0.0076
1444,0.02441,-0.00953,-0.00334
1445,0.02544,-0.00911,0.00084
1446,0.02356,-0.00815,-0.00201
1447,0.02435,-0.00824,-0.00031
1448,0.0249,-0.00853,-0.00065
1449,0.02434,-0.00862,0.00185
1450,0.02452,-0.00836,0.00148
1451,0.0249,-0.00716,0.00266
1452,0.02465,-0.00782,0.00528
1454,0.02534,-0.00938,0.00198
1455,0.02478,-0.00811,0.00333
1456,0.02439,-0.00925,0.002
1459,0.02601,-0.01022,0.00186
1460,0.02682,-0.01011,-5e-05
1461,0.02846,-0.00992,0.00199
1462,0.02809,-0.0117,0.00031
1463,0.02877,-0.00938,-0.006
1464,0.02877,-0.00985,-0.00369
1465,0.02864,-0.01081,-0.00636
1466,0.02797,-0.01129,-0.00691
1467,0.02769,-0.01174,-0.00887
1468,0.02687,-0.01226,-0.00923
1469,0.0277,-0.01282,-0.01287
1470,0.02739,-0.01341,-0.00985
1471,0.02791,-0.01326,-0.01151
1472,0.0272,-0.01314,-0.01748
1473,0.02736,-0.01262,-0.01515
1474,0.02602,-0.01304,-0.01651
1475,0.0272,-0.01311,-0.01801
1476,0.02869,-0.01269,-0.01681
1477,0.02844,-0.01321,-0.01846
1478,0.02824,-0.01262,-0.02124
1479,0.02846,-0.01355,-0.02347
1480,0.02769,-0.01311,-0.02341
1481,0.02873,-0.01353,-0.01836
1482,0.02935,-0.01405,-0.01824
1483,0.02883,-0.01356,-0.02027
1484,0.03025,-0.01326,-0.01516
1485,0.02975,-0.0128,-0.01607
1486,0.03043,-0.01284,-0.0161
1487,0.03153,-0.01257,-0.01704
1488,0.03282,-0.01536,-0.01424
1489,0.03181,-0.01307,-0.01311
1490,0.0338,-0.0141,-0.01131
1491,0.03326,-0.0153,-0.01157
1492,0.03444,-0.01406,-0.01079
1493,0.0343,-0.01287,-0.00866
1494,0.03426,-0.01315,-0.0057
1495,0.03466,-0.01285,-0.00717
1496,0.03561,-0.01137,-0.00335
1497,0.03456,-0.01121,-0.00478
1498,0.03563,-0.01224,-0.00381
1499,0.03584,-0.01228,-0.00086
