gps_week,dn(m),de(m),du(m)
1045,0.0,0.0,0.0
1046,0.00111,-0.00171,-0.00029
1047,0.00145,-0.00473,-0.00927
1048,0.00123,-0.00603,-0.00603
1049,0.00138,-0.00463,-0.00558
1050,0.00458,-0.00477,-0.00231
1051,0.00246,-0.01122,-0.01356
1052,0.00477,-0.01298,-0.00912
1053,0.00335,-0.00971,-0.00674
1054,0.00175,-0.01202,0.00121
1055,0.00386,-0.02011,0.00035
1056,0.00371,-0.02066,-0.01364
1057,0.00355,-0.01611,-0.00983
1058,0.00227,-0.00365,-0.00641
1059,0.00141,-0.00619,-0.00746
1060,0.00103,-0.00339,0.0021
1061,0.00114,-0.00997,-0.00692
1062,0.00444,-0.01016,-0.00118
1063,0.00208,-0.01074,-0.0028
1067,0.00087,0.00222,0.00162
1068,0.0007,0.0031,0.00319
1069,0.00229,4e-05,-0.00031
1070,0.00153,0.00027,-0.0003
1071,0.00293,0.00374,0.00689
1072,0.00273,0.00293,0.00263
1073,0.00215,0.00112,0.00312
1074,0.00254,-0.0027,0.0001
1075,0.00867,0.00024,-0.00411
1076,0.00625,0.00234,0.00341
1077,0.00717,-0.00076,0.00326
1078,0.00628,-0.00951,-0.00661
1079,0.00883,-0.00416,-0.01215
1080,0.00815,-0.00621,-0.00784
1081,0.0098,-0.01222,-0.02625
1082,0.00877,-0.00719,0.00145
1083,0.01621,-0.01107,-0.00709
1084,0.01037,-0.00929,-0.00415
1085,0.01181,-0.01165,-0.01299
1086,0.01065,-0.00767,-0.00301
1087,0.01338,-0.00744,-0.00357
1088,0.01255,-0.0045,-0.00265
1089,0.0106,-0.00928,-0.0056
1090,0.01259,-0.01248,-0.01025
1091,0.01114,-0.00191,-0.0031
1092,0.01283,0.00506,-0.00045
1093,0.01413,9e-05,-0.00488
1094,0.01074,0.00032,0.00654
1095,0.01588,0.00345,-0.0037
1096,0.01436,0.00461,-0.00554
1097,0.01413,0.00524,0.00259
1098,0.014,0.00316,0.0026
1099,0.01548,0.0052,0.00519
1100,0.01525,0.00561,0.00619
1101,0.01542,0.0037,0.01214
1102,0.01623,0.00011,-0.00149
1103,0.01403,-0.00078,-0.00029
1104,0.01428,-0.00049,-0.00727
1105,0.01486,0.00178,-0.00266
1106,0.01504,-0.00187,0.01112
1107,0.01309,-0.00223,-0.00011
1108,0.01544,0.00024,0.00656
1109,0.01631,0.00302,-0.01031
1110,0.01729,0.00252,0.00481
1111,0.01468,0.00501,0.01247
1112,0.01374,0.00313,0.01164
1113,0.01552,0.00518,0.01058
1114,0.01532,0.00941,0.01245
1115,0.01581,0.01063,0.00728
