gps_week,dn(m),de(m),du(m)
1277,0.0,0.0,0.0
1278,-0.00046,-7e-05,0.00595
1279,-0.00058,-0.00061,0.00231
1280,0.00079,-0.00017,0.00211
1281,0.00172,-0.00055,-0.00046
1282,0.00142,-0.0003,-0.00037
1283,0.00189,-0.0004,-0.00022
1284,0.00216,-0.00048,0.00058
1285,0.00129,-0.00077,0.00308
1286,0.00201,-0.00117,0.00518
1287,0.00113,-0.00097,0.00655
1288,0.00108,-0.00334,0.00539
1289,0.00229,-0.00232,0.00937
1290,0.00275,-0.00194,0.0105
1291,0.00273,-0.0008,0.01111
1292,0.002,-0.00143,0.01207
1293,0.00398,-0.00236,0.01763
1294,0.00332,-0.0015,0.02334
1295,0.00422,-0.00062,0.03005
1296,0.00443,-0.00051,0.02901
1297,0.00538,-0.00056,0.03436
1312,0.00799,-0.00236,0.00819
1313,0.00803,-0.00098,0.01122
1314,0.00916,-0.00208,0.0078
1315,0.0095,-0.00239,0.00289
1316,0.00835,-0.00207,0.00168
1317,0.00858,-0.00311,0.00242
1318,0.00828,-0.00222,7e-05
1319,0.00926,-0.00435,0.00653
1320,0.01026,-0.00584,0.00677
1321,0.00999,-0.00445,0.00465
1322,0.01029,-0.00345,0.00452
1323,0.00968,-0.00347,0.00739
1324,0.00942,-0.00327,0.00727
1343,0.01159,-0.00413,0.01704
1344,0.01205,-0.00409,0.0197
1345,0.01234,-0.00327,0.01774
1346,0.01276,-0.0029,0.0231
1347,0.01527,-0.0052,0.02199
1348,0.01504,-0.00483,0.01986
1349,0.01519,-0.0038,0.02197
1350,0.01537,-0.00442,0.02172
1351,0.01611,-0.00342,0.01914
1352,0.01679,-0.00286,0.01776
1353,0.01592,-0.00403,0.01097
1354,0.01635,-0.00435,0.00937
1355,0.01569,-0.00457,0.01099
1356,0.01653,-0.00431,0.01197
1357,0.01656,-0.00507,0.01605
1358,0.01421,-0.00414,0.01237
1359,0.01682,-0.00444,0.01182
1360,0.01589,-0.00441,0.01431
1361,0.01625,-0.00604,0.01041
1362,0.01795,-0.00542,0.01387
1363,0.01935,-0.00569,0.01546
1364,0.02022,-0.00642,0.00835
1365,0.02057,-0.00711,0.01463
1366,0.02111,-0.00664,0.01627
1367,0.01961,-0.00661,0.00795
1368,0.02094,-0.00918,0.01017
1369,0.02156,-0.00793,0.00156
1370,0.02063,-0.00697,0.00556
1371,0.02203,-0.00791,0.00242
1372,0.02169,-0.00741,0.00112
1373,0.01991,-0.0075,0.00454
1374,0.02035,-0.00845,0.00458
1375,0.02038,-0.0079,0.00154
1376,0.01993,-0.00763,-0.00034
1377,0.02049,-0.00729,0.00106
1378,0.01953,-0.00747,0.00468
1379,0.01932,-0.00661,0.00399
1380,0.02048,-0.00642,0.00092
1381,0.02011,-0.00581,0.0041
1382,0.0212,-0.00579,0.00548
1383,0.02032,-0.00521,0.00646
1384,0.02023,-0.00552,0.00289
1385,0.02064,-0.00822,0.00472
1386,0.01947,-0.00704,0.00263
1387,0.01945,-0.00758,0.0073
1388,0.01965,-0.00736,0.00557
1389,0.02053,-0.00717,0.00938
1390,0.02067,-0.00738,0.01342
1391,0.02177,-0.0076,0.01206
1392,0.02151,-0.00669,0.01393
1393,0.02176,-0.00668,0.01994
1394,0.02493,-0.00738,0.00711
1395,0.02393,-0.00749,0.01253
1396,0.02323,-0.00711,0.01526
1397,0.02511,-0.00869,0.01838
1398,0.02572,-0.00954,0.01129
1399,0.02673,-0.00862,0.01384
1400,0.02563,-0.00902,0.01691
1401,0.026,-0.00835,0.00818
1402,0.02766,-0.00798,0.01577
1403,0.02738,-0.00791,0.0127
1404,0.02779,-0.00888,0.01161
1405,0.02745,-0.00788,0.01398
1406,0.02831,-0.00622,0.00216
1407,0.02838,-0.00791,1e-05
1408,0.02737,-0.00828,0.00061
1409,0.02742,-0.0092,0.00484
1410,0.02857,-0.00969,0.00797
1411,0.0299,-0.00995,-0.00142
1412,0.02786,-0.00905,0.00219
1413,0.03052,-0.00963,-0.00678
1414,0.0324,-0.01021,0.00244
1415,0.03104,-0.0107,-0.00012
1416,0.03242,-0.01108,-0.0059
1417,0.03207,-0.01132,-0.00935
1418,0.03147,-0.01164,-0.00783
1419,0.03275,-0.0127,-0.00421
1420,0.03198,-0.01149,-0.00772
1421,0.03267,-0.01244,-0.00696
1422,0.03227,-0.01241,-0.00312
1423,0.03295,-0.0138,-0.00082
1424,0.03109,-0.01332,-0.00048
1425,0.03114,-0.01134,-0.00187
1426,0.03115,-0.01192,-0.00124
1427,0.03261,-0.01136,-0.00524
1428,0.03242,-0.01126,-0.00082
1429,0.03215,-0.00959,-0.0049
1430,0.03279,-0.00756,-0.00314
1431,0.03273,-0.00926,-0.00433
1432,0.03343,-0.01035,-0.00013
1433,0.03367,-0.01011,-0.00203
1434,0.03353,-0.00989,-0.00559
1435,0.0322,-0.00897,-0.00686
1436,0.0317,-0.00851,-0.00625
1437,0.03137,-0.00956,-0.00486
1438,0.03267,-0.00976,-0.00883
1439,0.03352,-0.00939,-0.00415
1440,0.03397,-0.00959,-0.00053
1441,0.03422,-0.00916,0.00218
1442,0.03468,-0.00922,0.00462
1443,0.03611,-0.00893,0.00284
1444,0.03642,-0.00901,0.00438
1445,0.03704,-0.00886,0.00341
1446,0.03576,-0.00809,0.00358
1447,0.03755,-0.00857,0.00998
1448,0.03755,-0.01,0.00965
1449,0.03718,-0.0104,0.00896
1450,0.03585,-0.01212,0.01699
1451,0.03737,-0.0105,0.01408
1452,0.03715,-0.01098,0.01635
1453,0.03736,-0.01132,0.01608
1454,0.03831,-0.01037,0.01432
1455,0.03947,-0.00984,0.01668
1456,0.04104,-0.01093,0.0126
1457,0.03981,-0.01248,0.016
1458,0.04028,-0.01376,0.01219
1459,0.04006,-0.0127,0.00731
1460,0.04138,-0.01385,0.00472
1461,0.04138,-0.0136,0.01736
1462,0.04161,-0.01378,0.01172
1463,0.04337,-0.01265,0.01054
1464,0.04318,-0.01321,0.01441
1465,0.04525,-0.01316,0.01692
1466,0.04484,-0.01359,0.01047
1467,0.04398,-0.01595,0.01701
1468,0.04394,-0.01684,0.00645
1469,0.04431,-0.01529,0.00914
1470,0.04491,-0.01781,0.01329
1471,0.04569,-0.01827,0.00591
1472,0.04559,-0.0175,0.01199
1473,0.04635,-0.01649,0.00697
1474,0.04551,-0.01621,0.00787
1475,0.04548,-0.01742,0.00998
1476,0.04513,-0.01727,0.00571
1477,0.04649,-0.01615,0.00315
1478,0.0455,-0.01519,-0.00069
1479,0.04625,-0.01559,-0.00344
1480,0.04645,-0.01338,-0.00513
1481,0.04632,-0.01391,-0.00077
1482,0.04641,-0.01373,0.00473
1483,0.04539,-0.01385,-0.00148
1484,0.04671,-0.01521,-0.00465
1485,0.04592,-0.01409,-0.00382
1486,0.04606,-0.01359,-0.00657
1487,0.04617,-0.01405,-0.00727
1488,0.04649,-0.01351,-0.00599
1489,0.04611,-0.0144,-0.00332
1490,0.04695,-0.01476,-0.00453
1491,0.04715,-0.01559,0.00022
1492,0.04774,-0.01463,0.00212
1493,0.04825,-0.01418,0.00191
1494,0.04924,-0.014,0.00571
1495,0.04886,-0.01307,0.00829
1496,0.04958,-0.01308,0.00876
1497,0.04868,-0.01286,0.01436
1498,0.04983,-0.01356,0.01415
1499,0.04974,-0.0125,0.01512
1500,0.04874,-0.01277,0.0175
1501,0.05054,-0.01364,0.01397
1502,0.05012,-0.01238,0.01178
1503,0.05091,-0.01202,0.01608
1504,0.0504,-0.01182,0.01492
1505,0.05031,-0.01284,0.02255
1506,0.05029,-0.01448,0.02161
1507,0.05236,-0.01511,0.01453
1508,0.05201,-0.01518,0.01608
1509,0.05252,-0.01278,0.01617
1510,0.05165,-0.01312,0.01162
1511,0.05252,-0.0144,0.01536
1512,0.05227,-0.01503,0.01324
1513,0.05284,-0.01498,0.0094
1514,0.05332,-0.01546,0.00927
1515,0.05362,-0.01548,0.00962
1516,0.05513,-0.01556,0.00257
1517,0.05546,-0.01681,0.00826
1518,0.05397,-0.01758,0.00542
1519,0.05578,-0.01643,0.00493
1520,0.05554,-0.01681,0.00109
1521,0.05513,-0.01991,-0.00165
1522,0.05717,-0.01907,0.00395
1523,0.05706,-0.02055,0.01113
1524,0.05578,-0.02018,0.0081
1525,0.05586,-0.02034,0.00838
1526,0.0575,-0.02117,0.0069
1527,0.05731,-0.01965,0.00291
1528,0.05728,-0.01993,-0.00269
1529,0.05903,-0.01903,-0.00114
1530,0.05797,-0.0183,-0.0057
1531,0.05916,-0.0181,-0.00123
1532,0.05967,-0.01882,-2e-05
1533,0.05843,-0.01931,-0.00407
1534,0.05847,-0.01953,-0.00172
1535,0.05855,-0.01841,-0.00419
1536,0.0581,-0.019,-0.00371
1537,0.05864,-0.01967,-0.00614
1538,0.05929,-0.01917,-0.00523
1539,0.05898,-0.01929,-0.00528
1540,0.05989,-0.02007,-0.00253
1541,0.06001,-0.01937,-0.00132
1542,0.06063,-0.01883,-0.00288
1543,0.06143,-0.01899,0.00399
1544,0.06223,-0.01906,0.00386
1545,0.06211,-0.01812,0.0081
1546,0.06197,-0.02071,0.01277
1547,0.06185,-0.01971,0.01657
1548,0.06206,-0.01978,0.01207
1549,0.06133,-0.01824,0.01399
1550,0.05992,-0.01977,0.02287
1551,0.06188,-0.01866,0.01131
1552,0.0628,-0.02002,0.01888
1553,0.06248,-0.01788,0.01817
1554,0.06258,-0.02018,0.01602
1555,0.06409,-0.01943,0.0196
1556,0.06328,-0.01785,0.01333
1557,0.06369,-0.01943,0.00924
1558,0.06329,-0.01844,0.00853
1559,0.06365,-0.018,0.00433
1560,0.06206,-0.0203,0.01501
1561,0.06336,-0.02088,0.00577
1562,0.06355,-0.02125,0.0092
1563,0.06459,-0.02136,0.0062
1564,0.06413,-0.02146,0.0137
1565,0.06566,-0.021,0.00774
1566,0.06569,-0.02161,0.00629
1567,0.06544,-0.02153,0.00285
1568,0.06536,-0.02119,0.00877
1569,0.06733,-0.02212,0.00435
1570,0.06664,-0.02199,0.0078
1571,0.06768,-0.02206,0.00692
1572,0.06824,-0.02281,0.00688
1574,0.06895,-0.02565,0.00426
1575,0.06872,-0.02405,0.00552
1576,0.06817,-0.02313,0.00981
1577,0.0677,-0.02377,0.0048
1578,0.06964,-0.02428,-0.00032
1579,0.06974,-0.02365,-0.00276
1580,0.0707,-0.02245,-0.00401
1581,0.06723,-0.02271,3e-05
1582,0.06897,-0.02352,-0.0013
1583,0.07072,-0.02363,0.00519
1584,0.07141,-0.0233,0.00079
1585,0.07054,-0.02317,0.00152
1586,0.06927,-0.02377,-0.00065
1587,0.06981,-0.02256,-0.0053
1588,0.06997,-0.02382,-0.00555
1589,0.07035,-0.02403,-0.00483
1590,0.07032,-0.02418,-0.00016
1591,0.07176,-0.02293,-0.00114
1592,0.07091,-0.02366,0.0015
1593,0.07169,-0.0229,0.00406
1594,0.07182,-0.0236,0.00839
1595,0.07102,-0.02262,0.01251
1596,0.07328,-0.02265,0.00599
1597,0.07348,-0.02261,0.00981
1598,0.0725,-0.02225,0.01129
1599,0.07301,-0.02164,0.01391
1600,0.07318,-0.02191,0.01419
1601,0.0727,-0.02078,0.01593
1602,0.07304,-0.02406,0.02128
1603,0.07275,-0.02239,0.02433
1604,0.07317,-0.0221,0.02095
1605,0.07381,-0.02301,0.02462
1606,0.07454,-0.0217,0.02668
1607,0.07398,-0.02211,0.01864
1608,0.07295,-0.02486,0.027
1609,0.07302,-0.02411,0.01992
1610,0.07283,-0.02383,0.0203
1611,0.07288,-0.02398,0.02741
1612,0.07406,-0.02426,0.023
1613,0.07464,-0.02426,0.01712
1614,0.0755,-0.02276,0.02267
1615,0.07648,-0.02423,0.01403
1616,0.07537,-0.02547,0.01916
1617,0.07681,-0.02508,0.0095
1618,0.07787,-0.02737,0.01223
1619,0.0797,-0.02624,0.01185
1620,0.0778,-0.02574,0.00524
1621,0.07843,-0.0258,0.00494
1622,0.07945,-0.02703,0.00696
1623,0.07999,-0.0271,0.0052
1624,0.07977,-0.02747,0.00414
1625,0.0807,-0.02754,0.00738
1626,0.081,-0.027,0.00279
1627,0.08018,-0.02909,0.00686
1628,0.0807,-0.02912,-0.00341
1629,0.08165,-0.02737,-0.00526
1630,0.08041,-0.02826,0.00105
1631,0.08251,-0.02768,-0.00232
1632,0.08222,-0.02904,-0.00563
1633,0.0826,-0.02737,-0.00689
1634,0.0826,-0.0284,-0.0096
1635,0.08322,-0.02871,-0.00457
1636,0.08162,-0.02843,-0.00497
1637,0.08194,-0.02858,-0.01033
1638,0.083,-0.02791,-0.00944
1639,0.08151,-0.02892,-0.00556
1640,0.08203,-0.02807,-0.00713
1641,0.08216,-0.02785,-0.00477
1642,0.08326,-0.02771,-0.00144
1643,0.08296,-0.02801,0.00057
1644,0.08402,-0.02731,0.00077
1645,0.08355,-0.02696,0.0054
1646,0.08364,-0.02616,0.00888
1647,0.08228,-0.02524,0.01333
1648,0.08248,-0.02515,0.01295
1649,0.08093,-0.02514,0.01445
1650,0.08202,-0.02493,0.00808
1651,0.08149,-0.02459,0.00998
1652,0.0825,-0.025,0.00896
1653,0.08263,-0.02399,0.01012
1654,0.08367,-0.0242,0.01196
1655,0.08338,-0.02448,0.01503
1656,0.08359,-0.02528,0.01889
1657,0.08376,-0.02465,0.02364
1658,0.08353,-0.02533,0.02255
1659,0.08488,-0.02658,0.01757
1660,0.08527,-0.02739,0.01522
1661,0.08594,-0.02794,0.01029
1662,0.08473,-0.02764,0.01567
1663,0.08624,-0.02886,0.01687
1664,0.08603,-0.02935,0.01755
1665,0.08809,-0.02773,0.01129
1666,0.08904,-0.02812,0.01769
1667,0.0885,-0.02819,0.00886
1668,0.08787,-0.0288,0.0077
1669,0.08867,-0.02909,0.00382
1670,0.08999,-0.02897,0.008
1671,0.08991,-0.02869,-0.00345
1672,0.09099,-0.02983,-0.00228
1673,0.09311,-0.0292,0.00731
1674,0.0932,-0.02986,0.00543
1675,0.09082,-0.03019,0.00295
1676,0.0914,-0.02965,0.00853
1677,0.09005,-0.03112,0.00428
1678,0.0915,-0.02963,0.00739
1679,0.09224,-0.02964,0.01033
1680,0.09379,-0.03003,0.00757
1681,0.09319,-0.0308,-0.00066
1682,0.09169,-0.03115,0.00302
1683,0.0926,-0.03199,0.00235
1684,0.09236,-0.03185,0.00011
1685,0.09303,-0.0317,0.00233
1686,0.09162,-0.03188,0.00357
1687,0.09341,-0.03139,-0.00038
1688,0.0933,-0.03156,0.00497
1689,0.09257,-0.03224,-0.00139
1690,0.09309,-0.03296,-0.00109
1691,0.09319,-0.03304,0.00202
1692,0.09423,-0.03334,0.00323
1693,0.09375,-0.0334,0.0052
1694,0.09501,-0.03246,0.01141
1695,0.09419,-0.03233,0.01112
1696,0.09402,-0.03226,0.0092
1697,0.09348,-0.03381,0.00856
1698,0.09417,-0.03152,0.00901
1699,0.09469,-0.03096,0.00745
1700,0.09482,-0.03107,0.0098
1701,0.09504,-0.03066,0.01351
1702,0.09502,-0.03006,0.01373
1703,0.09538,-0.03078,0.00951
1704,0.09564,-0.02931,0.01135
1705,0.09646,-0.02923,0.01446
1706,0.09695,-0.03003,0.01455
1707,0.09616,-0.02917,0.01481
1708,0.09658,-0.02868,0.0117
