gps_week,dn(m),de(m),du(m)
1512,0.0,0.0,0.0
1513,0.0006,0.001,-0.00266
1514,0.00047,0.00056,-0.0064
1515,0.00049,0.00113,-0.00624
1516,0.00175,8e-05,-0.00505
1517,0.00347,-0.00047,-0.00374
1518,0.00192,-0.00068,-0.00653
1519,0.00402,0.00077,-0.0127
1520,0.00333,-0.00098,-0.01208
1521,0.00434,-0.00338,-0.00519
1522,0.00511,-0.00217,-0.00657
1523,0.00522,-0.00209,-0.00609
1524,0.00499,-0.00273,-0.00593
1525,0.00421,-0.00207,-0.00906
1526,0.00538,-0.00237,-0.00851
1527,0.00533,0.0004,-0.00828
1528,0.00671,-0.00121,-0.01144
1529,0.00621,-0.00062,-0.00989
1530,0.00711,0.0004,-0.00939
1531,0.00858,-8e-05,-0.00725
1532,0.00919,-0.00057,-0.00985
1533,0.00706,-0.00182,-0.00783
1534,0.00742,-0.00238,-0.01046
1535,0.00861,-0.00192,-0.00957
1536,0.00841,-0.00173,-0.00937
1537,0.0083,-0.00108,-0.00635
1538,0.00874,-0.00051,-0.00928
1539,0.00789,-0.00095,-0.00793
1540,0.00853,-0.00281,-0.01042
1541,0.00848,-0.00257,-0.00662
1542,0.00884,-0.00223,-0.00402
1543,0.01095,-0.00177,-0.00077
1544,0.01023,-0.00049,0.00021
1545,0.01076,-0.00119,0.0051
1546,0.00942,-8e-05,0.00387
1547,0.00889,-0.0004,0.00659
1548,0.00841,-0.00086,0.00353
1549,0.00887,-0.00084,0.00616
1550,0.00861,-0.00137,0.00719
1551,0.0098,-0.00123,0.00828
1552,0.01029,-0.00139,0.00534
1553,0.01064,-0.00092,0.00607
1554,0.0101,-0.00112,0.00783
1555,0.00989,-0.00045,0.00541
1556,0.01096,-0.00032,0.00344
1557,0.01165,-0.00084,0.00062
1558,0.01102,-0.0019,0.00353
1559,0.01152,-0.0026,0.00868
1560,0.01112,-0.00262,0.00444
1561,0.01177,-0.00311,8e-05
1562,0.01216,-0.00328,0.00046
1563,0.01162,-0.00344,0.00262
1564,0.01369,-0.00442,0.00277
1565,0.01284,-0.00405,-0.00059
1566,0.01387,-0.00353,-0.00519
1567,0.01596,-0.00323,-0.00304
1568,0.0156,-0.00464,-0.00587
1569,0.01678,-0.00497,-0.00234
1570,0.01583,-0.00561,-0.00286
1571,0.01723,-0.00582,0.00235
1572,0.01773,-0.00617,0.00736
1574,0.01641,-0.0088,0.00069
1575,0.01665,-0.00888,-0.00315
1576,0.01802,-0.00658,-0.00815
1577,0.01699,-0.00747,-0.0058
1578,0.01728,-0.0068,-0.00631
1579,0.01735,-0.0067,-0.01088
1580,0.01839,-0.00666,-0.00765
1581,0.01717,-0.00644,-0.00418
1582,0.01822,-0.00683,-0.00626
1583,0.01916,-0.00824,-0.00533
1584,0.01882,-0.00837,-0.00569
1585,0.01825,-0.00728,-0.00713
1586,0.0188,-0.00794,-0.00559
1587,0.01841,-0.00767,-0.00845
