gps_week,dn(m),de(m),du(m)
1466,0.0,0.0,0.0
1467,0.00041,-0.00059,-0.00329
1468,0.00019,-0.00053,-0.00483
1469,0.00011,-3e-05,-0.01066
1470,0.00035,-0.00188,-0.00835
1471,0.00178,-0.00153,-0.01192
1472,0.00249,-0.00175,-0.00927
1473,0.00141,-0.00076,-0.00684
1474,0.002,0.00053,-0.00664
1475,0.0003,0.00082,-0.00901
1476,0.00273,0.00244,-0.00852
1477,0.00226,0.00268,-0.01151
1478,0.00205,0.0008,-0.01382
1479,0.00227,0.00119,-0.01437
1480,0.00231,0.00182,-0.01401
1481,0.00268,0.00117,-0.0136
1482,0.00214,0.00152,-0.01437
1483,0.00137,0.00155,-0.01355
1484,0.00177,0.00077,-0.01315
1485,0.00044,0.00177,-0.01358
1486,0.0007,0.00094,-0.01643
1487,0.00112,5e-05,-0.01745
1488,0.0016,-0.00126,-0.01575
1489,0.00107,-0.00097,-0.01106
1490,0.00168,-0.0015,-0.00941
1491,0.00162,-0.00095,-0.00692
1492,0.00166,0.00026,-0.00852
1493,0.00268,-0.00046,-0.0074
1494,0.00327,-0.00046,-0.0074
1495,0.00283,-0.00025,-0.00481
1496,0.00331,-0.00018,0.00017
1497,0.00367,-0.00032,-0.00279
1498,0.00401,0.00064,0.00127
1499,0.00522,0.0004,0.00145
1500,0.00359,0.00124,0.0011
1501,0.00473,0.00161,0.00376
1502,0.00499,0.00165,0.00236
1503,0.0049,0.00137,0.00464
1504,0.00474,0.00069,0.00541
1505,0.00576,0.00167,0.00368
1506,0.00537,0.00107,0.00241
1507,0.00551,0.00242,0.00561
1508,0.00556,0.00101,0.00012
1509,0.00615,0.00162,0.00227
1510,0.00557,0.00285,0.00327
1511,0.00664,0.00214,0.00029
1512,0.00765,0.00145,-0.00257
1513,0.00789,0.00186,0.00246
1514,0.00825,0.00082,0.00315
1515,0.00933,-0.0004,-0.00275
1516,0.01006,0.0007,-0.00692
1517,0.0098,-0.00024,-0.00653
1518,0.00978,0.00012,-0.00325
1519,0.01196,0.00038,-0.00753
1520,0.01166,-0.00203,-0.01159
1521,0.01283,-0.00364,-0.01506
1522,0.01291,-0.00239,-0.00629
1523,0.01398,-0.0036,-0.0067
1524,0.01363,-0.00391,-0.01163
1525,0.01371,-0.0027,-0.00938
1526,0.01375,-0.00257,-0.01541
1527,0.01551,-0.00197,-0.01132
1528,0.01485,-0.00275,-0.01443
1529,0.01646,-0.0022,-0.01448
1530,0.01513,-0.00114,-0.01175
1531,0.01637,-0.00061,-0.00999
1532,0.01693,-0.00138,-0.01166
1533,0.01645,-0.00167,-0.01145
1534,0.01509,-0.00293,-0.01031
1535,0.01564,-0.00161,-0.01572
1536,0.01516,-0.00159,-0.01508
1537,0.0146,-0.00195,-0.01485
1538,0.01505,-0.00093,-0.01274
1539,0.01496,-0.00198,-0.01295
1540,0.01585,-0.00312,-0.01412
1541,0.01473,-0.00333,-0.01137
1542,0.01602,-0.00169,-0.01079
1543,0.01641,-0.00238,-0.00782
1544,0.01829,-0.00297,-0.00724
1545,0.01709,-0.00242,-0.00559
1546,0.01747,-0.00242,-0.00722
1547,0.01726,-0.00314,-0.00201
1548,0.01699,-0.00191,-0.00287
1549,0.01686,-0.00337,-0.00129
1550,0.01618,-0.00407,-0.00124
1551,0.01762,-0.00382,-0.00131
1552,0.01853,-0.00311,0.00126
1553,0.01691,-0.00253,-0.00046
1554,0.01777,-0.00245,0.00034
1555,0.01879,-0.00178,-0.00282
1556,0.018,-0.00416,-0.00185
1557,0.01597,-0.00205,-0.00362
1558,0.02067,-0.00249,-0.00326
1564,0.02005,-0.0037,-0.00346
1565,0.0207,-0.00294,-0.00206
1566,0.02176,-0.00375,-0.01358
1567,0.02162,-0.00359,-0.00783
1568,0.02323,-0.0038,-0.00914
1569,0.02393,-0.00537,-0.00825
1572,0.02416,-0.00784,-0.01155
1574,0.02405,-0.00966,-0.01058
1575,0.02482,-0.01035,-0.00695
1576,0.02556,-0.00957,-0.01412
1577,0.02329,-0.00765,-0.01773
1578,0.02469,-0.00811,-0.01747
1579,0.02599,-0.00943,-0.01778
1580,0.02604,-0.00854,-0.01517
1581,0.02398,-0.00806,-0.01718
1582,0.02446,-0.00906,-0.00918
1583,0.0249,-0.00974,-0.01374
1584,0.02477,-0.00918,-0.0146
1585,0.02614,-0.00978,-0.01509
1586,0.02533,-0.0092,-0.01435
1587,0.02499,-0.00917,-0.01948
1588,0.02507,-0.00981,-0.01212
1589,0.02468,-0.01024,-0.0124
1590,0.0248,-0.01055,-0.01274
1591,0.02558,-0.01025,-0.01106
1592,0.02548,-0.01012,-0.01088
1593,0.02545,-0.00996,-0.00997
1594,0.02588,-0.01062,-0.00782
1595,0.02583,-0.00935,-0.00792
1596,0.02637,-0.01054,-0.00512
1597,0.02747,-0.011,-0.00291
1598,0.02672,-0.01075,-8e-05
1599,0.02598,-0.01012,-0.00043
1600,0.02719,-0.00951,0.00124
1601,0.02688,-0.00991,0.00017
1602,0.0267,-0.00836,0.00322
1603,0.02535,-0.00743,0.00696
1604,0.0268,-0.00719,0.00058
1605,0.02791,-0.00877,0.00322
1606,0.02796,-0.00785,0.00403
1607,0.02705,-0.00804,0.00265
1608,0.02733,-0.00813,0.00346
1609,0.02716,-0.00715,0.00284
1610,0.02678,-0.00845,0.00011
1611,0.0269,-0.00837,0.00205
1612,0.0285,-0.00895,0.00308
1613,0.02766,-0.0076,0.00639
1614,0.02849,-0.00896,0.00586
1615,0.0294,-0.00804,0.00347
1616,0.03009,-0.00947,0.00032
1617,0.03228,-0.00868,-0.00054
1618,0.03287,-0.00963,7e-05
1619,0.03426,-0.00968,-0.00817
1620,0.03339,-0.01253,-0.00442
1621,0.03267,-0.01235,-0.009
1622,0.03329,-0.01389,-0.00393
1623,0.035,-0.01381,-0.01274
1624,0.03644,-0.0144,-0.00896
1625,0.03622,-0.01288,-0.01404
1626,0.03724,-0.01301,-0.01201
1627,0.03659,-0.01342,-0.01063
1628,0.03633,-0.01397,-0.01204
1629,0.03806,-0.0132,-0.01682
1630,0.03739,-0.01237,-0.0158
1631,0.03857,-0.01364,-0.01519
1632,0.03815,-0.01453,-0.01722
1633,0.03905,-0.01387,-0.01918
1634,0.03873,-0.01283,-0.01995
1635,0.03963,-0.01484,-0.0216
1636,0.03824,-0.01436,-0.02112
1637,0.03821,-0.01523,-0.02057
1638,0.03859,-0.01465,-0.02199
1639,0.03707,-0.01543,-0.01754
1640,0.03795,-0.0147,-0.02111
1641,0.0384,-0.01516,-0.01775
1642,0.03941,-0.01465,-0.01657
1643,0.03945,-0.01581,-0.01419
1644,0.04002,-0.01603,-0.01074
1645,0.03941,-0.01536,-0.00827
1646,0.03935,-0.01593,-0.00226
1647,0.03838,-0.01415,-0.00241
1648,0.03905,-0.01409,-0.00201
1649,0.03805,-0.01492,7e-05
1650,0.03766,-0.01474,-0.00336
1651,0.03722,-0.01491,-0.00336
1652,0.03754,-0.01541,0.00105
1653,0.03756,-0.01452,0.00098
1654,0.03847,-0.01609,0.00302
1655,0.03914,-0.0164,0.00481
1656,0.03919,-0.01528,0.00289
1657,0.03906,-0.01332,0.00619
1658,0.03848,-0.01317,-0.0017
1659,0.03975,-0.01391,-0.00049
1660,0.03987,-0.01526,-0.00134
1661,0.03926,-0.01375,0.00577
1662,0.0382,-0.01511,0.00286
1663,0.04023,-0.01523,-0.0014
1664,0.04073,-0.01663,0.00457
1665,0.0412,-0.0158,0.00206
1666,0.04354,-0.01485,-0.00477
1667,0.04527,-0.01584,-0.0013
1668,0.04365,-0.01709,-0.00516
1669,0.04562,-0.01611,-0.00725
1670,0.04656,-0.01597,-0.00413
1671,0.0465,-0.01552,-0.00837
1672,0.04679,-0.01803,-0.01346
1673,0.04908,-0.01707,-0.00797
1674,0.04939,-0.01817,-0.01025
1675,0.0494,-0.01852,-0.00889
1676,0.04898,-0.0197,-0.00509
1677,0.04817,-0.01832,-0.00664
1678,0.04955,-0.01972,-0.01062
1679,0.05003,-0.01966,-0.00573
1680,0.04963,-0.01774,-0.00517
1681,0.04921,-0.01807,-0.00625
1682,0.04928,-0.01726,-0.00463
1683,0.04844,-0.01855,-0.00694
1684,0.04928,-0.01861,-0.01084
1685,0.04865,-0.01743,-0.01131
1686,0.04905,-0.01791,-0.01538
1687,0.04908,-0.01847,-0.01037
1688,0.0492,-0.0174,-0.01372
1689,0.04881,-0.01739,-0.01382
1690,0.04851,-0.02029,-0.01253
1691,0.04877,-0.01957,-0.00826
1692,0.04935,-0.02002,-0.00667
1693,0.04889,-0.01991,-0.00673
1694,0.05047,-0.02047,-0.0078
1695,0.04987,-0.02036,-0.00605
1696,0.04941,-0.02021,-0.00307
1697,0.04968,-0.02004,-0.00343
1698,0.04876,-0.01964,-0.00156
1699,0.04886,-0.01975,-0.00175
1700,0.04969,-0.01954,-0.0026
1701,0.04937,-0.02053,-0.00423
1702,0.04913,-0.01904,-0.00066
1703,0.04914,-0.02074,-0.00203
1704,0.04951,-0.02003,-0.00145
1705,0.05048,-0.01971,0.00192
1706,0.05056,-0.01922,0.00864
1707,0.05001,-0.01904,0.00112
1708,0.05094,-0.01799,0.00875
1709,0.05095,-0.01967,0.00436
1710,0.05063,-0.01799,0.00776
1711,0.0503,-0.01856,0.01241
1712,0.05002,-0.02026,0.00693
1713,0.05152,-0.0201,0.00889
1714,0.05131,-0.01992,0.01036
1715,0.05246,-0.0219,0.00389
1716,0.05371,-0.02126,0.00727
1717,0.05388,-0.02189,0.01255
1718,0.05446,-0.02114,0.00762
1719,0.05604,-0.02078,0.0068
1720,0.0557,-0.02147,0.00547
1721,0.05491,-0.02212,0.0035
1722,0.05616,-0.01993,0.00084
1723,0.05733,-0.02109,0.0031
1724,0.05817,-0.0221,0.0035
1725,0.05956,-0.02205,-0.00069
1726,0.06068,-0.02338,-0.00307
1727,0.05945,-0.02348,0.0001
1728,0.06074,-0.02431,-0.00314
1729,0.06132,-0.02454,0.00111
1730,0.06157,-0.02271,-0.00525
1731,0.06082,-0.02211,-9e-05
1732,0.06259,-0.02249,-0.00503
1733,0.06164,-0.0224,-0.01018
1734,0.06241,-0.02151,-0.00963
1735,0.061,-0.02169,-0.0116
1736,0.06196,-0.02221,-0.01842
1737,0.06176,-0.02371,-0.01629
1738,0.06125,-0.02444,-0.01556
1739,0.06254,-0.02517,-0.01107
1740,0.06179,-0.0252,-0.00716
1741,0.06293,-0.02606,-0.0076
1742,0.06359,-0.02506,-0.0067
1743,0.06376,-0.02555,-0.00883
1744,0.06406,-0.02582,-0.00547
1745,0.06369,-0.02582,0.00265
1746,0.06478,-0.02376,0.00366
1747,0.0644,-0.02435,0.00071
1748,0.0638,-0.0239,0.0004
1749,0.06374,-0.02437,0.00118
1750,0.06432,-0.02397,0.00285
1751,0.06539,-0.0241,-0.00527
1752,0.06416,-0.02452,0.00163
1753,0.06331,-0.02419,0.00178
1754,0.0639,-0.02323,-0.00046
1755,0.06394,-0.02466,-0.00106
1756,0.06374,-0.02348,0.00252
1757,0.06437,-0.0236,0.00258
1758,0.06411,-0.02286,0.00637
1759,0.06397,-0.02372,0.00281
1760,0.06331,-0.02243,0.00774
1761,0.06436,-0.02272,0.00336
1762,0.06316,-0.02358,0.00365
1763,0.06463,-0.02374,0.00283
1764,0.06416,-0.02443,0.0028
1765,0.06596,-0.02546,0.00725
1766,0.06654,-0.0275,0.00893
1767,0.06618,-0.02684,0.00277
1768,0.06836,-0.02587,0.00029
1769,0.06928,-0.02626,0.00535
1770,0.07171,-0.02401,0.00994
1771,0.07092,-0.02748,0.00983
1772,0.07129,-0.02451,0.00495
1773,0.07345,-0.02389,0.0064
1774,0.07146,-0.02705,0.00256
1775,0.07301,-0.02829,0.00511
1776,0.07301,-0.02741,0.00304
1777,0.07421,-0.02809,-0.0032
1778,0.07413,-0.03007,0.00102
1779,0.07523,-0.02976,0.00054
1780,0.07427,-0.02692,0.00561
1781,0.07537,-0.02792,0.00248
1782,0.07524,-0.02769,0.00061
1783,0.07471,-0.02665,0.00077
1784,0.07397,-0.02898,0.00348
1785,0.07316,-0.02642,-0.00928
1786,0.07327,-0.02779,-0.00602
1787,0.07208,-0.02784,-0.0031
1788,0.07301,-0.02815,-0.00502
1789,0.07304,-0.02847,-0.00574
1790,0.07363,-0.03031,-0.00557
1791,0.07458,-0.02832,-0.00429
1792,0.07473,-0.02974,-0.0011
1793,0.07713,-0.0287,7e-05
1794,0.07669,-0.02866,0.00365
1795,0.07623,-0.02847,0.00903
1796,0.07604,-0.02887,0.00629
1797,0.07459,-0.02868,0.00505
1798,0.07506,-0.02673,0.00693
1799,0.0744,-0.02801,0.00713
1800,0.07558,-0.02811,0.00464
1801,0.07459,-0.02793,0.00485
1802,0.0743,-0.02807,0.00731
1803,0.07523,-0.02712,0.00542
1804,0.07562,-0.02829,0.00707
1805,0.07552,-0.02781,0.00964
1806,0.07557,-0.02719,0.008
1807,0.07529,-0.02754,0.01053
1808,0.07531,-0.02672,0.01255
1809,0.0757,-0.02667,0.00939
1810,0.07466,-0.0271,0.01062
1811,0.07546,-0.02732,0.01313
1812,0.07714,-0.02568,0.0082
1813,0.07784,-0.02841,0.0084
1814,0.0773,-0.02885,0.01224
1815,0.07667,-0.02903,0.01192
1816,0.07679,-0.03091,0.01548
1817,0.07895,-0.03019,0.01479
1818,0.07947,-0.03005,0.01729
1819,0.08285,-0.02951,0.01191
1820,0.0847,-0.02584,0.01868
1821,0.08521,-0.02496,0.01661
1822,0.08548,-0.02575,0.01858
1823,0.08387,-0.02594,0.01144
1824,0.08571,-0.02597,0.01002
1825,0.08557,-0.02866,0.01214
1826,0.08585,-0.02896,0.01391
1827,0.08806,-0.0284,0.01467
1828,0.0876,-0.03012,0.01088
1829,0.08746,-0.02942,0.01521
1830,0.08655,-0.0289,0.01006
1831,0.08664,-0.02645,0.00736
1832,0.08897,-0.02598,0.01104
1833,0.09006,-0.02715,0.00604
1834,0.08868,-0.03088,0.00473
1835,0.09038,-0.02882,0.00312
1836,0.08941,-0.02878,0.00177
1837,0.08701,-0.0269,-0.00224
1838,0.08909,-0.02858,-1e-05
1839,0.08852,-0.02835,0.00262
1840,0.08743,-0.02783,0.00399
1841,0.08907,-0.02807,0.00484
1842,0.08989,-0.03028,-0.00161
1843,0.09168,-0.03036,0.00422
1844,0.09216,-0.03135,0.00202
1845,0.09132,-0.02937,0.00566
1846,0.09374,-0.02848,0.00762
1847,0.094,-0.02856,0.00626
1848,0.09239,-0.02931,0.00644
1849,0.09174,-0.02827,0.01121
1850,0.09181,-0.03102,0.00149
1851,0.09072,-0.03052,0.00821
1852,0.08981,-0.02924,0.01013
1853,0.09161,-0.02797,0.00951
1854,0.09086,-0.02912,0.0099
1855,0.08946,-0.03024,0.0082
1856,0.0902,-0.02978,0.01069
1857,0.09105,-0.0299,0.00787
1858,0.09072,-0.0288,0.0099
1859,0.0907,-0.02892,0.01056
1860,0.09168,-0.02838,0.00892
1861,0.09292,-0.02803,0.00915
1862,0.09106,-0.02692,0.01103
1863,0.09167,-0.03097,0.00742
1864,0.09241,-0.02921,0.01212
1865,0.09321,-0.03105,0.00951
1866,0.09308,-0.03156,0.0107
1867,0.09443,-0.029,0.01194
1868,0.09491,-0.0294,0.01079
1869,0.09719,-0.02932,0.01442
1870,0.09527,-0.02854,0.01088
1871,0.09635,-0.02759,0.01243
1872,0.09789,-0.02805,0.01216
1873,0.0984,-0.02801,0.0082
1874,0.09762,-0.02764,0.01032
1875,0.09778,-0.02837,0.01194
1876,0.09935,-0.02985,0.00772
1877,0.09935,-0.03049,0.01156
1878,0.10051,-0.03045,0.01298
1879,0.09862,-0.03071,0.01254
1880,0.10185,-0.0311,0.00714
1881,0.10148,-0.02974,0.0038
1882,0.10195,-0.03073,0.00786
1883,0.10192,-0.03137,0.00562
1884,0.10159,-0.03096,0.00246
1885,0.10314,-0.03025,0.0032
1886,0.10388,-0.03014,-0.00168
1887,0.10256,-0.02853,-0.00155
1888,0.10259,-0.03131,-0.00487
1889,0.10149,-0.03254,-0.00122
1890,0.10129,-0.03173,-0.00436
1891,0.10254,-0.03306,-0.00733
1892,0.10342,-0.03451,-0.0031
1893,0.1048,-0.03311,0.00184
