gps_week,dn(m),de(m),du(m)
1473,0.0,0.0,0.0
1474,-0.00013,-0.00141,0.00513
1483,-0.00029,0.00253,-0.00229
1484,0.00037,0.00091,-0.00356
1485,-0.0003,0.00203,-0.00125
1486,-0.00011,0.00231,-0.00657
1487,7e-05,0.00223,-0.00676
1488,-0.00017,0.0019,-0.0097
1489,-0.00039,0.00128,-0.00524
1490,-0.00025,0.00085,-0.00734
1491,0.0005,0.0002,-0.00339
1492,0.00112,0.00168,-0.00147
1493,0.00142,0.00216,-0.00079
1494,0.00238,0.00227,0.00207
1495,0.00168,0.00317,0.00288
1496,0.00298,0.00274,0.00474
1497,0.00236,0.00248,0.00786
1498,0.00374,0.00179,0.00771
1499,0.00356,0.00182,0.00965
1500,0.00288,0.00148,0.01074
1501,0.00461,0.00122,0.00838
1502,0.00461,0.00187,0.00482
1503,0.00523,0.0015,0.00746
1504,0.00428,0.00107,0.00817
1505,0.00512,0.00128,0.01479
1506,0.00503,0.00069,0.01087
1507,0.00587,0.00102,0.01092
1508,0.00664,0.00064,0.00573
1509,0.0068,0.00162,0.0074
1510,0.00548,0.00134,0.0034
1511,0.0065,-0.00049,0.00443
1512,0.00658,-0.00181,0.00078
1513,0.00677,-0.00149,-0.00014
1514,0.00697,-0.00179,0.00098
1515,0.00755,-0.00184,0.00022
1516,0.00853,-0.00297,-0.00552
1517,0.00936,-0.00263,-0.00072
1518,0.00818,-0.00386,-0.00581
1519,0.00924,-0.00292,-0.00626
1520,0.00941,-0.00363,-0.00835
1521,0.00964,-0.00522,-0.00273
1522,0.01145,-0.00548,-0.00237
1523,0.01126,-0.00661,-6e-05
1524,0.01075,-0.00574,-0.00018
1525,0.01009,-0.00615,-0.00494
1527,0.01172,-0.00464,-0.00653
1528,0.01168,-0.0051,-0.00837
1529,0.01319,-0.00371,-0.0073
1530,0.01249,-0.00279,-0.0115
1531,0.014,-0.00298,-0.00538
1532,0.01414,-0.00398,-0.0068
1533,0.01301,-0.00483,-0.00898
1534,0.01303,-0.00515,-0.00802
1535,0.01323,-0.00461,-0.01053
1536,0.01285,-0.00376,-0.01191
1537,0.0126,-0.00409,-0.00908
1538,0.01411,-0.00456,-0.0096
1539,0.01341,-0.00471,-0.01005
1540,0.01424,-0.00555,-0.00973
1541,0.01459,-0.00502,-0.00688
1542,0.01544,-0.00516,-0.00862
