gps_week,dn(m),de(m),du(m)
1574,0.0,0.0,0.0
1575,0.00071,-0.00107,-0.00285
1576,-0.00034,0.00069,-0.004
1577,-0.00017,0.00088,-0.00791
1578,0.00173,-0.00062,-0.00603
1579,0.00179,-0.00073,-0.00808
1580,0.00173,0.00048,-0.0079
1581,5e-05,0.00046,-0.00579
1582,0.00059,0.00057,-0.00575
1583,0.00191,-0.00043,-0.00623
1584,0.00169,-7e-05,-0.00476
1585,0.00189,-0.00066,-0.00581
1586,0.00142,-0.00025,-0.00673
1587,0.00054,0.00025,-0.00829
1588,0.00139,-0.0003,-0.00351
1589,0.00096,-0.00089,-0.00212
1590,0.00143,-0.0013,-0.0037
1591,0.00239,-0.00156,-0.00064
1592,0.00235,-0.00202,-0.00097
1593,0.00287,-0.00138,-0.00203
1594,0.00308,-0.00152,0.00335
1595,0.00299,-0.0006,0.00214
1596,0.00371,-0.00069,0.00648
1597,0.00405,-0.00071,0.0086
1598,0.00347,-0.00037,0.01131
1599,0.00329,-0.00048,0.01077
1600,0.00378,-0.00011,0.01311
1601,0.0034,0.00055,0.01171
1602,0.00382,0.00096,0.01171
1603,0.00293,0.00122,0.01353
1604,0.00398,0.00139,0.01131
1605,0.00388,0.00015,0.01412
1606,0.00401,0.00024,0.01487
1607,0.00489,0.00188,0.01173
1608,0.00375,0.00097,0.01033
1609,0.00374,0.00029,0.00816
1610,0.00403,0.00053,0.00755
1611,0.00402,-0.00063,0.009
1612,0.00523,-0.00114,0.00753
1613,0.00478,-0.00041,0.01112
1614,0.00649,0.00031,0.01348
1615,0.00699,-0.00019,0.00826
1616,0.00818,1e-05,0.00982
1617,0.00829,0.00032,0.00115
1618,0.00931,-0.00204,-0.00268
1619,0.01103,-0.00185,-0.00271
1620,0.00973,-0.00249,-0.00459
1621,0.01106,-0.00274,-0.00387
1622,0.01043,-0.00333,-0.00144
1623,0.01161,-0.00373,-0.00486
1624,0.01333,-0.00396,-0.00389
1625,0.01207,-0.00417,-0.00681
1626,0.01247,-0.00328,-0.01081
1627,0.01234,-0.00392,-0.01169
1628,0.01278,-0.00397,-0.01259
1629,0.01308,-0.0023,-0.01156
1630,0.01349,-0.00301,-0.01458
1631,0.01448,-0.00377,-0.01073
1632,0.01442,-0.00502,-0.0131
1633,0.01465,-0.00363,-0.01291
1634,0.01448,-0.00304,-0.01505
1635,0.0152,-0.00463,-0.01138
1636,0.01281,-0.00456,-0.0135
1637,0.01399,-0.00472,-0.01476
1638,0.01484,-0.00443,-0.01457
1639,0.01323,-0.00571,-0.01093
1640,0.01426,-0.00603,-0.01313
1641,0.01455,-0.00545,-0.00877
1642,0.01604,-0.00586,-0.00749
1643,0.01503,-0.00579,-0.00387
1644,0.01602,-0.00519,-0.00347
1645,0.01535,-0.0049,-0.00089
1646,0.01573,-0.00479,0.00037
1647,0.01392,-0.00333,0.00843
1648,0.0152,-0.00434,0.00796
1649,0.01424,-0.00419,0.01016
1650,0.01443,-0.00419,0.00428
1651,0.01396,-0.00437,0.00993
1652,0.01447,-0.00412,0.0105
1653,0.01501,-0.00403,0.00521
1654,0.0158,-0.0045,0.01023
1655,0.01517,-0.00427,0.01291
1656,0.01562,-0.00472,0.01238
1657,0.01678,-0.00323,0.01518
1658,0.01507,-0.00323,0.00865
1659,0.0163,-0.00206,0.00693
1660,0.01653,-0.00377,0.00666
1661,0.01658,-0.00265,0.00946
1662,0.01554,-0.00401,0.00334
1663,0.01738,-0.00357,0.00525
1664,0.01705,-0.00415,0.00342
1665,0.01902,-0.00402,0.00422
1666,0.02054,-0.00449,0.00283
1667,0.02059,-0.00489,0.00032
1668,0.02045,-0.00471,-0.00453
1669,0.02189,-0.00377,-0.00629
1670,0.02228,-0.0046,-0.0102
1671,0.02296,-0.0047,-0.00574
1672,0.02337,-0.00572,-0.00641
1673,0.02636,-0.00601,-0.00539
1674,0.02533,-0.00477,-0.00348
1675,0.02449,-0.00697,-0.00759
1676,0.02445,-0.00584,-0.00825
1677,0.02469,-0.00659,-0.00464
1678,0.02546,-0.00584,-0.00628
1679,0.02597,-0.00594,-0.00644
1680,0.02576,-0.00518,-0.00837
1681,0.02578,-0.00594,-0.01183
1682,0.02609,-0.00469,-0.00683
1683,0.02534,-0.00658,-0.00939
1684,0.02491,-0.007,-0.00961
1685,0.02557,-0.00634,-0.00807
