gps_week,dn(m),de(m),du(m)
1461,0.0,0.0,0.0
1462,0.00123,-0.00096,-0.00351
1463,0.00188,0.0001,-0.01055
1464,0.00229,-0.0003,-0.00766
1465,0.00379,-0.00165,-0.01222
1466,0.00436,-0.00234,-0.0112
1467,0.00377,-0.00286,-0.00846
1468,0.0037,-0.00414,-0.01294
1469,0.00303,-0.00348,-0.01489
1470,0.00397,-0.00559,-0.01722
1471,0.00539,-0.00457,-0.0205
1472,0.00424,-0.00501,-0.01605
1473,0.00529,-0.00398,-0.01798
1474,0.00463,-0.00313,-0.01746
1475,0.00554,-0.00393,-0.01861
1476,0.00636,-0.00282,-0.01996
1477,0.0064,-0.00267,-0.02012
1478,0.00554,-0.00221,-0.02354
1479,0.00635,-0.00215,-0.02348
1480,0.00605,-0.00091,-0.02243
1481,0.00665,-0.00129,-0.01891
1482,0.00584,-0.00211,-0.02128
1483,0.00539,-0.00217,-0.02274
1484,0.00618,-0.00307,-0.01922
1485,0.00463,-0.00188,-0.01774
1486,0.00495,-0.0019,-0.02235
1487,0.00499,-0.00171,-0.02267
1488,0.00519,-0.00248,-0.01922
1489,0.00489,-0.00247,-0.01379
1490,0.00561,-0.00325,-0.01302
1491,0.00598,-0.0045,-0.0056
1492,0.00675,-0.00325,-0.01147
1493,0.00621,-0.00215,-0.00946
1494,0.00693,-0.00256,-0.00544
1495,0.00626,-0.00169,-0.00413
1496,0.00749,-0.00178,-0.00235
1497,0.00762,-0.00211,0.00108
1498,0.00805,-0.00199,0.00072
1499,0.00841,-0.00175,0.00285
1500,0.00777,-0.0024,0.00361
1501,0.00931,-0.00187,0.00212
1502,0.00926,-0.00178,0.00178
1503,0.0092,-0.00244,0.00964
1504,0.00957,-0.00294,0.00671
1505,0.00969,-0.00218,0.00614
1506,0.00884,-0.00215,0.00901
1507,0.00936,-0.00155,0.00685
1508,0.00992,-0.0026,0.00099
1509,0.01023,-0.00259,0.00568
1510,0.00961,-0.00255,0.00032
1511,0.01199,-0.00313,0.00083
1512,0.01066,-0.00372,-0.00209
1513,0.01154,-0.00255,-0.01078
1514,0.01247,-0.0026,-0.00481
1515,0.01304,-0.0045,-0.00208
1516,0.01385,-0.00385,-0.0074
1517,0.01352,-0.00654,-0.0067
1518,0.01381,-0.00504,-0.00926
1519,0.01428,-0.00388,-0.01137
1520,0.015,-0.00565,-0.01406
1521,0.01416,-0.0072,-0.0151
1522,0.01601,-0.00786,-0.00985
1523,0.01722,-0.00792,-0.01287
1524,0.01543,-0.00726,-0.01031
1525,0.01532,-0.00671,-0.01445
1526,0.01453,-0.0082,-0.01999
1527,0.01748,-0.00644,-0.02077
1528,0.01766,-0.00695,-0.02257
1529,0.01888,-0.00562,-0.02284
1530,0.01839,-0.00478,-0.02019
1531,0.01862,-0.00452,-0.01742
1532,0.01985,-0.00532,-0.0214
1533,0.01873,-0.00558,-0.01632
1534,0.0187,-0.00607,-0.01697
1535,0.01911,-0.00577,-0.02144
1536,0.01859,-0.00595,-0.02055
1537,0.01821,-0.00573,-0.01832
1538,0.01843,-0.00596,-0.01714
1539,0.01867,-0.00599,-0.0185
1540,0.01866,-0.00678,-0.01699
1541,0.01899,-0.00672,-0.01263
1542,0.01912,-0.00655,-0.01457
1543,0.01999,-0.0066,-0.0111
1544,0.02062,-0.00547,-0.00989
1545,0.02007,-0.00574,-0.00627
1546,0.01964,-0.0051,-0.00256
1547,0.01917,-0.00548,-0.00107
1548,0.01919,-0.00491,-0.00192
1549,0.01842,-0.00602,0.00058
1550,0.01829,-0.00601,0.00169
1551,0.02046,-0.00698,-0.00038
1552,0.01929,-0.00634,0.0029
1553,0.02124,-0.00553,0.00233
