gps_week,dn(m),de(m),du(m)
1460,0.0,0.0,0.0
1461,0.00015,0.00072,0.00034
1462,0.00134,-0.00026,-0.00458
1463,0.00361,0.0017,-7e-05
1464,0.0033,0.00172,-0.00262
1465,0.00488,0.00107,-0.00951
1466,0.00504,0.00058,-0.00737
1467,0.00442,0.00082,-0.0059
1468,0.00578,-0.00132,-0.00783
1469,0.00539,0.00065,-0.00962
1470,0.00429,-0.00067,-0.01191
1471,0.00519,-0.00066,-0.01261
1472,0.00542,2e-05,-0.00538
1473,0.00603,0.00026,-0.00727
1474,0.00704,0.00099,-0.00753
1475,0.00439,-1e-05,-0.01202
1476,0.00642,0.00137,-0.00998
1477,0.0063,0.0012,-0.00917
1478,0.00595,0.00114,-0.01276
1479,0.00682,0.00122,-0.01362
1480,0.00603,0.00248,-0.01078
1481,0.00659,0.00201,-0.00953
1482,0.00641,0.00102,-0.01245
1483,0.00595,0.00073,-0.0106
1484,0.00646,0.00033,-0.01081
1485,0.00482,0.00098,-0.01017
1486,0.00455,0.00022,-0.01373
1487,0.00476,6e-05,-0.01388
1488,0.00577,-0.00069,-0.01034
1489,0.00449,-0.00094,-0.00771
1490,0.00537,-0.00192,-0.00413
1491,0.00604,-0.0022,0.00121
1492,0.00579,-0.00205,-0.00186
1493,0.00612,-0.00098,-0.0022
1494,0.00702,-0.00136,-0.00126
1495,0.00564,-0.00026,0.00072
1496,0.00532,-0.00016,-0.00206
1497,0.00614,0.0001,0.00424
1498,0.00718,-0.00032,0.00364
1499,0.00658,0.00034,0.0071
1500,0.00642,-0.00046,0.00253
1501,0.00812,-0.0002,0.00464
1502,0.00733,-0.00023,0.00155
1503,0.0079,-0.00013,0.00514
1504,0.008,-0.00179,0.00697
1505,0.00842,0.00042,0.0065
1506,0.00716,-0.00049,0.00651
1507,0.00724,-0.0005,0.00166
1508,0.00891,-0.00132,0.00191
1509,0.00892,-0.00065,0.00407
1510,0.00873,-0.00109,0.00059
1511,0.01023,-0.00168,0.00138
1512,0.01031,-0.00182,0.00357
1513,0.01038,-0.00163,-0.00491
1514,0.01165,-0.00205,0.00254
1515,0.01154,-0.00318,-0.00443
1516,0.01238,-0.00212,-0.0056
1517,0.01204,-0.00255,-0.00297
1518,0.01273,-0.00292,-0.00405
1519,0.01466,-0.0005,-0.00052
1520,0.0141,-0.00301,-0.0059
1521,0.01591,-0.00348,-0.01122
1522,0.01552,-0.00411,-0.00368
