gps_week,dn(m),de(m),du(m)
1961,0.0,0.0,0.0
1962,0.00062,-0.00047,0.00039
1963,0.00089,-0.00156,-0.00161
1964,0.00127,-0.00061,0.00023
1965,0.00151,-0.00083,-0.00018
1966,0.00181,-0.00071,0.00178
1967,0.00239,-0.00101,0.00207
1969,0.00238,-8e-05,0.00278
1970,0.00294,-0.00035,0.00336
1971,0.0027,0.00069,0.00462
1972,0.00459,-0.00086,0.00555
1973,0.00275,-0.00034,0.00619
1974,0.00276,0.00236,0.00854
1975,0.00429,-0.00058,0.00689
1976,0.0056,-0.00038,0.00121
1977,0.00417,-0.00025,0.00537
1978,0.00609,-0.0002,0.00358
1979,0.00503,-0.00099,0.00042
1980,0.00777,0.0,-0.00148
1981,0.00679,-0.00183,0.00054
1982,0.00686,-0.00227,0.00099
1983,0.0085,-0.00133,-0.00402
1984,0.00786,-0.002,-0.0062
1985,0.00963,-0.00232,-0.00339
1986,0.00853,-0.00121,-0.00558
1987,0.01138,-0.00067,-0.0056
1988,0.01086,-0.00162,-0.01174
1989,0.01072,-0.00193,-0.00699
1990,0.01309,-0.00111,-0.01003
1991,0.01191,-0.00337,-0.00726
1992,0.01365,-0.00204,-0.00941
1993,0.01303,-0.00169,-0.01082
1994,0.01252,-0.00167,-0.01529
1995,0.01363,0.00013,-0.01298
1996,0.01389,-0.00052,-0.01259
1997,0.01402,-0.00249,-0.01475
1998,0.01362,-0.00119,-0.01257
1999,0.01383,-0.00167,-0.00963
2000,0.01439,-0.00214,-0.01186
2001,0.01495,-0.00052,-0.00889
2002,0.01445,-0.00196,-0.01164
2003,0.01327,-0.00288,-0.01051
2004,0.01366,-0.00375,-0.01033
2005,0.01457,-0.00593,-0.00735
2006,0.01374,-0.0037,-0.01001
2007,0.01332,-0.00349,-0.00683
2008,0.01367,-0.00394,-0.00893
2009,0.01226,-0.00449,-0.01184
2010,0.01374,-0.00395,-0.00588
2011,0.01364,-0.00493,-0.00458
2012,0.01367,-0.00364,-0.0036
2013,0.01409,-0.00415,-0.00264
2014,0.01425,-0.00414,-0.00277
2015,0.01379,-0.00409,-0.00109
2016,0.01516,-0.00493,0.00153
2017,0.0168,-0.00352,-0.0019
2018,0.01602,-0.00446,0.00561
2019,0.01715,-0.00476,0.0007
2020,0.01635,-0.0051,0.00038
2021,0.01644,-0.00612,-0.0023
2022,0.01545,-0.00363,-0.00268
2023,0.01702,-0.00405,-0.00054
2024,0.01684,-0.00321,0.00016
2025,0.01765,-0.00441,0.00194
2026,0.01585,-0.00301,-0.00396
2027,0.01827,-0.00343,-0.00144
2028,0.01713,-0.00373,-0.00513
2029,0.01664,-0.00317,-0.00663
2030,0.01871,-0.00455,-0.00759
2031,0.01969,-0.00501,-0.00651
2032,0.01776,-0.0041,-0.00714
2033,0.01906,-0.00428,-0.00295
2034,0.0204,-0.00304,-0.0028
2035,0.02152,-0.00609,-0.00558
2036,0.02103,-0.00485,-0.00225
2037,0.02178,-0.00367,-0.00351
2038,0.02312,-0.0034,-0.00422
2039,0.02187,-0.00383,-0.00221
2040,0.02405,-0.00417,-0.00435
2041,0.02434,-0.00506,-0.00126
2042,0.02478,-0.00474,-0.00512
2043,0.02572,-0.00517,-0.00466
2044,0.02626,-0.00496,-0.00599
2045,0.0251,-0.00585,-0.01227
2046,0.02563,-0.00493,-0.01566
2047,0.02568,-0.0043,-0.01259
2048,0.02551,-0.00462,-0.01289
2049,0.02722,-0.00328,-0.00855
2050,0.02731,-0.00492,-0.00669
2051,0.02715,-0.00525,-0.00817
2052,0.02706,-0.00452,-0.01015
2053,0.02624,-0.00725,-0.01162
2054,0.02716,-0.00708,-0.00838
2055,0.02588,-0.0046,-0.00841
2056,0.02555,-0.00577,-0.01413
2057,0.02659,-0.00705,-0.01317
2058,0.0256,-0.0077,-0.00998
2059,0.02724,-0.00609,-0.007
2060,0.02471,-0.00594,-0.00675
2061,0.02574,-0.00629,-0.00801
2062,0.02629,-0.0066,-0.00722
2063,0.0253,-0.007,-0.00783
2064,0.02497,-0.00666,-0.00627
2065,0.02591,-0.00715,-0.00591
2066,0.02632,-0.00701,-0.00483
2067,0.02719,-0.00817,0.00041
2068,0.02798,-0.00796,0.00277
2069,0.02799,-0.00671,0.0013
2070,0.02865,-0.00681,0.00354
2071,0.02787,-0.00692,0.00437
2072,0.02787,-0.00702,0.00081
2073,0.02954,-0.00731,0.00565
2074,0.03067,-0.00824,0.00706
2075,0.02897,-0.00676,0.00266
2076,0.02908,-0.00681,0.00542
2077,0.03122,-0.00655,0.00848
2078,0.03212,-0.00689,0.00945
2079,0.03174,-0.00669,0.00635
2080,0.03145,-0.00685,0.00473
2081,0.03108,-0.00629,0.01119
2082,0.03078,-0.00512,0.00793
2083,0.03148,-0.00679,0.00669
2084,0.03324,-0.00558,0.00706
2085,0.0326,-0.00652,0.00275
2086,0.03302,-0.00698,0.00393
2087,0.0365,-0.00582,0.00313
2088,0.03595,-0.0061,0.00393
2089,0.03272,-0.00446,0.01129
2090,0.03346,-0.00577,0.00404
2091,0.0352,-0.00563,0.00127
2092,0.03657,-0.00602,0.00499
2093,0.03757,-0.00616,-0.00026
2094,0.03799,-0.00638,0.00204
2095,0.03875,-0.00647,0.00081
2096,0.03817,-0.00621,4e-05
2097,0.03742,-0.00515,0.00322
2098,0.03826,-0.00659,0.00053
2099,0.0379,-0.00733,0.00187
2100,0.0378,-0.00673,0.00189
2101,0.03726,-0.0078,0.0004
2102,0.03771,-0.00675,0.00237
2103,0.03673,-0.0076,0.00223
2104,0.03767,-0.00788,0.00056
2105,0.03858,-0.00846,0.00181
2106,0.03897,-0.01015,-0.00215
2107,0.0391,-0.00927,-0.00246
2108,0.03804,-0.01036,5e-05
2109,0.03806,-0.00913,0.00026
2110,0.03808,-0.009,0.00274
2111,0.03805,-0.00964,0.00482
2112,0.03829,-0.01013,0.00415
2113,0.03821,-0.01031,0.00704
2114,0.03796,-0.00946,0.00399
2115,0.03815,-0.01009,0.00618
2116,0.03857,-0.01045,0.00757
2117,0.0392,-0.01016,0.00303
2118,0.03961,-0.01089,0.01394
2119,0.03959,-0.01071,0.00926
2120,0.03923,-0.01021,0.00731
