gps_week,dn(m),de(m),du(m)
1924,0.0,0.0,0.0
1925,-0.00133,-0.00084,-0.00587
1926,6e-05,-0.00016,0.00735
1927,-0.00033,-0.00024,-0.00552
1928,0.00072,-0.00318,-0.01134
1932,0.00201,0.00136,-0.01187
1933,0.00284,0.00123,-0.00718
1934,0.00092,-0.00287,-0.00405
1935,0.00281,-0.00117,0.00257
1937,-0.00065,-0.00426,-0.00575
1938,0.0013,-0.00305,-0.00528
1939,0.00201,-0.0024,-0.00733
1940,0.00285,-0.00309,-0.0102
1941,0.0028,-0.00202,-0.01108
1942,0.00274,-0.00379,-0.00965
1943,0.00402,-0.00313,-0.00599
1944,0.00325,-0.00337,-0.01226
1945,0.00447,-0.00341,-0.012
1946,0.00354,-0.00275,-0.01205
1947,0.00352,-0.0023,-0.01216
1948,0.00253,-0.00362,-0.00921
1949,0.00285,-0.00258,-0.01201
1950,0.00494,-0.00307,-0.01202
1951,0.00337,-0.00304,-0.01182
1952,0.00298,-0.00476,-0.00515
1953,0.00364,-0.00389,-0.01256
1954,0.00273,-0.00542,-0.01341
1955,0.00258,-0.00444,-0.01162
1956,0.00331,-0.00475,-0.01437
1957,0.00345,-0.00461,-0.01278
1958,0.00245,-0.00436,-0.01279
1959,0.00259,-0.00334,-0.00912
1960,0.00305,-0.00465,-0.00771
1961,0.00203,-0.00335,-0.00343
1962,0.00248,-0.00384,-0.0035
1963,0.00276,-0.00448,-0.00474
1964,0.00321,-0.00466,-0.00475
1965,0.00377,-0.00476,-0.00095
1966,0.00383,-0.00453,-0.00087
1967,0.00466,-0.00461,0.00023
1968,0.00572,-0.00461,0.00221
1969,0.00492,-0.00306,0.00475
1970,0.00495,-0.00401,0.00757
1971,0.00506,-0.00337,0.00567
1972,0.00652,-0.0049,0.00325
1973,0.00427,-0.005,0.00206
1974,0.00544,-0.00127,0.00581
1975,0.00607,-0.00448,0.007
1976,0.00746,-0.00474,-0.00428
1977,0.00636,-0.00362,0.00278
1978,0.00781,-0.00356,0.00169
1979,0.0075,-0.00475,-0.00358
1980,0.01078,-0.00404,-0.00032
1981,0.00901,-0.00547,-0.00258
1982,0.00891,-0.00621,-0.00337
1983,0.01,-0.00501,-0.00662
1984,0.0103,-0.0058,-0.00648
1985,0.01126,-0.00505,-0.00737
1986,0.01086,-0.00517,-0.00585
1987,0.01292,-0.00511,-0.00758
1988,0.01308,-0.00598,-0.01451
1989,0.01369,-0.0051,-0.01087
1990,0.01432,-0.00498,-0.01042
1991,0.01459,-0.00652,-0.01102
1992,0.01431,-0.00608,-0.01336
1993,0.01555,-0.0046,-0.00627
1994,0.01491,-0.0051,-0.01552
1995,0.01576,-0.00345,-0.01356
1996,0.0157,-0.00415,-0.01041
1997,0.01601,-0.00548,-0.01642
1998,0.01523,-0.00467,-0.01123
1999,0.0159,-0.00522,-0.01072
2000,0.01593,-0.00566,-0.01273
2001,0.01683,-0.004,-0.01035
2002,0.01624,-0.00513,-0.0118
2003,0.01567,-0.0065,-0.01483
2004,0.01521,-0.00733,-0.01454
2005,0.01673,-0.00886,-0.01069
2006,0.0155,-0.00742,-0.01273
2007,0.01504,-0.00684,-0.00774
2008,0.01524,-0.00748,-0.0109
2009,0.01382,-0.00802,-0.01277
2010,0.01434,-0.00734,-0.00893
2011,0.01532,-0.00831,-0.00704
2012,0.0154,-0.0072,-0.00644
2013,0.01554,-0.00769,-0.00521
2014,0.0165,-0.00767,-0.00371
2015,0.01582,-0.00744,-0.00346
2016,0.01699,-0.00763,0.00207
2017,0.01823,-0.00737,-0.00277
2018,0.01748,-0.00765,0.00396
2019,0.0186,-0.00783,-6e-05
2020,0.01817,-0.00907,0.00141
2021,0.01791,-0.00907,-0.00399
2022,0.01768,-0.00739,-0.00647
2023,0.01862,-0.00728,-0.00191
2024,0.01745,-0.00677,-0.00082
2025,0.01942,-0.00713,-0.00038
2026,0.01852,-0.00708,-0.0085
2027,0.01916,-0.00759,-0.00698
2028,0.01888,-0.00732,-0.00622
2029,0.01952,-0.00705,-0.00744
2030,0.02107,-0.00827,-0.01078
2031,0.02185,-0.00859,-0.00719
2032,0.01971,-0.00765,-0.01057
2033,0.02086,-0.00799,-0.00483
2034,0.02228,-0.00763,-0.0025
2035,0.02347,-0.0077,-0.00966
2036,0.02311,-0.00829,-0.01032
2037,0.02375,-0.00767,-0.00593
2038,0.02507,-0.00757,-0.00318
2039,0.02362,-0.00828,-0.00137
2040,0.02533,-0.00813,-0.00405
2041,0.02599,-0.00906,-0.00315
2042,0.02644,-0.00957,-0.00586
2043,0.02807,-0.0074,-0.00232
2044,0.02827,-0.00881,-0.00769
2045,0.02777,-0.0091,-0.00966
2046,0.02795,-0.00786,-0.01681
2047,0.02765,-0.00833,-0.01092
2048,0.02735,-0.00868,-0.01254
2049,0.02923,-0.00777,-0.01188
2050,0.02848,-0.00823,-0.00777
2051,0.02901,-0.00895,-0.00912
2052,0.02886,-0.00777,-0.00748
2053,0.02736,-0.01141,-0.01712
2054,0.02824,-0.01105,-0.01327
2055,0.02741,-0.00867,-0.00941
2056,0.02726,-0.00943,-0.01694
2057,0.02821,-0.01109,-0.0155
2058,0.02703,-0.01151,-0.01226
2059,0.02884,-0.00942,-0.01046
2060,0.02621,-0.00922,-0.00911
2061,0.02764,-0.00984,-0.00962
2062,0.0281,-0.0101,-0.00761
2063,0.02638,-0.0105,-0.01175
2064,0.02634,-0.01056,-0.01014
2065,0.02741,-0.01079,-0.00828
2066,0.02787,-0.01062,-0.00501
2067,0.02881,-0.01181,-0.00082
2068,0.02974,-0.01167,0.00231
2069,0.02938,-0.0095,0.00193
2070,0.03014,-0.01117,0.00257
2071,0.02909,-0.01036,0.00582
2074,0.03265,-0.0132,0.00161
2075,0.03103,-0.01063,-0.00155
2076,0.03105,-0.01103,0.00041
2077,0.03265,-0.0106,0.01028
2078,0.03311,-0.01082,0.00477
2081,0.0317,-0.00948,0.00672
2082,0.03255,-0.00941,0.00089
2083,0.03275,-0.01025,0.00506
2084,0.03386,-0.01011,0.00373
2085,0.03465,-0.01071,-0.00021
2086,0.03607,-0.01002,-0.00026
2087,0.03741,-0.00921,-0.0008
2088,0.03702,-0.01068,0.0058
2089,0.03525,-0.00933,0.00871
2090,0.03552,-0.00916,0.00013
2092,0.04097,-0.00675,0.01119
2093,0.039,-0.00922,0.00285
2094,0.03951,-0.01104,0.0027
2095,0.0392,-0.01048,-0.0026
2096,0.03937,-0.01081,0.00181
2097,0.03986,-0.00962,0.0037
2098,0.04025,-0.00982,0.00119
2099,0.04088,-0.01115,-0.00053
2100,0.03936,-0.01055,0.0012
2101,0.03927,-0.01116,-0.00233
2102,0.03962,-0.01066,0.00136
2103,0.03809,-0.01098,0.00241
2104,0.03988,-0.01139,-0.00085
2105,0.04031,-0.01209,-0.00092
2106,0.0414,-0.01319,-0.00418
2107,0.04131,-0.01264,-0.00346
2108,0.03969,-0.01364,-0.00205
2109,0.03937,-0.0119,0.001
2110,0.03925,-0.01212,-0.00056
2111,0.03915,-0.01271,0.00382
2112,0.04034,-0.01331,0.00043
2113,0.03969,-0.01339,0.00436
2114,0.0395,-0.01247,0.00026
2115,0.04007,-0.01347,0.00264
2116,0.04064,-0.01311,0.00634
2117,0.04115,-0.0133,0.00074
2118,0.04131,-0.01376,0.01198
2119,0.04106,-0.01369,0.00652
2120,0.04111,-0.01332,0.00483
2121,0.0412,-0.01191,0.00686
2122,0.04173,-0.01382,0.01007
2123,0.04185,-0.01327,0.00826
2124,0.04169,-0.01325,0.0065
2125,0.0424,-0.01285,0.01343
2126,0.04234,-0.01309,0.01345
2127,0.04287,-0.01272,0.01557
2128,0.04273,-0.01423,0.01571
2129,0.04308,-0.01383,0.00846
2130,0.04417,-0.01402,0.00848
2131,0.04504,-0.01415,0.01096
2132,0.04619,-0.01412,0.01181
2133,0.04736,-0.0134,0.01243
2134,0.04539,-0.01336,0.01112
2135,0.04665,-0.0145,0.00957
2136,0.0481,-0.01396,0.01133
2137,0.04658,-0.01377,0.01772
2138,0.04656,-0.01352,0.00942
2139,0.04681,-0.0146,0.0085
2140,0.04653,-0.01398,0.00711
2141,0.04708,-0.01393,0.00623
2142,0.04982,-0.01422,0.00516
2143,0.0496,-0.0157,-0.00039
2144,0.04998,-0.01521,-0.00366
2145,0.05066,-0.01453,-0.00052
2146,0.04973,-0.01495,0.00213
2147,0.04943,-0.01419,-0.00158
2148,0.04914,-0.01517,-0.00236
2149,0.04992,-0.01566,0.00046
2150,0.04988,-0.01548,-8e-05
2151,0.04957,-0.01539,-0.00186
2152,0.05093,-0.01568,-0.00053
2153,0.05119,-0.0159,-0.00069
2154,0.05181,-0.01604,-0.00162
2155,0.05216,-0.01636,-0.00488
2156,0.05147,-0.01734,-0.00409
2157,0.05179,-0.01739,-0.00244
2158,0.05143,-0.0171,0.00256
2159,0.05191,-0.01666,0.0054
2160,0.05131,-0.01606,0.00209
2161,0.05112,-0.01632,0.00086
2162,0.05203,-0.01764,-0.00423
2163,0.05131,-0.01704,-0.00103
2164,0.05141,-0.01748,-0.00272
2165,0.05094,-0.01677,-0.00093
2166,0.0516,-0.01626,0.00525
2167,0.05209,-0.01729,-0.00056
2168,0.05186,-0.01725,0.00208
2169,0.05176,-0.0165,0.00084
2170,0.05248,-0.01625,0.00281
2171,0.05184,-0.01619,0.00717
2172,0.05197,-0.01609,0.00883
2173,0.05226,-0.01635,0.00446
2174,0.05206,-0.01695,0.01045
2175,0.05257,-0.01654,0.00976
2176,0.05309,-0.01678,0.01242
2177,0.05264,-0.01728,0.01279
2178,0.05468,-0.01595,0.01361
2179,0.05437,-0.01494,0.00732
2180,0.05404,-0.0157,0.00605
2181,0.05347,-0.01569,0.0029
2182,0.0552,-0.01602,0.00778
2183,0.05495,-0.01567,0.00652
2184,0.05651,-0.01654,0.00459
2185,0.05614,-0.01645,0.00777
2186,0.05685,-0.01631,0.00673
2187,0.05734,-0.01705,0.00204
2188,0.05963,-0.01469,0.00531
2189,0.05968,-0.01593,0.00386
2190,0.05938,-0.01466,0.00874
2191,0.06054,-0.01452,0.00651
2192,0.06187,-0.01627,0.00742
2193,0.06153,-0.01701,0.00579
2194,0.06203,-0.01655,0.01421
2195,0.06241,-0.01544,0.00712
2196,0.0625,-0.01598,0.0051
2197,0.06171,-0.01703,0.00485
2198,0.06113,-0.01651,0.00839
2199,0.06264,-0.01659,0.00698
2200,0.06316,-0.01647,0.00676
2201,0.06222,-0.01713,0.00559
2202,0.06291,-0.01714,0.00624
2203,0.06264,-0.0168,0.00136
2204,0.06297,-0.01756,0.0036
2205,0.06318,-0.0177,-2e-05
2206,0.06351,-0.01696,-0.00144
2207,0.06402,-0.01722,0.00049
2208,0.06267,-0.01758,-0.00408
2209,0.06303,-0.01698,-0.00164
2210,0.06394,-0.01699,-0.00656
2211,0.06317,-0.01667,-0.00185
2212,0.06331,-0.0164,0.00046
2215,0.06218,-0.01861,-0.00317
2216,0.06375,-0.01829,-0.00296
2217,0.06322,-0.01825,0.00158
2218,0.06447,-0.01779,0.00396
2219,0.06391,-0.01776,0.00212
2220,0.06432,-0.01763,0.00362
2221,0.06435,-0.01759,0.00791
2222,0.06464,-0.01805,0.00017
2223,0.06361,-0.01701,0.00445
2226,0.06424,-0.01754,0.00692
2227,0.06406,-0.01749,0.00483
2232,0.06572,-0.01766,0.00052
2233,0.06611,-0.01811,0.00619
2234,0.06591,-0.01762,-0.00106
2235,0.06649,-0.01867,0.00293
2236,0.0667,-0.01848,0.00339
2237,0.06705,-0.01927,-0.00119
2238,0.06663,-0.01982,-0.00416
2239,0.06638,-0.02049,-0.00455
2240,0.0658,-0.02047,-0.00454
2241,0.06806,-0.02026,-0.00314
2242,0.068,-0.02046,-0.00539
2243,0.06927,-0.02122,-0.00561
2244,0.07019,-0.01991,-0.0066
2245,0.07069,-0.01885,-0.00394
2246,0.07007,-0.0204,-0.00336
2247,0.06992,-0.02063,-0.00768
2248,0.06867,-0.02115,-0.00732
2249,0.07053,-0.02106,-0.00542
2250,0.06991,-0.0204,-0.01042
2251,0.07059,-0.02118,-0.01351
2252,0.07061,-0.02306,-0.01453
2253,0.07131,-0.02153,-0.01309
2254,0.07018,-0.02099,-0.01693
2255,0.07195,-0.02257,-0.01937
2256,0.07228,-0.02223,-0.0138
2257,0.07248,-0.0226,-0.01721
2258,0.07128,-0.0231,-0.01845
2259,0.07221,-0.02279,-0.01955
2260,0.07238,-0.02117,-0.02026
2261,0.07163,-0.02269,-0.01921
2262,0.07113,-0.02185,-0.01944
2263,0.07181,-0.02183,-0.01709
2264,0.07175,-0.02165,-0.02068
2265,0.07183,-0.02175,-0.01803
2266,0.07142,-0.02211,-0.02146
2267,0.07217,-0.0219,-0.01717
2268,0.07194,-0.02245,-0.01602
2269,0.07276,-0.02233,-0.01332
2270,0.07327,-0.0219,-0.01176
2271,0.07371,-0.02286,-0.01851
2272,0.07334,-0.02275,-0.01565
2273,0.07325,-0.02329,-0.0142
2274,0.07333,-0.02231,-0.00987
2275,0.07362,-0.02251,-0.01003
2276,0.07356,-0.02318,-0.00289
2277,0.07373,-0.02284,-0.00636
2278,0.07434,-0.02206,-0.00498
2279,0.07384,-0.02231,-0.0061
2280,0.07406,-0.02378,-0.00306
2281,0.07472,-0.02368,-0.00098
2282,0.07453,-0.02343,0.00242
2287,0.07612,-0.02389,-0.00361
2288,0.07595,-0.02376,0.00443
2289,0.07649,-0.02425,0.00229
2290,0.07732,-0.02465,-0.00085
2291,0.0775,-0.02431,-0.00326
2292,0.0778,-0.02432,-0.00051
2293,0.07931,-0.02392,-0.00019
2294,0.07896,-0.02385,-0.00156
