gps_week,dn(m),de(m),du(m)
1628,0.0,0.0,0.0
1629,0.00087,0.00183,-0.00088
1630,0.00063,0.00131,-0.00434
1631,0.00279,-0.00067,-0.00386
1632,0.0032,-0.0014,-0.00273
1633,0.00264,-0.00072,-0.00053
1634,0.00235,7e-05,-0.00456
1638,0.00378,-0.00199,-0.0021
1639,0.00214,-0.00245,0.00269
1640,0.00262,-0.00353,0.00172
1641,0.00347,-0.00289,0.0037
1642,0.004,-0.00366,0.00485
1645,0.00265,-0.00211,0.01217
1646,0.00264,-0.00165,0.01287
1647,0.00102,-0.00101,0.01733
1648,0.0019,-0.00132,0.01545
1664,0.0069,-0.00246,0.01343
1665,0.0079,-0.00293,0.00838
1666,0.00869,-0.00101,0.01042
1667,0.00805,-0.00187,0.00454
1668,0.00845,-0.001,0.0085
1669,0.00976,-0.00173,0.00807
1670,0.01032,-0.00141,0.00386
1671,0.01125,-0.00118,0.00227
1672,0.01381,-0.00164,0.00036
1673,0.01433,-0.00283,0.00302
1674,0.01415,-0.00208,0.00288
1675,0.01209,-0.00327,0.00046
1676,0.01233,-0.00259,0.00163
1677,0.01277,-0.00286,0.00102
1678,0.01435,-0.0016,-0.00434
1679,0.01387,-0.00302,4e-05
1680,0.01433,-0.00166,-0.00604
1681,0.01406,-0.0021,-0.00511
1682,0.01525,-0.00375,-0.00306
1683,0.01468,-0.00483,-0.00396
1684,0.01468,-0.00601,-0.00395
1685,0.0152,-0.00497,-0.00188
1686,0.01423,-0.00495,-0.00458
1687,0.01505,-0.00563,-0.00238
1688,0.01423,-0.00505,-0.00159
1689,0.01418,-0.0059,-0.00332
1690,0.01503,-0.00721,0.00174
1691,0.01511,-0.00628,0.00093
1692,0.01545,-0.00721,0.00312
1693,0.01528,-0.00816,0.00564
1694,0.01532,-0.00671,0.00805
1695,0.01383,-0.00627,0.01091
1696,0.01346,-0.00592,0.00977
1698,0.01355,-0.00593,0.01286
1699,0.01375,-0.0058,0.01347
1700,0.01351,-0.00597,0.01484
1701,0.01406,-0.00636,0.01594
1702,0.0143,-0.00536,0.01653
1703,0.01468,-0.00657,0.01772
1704,0.01495,-0.00583,0.01878
1705,0.01567,-0.00539,0.02359
1706,0.01638,-0.00632,0.02555
1707,0.01506,-0.00573,0.02258
1708,0.0151,-0.00527,0.02292
1709,0.0164,-0.00677,0.02431
1710,0.01655,-0.00488,0.02514
1711,0.0178,-0.00491,0.02631
1712,0.01669,-0.00651,0.03085
1713,0.01785,-0.00584,0.02592
1714,0.01921,-0.00739,0.02083
1715,0.01863,-0.00654,0.02163
1716,0.0208,-0.00624,0.02137
1717,0.02106,-0.00713,0.01926
1718,0.02109,-0.00694,0.02484
1719,0.0224,-0.00669,0.02207
1720,0.02201,-0.00761,0.01991
1721,0.0223,-0.00678,0.01948
1722,0.02336,-0.00737,0.01546
1723,0.02394,-0.00736,0.01061
1724,0.02458,-0.00757,0.01122
1725,0.02443,-0.00734,0.0064
1726,0.026,-0.00813,0.00487
1727,0.02491,-0.00812,0.00739
1728,0.02663,-0.0083,0.00944
1729,0.02745,-0.00771,0.00492
1730,0.02815,-0.00712,0.0068
1731,0.02714,-0.00872,0.00739
1732,0.02786,-0.00791,-0.00115
1733,0.02696,-0.00818,-0.00502
1734,0.02811,-0.00795,-0.00032
1735,0.0262,-0.0078,-0.0045
1736,0.02776,-0.00687,-0.00658
1737,0.02743,-0.00703,-0.00244
1738,0.02871,-0.00747,-0.0023
1739,0.02923,-0.00789,-7e-05
1740,0.02856,-0.00896,0.00311
1741,0.02947,-0.00896,0.00635
1742,0.03024,-0.00944,0.00632
1743,0.02913,-0.00986,0.00613
1744,0.02962,-0.01003,0.01013
1745,0.02946,-0.00937,0.01252
1746,0.0294,-0.0086,0.01456
1747,0.02863,-0.00802,0.01429
1748,0.02869,-0.00756,0.01141
1749,0.02822,-0.00779,0.01479
1750,0.02809,-0.00974,0.01444
1751,0.029,-0.00913,0.01502
1752,0.02842,-0.0094,0.01787
1753,0.02835,-0.00939,0.0151
