gps_week,dn(m),de(m),du(m)
1526,0.0,0.0,0.0
1527,0.0022,0.002,-0.00198
1531,0.00521,0.00258,0.00362
1537,0.00254,0.00146,0.00771
1538,0.00314,0.00184,0.00959
1539,0.00294,0.00123,0.01137
1540,0.00273,0.00135,0.01326
1541,0.00275,0.00067,0.01652
1542,0.00342,0.00076,0.01939
1543,0.00419,0.00083,0.0211
1544,0.00411,0.00256,0.02256
1545,0.00439,0.00176,0.02341
1546,0.00381,0.00274,0.02939
1547,0.00507,0.00271,0.02996
1548,0.00454,0.003,0.03335
1549,0.00448,0.0028,0.03377
1550,0.00458,0.00107,0.03457
1551,0.00377,0.00199,0.03578
1552,0.00441,0.00157,0.04145
1553,0.00569,0.00264,0.04038
1554,0.006,0.00207,0.03815
1555,0.00607,0.00181,0.03709
1556,0.00519,0.00308,0.03499
1557,0.00632,0.00194,0.03576
1558,0.00577,0.00318,0.03398
1559,0.00528,0.00131,0.03506
1560,0.00554,0.00041,0.03359
1561,0.00668,0.0016,0.02697
1562,0.00723,0.00154,0.02356
1563,0.0065,0.00148,0.02662
1564,0.00781,0.00143,0.01999
1565,0.00839,0.00206,0.02174
1566,0.00802,0.00066,0.01539
1567,0.00852,0.0017,0.01713
1568,0.00981,0.00032,0.01545
1569,0.00925,0.00184,0.01741
1570,0.009,-3e-05,0.01386
1571,0.00998,0.00034,0.01419
1572,0.01001,-0.00217,0.01146
1574,0.01034,-0.00249,0.0053
1575,0.01014,-0.00168,0.01752
1576,0.01113,-0.00123,0.00951
1577,0.00989,-0.00094,0.00863
1578,0.01141,-0.00098,0.00455
1579,0.0122,-0.00072,0.00288
1580,0.0131,-0.00066,0.00574
1581,0.0105,-0.00109,0.00612
1582,0.01175,-0.00118,0.01159
1583,0.01213,-0.00183,0.009
1584,0.01297,-0.00213,0.01044
1585,0.0123,-0.0016,0.00925
1586,0.01163,-0.00149,0.00811
1587,0.01183,-0.0011,0.00454
1588,0.01249,-0.00274,0.00863
1589,0.01286,-0.00236,0.01187
1590,0.01281,-0.00286,0.01341
1591,0.01384,-0.00277,0.01844
1592,0.01409,-0.00524,0.02365
1593,0.01468,-0.00283,0.0193
1594,0.01485,-0.00245,0.02544
1595,0.01409,-0.00149,0.02488
1596,0.01503,-0.0006,0.02677
1597,0.01506,-0.00074,0.03087
1598,0.01464,0.0,0.03467
1599,0.01415,-0.00117,0.03307
1600,0.01492,-0.00054,0.03442
1601,0.01435,-0.00075,0.03882
1602,0.01512,-0.00049,0.03985
1603,0.01461,3e-05,0.04117
1604,0.01552,-0.00044,0.04029
1605,0.01593,0.00025,0.0421
1606,0.01493,0.00027,0.04397
1607,0.01594,0.00069,0.03635
1608,0.01602,-0.00314,0.03263
1609,0.0154,-0.00132,0.03783
1610,0.01584,-0.00176,0.02846
1611,0.01626,-0.00212,0.0346
1612,0.01648,-0.00337,0.03782
1613,0.01629,-0.00145,0.03714
1614,0.01814,-0.00099,0.03495
1615,0.01878,-0.00121,0.02991
1616,0.02001,-0.00194,0.03041
1617,0.02065,-0.00091,0.02673
1618,0.01987,-0.00206,0.02787
1619,0.02159,-0.00286,0.02393
1620,0.02062,-0.0025,0.01561
1621,0.02085,-0.00286,0.01929
1622,0.02297,-0.00388,0.01678
1623,0.02235,-0.00393,0.01624
1624,0.02313,-0.00389,0.01587
1625,0.0229,-0.00327,0.01449
1626,0.02305,-0.00364,0.00854
1627,0.02262,-0.00361,0.01352
1628,0.02265,-0.00261,0.008
1629,0.02311,-0.00237,0.00953
1630,0.0225,-0.00159,0.00469
1631,0.02326,-0.00312,0.00348
1632,0.02334,-0.00438,0.00397
1633,0.02463,-0.00271,0.00268
1634,0.02474,-0.00401,0.00179
1635,0.02595,-0.00324,0.00488
1636,0.02407,-0.0041,0.00367
1637,0.02496,-0.00449,0.0024
1638,0.02684,-0.0046,0.00242
1639,0.0257,-0.00551,0.00732
1640,0.026,-0.0051,0.00846
1641,0.02669,-0.00504,0.01282
1642,0.02828,-0.00576,0.01332
1643,0.02655,-0.00537,0.01796
1647,0.0244,-0.00282,0.02569
1648,0.02561,-0.00378,0.02716
1649,0.02461,-0.0037,0.03068
1650,0.02569,-0.00428,0.02636
1651,0.02495,-0.00415,0.03015
1652,0.02565,-0.00333,0.0332
1653,0.02457,-0.00264,0.03379
1654,0.02645,-0.00247,0.03511
1655,0.02555,-0.00347,0.04037
1656,0.02615,-0.00345,0.04085
1657,0.02534,-0.00367,0.04135
1658,0.02623,-0.00373,0.03861
1659,0.02697,-0.00335,0.03372
1660,0.02762,-0.00321,0.03602
1661,0.02813,-0.00137,0.03426
1662,0.02782,-0.00377,0.0327
1663,0.02886,-0.00315,0.03282
1664,0.02989,-0.00417,0.03213
1665,0.03278,-0.00439,0.03116
1666,0.03113,-0.00446,0.02766
1667,0.03209,-0.00548,0.02573
1668,0.0304,-0.00463,0.02687
1669,0.03129,-0.00518,0.02819
1670,0.03244,-0.00375,0.0209
1671,0.03248,-0.00735,0.02422
1674,0.03463,-0.00432,0.01727
1675,0.034,-0.00596,0.00986
1676,0.03357,-0.00514,0.00959
1677,0.03467,-0.00691,0.01148
1678,0.03568,-0.00526,0.00735
1679,0.03657,-0.00518,0.00691
1680,0.03652,-0.00535,0.00125
1681,0.03568,-0.00596,0.00673
1682,0.03543,-0.00609,0.01011
1683,0.03585,-0.0071,0.00542
1684,0.03554,-0.00776,0.00339
1685,0.03613,-0.00671,0.00527
1686,0.03547,-0.00742,0.00245
1687,0.0358,-0.00695,0.00389
1688,0.03609,-0.00706,0.00595
1689,0.03561,-0.00789,0.00518
1690,0.03716,-0.0091,0.00496
1691,0.03695,-0.00936,0.00979
1692,0.03724,-0.0089,0.0109
1693,0.03685,-0.01063,0.01321
1694,0.03743,-0.0083,0.01272
1695,0.03639,-0.00801,0.01477
1696,0.03637,-0.00764,0.01443
1697,0.03647,-0.00876,0.01897
1698,0.03657,-0.00733,0.02095
1699,0.03705,-0.00732,0.02144
1700,0.0375,-0.00732,0.02387
1701,0.03723,-0.00721,0.0254
1702,0.03742,-0.00585,0.02846
1703,0.03798,-0.00749,0.02902
1704,0.03839,-0.00582,0.03123
1705,0.03902,-0.00537,0.03563
1706,0.03925,-0.0069,0.03935
1707,0.03863,-0.00731,0.03441
1708,0.03884,-0.00735,0.04205
1709,0.04051,-0.00831,0.03779
1710,0.03879,-0.00599,0.04179
1711,0.03961,-0.00709,0.04367
1712,0.04121,-0.00828,0.0366
1713,0.04128,-0.00784,0.04096
1714,0.04033,-0.00777,0.03998
1715,0.04155,-0.00744,0.03962
1716,0.0427,-0.00947,0.03575
1717,0.04305,-0.0094,0.03459
1718,0.04318,-0.00918,0.03453
1719,0.04483,-0.00925,0.03331
1720,0.04464,-0.00954,0.02963
1721,0.04384,-0.00997,0.03517
1722,0.04641,-0.01019,0.02678
1723,0.04606,-0.01081,0.02612
1724,0.0458,-0.01083,0.02076
1725,0.04678,-0.00993,0.02095
1726,0.04691,-0.01128,0.01911
1727,0.04688,-0.01134,0.01488
1728,0.04722,-0.01155,0.01387
1729,0.04947,-0.00993,0.012
1730,0.049,-0.01088,0.01224
1731,0.04776,-0.01156,0.01211
1732,0.04972,-0.01051,0.00696
1733,0.04905,-0.01009,0.00961
1734,0.04944,-0.01028,0.00615
1735,0.04895,-0.01107,0.00825
1736,0.05051,-0.00997,0.00447
1737,0.05042,-0.00922,0.0048
1738,0.0504,-0.01123,0.00604
1739,0.05147,-0.01233,0.00878
1740,0.05167,-0.01217,0.00918
1741,0.05273,-0.01258,0.0094
1742,0.05247,-0.01227,0.01332
1743,0.05333,-0.013,0.01344
1744,0.05224,-0.01194,0.01973
1745,0.05194,-0.0118,0.02095
1746,0.05224,-0.01038,0.01954
1747,0.05236,-0.01023,0.019
1748,0.05158,-0.00998,0.01709
1749,0.05169,-0.01024,0.02318
1750,0.05144,-0.01154,0.02273
1751,0.05283,-0.01081,0.02226
1752,0.05237,-0.01155,0.02784
1753,0.05205,-0.01172,0.02988
1754,0.053,-0.01064,0.03085
1755,0.05284,-0.01076,0.02892
1756,0.05328,-0.01029,0.03046
1757,0.05363,-0.01134,0.03317
1758,0.05445,-0.01156,0.0346
1759,0.05448,-0.01232,0.03432
1760,0.05413,-0.01127,0.04309
1761,0.05385,-0.0105,0.03619
1762,0.05372,-0.01199,0.03763
1763,0.05593,-0.01227,0.03799
1764,0.05511,-0.01337,0.0386
1765,0.05722,-0.01288,0.03859
1766,0.05836,-0.01504,0.03312
1767,0.05797,-0.01685,0.03906
1768,0.05908,-0.01467,0.03455
1769,0.05981,-0.01427,0.02667
1770,0.0597,-0.01317,0.02961
1771,0.05844,-0.01393,0.03577
1772,0.05905,-0.01325,0.02599
1773,0.06038,-0.01477,0.02432
1774,0.06123,-0.01356,0.02496
1775,0.06121,-0.01499,0.02163
1776,0.0611,-0.01405,0.02083
1777,0.06034,-0.01286,0.02245
1778,0.06151,-0.01532,0.02205
1779,0.0638,-0.015,0.02326
1780,0.06312,-0.01316,0.01745
1781,0.06399,-0.01296,0.00943
1782,0.06345,-0.01379,0.00648
1783,0.06249,-0.01384,0.00764
1784,0.06211,-0.01386,0.00516
1785,0.06217,-0.01302,0.00111
1786,0.06217,-0.01417,0.00578
1787,0.06202,-0.01554,0.00348
1788,0.06297,-0.01507,0.00642
1789,0.06227,-0.01507,0.00409
1790,0.06375,-0.01563,0.00437
1791,0.0649,-0.01536,0.00775
1792,0.06388,-0.01498,0.00999
1793,0.06511,-0.01557,0.01122
1794,0.06453,-0.01547,0.01263
1795,0.06418,-0.01606,0.01502
1796,0.06261,-0.01637,0.01296
1797,0.06304,-0.01483,0.01305
1798,0.06286,-0.01457,0.01354
1799,0.06189,-0.01581,0.01263
1800,0.06302,-0.01595,0.01428
1801,0.06314,-0.01663,0.01574
1802,0.06287,-0.01629,0.02026
1803,0.06414,-0.01593,0.02286
1804,0.06312,-0.01609,0.0211
1805,0.0638,-0.01536,0.02476
1806,0.06398,-0.01582,0.02405
1807,0.06426,-0.01532,0.02846
1808,0.06353,-0.01591,0.02922
1809,0.06425,-0.01574,0.03134
1810,0.06377,-0.01466,0.03163
1811,0.06398,-0.01626,0.03441
1812,0.06486,-0.01521,0.03198
1813,0.06547,-0.01645,0.03371
1814,0.06675,-0.01915,0.02896
1815,0.06709,-0.01888,0.03301
1816,0.06623,-0.01852,0.03963
1817,0.06772,-0.02039,0.04122
1818,0.07016,-0.01811,0.03805
1819,0.06922,-0.01796,0.03718
1820,0.06874,-0.01682,0.03285
1821,0.06932,-0.01529,0.03067
1822,0.06932,-0.01545,0.03158
1823,0.06936,-0.01765,0.02933
1824,0.07029,-0.01805,0.03142
1825,0.07082,-0.01898,0.02958
1826,0.07218,-0.01759,0.03033
1827,0.07167,-0.01735,0.03077
1828,0.07316,-0.01839,0.02918
1829,0.07378,-0.01825,0.02544
1830,0.072,-0.01801,0.02624
1831,0.07335,-0.01824,0.023
1832,0.07489,-0.01861,0.02079
1833,0.07541,-0.0182,0.01958
1834,0.0764,-0.01849,0.0141
1835,0.07612,-0.01782,0.02269
1836,0.07691,-0.01763,0.01705
1837,0.07494,-0.01681,0.00509
1838,0.07434,-0.01746,0.00914
1839,0.07519,-0.01745,0.01296
1840,0.07457,-0.01723,0.00782
1841,0.07694,-0.01778,0.01093
1842,0.07796,-0.01771,0.01029
1843,0.07927,-0.01827,0.01369
1844,0.07862,-0.01973,0.01116
1845,0.07886,-0.01864,0.01382
1846,0.0797,-0.01822,0.01134
1847,0.08027,-0.01851,0.01584
1848,0.07927,-0.01746,0.0148
1849,0.07828,-0.01697,0.01612
1850,0.07666,-0.01829,0.01231
1851,0.07792,-0.01929,0.0173
1852,0.07697,-0.01946,0.01786
1853,0.07792,-0.01957,0.02189
1854,0.07717,-0.0191,0.01928
1855,0.07695,-0.01967,0.0217
1856,0.07797,-0.01817,0.02477
1857,0.07864,-0.01795,0.02346
1858,0.07792,-0.01735,0.02643
1859,0.07726,-0.01771,0.03575
1860,0.07858,-0.01777,0.02915
1861,0.08039,-0.01843,0.03177
1862,0.07974,-0.01802,0.03353
1863,0.08007,-0.0178,0.03784
1864,0.07957,-0.01958,0.04215
1865,0.0814,-0.02083,0.04008
1866,0.08091,-0.01988,0.03967
