gps_week,dn(m),de(m),du(m)
1811,0.0,0.0,0.0
1812,0.00161,0.00252,0.00268
1813,0.00165,0.00114,0.0024
1814,0.00188,-0.00093,0.0001
1815,0.00348,-0.0016,0.00643
1816,0.00167,-0.00246,0.0122
1817,0.00201,-0.00287,0.0041
1818,0.00431,-0.00162,0.00773
1819,0.00446,-0.0011,0.00098
1820,0.00354,-0.00021,-0.00072
1821,0.00547,-0.00055,0.00137
1822,0.00578,-0.00101,0.00017
1823,0.00457,-0.00132,-0.00442
1824,0.00456,-0.00098,-0.00625
1825,0.00599,-0.0025,-0.00504
1826,0.00647,-0.00136,-0.00844
1827,0.00652,-0.00062,-0.00841
1828,0.00812,-0.00164,-0.01013
1829,0.0081,-0.00218,-0.01375
1830,0.0075,-0.00083,-0.00902
1831,0.00725,-0.00286,-0.01415
1832,0.00864,-0.00035,-0.01987
1833,0.00896,-0.00111,-0.01874
1834,0.00936,-0.00243,-0.01603
1835,0.00927,-0.00344,-0.02098
1836,0.01024,-0.00241,-0.01991
1837,0.00886,0.00099,-0.02682
1838,0.00761,-0.0015,-0.02538
1839,0.00902,-0.00242,-0.02126
1840,0.0073,-0.00226,-0.0269
1841,0.01003,-0.00257,-0.02872
1842,0.01013,-0.0036,-0.02211
1843,0.01274,-0.00273,-0.02577
1844,0.01179,-0.00443,-0.0282
1845,0.01155,-0.00429,-0.02934
1846,0.01152,-0.00223,-0.02506
1847,0.01247,-0.00309,-0.02406
1848,0.01059,-0.00206,-0.0233
1849,0.01022,-0.00186,-0.01947
1850,0.00909,-0.00438,-0.02278
1851,0.01019,-0.00439,-0.01762
1852,0.00919,-0.00546,-0.01734
1853,0.00978,-0.00524,-0.01647
1854,0.01057,-0.00457,-0.01677
1855,0.00872,-0.0057,-0.01683
1856,0.01004,-0.00401,-0.01329
1857,0.00998,-0.00438,-0.01425
1858,0.00961,-0.00323,-0.01236
1859,0.00866,-0.00365,-0.00698
1860,0.01129,-0.00341,-0.00822
1861,0.01088,-0.0046,-0.00696
1862,0.00943,-0.00308,-0.00412
1863,0.01153,-0.00412,0.00616
1864,0.01049,-0.00433,0.00739
1865,0.01206,-0.00525,0.00329
1866,0.01083,-0.00401,0.00108
1867,0.01285,-0.00241,0.00849
1868,0.01389,-0.00385,0.0108
1869,0.01437,-0.00503,0.00285
1870,0.01366,-0.00491,0.0079
1871,0.01416,-0.0052,0.00863
1872,0.01379,-0.00493,0.00983
1873,0.01471,-0.00364,0.0098
1874,0.01342,-0.00573,0.00709
1875,0.01549,-0.0052,0.00862
1876,0.01565,-0.00338,0.00683
1877,0.01697,-0.00612,0.00885
1878,0.01702,-0.00381,0.00735
1879,0.01618,-0.00378,0.00296
1880,0.01832,-0.0048,0.0013
1881,0.0174,-0.00411,0.0027
1882,0.01912,-0.00343,0.00081
1883,0.01815,-0.00386,-0.00356
1884,0.01835,-0.00388,-0.00587
1885,0.01924,-0.00485,-0.00523
1886,0.02007,-0.00542,-0.00774
1887,0.01962,-0.00476,-0.01365
1888,0.02012,-0.00554,-0.0159
1889,0.02026,-0.00798,-0.01392
1890,0.02039,-0.00449,-0.01734
1891,0.02023,-0.00525,-0.02264
1892,0.02245,-0.00802,-0.01224
1894,0.02488,-0.00617,-0.01526
1895,0.02321,-0.00526,-0.02102
1896,0.02214,-0.00576,-0.01384
1897,0.02329,-0.00584,-0.01751
1898,0.02254,-0.0062,-0.01659
1899,0.02276,-0.00527,-0.01178
1900,0.0241,-0.0063,-0.01536
1901,0.022,-0.00831,-0.01379
1902,0.02224,-0.00807,-0.01045
1903,0.02181,-0.00842,-0.01133
1904,0.02195,-0.00736,-0.01085
1905,0.02217,-0.00822,-0.00814
1906,0.02335,-0.00815,-0.00799
1907,0.02301,-0.00725,-0.00611
1908,0.02312,-0.00819,-0.00494
1909,0.02282,-0.0079,0.00047
1910,0.02418,-0.0074,0.00588
1911,0.024,-0.00615,0.00285
1912,0.02471,-0.008,0.00537
1913,0.02328,-0.00824,0.00382
1914,0.02528,-0.0092,0.00834
1915,0.02563,-0.00787,0.00708
1916,0.02643,-0.00994,0.00715
1917,0.02735,-0.00855,0.01591
1918,0.02759,-0.00776,0.01095
1919,0.02696,-0.00788,0.01443
1920,0.02971,-0.00863,0.01016
1921,0.02776,-0.00874,0.00945
1922,0.02768,-0.00883,0.01457
1923,0.02888,-0.0082,0.00774
1924,0.02857,-0.00989,0.00855
1925,0.02909,-0.0116,0.00137
1926,0.02939,-0.00975,0.0098
1927,0.03029,-0.00979,0.00325
1928,0.03009,-0.00993,-0.0015
1929,0.02958,-0.00882,0.00203
1930,0.02986,-0.00978,-0.00165
1931,0.03026,-0.00994,-0.00399
1932,0.03106,-0.00831,-0.0041
1933,0.03172,-0.00912,-0.00962
1934,0.02917,-0.01115,-0.00625
1935,0.02958,-0.00919,-0.01155
1936,0.0284,-0.01048,-0.00877
1937,0.02835,-0.01084,-0.01748
1938,0.02948,-0.01052,-0.01576
1939,0.02981,-0.01087,-0.01763
1940,0.02952,-0.01117,-0.01388
1941,0.02968,-0.01007,-0.02134
1942,0.02961,-0.01121,-0.01834
1943,0.03057,-0.01113,-0.01479
1944,0.03001,-0.01181,-0.01891
1945,0.0316,-0.01154,-0.02019
1946,0.03146,-0.01122,-0.02044
1947,0.03121,-0.01045,-0.02006
1948,0.03071,-0.01285,-0.01531
1949,0.03154,-0.01139,-0.01272
1950,0.0314,-0.01266,-0.01327
1951,0.03091,-0.01059,-0.01604
1952,0.03112,-0.01283,-0.0173
1953,0.03177,-0.01171,-0.01253
1954,0.03056,-0.01293,-0.01294
1955,0.03057,-0.01149,-0.01438
1956,0.03178,-0.01248,-0.01356
1957,0.03214,-0.0122,-0.01147
1958,0.03102,-0.01231,-0.01265
1959,0.03123,-0.01174,-0.00863
1960,0.03219,-0.01261,-0.00926
1961,0.03171,-0.01252,-0.00186
1962,0.0323,-0.01181,0.00327
1963,0.03114,-0.01299,0.0012
1964,0.03225,-0.01332,0.00297
1965,0.03246,-0.0135,0.0061
1966,0.03346,-0.01411,0.00883
1967,0.0336,-0.01305,0.00903
1968,0.0338,-0.01401,0.01436
1969,0.03392,-0.01362,0.01446
1970,0.03347,-0.01393,0.01584
1971,0.0334,-0.0139,0.0151
1972,0.03557,-0.01397,0.01315
1973,0.0336,-0.01508,0.01589
1974,0.03468,-0.01421,0.01848
1975,0.03651,-0.01719,0.01338
1976,0.03677,-0.01633,0.00546
1977,0.03605,-0.01506,0.00802
1978,0.03607,-0.01491,0.00628
