gps_week,dn(m),de(m),du(m)
1473,0.0,0.0,0.0
1474,0.00045,0.00054,0.00048
1475,-0.00016,0.001,-0.00041
1476,6e-05,0.00164,0.00211
1477,0.00083,0.00189,0.00251
1478,0.00069,0.0018,-0.00704
1479,0.00079,0.00192,-0.00112
1480,0.00082,0.00255,-0.0009
1481,0.0016,0.00181,0.00063
1482,0.00042,0.00151,0.0019
1483,-0.00039,0.00175,0.00366
1484,0.00065,0.0013,0.00211
1485,-0.00101,0.00214,0.00155
1486,-0.00022,0.00174,0.00315
1487,5e-05,0.00211,0.0034
1488,-0.00013,0.00163,0.00614
1489,-0.0003,0.00191,0.00765
1490,0.00106,0.00112,0.00973
1491,0.00117,0.00072,0.01193
1492,0.00088,0.0012,0.01262
1493,0.00136,0.00153,0.01315
1494,0.00147,0.00201,0.01912
1495,0.00177,0.00201,0.01974
1496,0.00375,0.00232,0.01877
1497,0.00209,0.00296,0.02582
1500,0.00367,0.00085,0.02507
1501,0.00409,0.00161,0.02399
1502,0.00549,0.00127,0.02269
1503,0.00571,0.00011,0.02778
1504,0.00658,0.00088,0.03112
1505,0.00571,0.00162,0.02415
1506,0.00574,0.00148,0.02769
1507,0.00668,0.00085,0.02056
1508,0.00723,0.00047,0.02431
1509,0.00727,0.00085,0.01985
1510,0.00708,0.00167,0.01783
1511,0.00925,-9e-05,0.01579
1512,0.00779,-0.00165,0.00887
1513,0.00836,-0.00122,0.01048
1514,0.00889,-0.00102,0.00851
1515,0.01043,-0.00044,0.00683
1516,0.01059,-0.00108,0.00986
1517,0.01066,-0.00186,0.00478
1518,0.01011,-0.00121,0.00438
1519,0.01068,-0.00097,0.00321
1520,0.01143,-0.00226,0.00111
1521,0.01065,-0.00283,-0.00018
1522,0.01228,-0.00333,0.00223
1523,0.01264,-0.00394,-0.00187
1524,0.01215,-0.00381,-0.00043
1525,0.0128,-0.00248,-0.0005
1526,0.01308,-0.00417,-0.00411
1527,0.01313,-0.00304,-0.00742
1528,0.01478,-0.00315,-0.00673
1529,0.01397,-0.00324,-0.00682
1530,0.01438,-0.00134,-0.01403
1531,0.01542,-0.00138,-0.0046
1532,0.01493,-0.00206,-0.00858
1533,0.01464,-0.00292,-0.00691
1534,0.01475,-0.00245,-0.0042
1535,0.01573,-0.00277,-0.00831
1536,0.01494,-0.00262,-0.00756
1537,0.01455,-0.00384,-0.00939
1538,0.01489,-0.00293,-0.00409
1539,0.01478,-0.00268,-0.00059
1540,0.01519,-0.00368,-0.00025
1541,0.01485,-0.00397,0.0033
1542,0.01559,-0.00332,0.00653
1543,0.01564,-0.00282,0.00822
1544,0.0153,-0.00216,0.00927
1545,0.016,-0.00165,0.01278
1546,0.01564,-0.0018,0.01698
1547,0.01527,-0.00194,0.01587
1548,0.01476,-0.00155,0.01902
1549,0.01483,-0.00116,0.02056
1550,0.01501,-0.00303,0.02207
1551,0.0158,-0.00232,0.02238
1552,0.01671,-0.0013,0.01879
1553,0.01808,-0.00233,0.01901
1554,0.01828,-0.0016,0.02539
1555,0.01915,-0.00292,0.01504
1556,0.0191,-0.0017,0.00692
1557,0.01862,-0.00253,0.01726
1558,0.01814,-0.00261,0.01427
1559,0.01729,-0.0027,0.01346
1560,0.01784,-0.00279,0.01535
1561,0.01838,-0.00306,0.01013
1562,0.01951,-0.00414,0.00995
1563,0.01932,-0.00395,0.00374
1564,0.01968,-0.00495,0.00313
1565,0.01944,-0.00339,0.00082
1566,0.02024,-0.00534,-0.00198
1567,0.02094,-0.00476,-0.00252
1568,0.0215,-0.00354,-0.00513
1569,0.02239,-0.00443,-0.00227
1570,0.02302,-0.00545,-0.00258
1571,0.02369,-0.00587,-0.00021
1572,0.02478,-0.00818,-0.00488
1574,0.02458,-0.00838,-0.01188
1575,0.0236,-0.0081,-0.00034
1576,0.02417,-0.0069,-0.00379
1577,0.02371,-0.00779,-0.00444
1578,0.02469,-0.0074,-0.01073
1579,0.02608,-0.00719,-0.01311
1580,0.02526,-0.00671,-0.01196
1581,0.02435,-0.00731,-0.00571
1582,0.02489,-0.00762,-0.00496
1583,0.02493,-0.00761,-0.00297
1584,0.02532,-0.00781,0.00036
1585,0.02472,-0.00769,-0.00343
1586,0.02416,-0.00773,-0.00653
1587,0.02462,-0.00673,-0.00689
1588,0.02476,-0.00746,-0.00221
1589,0.02482,-0.00755,0.00187
1590,0.02496,-0.00751,0.00121
1591,0.02653,-0.00716,0.00418
1592,0.02666,-0.00848,0.00388
1593,0.02627,-0.00817,0.00359
1594,0.02656,-0.00703,0.00858
1595,0.02665,-0.00588,0.00792
1596,0.027,-0.00577,0.01172
1597,0.02697,-0.0055,0.01366
1598,0.02694,-0.00593,0.01554
1599,0.02672,-0.00589,0.01732
1600,0.02714,-0.00534,0.01796
1601,0.0268,-0.00516,0.0183
1602,0.02783,-0.00523,0.02095
1603,0.02728,-0.00481,0.02531
1604,0.02803,-0.00538,0.02382
1605,0.02862,-0.00646,0.02251
1606,0.02858,-0.00532,0.02658
1607,0.02936,-0.00415,0.02099
1608,0.02944,-0.00612,0.01905
1609,0.02747,-0.00733,0.02047
1610,0.02833,-0.00724,0.0141
1611,0.0289,-0.00667,0.01472
1612,0.02937,-0.00951,0.0168
1613,0.02845,-0.00727,0.01884
1614,0.03073,-0.00663,0.01621
1615,0.03198,-0.00743,0.0156
