gps_week,dn(m),de(m),du(m)
1621,0.0,0.0,0.0
1622,0.00141,-0.00076,-0.00881
1623,0.00142,-0.00095,-0.01127
1624,0.00282,-0.00093,-0.00998
1625,0.00225,-0.00112,-0.01007
1626,0.0023,-0.00016,-0.01486
1627,0.00173,-0.00093,-0.01436
1628,0.00306,-0.00078,-0.01705
1629,0.00272,-0.00044,-0.02086
1630,0.00222,0.00016,-0.02345
1631,0.00422,-0.00051,-0.02124
1632,0.00387,-0.00154,-0.02331
1633,0.00424,-0.00041,-0.02248
1634,0.00399,-0.00137,-0.02557
1635,0.00554,-0.00132,-0.022
1636,0.00413,-0.00211,-0.0213
1637,0.00383,-0.00284,-0.02199
1638,0.00527,-0.00283,-0.02028
1639,0.00398,-0.00484,-0.01724
1640,0.00482,-0.00421,-0.01472
1641,0.00482,-0.00396,-0.01248
1642,0.00639,-0.00492,-0.00973
1643,0.0049,-0.00457,-0.00629
1644,0.00599,-0.00413,-0.00493
1645,0.0046,-0.00315,-0.00435
1646,0.00471,-0.00303,-0.00236
1647,0.00288,-0.00153,0.00024
1648,0.00442,-0.00275,-0.00085
1649,0.00357,-0.00267,0.00241
1650,0.00323,-0.00365,0.00084
1651,0.00293,-0.00295,0.00788
1652,0.00474,-0.00301,0.01013
1659,0.0054,-0.00193,0.01305
1660,0.00662,-0.00207,0.01025
1661,0.00562,-0.0013,0.01175
1662,0.00656,-0.00149,0.00411
1663,0.00778,-0.00164,0.00857
1664,0.00738,-0.00319,0.00359
1665,0.01053,-0.003,0.00612
1666,0.01171,-0.00256,0.00011
1667,0.01148,-0.00339,-0.00178
1668,0.01021,-0.0026,0.00187
1669,0.01061,-0.00287,-0.00433
1670,0.01266,-0.00171,-0.00524
1671,0.01291,-0.00231,-0.00395
1672,0.01455,-0.0022,-0.01023
1673,0.01606,-0.00279,-0.00611
1674,0.0149,-0.00185,-0.00907
1675,0.01398,-0.00313,-0.01525
1676,0.01374,-0.00167,-0.01635
1677,0.01408,-0.0025,-0.01052
1678,0.01585,-0.00198,-0.01485
1679,0.01634,-0.00323,-0.01943
1680,0.01674,-0.00269,-0.02102
1681,0.01611,-0.00287,-0.01811
1682,0.01714,-0.00263,-0.01896
1683,0.01659,-0.0046,-0.01813
1684,0.01664,-0.00526,-0.02352
1685,0.01754,-0.00403,-0.01968
1686,0.01621,-0.0052,-0.02285
1687,0.01618,-0.00501,-0.01767
1688,0.0161,-0.00524,-0.01788
1689,0.01643,-0.0058,-0.02104
1690,0.01723,-0.0068,-0.01668
1691,0.01625,-0.00689,-0.01334
1692,0.0161,-0.00734,-0.0114
1693,0.0162,-0.00786,-0.00799
1694,0.01721,-0.00689,-0.00969
1695,0.01572,-0.0064,-0.00659
