gps_week,dn(m),de(m),du(m)
1356,0.0,0.0,0.0
1357,0.00028,0.00202,0.00029
1358,-0.00047,0.00103,-0.00398
1359,-0.00056,0.00053,-0.005
1360,0.00017,0.0014,-0.00773
1361,0.00038,-0.00047,-0.01474
1362,0.00077,-0.00014,-0.02016
1363,0.00135,-0.00032,-0.01936
1364,-0.00028,0.00104,-0.02157
1365,-0.00149,0.00041,-0.02313
1366,-0.00144,7e-05,-0.02489
1367,-0.0022,0.00021,-0.03
1368,-0.00151,5e-05,-0.03212
1369,-0.001,-0.00026,-0.02996
1370,-0.00199,-0.0005,-0.03185
1371,-0.00265,0.00015,-0.03526
1372,-0.00157,0.00053,-0.03643
1373,-0.00347,0.00083,-0.0462
1374,-0.00264,-0.00014,-0.04633
1375,-0.00151,-0.00085,-0.04699
1376,-0.00054,-0.00059,-0.04784
1377,-0.00055,-0.00137,-0.04781
1378,1e-05,-0.00187,-0.05061
1379,-0.00024,-0.00136,-0.0492
1380,0.00192,-0.00208,-0.04863
1381,0.00184,-0.00222,-0.04195
1382,0.00366,-0.00117,-0.04145
1383,0.0028,-0.00176,-0.03365
1384,0.0041,-0.00198,-0.03483
1385,0.00478,-0.00194,-0.02723
1386,0.00473,-0.00337,-0.0281
1387,0.00586,-0.00297,-0.02114
1388,0.00766,-0.00252,-0.0137
1389,0.00748,-0.0027,-0.01171
1390,0.00997,-0.00198,-0.00351
1391,0.01015,-0.00267,0.00077
1392,0.01053,-0.00252,0.00267
1393,0.01157,-0.00348,0.0018
1395,0.0144,-0.00293,0.01409
1396,0.01226,-0.00253,0.01242
1397,0.01222,-0.00174,0.01009
1398,0.01047,-0.00038,0.01642
1399,0.01227,-0.00296,0.01624
1400,0.0109,-0.00103,0.01405
1401,0.01038,-0.00093,0.01345
1402,0.01056,-0.0011,0.01024
1403,0.012,-0.00128,0.01237
1404,0.01178,-0.00257,0.01287
1405,0.0103,-0.00265,0.00678
1406,0.01115,-0.00255,0.00444
1407,0.01213,-0.00316,0.00017
1408,0.01142,-0.00423,-0.00235
1409,0.01082,-0.00356,-0.00341
1410,0.01141,-0.00342,-0.00544
1411,0.01272,-0.00447,-0.00305
1412,0.01271,-0.00452,-0.00455
1413,0.0116,-0.00385,-0.0082
1414,0.01306,-0.00417,-0.00863
1415,0.01093,-0.00306,-0.00335
1416,0.01097,-0.00359,-0.00557
1417,0.01133,-0.00325,-0.00884
1418,0.01155,-0.00357,-0.01209
1419,0.01049,-0.00245,-0.01795
1420,0.01073,-0.00403,-0.01437
1421,0.01227,-0.00429,-0.01546
1422,0.01016,-0.00509,-0.0225
1423,0.01154,-0.00567,-0.02446
1424,0.01071,-0.00526,-0.02764
1425,0.01004,-0.00524,-0.02673
1426,0.01136,-0.00625,-0.03306
1427,0.01219,-0.00483,-0.03913
1428,0.01241,-0.00561,-0.04375
1429,0.01147,-0.0062,-0.04878
1430,0.01129,-0.00576,-0.04962
1431,0.01134,-0.00691,-0.04262
1432,0.01344,-0.00666,-0.03937
1433,0.01449,-0.00588,-0.03705
1434,0.01445,-0.00618,-0.03499
1435,0.01487,-0.00771,-0.03972
1436,0.01571,-0.00746,-0.03526
1437,0.01693,-0.00852,-0.03265
1438,0.01758,-0.00696,-0.03224
1439,0.01902,-0.00579,-0.02667
1440,0.01933,-0.00674,-0.0195
1441,0.02012,-0.00661,-0.01997
1442,0.0209,-0.00692,-0.01225
1443,0.02257,-0.00725,-0.012
1444,0.02421,-0.00591,-0.00135
1445,0.02464,-0.00609,0.00369
1446,0.02337,-0.00508,0.00607
1447,0.02477,-0.00441,0.00944
1448,0.02505,-0.00496,0.01331
1449,0.0238,-0.00508,0.01296
1450,0.02465,-0.00517,0.01498
1451,0.02488,-0.00529,0.01531
1452,0.02518,-0.00712,0.01541
1453,0.0239,-0.00738,0.01296
1454,0.02498,-0.00734,0.0148
1455,0.0251,-0.0083,0.01322
1456,0.02494,-0.00803,0.0054
1457,0.02386,-0.00851,0.00532
1458,0.02398,-0.00851,0.00502
1459,0.02427,-0.00846,0.00075
1460,0.02482,-0.00828,-0.00355
1461,0.02582,-0.00895,-0.00305
1462,0.02624,-0.00933,-0.00788
1463,0.0261,-0.00768,-0.01292
1464,0.0238,-0.00784,-0.01616
1465,0.02341,-0.00798,-0.01578
1466,0.02459,-0.00803,-0.01578
1467,0.02296,-0.00876,-0.02057
1468,0.02313,-0.00902,-0.02511
1469,0.02284,-0.00916,-0.02859
1470,0.02197,-0.00814,-0.0295
1471,0.02255,-0.00847,-0.03039
1472,0.02279,-0.00866,-0.03323
1473,0.02225,-0.00761,-0.03448
1474,0.02243,-0.00807,-0.03442
1475,0.02176,-0.00862,-0.03975
1476,0.02391,-0.00841,-0.03987
1477,0.02293,-0.00767,-0.04288
1478,0.02188,-0.00822,-0.04772
1479,0.02344,-0.00891,-0.04879
1480,0.02348,-0.00809,-0.04924
1481,0.02465,-0.00839,-0.04689
1482,0.02378,-0.00866,-0.04812
1483,0.02511,-0.00853,-0.0518
1484,0.02567,-0.00825,-0.05347
1485,0.02533,-0.00798,-0.05101
1486,0.02738,-0.00781,-0.05094
1487,0.02628,-0.00884,-0.04876
1488,0.02805,-0.0094,-0.043
1489,0.02798,-0.00939,-0.03791
1490,0.02995,-0.01031,-0.03147
1491,0.02917,-0.01129,-0.02497
1492,0.03081,-0.01023,-0.0282
1493,0.03108,-0.00882,-0.01811
1494,0.03184,-0.0092,-0.01265
1495,0.03268,-0.00802,-0.0054
1496,0.03295,-0.00813,-0.00487
1497,0.03295,-0.00726,0.00141
1498,0.03491,-0.00799,0.00544
1499,0.03541,-0.00757,0.00939
1500,0.03532,-0.00855,0.01108
