gps_week,dn(m),de(m),du(m)
1150,0.0,0.0,0.0
1153,0.00394,0.00324,-0.00352
1154,0.00073,0.00237,-0.00952
1155,0.00278,0.00343,-0.02473
1156,0.0024,0.003,-0.00949
1157,0.0023,0.00561,-0.01119
1158,0.00311,0.00421,-0.01457
1356,0.04987,-0.00106,-0.00539
1357,0.05024,-0.00232,-0.00676
1358,0.0483,-0.00076,-0.0057
1359,0.05,-0.00244,-0.00414
1360,0.04982,-0.00128,-0.00942
1361,0.05266,-0.00407,-0.01407
1362,0.05087,-0.00394,-0.00758
1363,0.05293,-0.00463,-0.00459
1364,0.05263,-0.00323,-0.00731
1365,0.05427,-0.00334,-0.01329
1366,0.05462,-0.00483,-0.00356
1367,0.05346,-0.00549,-0.00791
1368,0.05285,-0.00611,-0.00931
1369,0.05402,-0.00453,-0.00894
1370,0.0541,-0.0043,-0.01046
1371,0.05417,-0.00499,-0.01568
1372,0.05324,-0.00363,-0.01431
1373,0.05305,-0.00328,-0.01227
1374,0.05351,-0.0042,-0.01223
1375,0.05342,-0.00402,-0.00956
1376,0.05336,-0.00507,-0.00891
1377,0.05407,-0.0037,-0.00647
1378,0.0537,-0.00403,-0.00446
1379,0.05313,-0.00354,-0.00961
1380,0.05317,-0.00237,-0.00738
1381,0.05331,-0.00124,-0.01034
1382,0.05441,-0.00225,-0.00814
1383,0.05308,-0.00224,-0.01039
1384,0.05308,-0.00294,-0.01159
1385,0.05158,-0.00243,-0.01094
1386,0.05115,-0.00238,-0.01724
1387,0.05125,-0.00385,-0.00804
1388,0.05114,-0.00303,-0.00648
1389,0.05232,-0.00298,-0.01115
1390,0.05278,-0.00199,-0.01358
1391,0.05314,-0.00302,-0.00952
1392,0.05332,-0.00355,-0.00693
1393,0.05405,-0.00364,-0.01091
1394,0.05507,-0.00315,-0.01061
1395,0.05508,-0.00373,-0.00472
1396,0.05533,-0.00327,-0.00839
1397,0.05555,-0.00448,-0.00727
1398,0.0556,-0.00309,-0.00425
1399,0.05686,-0.00407,-0.00188
1401,0.05675,-0.00563,0.00337
1402,0.05908,-0.00465,-0.00249
1403,0.05971,-0.00379,-0.00109
1404,0.06153,-0.00509,-0.00187
1405,0.06144,-0.0033,-0.0022
1406,0.06153,-0.00311,-0.00646
1407,0.06126,-0.00491,-0.00738
1408,0.06135,-0.00489,-0.00693
1409,0.06263,-0.00616,-0.01006
1410,0.06311,-0.00616,-0.01254
1411,0.06364,-0.00623,-0.01159
1412,0.06475,-0.00649,-0.01323
1414,0.06769,-0.00731,-0.02056
1415,0.06746,-0.00594,-0.01645
1416,0.06628,-0.00713,-0.01763
1417,0.06612,-0.00896,-0.01391
1418,0.06707,-0.00786,-0.00815
1419,0.06529,-0.00687,-0.01212
1420,0.0647,-0.00612,-0.01105
1421,0.06581,-0.00653,-0.00892
1422,0.06584,-0.00833,-0.008
1423,0.06668,-0.00913,-0.00641
1424,0.06491,-0.00803,-0.00221
1425,0.06482,-0.00714,-0.00097
1426,0.0644,-0.00673,-0.00826
1427,0.06567,-0.00593,-0.00028
1428,0.06625,-0.00708,-0.00736
1429,0.06589,-0.00578,-0.01058
1430,0.06568,-0.00384,-0.0073
1431,0.06518,-0.00491,-0.00512
1432,0.06687,-0.00575,-0.00661
1433,0.06687,-0.00481,-0.01041
1434,0.06547,-0.00555,-0.0086
1435,0.06353,-0.00494,-0.01041
1436,0.06309,-0.00516,-0.01153
1437,0.06413,-0.00624,-0.0178
1438,0.06428,-0.0057,-0.01909
1439,0.06465,-0.00604,-0.01548
1440,0.06614,-0.00713,-0.0104
1441,0.06741,-0.00649,-0.00368
1442,0.06713,-0.00769,-0.00484
1443,0.06888,-0.00676,-0.00347
1444,0.06903,-0.00676,-0.00129
1445,0.06909,-0.00673,-0.00046
1446,0.06755,-0.00601,-0.00116
1447,0.07024,-0.00577,0.00245
1448,0.06987,-0.00716,0.00394
1449,0.06856,-0.00647,0.0014
1450,0.06845,-0.00662,0.00229
1452,0.06973,-0.00684,0.01136
1453,0.07135,-0.0083,0.00249
1454,0.07355,-0.00764,0.00415
1455,0.07234,-0.00648,0.00204
1456,0.07375,-0.00684,0.00436
1457,0.07429,-0.00717,0.0021
1458,0.07385,-0.00666,-0.00243
1460,0.07634,-0.00892,0.00366
1461,0.07563,-0.00661,-0.00036
1462,0.07674,-0.00832,-0.00398
1463,0.07817,-0.00772,-0.00408
1464,0.07891,-0.0081,-0.0028
1465,0.08059,-0.00766,0.00444
1466,0.08055,-0.00944,0.00293
1467,0.07818,-0.01057,-0.00417
1468,0.07955,-0.01181,0.00039
1469,0.07844,-0.01101,-0.00704
1470,0.07807,-0.01212,-0.00424
1471,0.08165,-0.01197,-0.00412
1472,0.0809,-0.01231,-0.00324
1473,0.08048,-0.01102,-0.00131
1474,0.07989,-0.0115,-0.00483
1475,0.07858,-0.01066,-0.00763
1476,0.08097,-0.01031,-0.00018
1477,0.07918,-0.00885,-0.00766
1478,0.07898,-0.00937,-0.00846
1479,0.08032,-0.00966,-0.00645
1480,0.0791,-0.00813,-0.00627
1481,0.07887,-0.00774,-0.00544
1482,0.08012,-0.00842,-0.00517
1483,0.07842,-0.0083,-0.00766
1484,0.07862,-0.00677,-0.01385
1485,0.07843,-0.0085,-0.00871
1486,0.07755,-0.00904,-0.01026
1487,0.07739,-0.00927,-0.00976
1488,0.07748,-0.00959,-0.00678
1489,0.0772,-0.01001,-0.0047
1490,0.07713,-0.01032,-0.00183
1491,0.07836,-0.01092,-0.00091
1492,0.07953,-0.01042,-0.00207
1493,0.07852,-0.00923,-0.00333
1494,0.0801,-0.00943,-0.00145
1495,0.07933,-0.00853,-0.00165
1496,0.08025,-0.00924,-0.00344
1497,0.08101,-0.00964,0.00167
1498,0.08151,-0.00957,0.00136
1499,0.08232,-0.00991,0.00747
1500,0.08231,-0.00919,0.00098
1501,0.08277,-0.00966,0.00588
1502,0.08365,-0.01039,0.00045
1503,0.08317,-0.01049,1e-05
1504,0.08336,-0.01136,0.00145
1505,0.08466,-0.00988,0.00456
1506,0.08518,-0.01016,0.00153
1507,0.08494,-0.01034,0.00319
1508,0.08478,-0.01063,-0.00019
1509,0.08468,-0.0093,-0.00073
1510,0.0851,-0.00927,0.00235
1511,0.08623,-0.00939,0.00346
1512,0.08615,-0.01044,0.00261
1513,0.08806,-0.01002,-0.00219
1514,0.08711,-0.01212,0.00354
1515,0.08829,-0.01172,0.00014
1516,0.08872,-0.01114,-0.00132
1517,0.08884,-0.01187,-0.00245
1518,0.08819,-0.01174,-0.00165
1519,0.09039,-0.01162,-0.00083
1520,0.08981,-0.01388,3e-05
1521,0.09051,-0.01375,-0.00499
1522,0.09065,-0.01476,-0.00276
1523,0.09119,-0.01542,-0.00194
1524,0.09127,-0.01351,-0.00476
1525,0.09128,-0.01331,-0.00212
1526,0.0914,-0.01266,-0.00349
1527,0.09137,-0.01212,-0.0023
1528,0.0918,-0.0129,-0.00262
1529,0.09214,-0.0118,-0.0029
1530,0.09148,-0.01168,-0.00618
1531,0.09248,-0.0107,-0.00087
1532,0.09384,-0.01198,-0.00419
1533,0.09203,-0.01252,-0.00446
1534,0.0918,-0.01264,-0.01046
1535,0.09234,-0.01174,-0.0074
1536,0.09143,-0.0123,-0.00408
1537,0.09117,-0.01274,-0.00647
1538,0.09176,-0.01221,-0.0032
1539,0.09175,-0.01311,-0.00367
1540,0.09329,-0.01375,-0.00583
1541,0.09211,-0.01391,-0.00246
1542,0.09413,-0.01331,-0.00641
1543,0.09412,-0.01471,-0.00411
1544,0.09544,-0.01371,-0.00144
1545,0.09462,-0.01398,0.0005
1546,0.09526,-0.0138,-0.00038
1547,0.09471,-0.01353,0.00348
1549,0.0966,-0.00599,0.00171
1550,0.09535,-0.00633,0.00026
1551,0.09794,-0.0071,0.0006
1552,0.09753,-0.00693,-0.00199
1553,0.09721,-0.00633,0.00016
1554,0.09809,-0.00703,-0.00062
1555,0.09876,-0.00699,-0.00279
1556,0.09709,-0.00614,0.00276
1557,0.09849,-0.00697,-0.0017
1558,0.10047,-0.01336,0.00674
1559,0.10117,-0.01664,0.00675
1560,0.10018,-0.01791,0.00618
1561,0.1013,-0.01727,-0.00184
1562,0.10226,-0.01647,0.00162
1563,0.10247,-0.01673,0.00624
1564,0.10328,-0.01747,0.00539
1565,0.10435,-0.01787,0.00546
1566,0.10514,-0.01747,0.00448
1567,0.10478,-0.01758,0.01074
1568,0.10727,-0.01829,0.00195
1569,0.10785,-0.01896,-0.00189
1570,0.10667,-0.02017,0.00237
1571,0.10911,-0.01891,-0.00127
1572,0.10809,-0.01846,-0.00147
1574,0.10956,-0.02177,0.00146
1575,0.10729,-0.02271,-0.00391
1576,0.10801,-0.02145,0.00094
1577,0.10758,-0.02146,-0.0061
