gps_week,dn(m),de(m),du(m),label
1043,0,0,0,0
1044,0.00132,0.00007,0.00493,0
1045,0.00069,-0.00063,0.00904,0
1046,-0.00163,0.00016,0.00607,0
1047,0.00128,0.00052,0.00637,0
1048,0.00213,-0.00076,0.00678,0
1049,0.00208,-0.00212,0.00101,0
1050,0.00318,-0.00093,0.00447,0
1051,0.00152,-0.00329,0.00348,0
1054,0.00171,-0.00258,-0.00346,0
1055,0.00124,-0.00067,-0.00556,0
1056,0.00077,-0.00176,-0.00553,0
1057,-0.001,-0.00184,0.00248,0
1058,0.00065,-0.00207,0.00083,0
1059,0.001,-0.00166,0.00087,0
1060,0.00176,-0.00338,0.00229,0
1061,0.00255,-0.00253,-0.00072,0
1062,0.0025,-0.0032,0.00182,0
1063,0.00204,-0.00301,0.00178,0
1064,0.00326,-0.003,0.00653,0
1065,0.00227,-0.00278,0.00677,0
1066,0.00148,-0.00384,0.00782,0
1067,0.00263,-0.00424,0.00581,0
1068,0.00216,-0.0037,0.01049,0
1069,0.00201,-0.00457,0.00822,0
1070,0.00118,-0.00366,0.01005,0
1071,0.00165,-0.00299,0.01057,0
1072,0.00075,-0.00252,0.00956,0
1073,0.00074,-0.00344,0.013,0
1074,0.00114,-0.00281,0.01173,0
1075,0.00329,-0.00201,0.00911,0
1076,0.00454,-0.00189,0.0126,0
1077,0.00483,-0.00273,0.01735,0
1078,0.00634,-0.00379,0.01194,0
1079,0.00654,-0.0011,0.01295,0
1080,0.0065,0.00064,0.01145,0
1081,0.00666,-0.00177,0.0133,0
1082,0.00689,-0.00106,0.01589,0
1083,0.00801,-0.0004,0.01621,0
1084,0.00742,-0.00051,0.01567,0
1085,0.00699,-0.00059,0.0176,0
1086,0.00755,-0.00273,0.01677,0
1087,0.00952,-0.00133,0.01475,0
1088,0.01106,-0.00245,0.01138,0
1089,0.01172,-0.0012,0.01146,0
1090,0.01012,-0.00228,0.01277,0
1091,0.01141,-0.0029,0.01403,0
1092,0.01128,-0.0036,0.01076,0
1093,0.01143,-0.00282,-0.00029,0
1094,0.01275,-0.00476,0.0016,0
1095,0.01203,-0.00374,0.00231,0
1096,0.01225,-0.00458,0.00431,0
1097,0.01195,-0.00622,0.00267,0
1098,0.01231,-0.0045,0.00257,0
1099,0.01235,-0.00546,0.00911,0
1100,0.01568,-0.00681,0.01075,0
1101,0.01528,-0.00708,0.00992,0
1102,0.01589,-0.00849,0.01101,0
1103,0.0128,-0.00741,0.00646,0
1104,0.01546,-0.00736,0.0091,0
1105,0.0135,-0.00544,0.00467,0
1106,0.01456,-0.00609,0.00438,0
1107,0.01208,-0.00741,0.00234,0
1108,0.01422,-0.00673,0.00509,0
1109,0.01408,-0.00571,0.00664,0
1110,0.01739,-0.00627,0.00386,0
1111,0.01474,-0.0048,0.00553,0
1112,0.01672,-0.00487,0.0034,0
1113,0.01558,-0.00558,0.00789,0
1114,0.01581,-0.0058,0.00928,0
1115,0.01663,-0.00603,0.00637,0
1116,0.01538,-0.00749,0.00543,0
1117,0.01554,-0.00688,0.00344,0
1118,0.01646,-0.00737,0.00299,0
1119,0.01616,-0.00789,0.00593,0
1120,0.01724,-0.00829,0.00789,0
1121,0.01753,-0.00678,0.00989,0
1122,0.01752,-0.00755,0.01207,0
1123,0.01646,-0.00785,0.0181,0
1124,0.01711,-0.00744,0.01429,0
1125,0.01701,-0.0075,0.01337,0
1126,0.0168,-0.00769,0.01774,0
1128,0.01714,-0.0054,0.01706,0
1129,0.01648,-0.00531,0.02193,0
1130,0.01779,-0.00554,0.02199,0
1131,0.01906,-0.00514,0.02383,0
1132,0.01759,-0.00575,0.01765,0
1133,0.01775,-0.00644,0.01691,0
1134,0.01818,-0.00647,0.01865,0
1135,0.01889,-0.0056,0.01909,0
1136,0.01919,-0.00688,0.01779,0
1137,0.01944,-0.00514,0.01453,0
1138,0.01885,-0.00852,0.01855,0
1139,0.02055,-0.00883,0.01452,0
1140,0.02028,-0.00907,0.01607,0
1141,0.02188,-0.00737,0.01069,0
1142,0.02034,-0.0081,0.01349,0
1143,0.02112,-0.00808,0.02153,0
1144,0.02239,-0.00885,0.01623,0
1145,0.0235,-0.01071,0.01464,0
1146,0.02126,-0.01184,0.01185,0
1148,0.02432,-0.00924,0.00102,0
1149,0.02538,-0.01124,0.00082,0
1150,0.02499,-0.00953,0.00375,0
1151,0.02474,-0.01142,0.00665,0
1152,0.02639,-0.01062,-0.00129,0
1153,0.0273,-0.00979,0.0009,0
1154,0.02622,-0.01067,-0.00057,0
1155,0.02614,-0.01106,0.00008,0
1156,0.02612,-0.00962,-0.00277,0
1157,0.02704,-0.00905,0.00024,0
1158,0.02752,-0.01053,0.00272,0
1159,0.02633,-0.0088,0.00373,0
1160,0.02787,-0.0101,-0.00057,0
1161,0.02845,-0.00855,0.00409,0
1162,0.02752,-0.00794,0.00106,0
1163,0.02854,-0.00996,-0.00065,0
1164,0.02873,-0.00928,0.00345,0
1165,0.02783,-0.01056,0.00469,0
1166,0.02894,-0.01036,0.00756,0
1167,0.0282,-0.01232,0.00297,0
1168,0.02723,-0.0119,0.00437,0
1169,0.02791,-0.01112,0.00402,0
1170,0.02894,-0.01213,0.00597,0
1171,0.02778,-0.01147,0.00635,0
1172,0.02871,-0.01168,0.00467,0
1173,0.02891,-0.01281,0.01176,0
1174,0.02842,-0.01252,0.01476,0
1175,0.02799,-0.01207,0.01349,0
1176,0.02871,-0.01165,0.01332,0
1177,0.02856,-0.01072,0.01475,0
1178,0.03042,-0.01053,0.0182,0
1179,0.03039,-0.01047,0.01727,0
1180,0.02951,-0.01051,0.01639,0
1181,0.02943,-0.00992,0.01879,0
1182,0.02905,-0.00939,0.02321,0
1183,0.02931,-0.0092,0.01886,0
1184,0.03101,-0.01029,0.01888,0
1185,0.03066,-0.01148,0.02054,0
1186,0.03064,-0.01183,0.02252,0
1187,0.03091,-0.01074,0.02422,0
1188,0.03276,-0.01224,0.02574,0
1189,0.03293,-0.01165,0.02322,0
1190,0.03396,-0.01198,0.02599,0
1191,0.03325,-0.01291,0.01923,0
1192,0.03443,-0.01139,0.02097,0
1193,0.03474,-0.01183,0.02267,0
1194,0.0359,-0.01092,0.01994,0
1195,0.03662,-0.01168,0.01931,0
1196,0.03323,-0.01019,0.0181,0
1197,0.03453,-0.00983,0.01505,0
1198,0.03468,-0.01051,0.01418,0
1199,0.03626,-0.00988,0.01623,0
1200,0.03476,-0.00917,0.01448,0
1201,0.0352,-0.01194,0.01501,0
1202,0.03651,-0.01077,0.0157,0
1203,0.03793,-0.01202,0.00894,0
1204,0.03688,-0.0119,0.0096,0
