gps_week,dn(m),de(m),du(m)
1420,0.0,0.0,0.0
1421,0.00131,0.00067,0.0014
1422,0.00012,0.00058,-6e-05
1423,0.0016,-0.00025,0.00549
1424,0.00056,0.00084,0.007
1425,0.00094,0.00162,0.00689
1426,0.00076,0.00125,0.00884
1427,0.00182,0.00209,0.00842
1428,0.00165,0.00151,0.00848
1429,0.00089,0.00276,0.005
1430,0.00118,0.00475,0.00549
1431,0.00092,0.00373,0.00401
1432,0.00244,0.00307,0.00778
1433,0.0026,0.00314,0.00495
1434,0.002,0.00343,0.00318
1435,-0.00045,0.00312,0.00224
1436,-0.00065,0.00362,-0.00128
1437,-0.00099,0.00314,9e-05
1438,-0.00084,0.0035,-0.00256
1439,-6e-05,0.00348,0.00117
1440,0.00059,0.00242,0.00267
1441,0.00155,0.00323,0.00496
1442,0.00125,0.00118,0.00797
1443,0.00242,0.0022,0.007
1444,0.00242,0.00267,0.00755
1445,0.00283,0.00217,0.00667
1446,0.0019,0.00239,0.00892
1447,0.00416,0.00272,0.01088
1448,0.0041,0.00275,0.01154
1449,0.0028,0.00302,0.0127
1450,0.00269,0.00319,0.01025
1451,0.00343,0.00291,0.01566
1452,0.00356,0.00212,0.01572
1453,0.00452,0.00223,0.01512
1454,0.00606,0.00245,0.01135
1455,0.00566,0.00255,0.01127
1456,0.00658,0.00179,0.01541
1457,0.00558,0.00248,0.01341
1458,0.00669,0.00219,0.01381
1459,0.00654,0.00182,0.00995
1460,0.00618,0.00171,0.00306
1461,0.00596,0.00081,0.01311
1462,0.00812,0.00048,0.00724
1463,0.00914,0.00163,0.00563
1464,0.00954,0.00179,0.00696
1465,0.01152,-4e-05,0.00555
1466,0.0123,-0.00036,0.00576
1467,0.01111,-0.00153,0.00744
1468,0.01144,-0.00195,0.00591
1469,0.01136,-0.00211,0.00733
1470,0.01184,-0.00307,0.00172
1471,0.01415,-0.00453,0.00545
1472,0.01392,-0.00359,0.01175
1473,0.01439,-0.00219,0.00753
1474,0.01463,-0.00259,0.00714
1475,0.01344,-0.00257,0.00429
1476,0.01407,-0.00122,0.00765
1477,0.01365,-0.00106,0.00752
1478,0.01453,-0.00157,0.00749
1479,0.01476,-0.00215,0.00268
1480,0.01447,-0.00051,0.00568
1481,0.01424,-0.00048,0.00609
1482,0.01466,-0.0002,0.00496
1483,0.01392,-0.00075,0.00308
1484,0.01406,-0.00141,0.00337
1485,0.01259,-0.0012,0.00087
1486,0.01269,-0.00068,0.00058
1487,0.0128,-0.00047,-0.00144
1488,0.01277,-0.00064,-0.0006
1489,0.01233,-0.00252,0.007
1490,0.01314,-0.00186,0.00611
1491,0.01325,-0.00278,0.00531
1492,0.01392,-0.00281,0.00591
1493,0.01436,-0.00185,0.00589
1494,0.015,-0.0011,0.00655
1495,0.01423,-0.00142,0.00791
1496,0.01502,-0.0018,0.0079
1497,0.01556,-0.00148,0.00818
1498,0.01577,-0.00089,0.015
1499,0.01621,-0.00106,0.0131
