gps_week,dn(m),de(m),du(m)
1536,0.0,0.0,0.0
1537,8e-05,-0.00137,0.00153
1538,1e-05,-0.00151,0.00106
1539,0.00033,-0.00347,0.00346
1540,-0.00038,-0.00403,0.0002
1541,-0.00076,-0.00366,0.00243
1542,-0.00018,-0.00382,0.0009
1543,0.00028,-0.0049,0.00371
1544,0.00036,-0.00355,0.00627
1545,0.00021,-0.0038,0.00859
1546,0.00065,-0.00387,0.00695
1547,-0.00038,-0.00317,0.00936
1548,0.00094,-0.00371,0.01133
1549,-0.00036,-0.00283,0.01019
1550,-9e-05,-0.0032,0.0099
1551,0.00097,-0.0037,0.01148
1552,0.00125,-0.0037,0.01205
1553,0.00077,-0.00334,0.01035
1554,0.00202,-0.00415,0.00846
1555,0.0016,-0.00391,0.00704
1556,0.00038,-0.00341,0.00894
1557,0.00192,-0.00493,0.00834
1558,0.00057,-0.00305,0.00728
1559,0.00098,-0.00482,0.00675
1560,0.00224,-0.00561,0.00401
1561,0.00272,-0.00591,0.00017
1562,0.00461,-0.00506,0.00196
1563,0.00407,-0.00517,0.00451
1564,0.00518,-0.00496,0.00082
1565,0.00418,-0.00511,0.00388
1566,0.00672,-0.00515,-0.00219
1567,0.00752,-0.00452,-0.00394
1568,0.00719,-0.005,-0.00314
1569,0.00802,-0.00595,-0.0073
1570,0.00773,-0.00622,-0.00311
1571,0.00915,-0.00576,-0.00992
1572,0.00862,-0.00727,-0.00151
1574,0.00829,-0.00809,-0.0001
1575,0.00785,-0.00902,0.00592
1576,0.00924,-0.00747,-3e-05
1577,0.00766,-0.00803,-0.00134
1578,0.00999,-0.00844,-0.00634
1579,0.01065,-0.00886,-0.00445
1580,0.01067,-0.00688,-0.00064
1581,0.00907,-0.00643,-0.00376
1582,0.00957,-0.006,-0.00594
1583,0.01041,-0.00644,-0.00728
1584,0.01103,-0.00602,-0.00347
1585,0.01104,-0.0067,-0.00461
1586,0.01149,-0.00574,-0.00535
1587,0.00996,-0.00615,-0.00814
1588,0.00971,-0.00673,-0.00305
1589,0.00988,-0.0081,-0.00174
1590,0.00971,-0.00937,-0.00323
1591,0.01108,-0.00932,-0.00104
1592,0.01179,-0.00917,-0.00206
1593,0.01181,-0.00849,3e-05
1594,0.01157,-0.00804,0.00165
1595,0.01125,-0.00814,0.0003
1596,0.01179,-0.00856,0.00414
1597,0.01238,-0.00852,0.00556
1598,0.01183,-0.00823,0.01059
1599,0.01141,-0.0085,0.00928
1600,0.0124,-0.00938,0.00927
1601,0.01187,-0.00937,0.00912
