gps_week,dn(m),de(m),du(m)
1578,0.0,0.0,0.0
1579,0.00199,0.00098,-0.00798
1581,0.0024,8e-05,-0.00304
1582,0.00232,-0.00032,-0.00496
1583,0.00348,-0.00075,-0.00579
1584,0.00404,-0.00077,-0.01076
1585,0.00415,-0.00103,-0.00536
1586,0.00397,-0.00051,-0.0146
1587,0.00423,-0.00112,-0.01298
1588,0.00425,-0.00255,-0.00744
1589,0.00417,-0.00147,-0.01148
1590,0.00446,-0.00085,-0.00973
1591,0.00573,0.00017,-0.00734
1592,0.00556,-0.00111,-0.00463
1593,0.00636,-0.00136,-0.00356
1594,0.00658,-0.00032,-0.00649
1595,0.00568,0.00038,-0.00176
1596,0.00689,0.00095,0.00133
1597,0.00625,0.00029,0.00666
1598,0.00597,-0.00049,0.01093
1599,0.0061,-0.00102,0.0147
1600,0.00583,0.00078,0.01653
1601,0.00601,0.00095,0.01784
1602,0.00721,0.00218,0.01954
1603,0.00633,0.00234,0.02373
1604,0.00675,0.00121,0.02379
1605,0.00567,-0.00024,0.02791
1606,0.00545,0.00144,0.02605
1607,0.00639,0.00115,0.0254
1608,0.00586,0.00123,0.0197
1609,0.00363,0.00072,0.01923
1612,0.00481,-0.00391,0.01792
1613,0.00542,-0.00498,0.02158
1614,0.00634,-0.00524,0.02411
1615,0.00684,-0.00478,0.01874
1616,0.00789,-0.00446,0.01576
1617,0.00909,-0.00435,0.00715
1618,0.00854,-0.00548,0.0106
1619,0.00906,-0.00532,0.00662
1620,0.00854,-0.00644,-0.00125
1621,0.00944,-0.00644,7e-05
1622,0.01023,-0.00696,-0.00207
1623,0.01061,-0.00571,-0.00572
1624,0.01098,-0.00518,-0.00728
1625,0.011,-0.00527,-0.00811
1626,0.01102,-0.00502,-0.01347
1627,0.01093,-0.005,-0.01646
1628,0.01196,-0.00453,-0.01015
1629,0.0126,-0.00568,-0.01583
1630,0.00998,-0.0052,-0.02262
1631,0.01358,-0.00601,-0.0247
1632,0.01353,-0.00735,-0.02484
1633,0.01465,-0.00724,-0.02597
1634,0.01501,-0.00635,-0.02849
1635,0.01701,-0.00769,-0.02734
1636,0.01632,-0.00692,-0.02914
1637,0.01554,-0.00806,-0.03124
1638,0.01853,-0.00878,-0.02737
1639,0.01712,-0.01023,-0.02377
1640,0.01935,-0.01082,-0.02234
1641,0.02024,-0.00982,-0.01883
1642,0.02031,-0.00934,-0.01771
1643,0.0191,-0.00911,-0.0194
1644,0.02037,-0.00883,-0.02035
1645,0.02007,-0.00814,-0.01235
1646,0.02072,-0.00887,-0.00479
1647,0.01861,-0.00698,-0.00287
1648,0.02083,-0.00871,-0.00618
1649,0.01986,-0.00884,-0.00058
1650,0.02042,-0.00951,0.00213
1651,0.01738,-0.00708,0.00398
1652,0.01806,-0.00735,0.00466
1653,0.01805,-0.00617,0.00875
1654,0.01935,-0.00629,0.00838
1655,0.01734,-0.00696,0.01707
1656,0.01756,-0.00631,0.01745
1657,0.01795,-0.00702,0.01749
1658,0.01651,-0.00648,0.01255
1659,0.01784,-0.00478,0.00802
1660,0.01755,-0.00781,0.01374
1661,0.01657,-0.00701,0.01531
1662,0.01748,-0.00787,0.00924
1663,0.01868,-0.00672,0.00288
1664,0.01831,-0.0075,0.00516
1665,0.0195,-0.00844,0.00713
1666,0.01962,-0.00634,0.00407
1667,0.01991,-0.00909,0.00835
1668,0.01837,-0.0088,-0.00743
1669,0.0189,-0.00943,0.00015
1670,0.02033,-0.00932,0.00183
1683,0.02643,-0.01335,-0.02912
1684,0.02682,-0.01374,-0.02908
1685,0.02725,-0.01275,-0.03151
1686,0.0276,-0.01104,-0.03562
1687,0.02953,-0.01176,-0.03281
1688,0.02928,-0.01166,-0.03596
1689,0.03145,-0.01324,-0.03056
1690,0.03144,-0.01363,-0.02619
1691,0.03033,-0.01318,-0.02369
1692,0.0308,-0.01477,-0.0159
1693,0.03085,-0.01536,-0.01204
1694,0.02999,-0.01237,-0.01367
1695,0.02984,-0.01129,-0.01896
1696,0.03044,-0.01217,-0.01665
1697,0.02975,-0.01332,-0.01078
1698,0.03059,-0.01386,-0.00312
1699,0.02942,-0.01233,-0.00796
1700,0.03016,-0.01293,0.00551
1701,0.03003,-0.01245,0.0025
1702,0.02985,-0.01155,0.01152
1703,0.03106,-0.01145,0.01134
1704,0.03059,-0.01004,0.00994
1705,0.03196,-0.00944,0.01635
1706,0.03186,-0.01151,0.01901
1707,0.03144,-0.00985,0.01091
1708,0.03101,-0.01142,0.02186
1709,0.03239,-0.0123,0.02291
1710,0.02938,-0.01128,0.02038
1711,0.03044,-0.01074,0.02034
1712,0.03129,-0.0104,0.01365
1713,0.0318,-0.01011,0.0213
1714,0.03184,-0.01226,0.02838
1715,0.0311,-0.01308,0.02832
1716,0.03283,-0.0119,0.01701
1717,0.03131,-0.01384,0.02612
1718,0.03088,-0.0125,0.0237
1719,0.03214,-0.01391,0.02237
1720,0.03219,-0.01425,0.02471
