gps_week,dn(m),de(m),du(m)
1473,0.0,0.0,0.0
1474,0.00017,0.00104,0.0027
1475,-0.00042,-0.0007,-5e-05
1476,0.00048,0.00111,0.00164
1477,0.00098,0.00103,0.00303
1478,0.00062,0.00156,0.00045
1479,0.00129,0.00215,0.00135
1480,0.00099,0.00278,0.00132
1481,0.00179,0.00206,0.00262
1482,0.00066,0.0015,-0.00037
1483,0.00011,0.00256,-0.00167
1484,0.00076,0.00189,-0.00052
1485,-0.00066,0.00229,-0.00096
1486,0.00066,0.0032,0.00056
1487,0.00123,0.00351,-0.00196
1488,0.00152,0.00341,-0.00189
1489,0.001,0.00246,-0.00136
1490,0.00144,0.00193,-0.0
1491,0.0017,0.00138,0.00448
1492,0.00183,0.00238,0.00367
1493,0.00221,0.00271,0.00255
1494,0.00239,0.00334,0.00644
1495,0.00256,0.00432,0.00708
1496,0.00288,0.00361,0.00804
1497,0.0023,0.00322,0.01093
1498,0.00275,0.00339,0.01378
1499,0.00348,0.00316,0.01473
1500,0.00419,0.00237,0.01366
1501,0.00513,0.00327,0.01059
1502,0.0062,0.00298,0.00993
1503,0.00594,0.00376,0.00764
1504,0.00656,0.00415,0.00782
1505,0.00819,0.00385,0.00743
1506,0.00694,0.00263,0.00733
1507,0.00704,0.0031,0.00538
1508,0.00894,0.00268,0.00114
1509,0.00836,0.00117,0.00747
1510,0.00686,0.00261,0.00933
1511,0.00732,0.00131,0.01011
1512,0.00718,0.0,0.01016
1513,0.00741,-0.00044,0.01178
1514,0.00833,-0.00018,0.00944
1515,0.00894,-0.00102,0.00301
1516,0.00855,4e-05,0.00162
1517,0.00936,-0.00141,0.00173
1518,0.00921,-0.00113,0.00428
1519,0.01021,0.00043,0.00109
1520,0.00949,-0.00213,0.00518
1521,0.01109,-0.00252,0.00024
1522,0.01218,-0.00364,0.00102
1523,0.01302,-0.00502,0.00146
1524,0.01304,-0.0042,0.0006
1525,0.01323,-0.00481,-0.00163
1526,0.01213,-0.0048,0.00106
1527,0.01366,-0.0028,0.00522
1528,0.01143,-0.00389,0.0023
1529,0.01453,-0.00316,0.00407
1530,0.01455,-0.00312,0.00033
1531,0.01528,-0.00361,0.00088
1532,0.01424,-0.00461,-0.00535
1533,0.01439,-0.00493,-0.00792
1534,0.01366,-0.00436,-0.00451
1535,0.01416,-0.00416,-0.00633
1536,0.01345,-0.00384,-0.0077
1537,0.01387,-0.00364,-0.00726
1538,0.01467,-0.00337,-0.00686
1539,0.01491,-0.00337,-0.00608
1540,0.01535,-0.00506,-0.00574
1541,0.01464,-0.00411,-0.00056
1542,0.01557,-0.00459,-0.0006
1543,0.01665,-0.00485,-4e-05
1544,0.01663,-0.00384,0.00294
1545,0.01753,-0.00275,0.00074
1546,0.01645,-0.00413,0.00262
1547,0.0166,-0.0034,0.00247
1548,0.01599,-0.00389,-0.00048
1549,0.01633,-0.00301,-0.00013
1550,0.01681,-0.00222,0.00416
1551,0.01816,-0.00389,0.00274
1552,0.01822,-0.00384,0.00368
1553,0.01807,-0.00264,0.00189
1554,0.01897,-0.00343,0.00706
1555,0.01955,-0.00223,0.00541
1556,0.01917,-0.00268,0.00777
1557,0.01993,-0.00356,0.00716
1558,0.0193,-0.00224,0.00609
1559,0.02017,-0.00238,0.00232
1560,0.01924,-0.00355,0.00485
1562,0.02021,-0.00294,0.00454
1563,0.01863,-0.00492,0.00758
1564,0.01979,-0.00588,0.00659
1565,0.01894,-0.0061,0.00971
1566,0.01925,-0.00534,0.00456
1567,0.0208,-0.00554,0.00866
1568,0.02077,-0.0048,0.00665
1569,0.02224,-0.00494,0.00713
1570,0.02242,-0.00564,0.00826
1571,0.02461,-0.00695,0.00474
1572,0.02465,-0.00662,0.00793
1574,0.02534,-0.00774,0.00908
1575,0.02422,-0.00847,0.01024
1576,0.02582,-0.00797,0.00282
1577,0.02372,-0.00827,0.00697
1578,0.02567,-0.0104,0.01181
1579,0.02565,-0.00742,0.0068
1580,0.02732,-0.00785,0.00529
1581,0.02453,-0.00762,0.00574
1582,0.02585,-0.00715,0.00357
1583,0.0274,-0.00756,0.00383
1584,0.02662,-0.00689,0.00368
