gps_week,dn(m),de(m),du(m)
1460,0.0,0.0,0.0
1461,0.00077,0.00043,-0.00125
1462,0.00164,-0.00205,-0.00214
1463,0.00191,-5e-05,0.00074
1464,0.00424,-0.00175,-0.00359
1465,0.00421,-0.00215,-0.00355
1466,0.00406,-0.0026,-0.0013
1467,0.00356,-0.00285,-0.00392
1468,0.00396,-0.00401,-0.0024
1469,0.00339,-0.00391,-0.00643
1470,0.00381,-0.00553,-0.00362
1471,0.00563,-0.00656,-0.00401
1472,0.00639,-0.00606,-0.00464
1473,0.00619,-0.00571,-0.00974
1474,0.00591,-0.00584,-0.0118
1475,0.00605,-0.00679,-0.00662
1476,0.00672,-0.00492,-0.00523
1477,0.00679,-0.0051,-0.00941
1478,0.00681,-0.00422,-0.01219
1479,0.0073,-0.00427,-0.01193
1480,0.00747,-0.00355,-0.00813
1481,0.00716,-0.00377,-0.01161
1482,0.00709,-0.00357,-0.00611
1483,0.00624,-0.00366,-0.01268
1484,0.00678,-0.00461,-0.00983
1485,0.00638,-0.00352,-0.01123
1486,0.00722,-0.00304,-0.01169
1487,0.00728,-0.00306,-0.01337
1488,0.00789,-0.00308,-0.01115
1489,0.00664,-0.00341,-0.00902
1490,0.00733,-0.00419,-0.01066
1491,0.00726,-0.00478,-0.01082
1492,0.00801,-0.00415,-0.00848
1493,0.00829,-0.00336,-0.00498
1494,0.00907,-0.00336,-0.00268
1495,0.00872,-0.0033,-0.00137
1496,0.00968,-0.0032,-0.00218
1497,0.00905,-0.00327,0.00066
1498,0.00976,-0.00308,0.00174
1499,0.00975,-0.0036,0.00257
1500,0.01014,-0.00408,0.00234
1501,0.01177,-0.0039,0.00171
1502,0.01243,-0.00341,-0.00115
1503,0.01219,-0.00234,0.00088
1504,0.0121,-0.00301,0.00186
1505,0.0122,-0.00253,-0.001
1506,0.0112,-0.00377,0.00358
1507,0.01209,-0.00303,0.00135
1508,0.01312,-0.00403,0.00048
1509,0.01266,-0.00312,0.00377
1510,0.01187,-0.00364,0.0029
1511,0.01243,-0.00509,0.00242
1512,0.01269,-0.00662,0.00372
1513,0.01274,-0.00671,0.00415
1514,0.01349,-0.00665,-6e-05
1515,0.01436,-0.0079,-0.00101
1516,0.01447,-0.00662,-0.00075
1517,0.01375,-0.00872,-0.00764
1518,0.01559,-0.00842,-0.00361
1519,0.01623,-0.00796,-0.00511
1520,0.01615,-0.00836,-0.00073
1521,0.01708,-0.01019,-0.00698
1522,0.01826,-0.01024,-0.00416
1523,0.0187,-0.01067,-0.00625
1524,0.0175,-0.01114,-0.00066
1525,0.01918,-0.01215,-0.00466
1526,0.01808,-0.01204,-0.00756
1527,0.01781,-0.01113,-0.00808
1528,0.01775,-0.01147,-0.00787
1529,0.02013,-0.00986,-0.01073
1530,0.01952,-0.00934,-0.01273
1531,0.02043,-0.00988,-0.01151
1532,0.02005,-0.0111,-0.00935
1533,0.01918,-0.01179,-0.01489
1534,0.01943,-0.01159,-0.01636
1535,0.02001,-0.01114,-0.01696
1536,0.02,-0.00991,-0.01736
1537,0.0197,-0.0102,-0.01222
1538,0.02086,-0.01004,-0.01397
1539,0.02123,-0.01039,-0.01222
1540,0.02151,-0.01142,-0.01278
1541,0.02126,-0.0106,-0.00891
1542,0.0221,-0.01079,-0.00916
1543,0.02295,-0.0109,-0.00518
1544,0.0231,-0.00974,-0.00446
1545,0.02318,-0.00935,-0.00267
1546,0.02206,-0.00954,-0.00054
1547,0.02264,-0.00947,-0.00278
1548,0.02172,-0.00955,-0.00185
1549,0.02194,-0.00916,-0.00168
1550,0.02246,-0.00931,-0.00069
1551,0.02325,-0.0102,-0.00087
1552,0.02327,-0.01001,0.00235
1553,0.02377,-0.00821,0.00613
1554,0.02392,-0.009,0.00221
1555,0.0252,-0.00829,-0.00178
1556,0.02435,-0.0091,-0.00086
1557,0.02492,-0.00941,0.00072
1558,0.02423,-0.00898,-0.00179
1559,0.02457,-0.00946,-0.00486
1560,0.02362,-0.01033,-0.00381
1561,0.02364,-0.01027,-0.0013
1562,0.02452,-0.01081,0.00063
1563,0.02438,-0.01097,-0.00262
1564,0.02519,-0.01202,0.00083
1565,0.026,-0.01188,-0.00324
1566,0.02543,-0.01241,-0.00495
1567,0.02661,-0.01172,-0.00542
1568,0.02685,-0.0124,-0.00591
1569,0.02804,-0.01207,-0.00332
1570,0.02845,-0.01256,-0.00375
1571,0.02873,-0.01286,-0.00853
1572,0.02947,-0.01441,0.0005
1574,0.02915,-0.01488,-0.00804
1575,0.02975,-0.01649,-0.0075
1576,0.02962,-0.01439,-0.00469
1577,0.02859,-0.0152,-0.00924
1578,0.03021,-0.016,-0.00642
1579,0.03092,-0.01472,-0.01064
1580,0.032,-0.01394,-0.01485
1581,0.02949,-0.01432,-0.01475
1582,0.0311,-0.01404,-0.01623
1583,0.03195,-0.0143,-0.01584
1584,0.03196,-0.01405,-0.0147
1585,0.03144,-0.01471,-0.00965
1586,0.03181,-0.01487,-0.01385
1587,0.03229,-0.01271,-0.01491
1588,0.03238,-0.01329,-0.01358
1589,0.03205,-0.01387,-0.01094
1590,0.03244,-0.01354,-0.01011
1591,0.03378,-0.0137,-0.00662
1592,0.03329,-0.01436,-0.00704
1593,0.03384,-0.01336,-0.00999
1594,0.03323,-0.01358,-0.00749
1595,0.03418,-0.01223,-0.00967
1596,0.03456,-0.01294,-0.00796
1597,0.034,-0.01304,-0.00517
1598,0.03331,-0.01298,-0.0081
1599,0.03385,-0.01248,-0.00525
1600,0.03495,-0.01136,-0.00559
1601,0.03484,-0.01118,-0.00273
1602,0.03571,-0.0104,-0.00107
1603,0.03526,-0.01045,-0.00028
1604,0.03569,-0.01042,0.00043
1605,0.03645,-0.01119,0.00157
1606,0.03624,-0.0113,5e-05
1607,0.03622,-0.01056,0.00653
1608,0.03496,-0.01257,0.00179
1609,0.03549,-0.01313,0.00195
1610,0.03568,-0.01323,0.00204
1611,0.03453,-0.01275,-0.00048
1612,0.03446,-0.0142,0.00111
1613,0.03443,-0.01463,0.00178
1614,0.03571,-0.01323,0.00425
1615,0.03573,-0.01437,0.00291
1616,0.03657,-0.01467,0.00091
1617,0.03765,-0.01432,-0.00646
1618,0.03935,-0.01548,-0.00371
1619,0.0398,-0.0156,-0.00678
1620,0.03918,-0.01598,-0.00909
1621,0.03938,-0.01647,-0.00883
1622,0.04082,-0.01731,-0.00602
1623,0.04152,-0.01723,-0.00918
1624,0.04299,-0.0171,-0.0087
1625,0.04358,-0.01819,-0.0087
1626,0.04329,-0.01858,-0.01446
1627,0.04119,-0.01889,-0.01641
1628,0.04166,-0.01867,-0.01614
1629,0.04115,-0.01819,-0.00917
1630,0.04062,-0.01939,-0.01244
1631,0.04259,-0.01943,-0.01508
1632,0.04338,-0.02025,-0.01548
1633,0.04404,-0.01856,-0.0206
1634,0.04377,-0.0203,-0.01976
1635,0.04571,-0.01996,-0.01147
1636,0.04371,-0.01928,-0.01768
1637,0.04456,-0.01901,-0.01866
1638,0.04614,-0.01869,-0.01766
1639,0.04528,-0.01978,-0.01971
1640,0.04649,-0.01988,-0.01569
1641,0.04615,-0.01958,-0.01531
1642,0.04745,-0.01967,-0.01225
1643,0.04579,-0.01992,-0.0101
1644,0.04782,-0.01893,-0.00769
1645,0.04727,-0.01895,-0.00806
1646,0.04709,-0.01797,-0.00311
1647,0.04587,-0.01803,0.0011
1648,0.04646,-0.01762,-0.00071
1649,0.045,-0.01778,-0.00187
1650,0.04548,-0.01731,-0.0035
1651,0.04496,-0.01676,-0.00312
1652,0.0456,-0.01686,0.00048
1653,0.04625,-0.01608,-0.0016
1654,0.04734,-0.01681,8e-05
1655,0.04674,-0.01716,0.00255
1656,0.04694,-0.01857,0.00212
1657,0.04705,-0.0173,0.00243
1658,0.04682,-0.01636,0.00051
1659,0.04833,-0.01645,-0.00171
1660,0.04697,-0.01721,0.00406
1661,0.04637,-0.0176,0.00376
1662,0.04532,-0.01828,-0.00021
1663,0.04733,-0.01849,-0.00806
1664,0.0481,-0.01875,-0.0044
1665,0.04908,-0.0191,-0.00501
1666,0.04881,-0.0184,-0.0028
1667,0.05001,-0.01984,4e-05
1668,0.04808,-0.02016,-0.00326
1669,0.04987,-0.0206,-0.00906
1670,0.05006,-0.02042,-0.00071
1671,0.05188,-0.0204,-0.00631
1672,0.05309,-0.0211,-0.00355
1673,0.05434,-0.02142,-0.00023
1674,0.05446,-0.02146,-0.00031
1675,0.05376,-0.02237,-0.00467
1676,0.0538,-0.02203,-0.01014
1677,0.05252,-0.02385,-0.00909
1678,0.0532,-0.02225,-0.00486
1679,0.05422,-0.02289,-0.00402
1680,0.05462,-0.02118,-0.0069
1681,0.05446,-0.02301,-0.01121
1682,0.05407,-0.02228,-0.009
1683,0.05465,-0.02344,-0.00829
1684,0.05489,-0.02376,-0.01204
1685,0.05492,-0.02336,-0.0079
1686,0.05495,-0.02286,-0.01027
1687,0.05654,-0.02239,-0.01091
1688,0.05655,-0.02227,-0.00888
1689,0.05656,-0.02277,-0.01073
1690,0.05726,-0.02357,-0.01135
1691,0.05654,-0.02213,-0.00723
1692,0.0585,-0.02256,-0.00372
1693,0.05796,-0.02302,-0.00747
1694,0.05951,-0.0229,-0.00175
1695,0.05845,-0.02168,-0.005
1696,0.05797,-0.02216,-0.00242
1697,0.05784,-0.02321,-0.00366
1698,0.05776,-0.0214,-0.00175
1699,0.05832,-0.02098,-0.0031
1700,0.05858,-0.02089,-0.00183
1701,0.05925,-0.02083,-0.00043
1702,0.05925,-0.02028,-0.00121
1703,0.05944,-0.0208,-0.00195
1704,0.06033,-0.02014,0.00122
1705,0.06047,-0.02047,0.00186
1706,0.0607,-0.02071,0.00063
1707,0.0606,-0.02098,0.00161
1708,0.06114,-0.02023,0.003
1709,0.06165,-0.0216,0.00341
1710,0.05979,-0.02133,0.00633
1711,0.0602,-0.02128,0.00263
1712,0.05981,-0.02119,0.00598
1713,0.06159,-0.02185,0.00359
1714,0.06081,-0.02295,0.0013
1715,0.06109,-0.02356,0.00374
1716,0.06196,-0.02349,0.00218
1717,0.06326,-0.02432,0.00319
1718,0.06297,-0.02394,0.00059
1719,0.06488,-0.02445,0.00118
1720,0.06474,-0.0244,0.00361
1721,0.06404,-0.02378,0.0035
1722,0.06515,-0.02367,0.00526
1723,0.06619,-0.02446,-0.00071
1724,0.06639,-0.02495,0.0035
1725,0.06618,-0.02485,-0.00095
1726,0.06711,-0.02583,-0.00251
1727,0.06705,-0.02753,-0.0026
1728,0.0677,-0.0262,-0.00202
1729,0.06897,-0.02581,-0.00384
