gps_week,dn(m),de(m),du(m)
1526,0.0,0.0,0.0
1527,0.00063,5e-05,-0.00415
1528,0.0008,3e-05,-0.00958
1535,0.00295,-0.00086,-0.0076
1537,0.00219,-0.00063,-0.01
1538,0.00347,0.00022,-0.00512
1539,0.00401,-0.00013,-0.00479
1540,0.00449,-0.00095,-0.00167
1541,0.00445,-0.00039,0.00024
1542,0.00489,0.0002,-0.00113
1543,0.00545,-0.0008,0.00213
1544,0.00615,0.00036,0.00434
1545,0.0071,0.0007,0.00574
1546,0.00593,0.00078,0.0104
1547,0.00621,0.00114,0.01045
1548,0.00531,0.00111,0.01138
1549,0.0057,0.0022,0.01295
1550,0.0061,0.00188,0.0092
1551,0.00713,0.00062,0.01258
1552,0.0083,-0.00024,0.01824
1553,0.0079,0.00067,0.01895
1554,0.00915,-0.00072,0.01427
1555,0.00838,0.00099,0.01345
1556,0.00733,8e-05,0.01194
1557,0.00807,-0.00087,0.0133
1558,0.00704,0.00025,0.01397
1559,0.00779,-0.00015,0.01119
1560,0.00769,-0.00273,0.01705
1561,0.00721,-0.00232,0.01497
1562,0.00863,-0.00249,0.0111
1563,0.0073,-0.00288,0.01222
1564,0.009,-0.00388,0.01103
1565,0.00948,-0.00409,0.007
1566,0.00964,-0.00494,0.00715
1567,0.01086,-0.00405,0.00669
1568,0.0114,-0.00417,0.0052
1569,0.01237,-0.00365,0.0085
1570,0.0125,-0.00482,0.01011
1571,0.01359,-0.00481,0.00465
1572,0.01447,-0.00511,0.00682
1574,0.01471,-0.00713,0.01298
1575,0.014,-0.00758,0.01662
1576,0.01412,-0.00678,0.0074
1577,0.01505,-0.00693,0.00634
1578,0.01596,-0.00733,0.01271
1579,0.01596,-0.00753,0.00902
1580,0.01673,-0.00718,-0.00109
1581,0.01498,-0.00725,0.00282
1582,0.01528,-0.00765,0.00575
1583,0.01724,-0.00795,0.00417
1584,0.01696,-0.00839,0.00269
1585,0.01609,-0.00806,0.00339
1586,0.01644,-0.00822,0.00095
1587,0.01543,-0.00802,0.00574
1588,0.01634,-0.00882,0.0054
1589,0.01643,-0.00859,0.00926
1590,0.01715,-0.00835,0.00765
1591,0.01816,-0.00827,0.01072
1592,0.01833,-0.00854,0.00893
1593,0.01846,-0.00777,0.01106
1594,0.01753,-0.00747,0.01641
1595,0.01783,-0.00649,0.01423
1596,0.01866,-0.00664,0.01491
1597,0.01901,-0.00672,0.01788
1598,0.01795,-0.00717,0.01873
1599,0.01835,-0.0066,0.01868
1600,0.01929,-0.00574,0.01793
1601,0.01926,-0.00518,0.02113
1602,0.02033,-0.00453,0.02293
1603,0.02102,-0.0054,0.02407
1604,0.02104,-0.00502,0.01965
1605,0.0216,-0.00494,0.02034
1606,0.02115,-0.00642,0.0243
1607,0.02212,-0.00671,0.0218
1608,0.0206,-0.00849,0.01476
1609,0.01922,-0.00753,0.0144
1610,0.01925,-0.00871,0.01956
1611,0.01942,-0.0081,0.02067
1612,0.02124,-0.01084,0.02112
1613,0.02006,-0.00936,0.02254
1614,0.02127,-0.01004,0.01845
1615,0.02179,-0.0103,0.01726
1616,0.02078,-0.01014,0.02121
1617,0.02214,-0.01125,0.01804
1618,0.02372,-0.01274,0.01762
1619,0.02359,-0.01324,0.01269
1620,0.02422,-0.01257,0.0145
1621,0.02411,-0.0125,0.00935
1622,0.02581,-0.01434,0.01587
1623,0.02771,-0.0135,0.0072
