gps_week,dn(m),de(m),du(m)
1617,0.0,0.0,0.0
1618,0.0003,-0.00074,-0.00079
1619,0.00208,-0.00116,-0.00635
1620,0.001,-0.00044,-0.00889
1621,0.00153,-0.00087,-0.00904
1622,0.00223,-0.00148,-0.00941
1623,0.00382,-0.0016,-0.01401
1624,0.0052,-0.00243,-0.01379
1625,0.0043,-0.00163,-0.01482
1626,0.00369,-0.00167,-0.01825
1627,0.00296,-0.00306,-0.01682
1628,0.00397,-0.00218,-0.01514
1629,0.00274,-0.00142,-0.01982
1630,0.00223,-0.00167,-0.01921
1631,0.00416,-0.00323,-0.0177
1632,0.00287,-0.00285,-0.01842
1633,0.0041,-0.00109,-0.02019
1634,0.00433,-0.00205,-0.02222
1635,0.00561,-0.00279,-0.02218
1636,0.00475,-0.0024,-0.02509
1637,0.00444,-0.00185,-0.02533
1638,0.00653,-0.00211,-0.02333
1639,0.00678,-0.00293,-0.02453
1640,0.00749,-0.00343,-0.02548
1641,0.0077,-0.00283,-0.02227
1642,0.0088,-0.00337,-0.01944
1643,0.00726,-0.00357,-0.01592
1644,0.00867,-0.0027,-0.01697
1645,0.00806,-0.00332,-0.01622
1646,0.00862,-0.00236,-0.01035
1647,0.00718,-0.00235,-0.00593
1648,0.00727,-0.00304,-0.00863
1649,0.00651,-0.00256,-0.00865
1650,0.00763,-0.00205,-0.00886
1651,0.00676,-0.00214,-0.0099
1652,0.00831,-0.00196,-0.00646
1653,0.00862,-0.00131,-0.0066
1654,0.00918,-0.00141,-0.00275
1655,0.00869,-0.00237,0.0007
1656,0.00883,-0.00166,0.00142
1657,0.00969,-0.00186,0.00124
1658,0.0093,5e-05,-0.00113
1659,0.00981,0.00056,-0.00293
1660,0.00926,-0.0019,-0.00468
1661,0.00721,-0.00093,-0.00609
1662,0.00845,-0.00169,-0.00238
1663,0.01052,-0.00177,-0.00639
1664,0.01065,-0.00242,-0.00488
1665,0.01102,-0.00273,-0.00775
1666,0.0117,-0.00286,-0.0033
1667,0.01012,-0.00227,0.00185
1668,0.01034,-0.00298,-0.00442
1669,0.01084,-0.00408,-0.00681
1670,0.01211,-0.00303,-0.00304
1671,0.01333,-0.00294,-0.0029
1672,0.01352,-0.0035,-0.00595
1673,0.01458,-0.00391,-0.00579
1674,0.01537,-0.00379,-0.00401
1675,0.01466,-0.00444,-0.00846
1676,0.01399,-0.00398,-0.0077
1677,0.01308,-0.00522,-0.01257
1678,0.01427,-0.00439,-0.00853
1679,0.01522,-0.00447,-0.0072
1680,0.01592,-0.00338,-0.01299
1681,0.01527,-0.00509,-0.01531
1682,0.01535,-0.00486,-0.01334
1683,0.01652,-0.00529,-0.01252
1684,0.01573,-0.0061,-0.01073
1685,0.0151,-0.00528,-0.01347
1686,0.01503,-0.00536,-0.01417
1687,0.01601,-0.00532,-0.01106
1688,0.01682,-0.00537,-0.01633
1689,0.01796,-0.0058,-0.01553
1690,0.01827,-0.00638,-0.01471
1691,0.01754,-0.0055,-0.01112
1692,0.01901,-0.00662,-0.01033
1693,0.01904,-0.00742,-0.01196
1694,0.01996,-0.00659,-0.01144
1695,0.01819,-0.00612,-0.00736
1696,0.01856,-0.0065,-0.00681
1697,0.01775,-0.00756,-0.00534
1698,0.01914,-0.00632,-0.00585
1699,0.01913,-0.00593,-0.00755
1700,0.01954,-0.00581,-0.00386
1701,0.01984,-0.00631,-0.00379
1702,0.02008,-0.00563,-0.00269
1703,0.02027,-0.00618,-0.00322
1704,0.02082,-0.0055,-0.00044
1705,0.02187,-0.00554,0.00197
1706,0.02155,-0.00636,0.0057
1707,0.02144,-0.00575,0.00252
1708,0.02238,-0.00518,0.00261
1709,0.02272,-0.00625,0.00569
1710,0.02131,-0.00576,0.00295
1711,0.022,-0.00612,0.0022
1712,0.02211,-0.00564,0.00439
