gps_week,dn(m),de(m),du(m)
1355,0.0,0.0,0.0
1356,0.00085,0.00112,0.0079
1357,-0.0014,0.00163,0.00897
1358,-0.00157,0.00225,0.00557
1359,-0.00138,0.00069,0.00511
1360,0.00015,0.00029,0.00235
1361,-0.00046,0.0007,-0.00165
1362,-4e-05,0.00181,-0.00481
1363,0.00097,0.00201,-0.00221
1364,0.00142,0.00147,-0.00509
1365,-0.00079,0.00248,0.00131
1366,0.0015,0.00039,-0.00647
1367,0.00126,0.00037,-0.00656
1368,0.00162,0.00066,-0.00701
1369,0.00069,-7e-05,-0.00392
1372,-0.00135,4e-05,-0.0099
1373,-0.0009,-0.00027,-0.00933
1374,0.00015,-0.0014,-0.00968
1375,-0.00134,-0.00103,-0.00607
1376,-0.00021,-0.00113,-0.0174
1377,0.00067,-0.00038,-0.01287
1378,0.00013,0.00101,-0.01496
1379,-0.00115,-0.00057,-0.01892
1380,0.0015,-0.00151,-0.01537
1381,0.00144,0.00012,-0.01708
1382,0.00107,-0.00072,-0.01546
1383,0.00093,-0.00161,-0.01643
1384,0.00221,-0.00129,-0.02039
1385,0.00238,-0.00177,-0.0134
1386,0.00162,-0.0024,-0.01786
1387,0.00418,-0.00185,-0.013
1388,0.00446,-0.00268,-0.01129
1389,0.00406,-0.00256,-0.00971
1390,0.00558,-0.00286,-0.00922
1391,0.0073,-0.00351,-0.01314
1392,0.00724,-0.00223,-0.00493
1393,0.00856,-0.00335,-0.00842
1394,0.00938,-0.00249,-0.00761
1395,0.01154,-0.00358,-0.00292
1396,0.01059,-0.00325,-0.01393
1397,0.00944,-0.00292,-0.00789
1398,0.00946,-0.00345,-0.00405
1399,0.0093,-0.00393,-0.0
1400,0.00917,-0.00299,-0.00498
1401,0.00881,-0.00257,-0.00682
1402,0.01009,-0.00252,-0.00305
1403,0.01014,-0.00189,0.00056
1404,0.01033,-0.00192,-0.00716
1405,0.0098,-0.00176,0.00309
1406,0.0116,-0.00216,-0.00051
1407,0.01158,-0.00348,-0.00112
1408,0.01267,-0.0035,-0.0058
1409,0.0126,-0.00125,-0.00211
1410,0.01197,-0.00131,-0.00298
1412,0.01288,-0.00139,-0.00385
1413,0.0118,-0.00265,-0.00663
1414,0.01399,-0.0017,-0.00237
1415,0.01336,-0.00132,-0.00321
1416,0.01445,-0.00263,0.00227
1417,0.01422,-0.00308,-0.00316
1418,0.01251,-0.00116,0.003
1419,0.01397,-0.00211,-0.01132
1420,0.01276,-0.00382,-0.01025
1421,0.01446,-0.00371,-0.00172
1422,0.01378,-0.0039,-0.00877
1423,0.01461,-0.00428,-0.00605
1424,0.01428,-0.00244,-0.0113
1425,0.01306,-0.0029,-0.01236
1426,0.01389,-0.00306,-0.01304
1427,0.01453,-0.00373,-0.01431
1428,0.01426,-0.00372,-0.01335
1429,0.01439,-0.00214,-0.01757
1430,0.01425,-0.00298,-0.01652
1431,0.01332,-0.00436,-0.01147
1432,0.01345,-0.00456,-0.01241
1433,0.01258,-0.00501,-0.01434
1434,0.01504,-0.00315,-0.01129
1435,0.0152,-0.00386,-0.01279
1436,0.01536,-0.00376,-0.0134
1437,0.01521,-0.00764,-0.02137
1438,0.01677,-0.00543,-0.01057
1439,0.018,-0.00515,-0.0122
1440,0.01777,-0.0049,-0.01128
1441,0.01847,-0.00621,-0.01147
1442,0.01885,-0.00767,-0.01066
1443,0.02001,-0.00736,-0.01068
1444,0.02053,-0.00786,-0.00918
1445,0.02122,-0.0067,-0.00621
1446,0.02081,-0.00554,-0.00699
1447,0.0203,-0.00534,-0.00652
1448,0.02238,-0.00436,-0.00567
1449,0.02159,-0.00536,-0.00684
1450,0.02203,-0.00767,0.00143
1458,0.02193,-0.00701,-0.03515
1459,0.02226,-0.00635,-0.03459
1460,0.02304,-0.00668,-0.03639
1461,0.02398,-0.0062,-0.03603
1462,0.02388,-0.00748,-0.03343
1463,0.02501,-0.00554,-0.04034
1464,0.02448,-0.00501,-0.04314
1465,0.02425,-0.00581,-0.04209
1466,0.02359,-0.00677,-0.04335
1467,0.02299,-0.00681,-0.04424
1468,0.02261,-0.00726,-0.05162
1469,0.02407,-0.00876,-0.05134
1470,0.02294,-0.0094,-0.04808
1471,0.02343,-0.00881,-0.0493
1472,0.02408,-0.00889,-0.05023
1473,0.0242,-0.00888,-0.04626
1474,0.02485,-0.00806,-0.04676
1475,0.02501,-0.00911,-0.04887
1476,0.0253,-0.00792,-0.04613
1477,0.02558,-0.00813,-0.04571
1478,0.02494,-0.00825,-0.04641
1479,0.02494,-0.00743,-0.05043
1480,0.0241,-0.00705,-0.05387
1481,0.02379,-0.00778,-0.05849
1482,0.02338,-0.00802,-0.05025
1483,0.02268,-0.00829,-0.05239
1484,0.02607,-0.00772,-0.06034
1485,0.02615,-0.0073,-0.04981
1486,0.02544,-0.00624,-0.04872
1487,0.02588,-0.00716,-0.04862
1488,0.0281,-0.01034,-0.04968
1489,0.02717,-0.00844,-0.05315
1490,0.02699,-0.00852,-0.04624
1491,0.02767,-0.0106,-0.05031
1492,0.02754,-0.00886,-0.04602
1493,0.02812,-0.00793,-0.04566
1494,0.02775,-0.00834,-0.04685
1495,0.02923,-0.00669,-0.03902
1496,0.03066,-0.0069,-0.04183
1497,0.0305,-0.00831,-0.04269
1498,0.03181,-0.00819,-0.05383
1499,0.03238,-0.00836,-0.04508
1500,0.03226,-0.00888,-0.04226
1501,0.03396,-0.00797,-0.04353
1502,0.03464,-0.00858,-0.04508
1503,0.03334,-0.00844,-0.04605
1504,0.03344,-0.00918,-0.03638
1505,0.03597,-0.01059,-0.03711
1506,0.03387,-0.01023,-0.03537
1507,0.03439,-0.00971,-0.03207
1508,0.0344,-0.01053,-0.03501
1510,0.03544,-0.00812,-0.03585
1511,0.03463,-0.00876,-0.03224
1512,0.0355,-0.00828,-0.03881
1513,0.03608,-0.00902,-0.03842
1514,0.03565,-0.0077,-0.04169
1515,0.03614,-0.00952,-0.0417
1516,0.03569,-0.00881,-0.04499
1517,0.03592,-0.01098,-0.05272
1518,0.03549,-0.01018,-0.05098
1519,0.03626,-0.00915,-0.04581
1520,0.03551,-0.01062,-0.04225
1521,0.03565,-0.01105,-0.04649
1522,0.03561,-0.01098,-0.05206
1523,0.03665,-0.01179,-0.05064
1524,0.03744,-0.01286,-0.05096
1525,0.0371,-0.01216,-0.04957
1526,0.03734,-0.01208,-0.05572
1527,0.03825,-0.01161,-0.0573
1528,0.03883,-0.01188,-0.06077
1529,0.03864,-0.01188,-0.05527
1530,0.03859,-0.01239,-0.06317
1531,0.03916,-0.01181,-0.06181
1532,0.03831,-0.01176,-0.05348
1533,0.03613,-0.01376,-0.05518
1534,0.03735,-0.01266,-0.05798
1535,0.03822,-0.01213,-0.05349
1536,0.03918,-0.01359,-0.0532
1537,0.03923,-0.01403,-0.0576
1538,0.03996,-0.01379,-0.05684
1539,0.0404,-0.01412,-0.0571
1540,0.04068,-0.01454,-0.05578
1541,0.03981,-0.0139,-0.05338
1542,0.04082,-0.01418,-0.05431
1543,0.04143,-0.01344,-0.04935
1544,0.04205,-0.01264,-0.05144
1545,0.0432,-0.01327,-0.04927
1546,0.04256,-0.01411,-0.04662
1547,0.04246,-0.01161,-0.04658
1548,0.0429,-0.01243,-0.05217
1549,0.04191,-0.01251,-0.04927
1550,0.04407,-0.01405,-0.0461
1551,0.04376,-0.01431,-0.04597
1552,0.04447,-0.01322,-0.04868
1553,0.04633,-0.01319,-0.03634
1554,0.04408,-0.01378,-0.03983
1555,0.04628,-0.01367,-0.04213
1556,0.04535,-0.01296,-0.04259
1557,0.04744,-0.01308,-0.0326
1558,0.04654,-0.01349,-0.03922
1559,0.04774,-0.01275,-0.04162
1560,0.04912,-0.01213,-0.03677
1561,0.04883,-0.01296,-0.0348
1562,0.04932,-0.01195,-0.04268
1563,0.0493,-0.01066,-0.04461
1564,0.049,-0.01247,-0.0407
1565,0.04919,-0.01228,-0.03762
1566,0.04939,-0.01231,-0.04466
1567,0.04879,-0.01134,-0.04433
1568,0.04948,-0.01165,-0.04525
1569,0.04978,-0.01234,-0.04371
1570,0.05031,-0.01412,-0.04439
1571,0.05052,-0.01399,-0.04169
1572,0.05047,-0.01456,-0.04312
1573,0.05046,-0.01418,-0.03854
1574,0.05128,-0.01616,-0.04743
1575,0.05173,-0.01605,-0.04256
1576,0.0515,-0.01511,-0.05007
1577,0.05186,-0.0155,-0.05447
1578,0.05365,-0.01576,-0.0504
1579,0.0523,-0.01568,-0.05459
1580,0.05242,-0.01541,-0.05998
1581,0.05195,-0.015,-0.05672
1583,0.05083,-0.01578,-0.0585
1584,0.05258,-0.01721,-0.06216
1585,0.05201,-0.0163,-0.05793
1586,0.05105,-0.01562,-0.05859
1587,0.05203,-0.01605,-0.06469
1588,0.05354,-0.01797,-0.05972
1589,0.05242,-0.01794,-0.063
1590,0.05311,-0.01778,-0.06232
1591,0.05374,-0.01785,-0.06524
1592,0.05525,-0.0199,-0.06457
1593,0.05393,-0.01729,-0.06082
1594,0.05388,-0.01726,-0.06311
1595,0.05353,-0.0167,-0.06292
1596,0.05472,-0.0167,-0.06173
1597,0.0539,-0.01631,-0.05793
1598,0.05419,-0.01774,-0.05488
1599,0.05412,-0.01803,-0.05233
1600,0.05616,-0.02025,-0.05433
1601,0.057,-0.01657,-0.05221
1602,0.05724,-0.01558,-0.04804
1603,0.05741,-0.0155,-0.04947
1604,0.05859,-0.0155,-0.05136
1605,0.05846,-0.01765,-0.0487
1606,0.05787,-0.01708,-0.05055
1607,0.06002,-0.01724,-0.05438
1608,0.0587,-0.01692,-0.04944
1609,0.05981,-0.01874,-0.0474
1610,0.05932,-0.02077,-0.04026
1611,0.05989,-0.01869,-0.05002
1612,0.05951,-0.01988,-0.05115
1613,0.06098,-0.01935,-0.05266
1614,0.06089,-0.01843,-0.04677
