gps_week,dn(m),de(m),du(m)
1043,0.0,0.0,0.0
1044,0.00111,0.00078,-0.00077
1045,0.00204,-0.00146,-0.00437
1046,0.00136,-0.00069,-0.00149
1047,0.00287,0.00015,0.00283
1048,0.00294,0.00023,0.00495
1049,0.00481,-0.00088,0.0
1050,0.00687,0.00102,-0.00152
1051,0.00662,-0.00321,0.00955
1052,0.00614,-0.00141,-0.00079
1053,0.00515,-0.00021,-0.00093
1054,0.00887,-0.0017,-0.00128
1055,0.00656,-0.00095,-0.0036
1056,0.00663,-0.00184,-0.00531
1057,0.00516,-0.00171,-0.00238
1058,0.00553,-0.00321,-0.00572
1059,0.00633,-0.00306,-0.00738
1060,0.00807,-0.00325,-0.00534
1061,0.00904,-0.0031,-0.00973
1062,0.00803,-0.00442,-0.00631
1063,0.00848,-0.00346,-0.0125
1064,0.00931,-0.00456,-0.00551
1065,0.00834,-0.0029,-0.00706
1066,0.00702,-0.00371,-0.00901
1067,0.00927,-0.00612,-0.00978
1068,0.00854,-0.00414,0.00142
1069,0.00849,-0.00495,-0.00275
1070,0.00734,-0.00564,-0.00928
1071,0.00775,-0.00656,-0.00741
1072,0.00674,-0.00642,-0.0063
1073,0.00624,-0.00694,-0.00502
1074,0.00652,-0.00679,-0.00285
1075,0.0081,-0.00698,-0.0037
1076,0.00785,-0.00483,0.00091
1077,0.00974,-0.00773,-0.00805
1078,0.0112,-0.00468,0.0001
1079,0.01006,-0.00291,-0.00469
1080,0.00875,-0.00074,0.00286
1081,0.00866,-0.00366,-0.00881
1082,0.00859,-0.00244,-0.00621
1083,0.00923,-0.00342,-0.00523
1084,0.00673,-0.00265,-0.00868
1085,0.0067,-0.00182,-0.00605
1086,0.00724,-0.00271,-0.00218
1087,0.00877,-0.00175,-0.00596
1088,0.01016,-0.00403,-0.00751
1089,0.01168,-0.00464,-0.01663
1090,0.01226,-0.00385,-0.00178
1091,0.01164,-0.00324,-0.00125
1092,0.01162,-0.00209,-0.00305
1093,0.01014,-0.00235,-0.00827
1094,0.01232,-0.00467,-0.00289
1095,0.01156,-0.00234,-0.00728
1096,0.01268,-0.00548,-0.00851
1097,0.0141,-0.00621,0.00134
1098,0.0119,-0.00617,-0.00666
1099,0.01277,-0.00732,-0.00439
1100,0.01677,-0.00647,0.00197
1101,0.01824,-0.00628,0.00026
1102,0.0191,-0.00679,-0.0061
1103,0.01422,-0.00493,-0.00683
1104,0.01837,-0.00593,-0.00913
1105,0.01662,-0.00228,-0.00381
1106,0.01829,-0.00538,-0.0049
1107,0.01668,-0.00558,-0.00776
1108,0.0192,-0.00599,-0.00145
1109,0.01791,-0.00417,-0.00557
1110,0.02086,-0.00454,-0.0075
1111,0.01802,-0.00241,-0.00755
1114,0.01791,-0.00632,-0.01012
1115,0.0198,-0.00498,-0.0062
1116,0.01989,-0.00525,-0.00375
1117,0.01959,-0.00577,-0.00615
1118,0.02117,-0.00698,-0.00986
1119,0.02095,-0.00892,-0.01647
1120,0.021,-0.00847,-0.01346
1121,0.02138,-0.0063,-0.00852
1122,0.02158,-0.00757,-0.01218
1123,0.02025,-0.00701,-0.0102
1124,0.02188,-0.00833,-0.01099
1125,0.02052,-0.00625,-0.0058
1126,0.02103,-0.00725,-0.00496
1127,0.02166,-0.00484,-0.00472
1128,0.0204,-0.00579,-0.00709
1129,0.01958,-0.00275,0.0045
1130,0.01996,-0.00505,-0.00445
1131,0.01915,-0.00385,-0.00981
1132,0.01863,-0.00464,-0.01064
1133,0.0183,-0.00421,-0.00646
1134,0.01865,-0.00589,-0.01139
1135,0.01908,-0.00482,-0.00585
1136,0.01851,-0.00356,-0.00461
1137,0.02036,-0.00383,-0.00305
1138,0.01977,-0.00676,-0.00526
1139,0.02033,-0.00653,-0.00445
1140,0.01986,-0.00609,-0.0032
1141,0.02174,-0.00483,-0.00642
1142,0.0225,-0.00651,-0.00548
1144,0.02276,-0.0049,-0.00384
1145,0.02365,-0.00589,-0.00371
1146,0.02187,-0.00609,-0.00526
1147,0.0251,-0.0069,0.00117
1148,0.0263,-0.00564,0.00092
1149,0.02931,-0.00839,0.0022
1150,0.02607,-0.00541,-2e-05
1151,0.02955,-0.00518,3e-05
1152,0.03033,-0.00575,0.00101
1153,0.03031,-0.00719,0.0026
1154,0.0304,-0.00614,-0.00236
1155,0.03074,-0.00649,-0.00424
1156,0.02854,-0.00688,-0.00686
1157,0.03034,-0.00564,-0.00461
1158,0.02997,-0.00648,-0.00483
1159,0.02977,-0.00496,8e-05
1160,0.03246,-0.00542,-0.00595
1161,0.03199,-0.00369,0.00155
1162,0.03149,-0.00486,-0.00602
1163,0.03001,-0.00452,-0.00933
1164,0.03149,-0.00676,-0.00268
1165,0.03147,-0.00804,-0.01204
1166,0.03315,-0.00723,-0.00168
1167,0.03248,-0.00953,-0.01503
1168,0.0334,-0.0091,-0.00899
1169,0.03232,-0.00696,-0.00749
1170,0.03359,-0.0092,-0.01233
1171,0.03275,-0.00908,-0.01402
1172,0.03344,-0.01029,-0.01486
1173,0.03414,-0.00971,-0.01044
1174,0.03365,-0.01098,-0.01117
1175,0.03284,-0.00992,-0.00653
1176,0.03279,-0.00906,-0.00601
1177,0.03347,-0.01083,-0.01147
1178,0.0339,-0.01033,-0.0141
1179,0.0323,-0.00835,-0.01382
1180,0.03249,-0.00804,-0.01066
1181,0.03163,-0.00747,-0.00594
1182,0.03118,-0.00844,-0.01423
1183,0.03053,-0.00684,-0.01134
1184,0.03191,-0.00761,-0.01405
1185,0.0322,-0.00813,-0.00707
1186,0.03151,-0.008,-0.00292
1187,0.03224,-0.00824,0.00199
1188,0.03417,-0.00905,-0.00159
1189,0.03404,-0.011,-0.00669
1190,0.03482,-0.01073,-0.0047
1191,0.0353,-0.00987,-0.00827
1192,0.03569,-0.00804,-0.00021
1193,0.03718,-0.00859,-0.00445
1194,0.03729,-0.00768,0.0006
1195,0.03787,-0.00965,-0.00771
