gps_week,dn(m),de(m),du(m)
1410,0.0,0.0,0.0
1415,0.00527,-0.00201,-0.01269
1417,0.0051,-0.00361,-0.00237
1418,0.00361,-0.00317,-0.00535
1419,0.00352,-0.00331,-0.00423
1420,0.00413,-0.00218,-0.00083
1421,0.00534,-0.00359,-0.0079
1422,0.00342,-0.00421,-0.00294
1423,0.00453,-0.00446,0.00181
1424,0.00303,-0.00372,0.00392
1425,0.00463,-0.00252,0.00469
1426,0.00365,-0.00264,0.00262
1427,0.00435,-0.00197,0.0078
1428,0.00426,-0.0031,0.00356
1429,0.00421,-0.00138,0.0018
1430,0.00366,-0.0003,0.00027
1431,0.00408,-0.00131,0.00417
1432,0.00512,-0.00162,0.00484
1433,0.00584,-0.00133,0.00478
1434,0.00519,-0.00168,0.00887
1435,0.00336,-0.00121,0.00405
1436,0.00091,-0.00148,-0.00057
1437,-0.00131,-0.00309,-0.00906
1438,0.00296,-0.00138,0.00754
1439,0.00319,-0.00151,0.00522
1440,0.00469,-0.00283,0.00469
1441,0.00576,-0.00236,0.00939
1442,0.00643,-0.00364,0.00926
1443,0.00717,-0.00331,0.01132
1444,0.00775,-0.00282,0.0108
1445,0.00769,-0.00233,0.00903
1446,0.00641,-0.00233,0.01207
1447,0.00878,-0.00177,0.01438
1448,0.00823,-0.00275,0.01598
1449,0.00756,-0.00225,0.01518
1450,0.0051,-0.00393,0.01262
1451,0.00781,-0.00218,0.01781
1452,0.00756,-0.00346,0.01621
1453,0.00855,-0.00378,0.01369
1454,0.01104,-0.00374,0.01816
1455,0.01048,-0.00246,0.01623
1456,0.0106,-0.00252,0.01453
1457,0.01047,-0.00309,0.01556
1458,0.00949,-0.00392,0.01089
1459,0.01044,-0.00378,0.01324
1460,0.01206,-0.00387,0.01092
1461,0.01169,-0.00386,0.01445
1462,0.01178,-0.00589,0.01105
1463,0.01353,-0.00384,0.00858
1464,0.01405,-0.00523,0.01096
1465,0.01792,-0.00535,0.01098
1466,0.01656,-0.00635,0.01118
1467,0.01624,-0.00644,0.01257
1468,0.01663,-0.00752,0.00978
1469,0.01684,-0.00741,0.00773
1470,0.01587,-0.00849,0.00293
1471,0.01777,-0.00871,0.00537
1472,0.01793,-0.00854,0.01043
1473,0.01815,-0.00718,0.01245
1474,0.01693,-0.00711,0.01287
1475,0.01708,-0.00706,0.00971
1476,0.01938,-0.00537,0.01197
1477,0.01845,-0.00526,0.00805
1478,0.0183,-0.00556,0.00546
1479,0.01961,-0.00527,0.00367
1480,0.01884,-0.00425,0.00725
1481,0.01836,-0.00462,0.00644
1482,0.01918,-0.00484,0.00754
1483,0.01714,-0.0049,0.00629
1484,0.01733,-0.00625,0.00873
1485,0.01688,-0.0052,0.00448
1486,0.01678,-0.00498,0.0051
1487,0.01653,-0.0055,0.00397
1488,0.01644,-0.00533,0.00891
1489,0.01553,-0.0058,0.01197
1490,0.01684,-0.00667,0.01195
1491,0.01687,-0.00767,0.0091
1492,0.01765,-0.00668,0.01005
1493,0.01805,-0.00505,0.01246
1494,0.019,-0.00501,0.01384
1495,0.01816,-0.00436,0.01461
1496,0.01907,-0.00507,0.01362
1497,0.01934,-0.00529,0.01369
1498,0.02003,-0.00565,0.01631
1499,0.02071,-0.00506,0.02098
1500,0.01958,-0.00606,0.0154
1501,0.02071,-0.00639,0.02103
1502,0.0205,-0.00606,0.02105
1503,0.02106,-0.00556,0.01798
1504,0.02215,-0.00677,0.01745
1505,0.02194,-0.00526,0.01774
1506,0.02214,-0.00582,0.01913
1507,0.02259,-0.00481,0.01832
1508,0.02274,-0.00554,0.01354
1509,0.02296,-0.00449,0.01516
1510,0.02212,-0.00458,0.01565
1511,0.02322,-0.00583,0.01385
1512,0.02337,-0.00642,0.01334
1513,0.02466,-0.00641,0.01438
1514,0.02446,-0.00735,0.01775
1515,0.02544,-0.00791,0.01328
1516,0.02618,-0.00762,0.01347
1517,0.02633,-0.00834,0.01135
1518,0.02519,-0.00821,0.01286
1519,0.02818,-0.00808,0.01494
1520,0.02848,-0.01058,0.00979
1521,0.02951,-0.01079,0.00715
1522,0.03021,-0.00995,0.00984
1523,0.03034,-0.01169,0.01083
1524,0.03074,-0.01037,0.01106
1525,0.0301,-0.01003,0.0081
1526,0.03004,-0.01069,0.00903
1527,0.03117,-0.00948,0.00414
1528,0.03129,-0.00931,0.00465
1529,0.03208,-0.00881,0.00795
1530,0.03109,-0.00766,0.00648
1531,0.03243,-0.00699,0.01053
1532,0.03318,-0.00856,0.00918
1533,0.03208,-0.00811,0.01012
1534,0.03077,-0.00966,0.00731
1535,0.03183,-0.00883,0.00401
1536,0.03134,-0.00875,0.00657
1537,0.03076,-0.00899,0.0075
1538,0.03163,-0.00828,0.0071
1539,0.03014,-0.00947,0.00721
1540,0.0317,-0.01007,0.00636
1541,0.03025,-0.00976,0.00758
1542,0.03212,-0.0091,0.0056
1543,0.03257,-0.00892,0.00584
1544,0.03364,-0.00859,0.01124
1545,0.03316,-0.00852,0.01259
1546,0.03392,-0.00842,0.01259
