gps_week,dn(m),de(m),du(m)
1356,0.0,0.0,0.0
1357,0.00114,0.00113,-0.00109
1358,0.00155,-0.00063,-0.00639
1359,9e-05,-0.00111,-0.00359
1360,0.0032,-0.0007,-0.00947
1361,0.00287,-0.00143,-0.01432
1362,0.00372,-0.0012,-0.01688
1363,0.00524,-0.00197,-0.01571
1364,0.00462,-0.00139,-0.02225
1365,0.00466,0.00165,-0.0195
1366,0.00505,-0.00177,-0.01823
1367,0.00436,-0.00233,-0.02282
1368,0.0049,-0.00136,-0.02641
1369,0.00708,-0.00033,-0.02013
1370,0.00506,0.00021,-0.02219
1371,0.00552,0.00037,-0.02558
1372,0.00406,-0.00012,-0.02508
1373,0.00577,0.00035,-0.0227
1374,0.00664,-0.00072,-0.02305
1375,0.00683,-0.00052,-0.01965
1376,0.00491,8e-05,-0.01531
1377,0.00637,-0.00174,-0.00967
1378,0.00576,-0.00162,-0.01922
1379,0.0047,-0.00089,-0.01281
1380,0.00789,-0.00207,-0.00807
1381,0.00635,-0.00032,-0.00744
1382,0.00736,-0.00156,-0.00856
1383,0.00801,-0.00159,-0.00174
1384,0.00708,-0.00162,-0.0019
1385,0.00649,-0.00246,0.00435
1386,0.00569,-0.00337,-0.00216
1387,0.00787,-0.00459,0.00549
1388,0.00599,-0.00392,0.00263
1389,0.00717,-0.00325,0.00872
1390,0.00911,-0.00405,0.01494
1391,0.00701,-0.00388,0.00927
1392,0.00835,-0.00426,0.00751
1393,0.00726,-0.00376,0.01001
1394,0.00991,-0.00457,0.00677
1395,0.0092,-0.0046,0.00968
1396,0.00852,-0.00467,0.00999
1397,0.00832,-0.0031,0.01044
1398,0.00766,-0.00414,0.0053
1399,0.00924,-0.00369,0.01157
1400,0.00758,-0.00333,0.00879
1401,0.00787,-0.00459,0.00572
1402,0.00962,-0.00632,0.00347
1404,0.00979,-0.00638,0.00254
1405,0.01007,-0.00537,-0.00193
1406,0.01001,-0.00576,0.00153
1409,0.01239,-0.00657,-0.00698
1410,0.01187,-0.01062,-0.03151
1411,0.01548,-0.00673,-0.0163
1412,0.01582,-0.005,-0.0135
1413,0.01369,-0.00468,-0.02017
1414,0.01752,-0.00372,-0.01326
1415,0.01491,-0.00452,-0.01186
1416,0.01657,-0.00608,-0.01348
1417,0.01577,-0.00629,-0.01617
1418,0.01384,-0.00732,-0.01608
1419,0.01749,-0.00311,-0.02282
1429,0.0187,-0.00579,-0.01508
1430,0.01893,-0.00512,-0.01173
1431,0.01909,-0.00588,-0.00515
1432,0.02098,-0.00624,-0.01248
1433,0.02042,-0.00548,-0.00926
1434,0.0208,-0.00671,-0.00642
1435,0.01912,-0.00734,-0.00201
1436,0.01915,-0.00915,0.00058
1437,0.01833,-0.00956,-0.00497
1438,0.01932,-0.00734,-0.00319
1439,0.02043,-0.00706,0.00047
1440,0.01996,-0.00876,0.00652
1441,0.02042,-0.00973,0.00643
1442,0.01912,-0.01017,0.00804
1443,0.02171,-0.0105,0.01
1444,0.02171,-0.0101,0.01283
1445,0.02063,-0.01208,0.01466
1446,0.01824,-0.01163,0.01405
1447,0.01928,-0.01085,0.01617
1448,0.01875,-0.00996,0.02005
1449,0.01863,-0.01136,0.01498
1450,0.01794,-0.00971,0.0163
1451,0.01865,-0.01136,0.01162
1452,0.01885,-0.01279,0.01372
1453,0.01957,-0.01292,0.01421
1454,0.02042,-0.01322,0.00977
1455,0.01999,-0.01339,0.00896
1456,0.02159,-0.01229,0.00324
1457,0.02028,-0.01315,0.00456
1458,0.01988,-0.01257,0.00134
1459,0.02065,-0.01287,0.00445
1460,0.02155,-0.01303,-6e-05
1461,0.02248,-0.01132,-0.00072
1462,0.02345,-0.01216,-0.0058
1463,0.02334,-0.01123,-0.01051
1464,0.02276,-0.00934,-0.01299
1465,0.02399,-0.01051,-0.01168
1466,0.02501,-0.01131,-0.01185
1467,0.02509,-0.01121,-0.01433
1468,0.02553,-0.01108,-0.01409
1469,0.02555,-0.01045,-0.01871
1470,0.02505,-0.01153,-0.02147
1471,0.02441,-0.01172,-0.0222
1472,0.02596,-0.01122,-0.02213
1473,0.02499,-0.00991,-0.02014
1474,0.02822,-0.01041,-0.02234
1475,0.02719,-0.01027,-0.01923
1476,0.02954,-0.01059,-0.02132
1477,0.02786,-0.01049,-0.01875
1478,0.02734,-0.01003,-0.02103
1479,0.02654,-0.0095,-0.02469
1480,0.0281,-0.00914,-0.01671
1481,0.02812,-0.01126,-0.01613
1482,0.02701,-0.01075,-0.01741
1483,0.02858,-0.01102,-0.01255
1484,0.0285,-0.0118,-0.01415
1485,0.02656,-0.01148,-0.01379
1486,0.0281,-0.01212,-0.01215
1487,0.02846,-0.01341,-0.00889
1488,0.0285,-0.01418,-0.00807
1489,0.02892,-0.0131,-0.00455
1490,0.02828,-0.01361,-0.00224
1491,0.02852,-0.01518,0.00554
1492,0.02978,-0.0156,0.00487
1493,0.02887,-0.01547,0.00712
1494,0.03009,-0.01536,0.00922
1495,0.02854,-0.0137,0.00788
1496,0.0289,-0.01413,0.01008
1497,0.02978,-0.01214,0.01453
1498,0.02978,-0.01489,0.01707
1499,0.02981,-0.01413,0.01751
1500,0.02918,-0.01458,0.01911
1501,0.03025,-0.01542,0.0168
1502,0.03154,-0.01556,0.02062
1503,0.03077,-0.01504,0.02081
1504,0.03169,-0.01564,0.02032
1505,0.03272,-0.01653,0.02068
1506,0.0307,-0.0153,0.01647
1507,0.03215,-0.01621,0.01455
1508,0.03284,-0.01567,0.01107
1509,0.03337,-0.01438,0.0101
1510,0.03178,-0.01403,0.00916
1511,0.03278,-0.01385,0.00438
1512,0.03246,-0.01403,0.00445
1514,0.03422,-0.01505,-0.00112
1515,0.03541,-0.01576,-0.00594
1516,0.03375,-0.01546,-0.00568
1517,0.03652,-0.01528,-0.00926
1518,0.03537,-0.01454,-0.00531
1519,0.03626,-0.01354,-0.0096
1520,0.03639,-0.01425,-0.01196
1521,0.03888,-0.01472,-0.01237
1522,0.0383,-0.01403,-0.01085
1523,0.03918,-0.01491,-0.01346
1524,0.03768,-0.01528,-0.01446
1525,0.03922,-0.01488,-0.01818
1526,0.03984,-0.01528,-0.02054
1527,0.03965,-0.01422,-0.02388
1528,0.04017,-0.01423,-0.02222
1529,0.0407,-0.01551,-0.02272
1530,0.04125,-0.01337,-0.02071
1531,0.0428,-0.01354,-0.02089
1532,0.0424,-0.01411,-0.02096
1533,0.04191,-0.01398,-0.01991
1534,0.04138,-0.01455,-0.02315
1535,0.04165,-0.01509,-0.01832
1536,0.04235,-0.0152,-0.01272
1537,0.03989,-0.01527,-0.01495
