gps_week,dn(m),de(m),du(m)
1353,0.0,0.0,0.0
1356,0.00171,-0.00063,-0.00188
1357,0.00331,-3e-05,-0.00603
1358,0.00247,0.00021,-0.00694
1359,0.00309,-0.00098,-0.00352
1360,0.00375,-0.00044,-0.00953
1361,0.00348,-0.00097,-0.00737
1362,0.00426,-0.00204,-0.0088
1363,0.00605,-0.0018,-0.00939
1364,0.0058,-0.00181,-0.00841
1365,0.00685,-0.0008,-0.01098
1366,0.00784,-0.00082,-0.01333
1367,0.00661,-0.00296,-0.01369
1368,0.00732,-0.00272,-0.0153
1369,0.00742,-0.00171,-0.01681
1370,0.00716,-0.00194,-0.01588
1371,0.00725,-0.00129,-0.01693
1372,0.00672,-0.0017,-0.01497
1373,0.00656,-0.00172,-0.01705
1374,0.00705,-0.00266,-0.01694
1375,0.00673,-0.00201,-0.01459
1376,0.00732,-0.0021,-0.00937
1377,0.00683,-0.00214,-0.00937
1378,0.00719,-0.00173,-0.01071
1379,0.00644,-0.00162,-0.01116
1380,0.00689,-0.00137,-0.01293
1381,0.00626,-0.00136,-0.01386
1382,0.00771,-0.00131,-0.01206
1383,0.00643,-0.00116,-0.01353
1384,0.00641,-0.00204,-0.01404
1385,0.00605,-0.00293,-0.00925
1386,0.00532,-0.00332,-0.01714
1387,0.0052,-0.00331,-0.00352
1388,0.0056,-0.00293,-0.00412
1389,0.00652,-0.00339,-0.00889
1390,0.00738,-0.00272,-0.00474
1391,0.00757,-0.00365,-0.00939
1392,0.00754,-0.00425,-0.00538
1393,0.0079,-0.00406,-0.00218
1394,0.00867,-0.00283,-0.00928
1395,0.00805,-0.00355,-0.0018
1396,0.00868,-0.00295,-0.00662
1397,0.00868,-0.00349,-0.00304
1398,0.00949,-0.00251,-0.00682
1399,0.01075,-0.00415,0.00066
1400,0.0099,-0.00331,-0.00403
1401,0.0111,-0.00493,-0.00293
1402,0.0122,-0.00364,0.00348
1403,0.01248,-0.00336,0.00322
1404,0.01339,-0.00414,0.00035
1405,0.0135,-0.00293,-0.00205
1406,0.01448,-0.0022,-0.00667
1407,0.01273,-0.00257,-0.00501
1408,0.01386,-0.00315,-0.00995
1409,0.01486,-0.00477,-0.0108
1410,0.01532,-0.00349,-0.0147
1411,0.01694,-0.00402,-0.01958
1412,0.01679,-0.00227,-0.01533
1413,0.01701,-0.00381,-0.02461
1414,0.01842,-0.00348,-0.0175
1415,0.01857,-0.0037,-0.01996
1416,0.01913,-0.00522,-0.02398
1417,0.0197,-0.00569,-0.02255
1418,0.02037,-0.00629,-0.02056
1419,0.01878,-0.00438,-0.02481
1420,0.01964,-0.00361,-0.02056
1421,0.0188,-0.0039,-0.01616
1422,0.01879,-0.0044,-0.01507
1423,0.01926,-0.00533,-0.01472
1424,0.01821,-0.00454,-0.01299
1425,0.01804,-0.00293,-0.01477
1426,0.01802,-0.0041,-0.01224
1427,0.01911,-0.00336,-0.01162
1428,0.01924,-0.00434,-0.01427
1429,0.01854,-0.00277,-0.01651
1430,0.01877,-0.00139,-0.01191
1431,0.01878,-0.00312,-0.01328
1432,0.01956,-0.0035,-0.0121
1433,0.02008,-0.00286,-0.01277
1434,0.01962,-0.00367,-0.01314
1435,0.01859,-0.00425,-0.01406
1436,0.0178,-0.00423,-0.01683
1437,0.01748,-0.00444,-0.01955
1438,0.01797,-0.00325,-0.01655
1439,0.0186,-0.00386,-0.01515
1440,0.01969,-0.00452,-0.01488
1441,0.02031,-0.00407,-0.0094
1442,0.02123,-0.00601,-0.00948
1443,0.0214,-0.00471,-0.00843
1444,0.02167,-0.00485,-0.0095
1445,0.02244,-0.005,-0.00646
1446,0.02151,-0.00476,-0.00558
1447,0.02277,-0.00342,-0.00467
1448,0.0231,-0.00505,-0.00016
1449,0.02131,-0.00586,-0.00039
1450,0.02109,-0.00545,0.00028
1451,0.02196,-0.00542,0.00562
1452,0.02208,-0.00567,-0.0003
1453,0.0222,-0.00618,-0.0031
1454,0.02262,-0.00621,-0.00133
1455,0.02317,-0.00704,-0.00072
1456,0.02463,-0.00541,0.00247
1457,0.02372,-0.00757,-0.00419
1458,0.02266,-0.00751,-0.00688
1459,0.02513,-0.00799,-0.00257
1460,0.02619,-0.00703,-0.00015
1461,0.02718,-0.00848,0.00187
1462,0.02761,-0.00876,-0.00122
1463,0.02808,-0.00619,-0.00373
1464,0.02896,-0.00676,-0.00199
1465,0.03087,-0.00736,-0.00618
1466,0.03139,-0.00759,-0.00537
1467,0.03103,-0.00757,-0.00272
1468,0.03091,-0.0093,-0.00637
1469,0.03049,-0.0084,-0.0121
1470,0.03059,-0.00929,-0.01881
1471,0.03194,-0.00907,-0.0156
1472,0.03166,-0.00904,-0.00786
1473,0.03192,-0.00747,-0.01076
1474,0.03176,-0.00746,-0.01325
1475,0.03073,-0.00739,-0.00966
1476,0.0331,-0.006,-0.01079
1477,0.03297,-0.00601,-0.0173
1478,0.03237,-0.00589,-0.01774
1479,0.03295,-0.00562,-0.01728
1480,0.03261,-0.00455,-0.01144
1481,0.03227,-0.00473,-0.01431
1482,0.03261,-0.00544,-0.0136
1483,0.03216,-0.00551,-0.01192
1484,0.03206,-0.00601,-0.01221
1485,0.03103,-0.0054,-0.01344
1486,0.03136,-0.00588,-0.014
1487,0.0315,-0.00589,-0.01352
1488,0.03208,-0.00623,-0.01164
1489,0.03124,-0.00693,-0.00776
1490,0.03253,-0.00763,-0.00687
1491,0.0331,-0.00834,-0.00909
1492,0.03333,-0.00737,-0.00926
1493,0.03302,-0.00686,-0.00868
1494,0.03385,-0.00653,-0.00371
1495,0.03206,-0.00614,-0.00524
1496,0.0326,-0.00564,-0.01101
1497,0.03211,-0.0055,-0.00449
1498,0.03374,-0.00607,-0.00342
1499,0.03374,-0.00609,0.00339
1500,0.03305,-0.00629,-0.00117
1501,0.03407,-0.00665,0.00068
1502,0.03444,-0.00675,-0.00018
1503,0.03404,-0.00732,0.00247
1504,0.03453,-0.00766,-0.00262
1505,0.03541,-0.00682,0.0025
1506,0.03442,-0.00655,-0.00025
1507,0.03464,-0.00618,-0.00128
1508,0.03599,-0.00823,-0.00015
1509,0.03541,-0.00727,-0.003
1510,0.03612,-0.00757,-0.00486
1511,0.03768,-0.00759,-0.0018
1512,0.03752,-0.00859,0.00091
1513,0.03695,-0.00838,-0.00057
1514,0.03825,-0.00818,0.0008
1515,0.03797,-0.00921,-0.0055
1516,0.04017,-0.00871,-0.00956
1517,0.0404,-0.00917,-0.00797
1518,0.04061,-0.00851,-0.01168
1519,0.04205,-0.0068,-0.00744
1520,0.04251,-0.01045,-0.00606
1521,0.0429,-0.01098,-0.01067
1522,0.04244,-0.01013,-0.01029
1523,0.04425,-0.01109,-0.01068
1524,0.04381,-0.01002,-0.00914
1525,0.0433,-0.00964,-0.00972
1526,0.04416,-0.01106,-0.01335
1527,0.04445,-0.00861,-0.01201
1528,0.04434,-0.00968,-0.0091
1529,0.04589,-0.00863,-0.00973
1530,0.04467,-0.00753,-0.00923
1531,0.04658,-0.0076,-0.00687
1532,0.04695,-0.00789,-0.00986
1533,0.04598,-0.0087,-0.00479
1534,0.04506,-0.00914,-0.01069
1535,0.04664,-0.00865,-0.01255
1536,0.04473,-0.00893,-0.01238
1537,0.04483,-0.01063,-0.00832
1538,0.0454,-0.00935,-0.00799
1539,0.04488,-0.01035,-0.00798
1540,0.04517,-0.01106,-0.0085
1541,0.04543,-0.01123,-0.00883
1542,0.04517,-0.01064,-0.00919
1543,0.04602,-0.01095,-0.00481
1544,0.04652,-0.00925,-0.00707
1545,0.04582,-0.00998,-0.00127
1546,0.04656,-0.00961,-0.00493
1547,0.04633,-0.0091,-0.00189
1548,0.04484,-0.00805,0.0095
1549,0.04391,-0.00822,0.01116
1550,0.0433,-0.00826,0.00777
1551,0.04508,-0.0088,0.00798
1552,0.04481,-0.00801,0.00613
1553,0.04586,-0.00898,0.0088
1554,0.04571,-0.00974,0.0109
1555,0.04544,-0.00886,0.00504
1556,0.04641,-0.0086,0.00979
1557,0.04661,-0.00915,0.00796
1558,0.04536,-0.00958,0.00999
1559,0.04524,-0.01078,0.01209
1560,0.04558,-0.01155,0.00606
1561,0.04597,-0.01074,-0.00264
1562,0.04753,-0.01001,1e-05
1563,0.04854,-0.00968,0.00158
1564,0.04825,-0.01044,-0.00271
1565,0.04963,-0.01043,0.00101
1566,0.04941,-0.01111,-0.00147
1567,0.05119,-0.01083,-0.00353
1568,0.05182,-0.01086,-0.00521
1569,0.05307,-0.01164,-0.00948
1570,0.05158,-0.0117,-0.00309
1571,0.05329,-0.01197,-0.0107
1572,0.05281,-0.01256,-0.00785
1574,0.05236,-0.01461,-0.00442
1575,0.05221,-0.01439,-0.00372
1576,0.0531,-0.01354,-0.00409
1577,0.05248,-0.01378,-0.00665
1578,0.0544,-0.01345,-0.01479
1579,0.05431,-0.01343,-0.01261
1580,0.05412,-0.01305,-0.00912
1581,0.0526,-0.01385,-0.00953
1582,0.05349,-0.01372,-0.00969
1583,0.05337,-0.01384,-0.00908
1584,0.05315,-0.01391,-0.00838
1585,0.05293,-0.01379,-0.01016
1586,0.05218,-0.01394,-0.01082
1587,0.05244,-0.01375,-0.01133
1588,0.05283,-0.01422,-0.00605
1589,0.05265,-0.01508,-0.00516
1590,0.05277,-0.01483,-0.00606
1591,0.05393,-0.01536,-0.00366
1592,0.0546,-0.01633,-0.00231
1593,0.05439,-0.01572,-0.00211
1594,0.05392,-0.01544,-0.00022
1595,0.05341,-0.01472,-0.00254
1596,0.05452,-0.01417,0.00279
1597,0.05519,-0.01372,0.00425
1598,0.05467,-0.01387,0.00806
1599,0.05438,-0.01425,0.00733
1600,0.05517,-0.01372,0.00632
1601,0.05518,-0.01407,0.0086
1602,0.05515,-0.01389,0.01036
1603,0.05422,-0.01429,0.00935
1604,0.05545,-0.01449,0.0049
1605,0.05638,-0.015,0.00463
1606,0.05615,-0.01497,0.00656
1607,0.05631,-0.01538,0.00815
1608,0.0555,-0.01538,0.00501
1609,0.05512,-0.01575,0.00546
1610,0.0551,-0.01626,0.00275
1611,0.05546,-0.01596,0.00739
1612,0.05703,-0.01734,0.00912
1613,0.05601,-0.0162,0.00985
1614,0.05794,-0.01594,0.00706
1615,0.06017,-0.01468,0.00083
1616,0.05985,-0.01638,0.00503
1617,0.05932,-0.01707,0.00741
1618,0.06225,-0.01709,0.00998
1619,0.06389,-0.0157,0.00177
1620,0.0629,-0.01601,-0.00149
1621,0.06296,-0.01727,0.00082
1622,0.06364,-0.01722,-0.00207
1623,0.06387,-0.01785,0.00031
1624,0.06431,-0.01888,0.0035
1625,0.06493,-0.01753,-0.00624
1626,0.06536,-0.01715,-0.00754
1627,0.06641,-0.01809,-0.00892
1628,0.06594,-0.01751,-0.01175
1629,0.06629,-0.01659,-0.00892
1630,0.06542,-0.01626,-0.012
1631,0.0677,-0.01761,-0.01258
1632,0.0672,-0.01708,-0.01802
1633,0.06686,-0.0166,-0.01849
1634,0.06753,-0.01665,-0.01702
1635,0.06791,-0.01699,-0.01442
1636,0.06631,-0.01773,-0.01774
1637,0.0663,-0.01805,-0.01658
1638,0.06734,-0.01774,-0.01506
1639,0.06601,-0.01907,-0.00951
1640,0.06692,-0.01857,-0.014
1641,0.06689,-0.01862,-0.0096
1642,0.06804,-0.01945,-0.00891
1643,0.06718,-0.01954,-0.00604
1644,0.06797,-0.01859,-0.00399
1645,0.0676,-0.01815,-0.00362
1646,0.0671,-0.01724,-0.00315
1647,0.06608,-0.01654,0.00023
1648,0.06646,-0.01652,-0.00029
1649,0.0656,-0.01703,0.0017
1650,0.06524,-0.01724,-0.00237
1651,0.06479,-0.01751,-0.00197
1652,0.06541,-0.01808,0.00183
1653,0.06568,-0.01684,0.00262
1654,0.0671,-0.01809,0.0048
1655,0.06687,-0.01831,0.00804
1656,0.06644,-0.01902,0.00644
1657,0.06786,-0.01856,0.01078
1658,0.06617,-0.01728,0.00054
1659,0.06746,-0.01704,0.00193
1660,0.0674,-0.01813,-0.00117
1661,0.06814,-0.0176,0.00349
1662,0.06645,-0.01753,0.00131
1663,0.06956,-0.01894,0.00146
1664,0.06884,-0.01812,0.00373
1665,0.07085,-0.01843,0.00471
1666,0.07274,-0.01901,0.00491
1667,0.0721,-0.01896,0.00615
1668,0.07096,-0.01961,0.00311
1669,0.07473,-0.02017,0.00687
1670,0.07505,-0.01777,0.00335
1671,0.07597,-0.01904,0.00451
1672,0.07686,-0.01881,-0.00285
1673,0.07866,-0.01796,0.00227
1674,0.07764,-0.01828,0.00597
1675,0.07736,-0.01778,-0.0041
1676,0.07699,-0.01824,0.00585
1677,0.07784,-0.01905,0.00155
1678,0.0774,-0.01755,-0.004
1679,0.07913,-0.0176,0.00326
1680,0.07931,-0.01669,-0.00081
1681,0.07821,-0.01841,-0.00422
1682,0.07813,-0.01811,-0.0011
1683,0.07882,-0.0186,-0.00177
1684,0.0785,-0.01941,-0.00492
1685,0.0781,-0.01883,-0.00445
1686,0.07766,-0.01909,-0.0093
1687,0.07786,-0.01876,-0.00539
1688,0.07876,-0.01868,-0.0106
1689,0.07795,-0.0191,-0.01016
1690,0.0783,-0.02123,-0.00447
1691,0.07862,-0.02104,-0.0064
1692,0.079,-0.02114,-0.00485
1693,0.07862,-0.02257,-0.00718
