gps_week,dn(m),de(m),du(m)
1526,0.0,0.0,0.0
1527,0.00039,0.00159,-0.00069
1528,0.00027,0.00071,-0.00385
1529,0.00119,0.00107,-0.00454
1531,0.00157,0.00196,0.00367
1532,0.00272,0.00179,-0.0038
1537,-5e-05,8e-05,-0.00651
1538,0.00032,0.00071,-0.00451
1539,-0.00036,-0.00082,-0.00184
1540,0.00096,-0.00066,-0.00656
1541,0.00082,-0.00109,-0.00711
1542,0.00125,-0.00071,-0.00555
1543,0.00145,-0.00074,-0.00539
1544,0.00197,0.00067,-0.00416
1545,0.00204,-0.00012,-0.00059
1546,0.00186,0.00043,-0.00238
1547,0.00146,4e-05,0.00403
1548,0.00197,-0.00059,0.00091
1549,0.0014,0.00027,0.00136
1550,0.00064,-0.00041,-0.00364
1551,0.00144,0.00024,-0.00138
1552,0.00199,-0.00066,0.00182
1553,0.00235,0.00021,-0.00146
1554,0.00274,-0.00187,-8e-05
1555,0.00259,-0.00147,0.00195
1556,0.0024,-0.00133,0.00151
1557,0.00333,-0.00178,0.00129
1558,0.00288,-0.00184,0.00398
1559,0.00145,-0.00155,0.00122
1560,0.00232,-0.00267,-0.00423
1561,0.00396,-0.00222,-0.00433
1562,0.00458,-0.0024,-0.00147
1563,0.00464,-0.0022,-0.00196
1564,0.00502,-0.00259,-0.00483
1565,0.00585,-0.00232,-0.00466
1566,0.00665,-0.00225,-0.00406
1567,0.00591,-0.00347,-0.00575
1568,0.00717,-0.00309,-0.00302
1569,0.00759,-0.00342,-0.00115
1570,0.01018,-0.00355,-0.00334
1571,0.00928,-0.00335,-0.01095
1572,0.01074,-0.0037,-0.00465
1574,0.00921,-0.00639,-0.00515
1575,0.00809,-0.00699,-0.00346
1576,0.00964,-0.0068,-0.00311
1577,0.00814,-0.00528,-0.00917
1578,0.01058,-0.00523,-0.01106
1579,0.01105,-0.00515,-0.00708
1580,0.01034,-0.00415,-0.00617
1581,0.0086,-0.0054,-0.00929
1582,0.00949,-0.00501,-0.00818
1584,0.01047,-0.00452,-0.01114
1585,0.01,-0.00502,-0.01172
1586,0.01013,-0.00498,-0.01135
1587,0.01002,-0.00473,-0.01377
1588,0.00939,-0.00586,-0.00608
1589,0.00919,-0.00714,-0.00737
1590,0.00939,-0.00644,-0.00803
1591,0.01059,-0.0065,-0.00562
1592,0.01083,-0.00762,-0.0095
1593,0.01031,-0.0079,-0.00425
1594,0.01028,-0.0071,-0.00579
1595,0.0104,-0.00587,-0.00786
1596,0.01096,-0.00619,-0.00385
1597,0.01127,-0.00539,-0.00056
1598,0.01045,-0.00593,0.00422
1599,0.01023,-0.00621,0.0031
1600,0.01142,-0.00471,0.00281
1601,0.01118,-0.00535,0.00458
1602,0.01111,-0.00484,0.00536
1603,0.01017,-0.00566,0.00176
1604,0.01184,-0.00601,0.00199
1605,0.01299,-0.00607,0.00307
1606,0.01266,-0.00579,0.00552
1607,0.0124,-0.00563,0.00506
1608,0.01189,-0.00619,0.00273
1609,0.01275,-0.00625,0.00041
1610,0.01239,-0.00696,0.0051
1611,0.01234,-0.00666,0.00172
1612,0.01322,-0.00796,0.00842
1613,0.01305,-0.00782,0.00309
1614,0.01395,-0.00709,0.00483
1615,0.01523,-0.00724,0.00358
1616,0.01628,-0.00806,0.0017
1617,0.0172,-0.00811,0.00146
1618,0.01758,-0.00994,0.00127
1619,0.01907,-0.00951,0.00512
1620,0.01827,-0.01034,-0.00746
